seconds_elapsed,dBFS
0.0,-10.773748233845144
0.01,-11.451978568107608
0.02,-10.192523638613809
0.03,-9.534211737099378
0.04,-9.729444595018798
0.05,-9.584407817468467
0.06,-9.753854605383289
0.07,-9.642132236489884
0.08,-9.445684295045282
0.09,-9.626862105041482
0.1,-9.910894703102077
0.11,-10.077589827248794
0.12,-10.568192959609021
0.13,-10.849214162087382
0.14,-11.204867948355524
0.15,-11.206794079783322
0.16,-11.281276801588502
0.17,-11.057823983275082
0.18,-10.98428621722272
0.19,-11.381918754668867
0.2,-11.600868904147376
0.21,-11.925344118344345
0.22,-11.781120693800712
0.23,-11.946294175867171
0.24,-12.150028266948912
0.25,-12.316965516271912
0.26,-12.156472602329028
0.27,-12.326821535326369
0.28,-12.291828605154524
0.29,-12.165072493762324
0.3,-12.409392880634986
0.31,-12.33668875087064
0.32,-12.192002166347983
0.33,-12.290737344440977
0.34,-12.369660660531263
0.35,-12.13822605575517
0.36,-11.993617379520675
0.37,-12.095443604340252
0.38,-12.126439859409142
0.39,-12.157547123223338
0.4,-12.380679169731899
0.41,-11.887760883388786
0.42,-11.471816168686889
0.43,-11.397657630346586
0.44,-12.080519391668465
0.45,-12.979707379759551
0.46,-13.553443308119693
0.47,-13.669045154476432
0.48,-13.34644848783686
0.49,-12.999812245955063
0.5,-12.649405618448375
0.51,-12.36855957798709
0.52,-11.54861674967015
0.53,-10.390155439343346
0.54,-9.917534657281578
0.55,-9.691339637001024
0.56,-9.688913071923622
0.57,-10.290777456569892
0.58,-10.66900441659679
0.59,-10.795768035573188
0.6,-11.327056196936043
0.61,-12.103983253191398
0.62,-13.164761852856508
0.63,-14.72139846936124
0.64,-16.172936758447594
0.65,-16.49267753957605
0.66,-15.826759619970115
0.67,-15.452925529811045
0.68,-15.382543397395295
0.69,-15.091505938150577
0.7,-15.237337521336226
0.71,-15.678835027273848
0.72,-15.43253426711935
0.73,-15.174755495898925
0.74,-15.303460396114502
0.75,-14.998607837235305
0.76,-14.748869470724191
0.77,-14.699772041960005
0.78,-14.456963075895029
0.79,-14.326324833153098
0.8,-14.371963718196616
0.81,-14.162357913370549
0.82,-14.020051128744605
0.83,-14.24532092848752
0.84,-14.476589045338077
0.85,-14.814281048159291
0.86,-14.500480351372143
0.87,-14.715626155051398
0.88,-14.625214591575142
0.89,-14.717068874037867
0.9,-13.835602433831632
0.91,-15.126222373571029
0.92,-14.883129846613164
0.93,-12.89273022088241
0.94,-13.872180155185273
0.95,-15.297288152374183
0.96,-11.529602754736555
0.97,-11.911753628083597
0.98,-18.48993399543464
0.99,-22.715638018521283
1.0,-30.754526593417395
1.01,-35.82348130717857
1.02,-38.92152050689344
1.03,-38.20289777637217
1.04,-71.22414851040786
1.05,-31.282248323276
1.06,-24.36692569620923
1.07,-21.996179101271274
1.08,-20.04464669783558
1.09,-18.051203313444663
1.1,-16.79709757145943
1.11,-15.115641805401747
1.12,-15.241934446364438
1.13,-13.984172699358696
1.14,-11.295861049104143
1.15,-10.536036194479335
1.16,-11.329009618655297
1.17,-10.620252803272836
1.18,-10.737172162792863
1.19,-10.274324443014347
1.2,-10.268270654003773
1.21,-9.75711446266984
1.22,-7.416891924899469
1.23,-4.955241101879578
1.24,-6.542806095314272
1.25,-7.181044753544292
1.26,-6.2755951062627275
1.27,-5.5330274449160175
1.28,-5.6556823105654495
1.29,-6.0631153659473345
1.3,-6.908460736172025
1.31,-5.488534316011503
1.32,-4.556994571995332
1.33,-4.986717708560839
1.34,-6.5062882816537435
1.35,-5.5843014373831075
1.36,-6.8254757593496205
1.37,-8.510190329221663
1.38,-10.656338811297363
1.39,-12.041199826559247
1.4,-9.539774775623085
1.41,-8.402124061743852
1.42,-9.773432126003769
1.43,-11.171229606192812
1.44,-11.377006198891703
1.45,-11.233804864529784
1.46,-10.102151376403004
1.47,-10.847365707167008
1.48,-10.001803591010072
1.49,-10.70893126751943
1.5,-10.29684695793655
1.51,-11.1453687478954
1.52,-10.084358492807038
1.53,-11.0322980851514
1.54,-10.270864618376663
1.55,-11.633181016325958
1.56,-10.40419466193805
1.57,-11.489708829338367
1.58,-11.55362735819564
1.59,-12.144661637406507
1.6,-12.13822605575517
1.61,-12.454865943081046
1.62,-11.808948545574808
1.63,-12.53081351392373
1.64,-13.53453489856692
1.65,-12.36745863500595
1.66,-13.813469449683444
1.67,-12.6119590442744
1.68,-12.790419000735817
1.69,-12.232011937260738
1.7,-12.49834286063946
1.71,-12.79157488464704
1.72,-13.237467826801526
1.73,-12.348763923244324
1.74,-12.610826815942215
1.75,-12.89506953940936
1.76,-12.770792472301814
1.77,-13.43064593906651
1.78,-12.925538152760694
1.79,-13.525725040901355
1.8,-12.867039213709823
1.81,-13.53705364286123
1.82,-12.489406759400579
1.83,-13.695942423245867
1.84,-13.36989219879788
1.85,-13.779727717338332
1.86,-15.635425585652598
1.87,-14.541388392803093
1.88,-14.595285333576332
1.89,-15.322003487244825
1.9,-15.088493664966904
1.91,-14.75176621566952
1.92,-15.249601398612674
1.93,-14.945119466532926
1.94,-14.518794617389272
1.95,-15.382543397395295
1.96,-14.501887770906627
1.97,-15.36698007189463
1.98,-14.656680058562287
1.99,-15.073447949030793
2.0,-14.962912350128892
2.01,-15.915745038833421
2.02,-16.258664750431343
2.03,-15.703045457251363
2.04,-16.34524730187191
2.05,-15.100549030730114
2.06,-16.786105092070233
2.07,-14.029377186464922
2.08,-14.562623566703405
2.09,-15.015017423227
2.1,-15.715985332475952
2.11,-15.31581805729636
2.12,-14.817199693898468
2.13,-15.120174756520406
2.14,-15.040438827935612
2.15,-15.188454439725534
2.16,-16.896660971187845
2.17,-17.70247560311542
2.18,-18.994402942571817
2.19,-19.482407145860485
2.2,-23.089561024675636
2.21,-25.478069087263385
2.22,-31.090074784517725
2.23,-29.186153458013308
2.24,-30.995559274792225
2.25,-25.990962435113723
2.26,-20.055310774851087
2.27,-18.947312072886476
2.28,-15.94561059136822
2.29,-19.87055380152435
2.3,-23.603853570503723
2.31,-18.796006404089972
2.32,-12.315871093081645
2.33,-9.390027937087671
2.34,-7.4274825752233475
2.35,-5.552094161962076
2.36,-5.192938992120392
2.37,-4.1976724288882785
2.38,-4.328009767243565
2.39,-3.923961876389276
2.4,-4.788498854422776
2.41,-5.064249704362709
2.42,-5.078507569740941
2.43,-6.2206295487293595
2.44,-5.850509367332688
2.45,-6.445393227887452
2.46,-6.831875919468966
2.47,-7.9238809136356245
2.48,-7.091828085594529
2.49,-6.988096942169854
2.5,-7.470601220916748
2.51,-9.80615970669049
2.52,-8.631782681862898
2.53,-8.6432473126487
2.54,-7.960258193541972
2.55,-7.807835675752893
2.56,-7.976179785971777
2.57,-8.016111921148772
2.58,-8.132964216753845
2.59,-7.714556525276803
2.6,-7.903444292406984
2.61,-7.103230436568596
2.62,-7.7036102230869545
2.63,-8.320911252283508
2.64,-8.639662989716614
2.65,-8.031468046573307
2.66,-8.423769844784315
2.67,-8.651855727266177
2.68,-7.272411896556936
2.69,-6.623121594215254
2.7,-7.39947660149517
2.71,-8.047520827310201
2.72,-8.896421818165804
2.73,-8.175663459796034
2.74,-8.507366338417931
2.75,-8.733339495255091
2.76,-9.584407817468467
2.77,-8.085765507642598
2.78,-6.998770483483291
2.79,-7.76431031592968
2.8,-7.832618978814418
2.81,-8.646115836333314
2.82,-8.371493338000604
2.83,-8.661909672574978
2.84,-8.276118989388095
2.85,-7.970869345064707
2.86,-8.024120425416212
2.87,-8.704408201497015
2.88,-8.798789408706083
2.89,-8.632498778127623
2.9,-8.748567088786634
2.91,-8.562600455066342
2.92,-8.967581578286955
2.93,-8.883881145568449
2.94,-8.800979588916402
2.95,-9.123032851032933
2.96,-8.726097632539382
2.97,-8.78711776554486
2.98,-8.58892458682672
2.99,-8.823643848127201
3.0,-9.014599010376209
3.01,-8.734788592628833
