seconds_elapsed,dBFS
0.0,-23.611884906848527
0.01,-24.530606585959823
0.02,-24.615873043424045
0.03,-23.131274611076975
0.04,-25.87028670263425
0.05,-24.508306471943996
0.06,-25.04101207251431
0.07,-25.18908416474632
0.08,-25.354442040999892
0.09,-24.638451401960488
0.1,-25.623716211618568
0.11,-25.533027444916016
0.12,-24.91873981483603
0.13,-23.135076707718145
0.14,-23.21147024886968
0.15,-23.269209590481715
0.16,-23.496151147980253
0.17,-24.327573498646164
0.18,-24.914071236579012
0.19,-25.4234562831575
0.2,-28.85664916828962
0.21,-27.12367207732447
0.22,-27.606345671658858
0.23,-25.782156955921742
0.24,-26.485569584623185
0.25,-24.459446825838675
0.26,-25.649076491351277
0.27,-24.35816534283116
0.28,-25.669418162564273
0.29,-25.523009116656507
0.3,-25.588335756841637
0.31,-25.23254992503289
0.32,-24.97966079038953
0.33,-26.700746042427884
0.34,-26.700746042427884
0.35,-28.056898668502868
0.36,-24.701984838274242
0.37,-24.340671097968464
0.38,-24.112138604872943
0.39,-24.956179052276042
0.4,-25.14583483237847
0.41,-24.508306471943996
0.42,-22.973071033459757
0.43,-23.448708756179006
0.44,-25.896378310232514
0.45,-25.558123936336866
0.46,-25.007922929114063
0.47,-25.59338129264315
0.48,-27.010051246757524
0.49,-27.392644409357803
0.5,-27.683042767241894
0.51,-28.384706992266256
0.52,-25.996247430493117
0.53,-21.44060946353801
0.54,-20.387018856542927
0.55,-24.6837849580941
0.56,-23.40544636834028
0.57,-23.77818532886312
0.58,-25.19390296633347
0.59,-23.86461280451597
0.6,-22.03965043947786
0.61,-22.913552927255097
0.62,-23.13888046938965
0.63,-23.16937067933173
0.64,-23.79047958376503
0.65,-25.359353485653273
0.66,-25.603481165453307
0.67,-24.86288181115263
0.68,-26.496762742922257
0.69,-26.752499261900724
0.7,-25.901606050166464
0.71,-26.689287083459746
0.72,-27.517713375677356
0.73,-26.575521349199455
0.74,-26.97447758759332
0.75,-26.297460164097394
0.76,-25.74612654723952
0.77,-24.951490312816404
0.78,-25.305479737515853
0.79,-24.91873981483603
0.8,-25.19390296633347
0.81,-26.221172060808364
0.82,-26.575521349199455
0.83,-25.689807584222976
0.84,-26.46322644783195
0.85,-26.0121217382404
0.86,-26.204911420231465
0.87,-26.22659904607586
0.88,-27.051738832755838
0.89,-24.811992298861057
0.9,-28.03013165305762
0.91,-26.413163544755864
0.92,-25.563151947845185
0.93,-28.349977279311354
0.94,-26.886175678626714
0.95,-24.59335322360646
0.96,-24.42408437643199
0.97,-22.958153228782827
0.98,-25.045749399950022
0.99,-25.02681557307819
1.0,-25.418508467792684
1.01,-25.39874534291136
1.02,-24.517219648342422
1.03,-26.31938040194724
1.04,-25.017364114432805
1.05,-23.86461280451597
1.06,-25.0742277521436
1.07,-25.65415744477962
1.08,-23.32344814983525
1.09,-24.124915105786204
1.1,-24.305787960167315
1.11,-26.221172060808364
1.12,-27.670212794985865
1.13,-27.015994380508417
1.14,-23.712908255912968
1.15,-25.06472458966602
1.16,-21.528664131444103
1.17,-20.21686328635528
1.18,-21.710724743919265
1.19,-19.792559656061105
1.2,-18.374858105565433
1.21,-20.19785992591792
1.22,-22.8250335406127
1.23,-20.157277903934144
1.24,-23.4526524064797
1.25,-24.775168122293564
1.26,-25.37902708327834
1.27,-24.310140698739016
1.28,-23.765908451005725
1.29,-21.19687644755702
1.3,-21.47509598638002
1.31,-26.845273330948878
1.32,-27.20835412337495
1.33,-24.67016003037786
1.34,-24.692880131321022
1.35,-28.391669629623504
1.36,-27.361656543318627
1.37,-26.302935039562655
1.38,-26.51919242520701
1.39,-25.4234562831575
1.4,-26.188681163927466
1.41,-27.864681133737825
1.42,-27.07565045043964
1.43,-28.36385250532596
1.44,-27.281601694245147
1.45,-28.496784542626223
1.46,-26.51357957225688
1.47,-25.36426770905907
1.48,-24.775168122293564
1.49,-23.575802230105957
1.5,-24.099380869940852
1.51,-25.102799783295957
1.52,-25.669418162564273
1.53,-21.860485171770264
1.54,-22.19865655966683
1.55,-24.345041356998056
1.56,-21.972861262735467
1.57,-23.131274611076975
1.58,-20.631549614740884
1.59,-21.37825535772148
1.6,-23.119878296774626
1.61,-23.956087834771186
1.62,-25.802813064677096
1.63,-23.947731999939123
1.64,-24.793560695895728
1.65,-22.256893860796062
1.66,-24.04853649272959
1.67,-21.66565331034259
1.68,-20.98054425051852
1.69,-21.31326175947889
1.7,-22.596873227228112
1.71,-22.650655997443735
1.72,-25.45817013322667
1.73,-25.05523181316043
1.74,-25.86507777315996
1.75,-25.65924137213463
1.76,-22.92097042526187
1.77,-25.438316662553117
1.78,-23.39368483690459
1.79,-21.979517117189943
1.8,-25.46811391180334
1.81,-26.09727820109122
1.82,-23.885318153148077
1.83,-23.881173132960573
1.84,-24.219188143724605
1.85,-24.67469929864844
1.86,-24.615873043424045
1.87,-25.2373929079507
1.88,-22.86180704870788
1.89,-24.388865312920913
1.9,-22.161180609779723
1.91,-22.64706010021247
1.92,-24.375694893963733
1.93,-22.03294836380733
1.94,-22.53631931215857
1.95,-24.624897345158473
1.96,-24.784359540757684
1.97,-23.676404346595707
1.98,-23.161738086891503
1.99,-23.304038332511098
2.0,-25.638923492371667
2.01,-22.869180469896055
2.02,-23.025486043781967
2.03,-20.77816251864578
2.04,-22.611182768583276
2.05,-25.959319814916235
2.06,-26.043957655266425
2.07,-25.89115371480397
2.08,-23.25377486471774
2.09,-22.490296557126776
2.1,-19.9756475172135
2.11,-18.543564562347775
2.12,-19.301985253162048
2.13,-22.518589382266807
2.14,-24.624897345158473
2.15,-26.177877817213762
2.16,-24.406456994150535
2.17,-24.848973257919603
2.18,-27.22660818887742
2.19,-25.73585953701565
2.2,-26.204911420231465
2.21,-24.09088611167153
2.22,-25.003206181977756
2.23,-24.146251126433587
2.24,-25.588335756841637
2.25,-24.67469929864844
2.26,-24.914071236579012
2.27,-24.517219648342422
2.28,-25.543057341686477
2.29,-25.017364114432805
2.3,-24.10788394417653
2.31,-23.39368483690459
2.32,-22.6291029103597
2.33,-26.689287083459746
2.34,-23.765908451005725
2.35,-24.839713246767428
2.36,-24.481621690162704
2.37,-27.147782820462254
2.38,-26.55294592482597
2.39,-26.502364735788525
2.4,-25.47309007329038
2.41,-24.459446825838675
2.42,-26.259232357992488
2.43,-22.37106971634388
2.44,-22.82136473817671
2.45,-26.592491506935115
2.46,-25.543057341686477
2.47,-25.849469701326527
2.48,-24.738499404454007
2.49,-26.172481178557362
2.5,-25.969854551972418
2.51,-26.424263724717775
2.52,-26.851104744150835
2.53,-24.98436476539649
2.54,-28.62462496440958
2.55,-26.615170082842383
2.56,-25.705131121813444
2.57,-28.18518075392605
2.58,-28.812669886290863
2.59,-31.82341297795672
2.6,-29.811079497044656
2.61,-29.560468740381882
2.62,-29.15567662099777
2.63,-27.147782820462254
2.64,-29.46536680887903
2.65,-27.708759705756272
2.66,-27.232701412303776
2.67,-28.41259109209836
2.68,-29.24742982952596
2.69,-26.649299359122725
2.7,-28.036815677733795
2.71,-28.308484097037105
2.72,-30.145515019065826
2.73,-27.963572786079073
2.74,-29.386902954273584
2.75,-30.7911759711585
2.76,-28.989939092916963
2.77,-29.079949117450493
2.78,-28.689257760976613
2.79,-26.775600045831368
2.8,-27.97684381942939
2.81,-30.736259731504866
2.82,-30.352537084279845
2.83,-31.528603170221025
2.84,-28.010110384942664
2.85,-28.01677901455089
2.86,-29.959984108983633
2.87,-28.703686152397463
2.88,-28.596052933257226
2.89,-28.110681438718494
2.9,-28.18518075392605
2.91,-28.043504849907347
2.92,-29.77833340872842
2.93,-30.12848385745615
2.94,-27.524014347762215
2.95,-27.232701412303776
2.96,-24.98436476539649
2.97,-30.317688934674713
2.98,-29.410367776211153
2.99,-30.422655645801623
3.0,-29.75385460538329
3.01,-31.099583148508376
3.02,-31.948391963496753
3.03,-29.584407817468467
3.04,-31.166434745658094
3.05,-31.301701611671895
3.06,-29.386902954273584
3.07,-30.23978805700423
3.08,-30.537819561622044
3.09,-30.62745802113774
3.1,-28.336124182853215
3.11,-28.82730491862948
3.12,-28.42656678238313
3.13,-27.773387158954176
3.14,-26.86277932875527
3.15,-28.66047268197892
3.16,-27.41129033345151
3.17,-27.159863336509844
3.18,-26.962652004230833
3.19,-28.36385250532596
3.2,-30.231175374456143
3.21,-29.600403935503394
3.22,-29.034827511366007
3.23,-26.156311351415127
3.24,-26.335856960105907
3.25,-25.413563469288455
3.26,-28.440564995949657
3.27,-29.41820349134614
3.28,-29.560468740381882
3.29,-28.878722597292573
3.3,-28.864000746924063
3.31,-30.967404016304414
3.32,-30.17967785420972
3.33,-29.918365008569246
3.34,-28.596052933257226
3.35,-29.46536680887903
