seconds_elapsed,dBFS
0.0,-14.578229089238308
0.01,-14.872841119212243
0.02,-14.344275171835644
0.03,-14.033377135712708
0.04,-15.595424181076265
0.05,-16.967414589910025
0.06,-14.767715604345767
0.07,-16.310510644344824
0.08,-17.651757897189757
0.09,-17.53921356010161
0.1,-18.539082679050154
0.11,-20.29603743175612
0.12,-18.44992726823704
0.13,-18.399074262682873
0.14,-18.867838900668264
0.15,-19.053627838863974
0.16,-18.252611850540358
0.17,-20.370405737730056
0.18,-18.21799804776913
0.19,-18.50554206726807
0.2,-19.178124529524066
0.21,-19.81328971276991
0.22,-17.008642190944904
0.23,-17.18511745561064
0.24,-17.055730507713605
0.25,-16.529929446445998
0.26,-18.21799804776913
0.27,-18.772960782616106
0.28,-18.315703123426022
0.29,-16.81544934173038
0.3,-17.414320150250507
0.31,-16.709544813645987
0.32,-16.631854591187427
0.33,-16.275912352679395
0.34,-17.23510279289272
0.35,-15.581068653661509
0.36,-15.534972690500162
0.37,-15.657907102165716
0.38,-15.407502867553209
0.39,-16.037507943752964
0.4,-15.467070653129468
0.41,-15.031458069281259
0.42,-15.168674004568345
0.43,-17.34960953193492
0.44,-16.80076482489709
0.45,-17.287316914334127
0.46,-16.415140172564676
0.47,-17.050066412541863
0.48,-16.333073663385733
0.49,-16.333073663385733
0.5,-16.390613642566358
0.51,-17.5832536572241
0.52,-16.980511248819166
0.53,-16.40637274511384
0.54,-17.42613768899598
0.55,-17.881318129561294
0.56,-17.42613768899598
0.57,-16.53348559373746
0.58,-16.408125522768476
0.59,-16.727712336768104
0.6,-16.578060717934232
0.61,-17.5832536572241
0.62,-16.542382336949032
0.63,-17.196627028369914
0.64,-16.828318690569258
0.65,-17.008642190944904
0.66,-16.57269960904802
0.67,-17.14877076605211
0.68,-16.76050994516941
0.69,-16.439736154803736
0.7,-16.633653470688124
0.71,-15.927347221164638
0.72,-16.79709757145943
0.73,-17.158320948034632
0.74,-16.443255559081248
0.75,-18.16848113049864
0.76,-17.763730367829936
0.77,-18.770659579890218
0.78,-18.672280218041397
0.79,-18.129924713677102
0.8,-17.479516489112367
0.81,-18.860861348033243
0.82,-19.130029779633567
0.83,-18.302612104161135
0.84,-19.65136431104641
0.85,-18.18352163579459
0.86,-18.928546978603084
0.87,-18.79369908845997
0.88,-18.63595652835348
0.89,-18.20289777637217
0.9,-18.62916271522803
0.91,-18.62237421184374
0.92,-17.873014219141005
0.93,-18.18352163579459
0.94,-18.200742736133336
0.95,-19.25320169533872
0.96,-18.926204189745167
0.97,-17.891709193891934
0.98,-19.272682252174043
0.99,-18.987323015834438
1.0,-19.95980216838971
1.01,-19.779628449804807
1.02,-19.50240920337688
1.03,-19.805510142488927
1.04,-19.653911119344404
1.05,-21.534988041179627
1.06,-19.687087761793798
1.07,-19.839272052329797
1.08,-20.18701950062555
1.09,-20.127637798851126
1.1,-22.11371661386743
1.11,-19.363352539928293
1.12,-19.74352315585348
1.13,-19.55009951336462
1.14,-20.654384697595496
1.15,-22.12386565841616
1.16,-20.845100515095602
1.17,-20.42034072466638
1.18,-20.75210917241919
1.19,-21.710724743919265
1.2,-21.4187345725135
1.21,-21.57938479900446
