seconds_elapsed,dBFS
0.0,-10.016068205513722
0.01,-9.735947226531987
0.02,-9.48430407576574
0.03,-9.806979478258091
0.04,-9.646959965917402
0.05,-9.612420386077622
0.06,-9.841479936403108
0.07,-9.880250769852562
0.08,-9.236675211106549
0.09,-8.972793186677691
0.1,-8.7094642265424
0.11,-8.99516413732894
0.12,-9.393935747311533
0.13,-9.813540437601725
0.14,-10.070826432211275
0.15,-11.232838745888214
0.16,-12.89273022088241
0.17,-13.853872040166543
0.18,-12.696156171108658
0.19,-11.795538820769547
0.2,-10.46323162325251
0.21,-9.788144279091595
0.22,-11.407508929619759
0.23,-11.239603834126331
0.24,-10.980531780320495
0.25,-10.520002345860522
0.26,-10.405072867250771
0.27,-10.175400144377846
0.28,-10.96459350353501
0.29,-10.795768035573188
0.3,-10.991799963052923
0.31,-10.947749497665374
0.32,-11.257992821230324
0.33,-10.885337882071129
0.34,-10.632865859626053
0.35,-9.900944279516796
0.36,-8.338200739337125
0.37,-8.196751505458653
0.38,-8.71524614696763
0.39,-7.421251217155623
0.4,-7.737782568007949
0.41,-7.667008260864271
0.42,-7.558751636751767
0.43,-8.423769844784315
0.44,-8.764548490973294
0.45,-6.459879928954853
0.46,-10.324647388592286
0.47,-5.708710507109233
0.48,-10.291644268569819
0.49,-5.866640124029909
0.5,-7.674059797176781
0.51,-11.250245344174745
0.52,-6.751345833887864
0.53,-5.926743093070991
0.54,-6.214664151184684
0.55,-6.577216873746218
0.56,-10.955231690128105
0.57,-6.89496558287296
0.58,-5.60348116545331
0.59,-7.38892002297698
0.6,-11.944196894766057
0.61,-6.457092147810125
0.62,-5.9487978395070895
0.63,-8.634647421215405
0.64,-13.063985207235858
0.65,-6.384369290336869
0.66,-6.1530809951001775
0.67,-10.883481724432254
0.68,-7.303082442683591
0.69,-5.405163427455792
0.7,-9.26127679140686
0.71,-7.893572840454526
0.72,-5.375580985380304
0.73,-9.25435055112999
0.74,-7.015399884109158
0.75,-6.618009072780408
0.76,-8.968325902349113
0.77,-5.684195720292852
0.78,-8.911938276921866
0.79,-5.743045169697103
0.8,-7.970205768179241
0.81,-7.171355410406827
0.82,-5.7502367518060185
0.83,-8.577531386782871
0.84,-6.29910226442142
