seconds_elapsed,dBFS
0.0,-50.22257122354151
0.01,-51.03324215228325
0.02,-49.885212717795596
0.03,-49.247429829525956
0.04,-52.13929832162136
0.05,-50.84644162720038
0.06,-46.50236473578853
0.07,-46.22659904607586
0.08,-46.22659904607586
0.09,-42.668657847696984
0.1,-40.94205209095121
0.11,-43.421153225492134
0.12,-47.7669027318982
0.13,-49.32463824579072
0.14,-48.301587796843094
0.15,-50.05225420509091
0.16,-47.08163865449485
0.17,-46.06524661111521
0.18,-49.481144996029855
0.19,-46.84527333094888
0.2,-48.581802085699394
0.21,-50.663574038402984
0.22,-52.35645687338553
0.23,-42.280987883563476
0.24,-11.302675420702354
0.25,-17.569216662949774
0.26,-22.147592981450646
0.27,-28.198795003794878
0.28,-30.387525609488854
0.29,-35.72570290533895
0.3,-38.24611124679071
0.31,-41.00134167022599
0.32,-39.78221315139747
0.33,-43.61992367617574
0.34,-46.44650673210513
0.35,-44.96556413113407
0.36,-44.91873981483603
0.37,-47.70232332929424
0.38,-49.72132314549016
0.39,-48.164799306236986
0.4,-49.64052358945536
0.41,-51.7206201849085
0.42,-49.885212717795596
0.43,-48.945281464271126
0.44,-50.05225420509091
0.45,-49.17090167246491
0.46,-51.619029674323
0.47,-46.729459753330964
0.48,-46.84527333094888
0.49,-43.381939210181585
0.5,-38.44327735878521
0.51,-35.23733752133622
0.52,-37.579240772127044
0.53,-42.178195090515246
0.54,-41.490817057890006
0.55,-42.280987883563476
0.56,-42.07660457992975
0.57,-43.50011640239199
0.58,-45.05997690458577
0.59,-46.33585696010591
0.6,-47.51141697116962
0.61,-47.83196587985263
0.62,-48.44056499594966
0.63,-43.989591790056004
0.64,-47.96357278607907
0.65,-48.72537377824186
0.66,-45.90683693839325
0.67,-52.57918419574472
0.68,-53.65882044506962
0.69,-50.48447718534446
0.7,-53.40703789890922
0.71,-47.574587356066225
0.72,-41.273269988708556
0.73,-35.36076254146589
0.74,-30.33509553296124
0.75,-28.81998432010253
0.76,-26.496762742922257
0.77,-27.612711292785153
0.78,-29.95164431992424
0.79,-27.83196587985264
0.8,-26.313895154124864
0.81,-27.760423142162377
0.82,-29.528652259246115
0.83,-31.730844894315304
0.84,-30.094521391358896
0.85,-29.457488450390542
0.86,-30.466768943455364
0.87,-32.61309142021474
0.88,-36.123599479677736
0.89,-36.41689472052298
0.9,-36.75685964478449
0.91,-38.59978410902434
0.92,-43.94773199993912
0.93,-46.787173518080735
0.94,-52.467106645384746
0.95,-52.92436430457484
0.96,-43.57980402222377
0.97,-37.9062775997192
0.98,-36.97863908809674
0.99,-36.9973788788353
1.0,-32.61309142021474
1.01,-34.63092711373966
1.02,-32.50057832317607
1.03,-29.934988725869488
1.04,-26.706481195913277
1.05,-23.765908451005725
1.06,-20.537984369185473
1.07,-15.787501294886956
1.08,-13.215592061287648
1.09,-12.285283096451352
1.1,-12.986797902306828
1.11,-12.861210930837942
1.12,-14.175904219357145
1.13,-14.71851183269856
1.14,-15.919058366982723
1.15,-14.542802457053357
1.16,-12.858880712275857
1.17,-11.2997543210824
1.18,-11.83997330640133
1.19,-19.36828070439415
1.2,-22.4761846293466
1.21,-28.62462496440958
1.22,-29.640523589455363
1.23,-29.004876138108116
1.24,-30.7636744506485
1.25,-31.23380486452978
1.26,-31.340739383622335
1.27,-31.99045446525204
1.28,-27.480003231185005
1.29,-22.766517852265235
1.3,-14.626642369935892
1.31,-17.31840738023798
1.32,-18.166334611363023
1.33,-14.38167559964393
1.34,-13.42069788971787
1.35,-15.038941389842417
1.36,-14.462565972162889
1.37,-13.703642680521522
1.38,-12.529691813187613
1.39,-13.133443953085369
1.4,-16.0796030617078
1.41,-18.379256024463476
1.42,-18.076656488107638
1.43,-17.304791605987177
1.44,-18.485479692958528
1.45,-19.26050178511265
1.46,-19.21921549911798
1.47,-19.694761939561218
1.48,-19.951890320593783
1.49,-19.878391873620135
1.5,-19.85229242598376
1.51,-18.43663253660364
1.52,-18.72934184513855
1.53,-21.62400965126485
1.54,-26.56987198988611
1.55,-30.01858792403588
1.56,-30.17967785420972
1.57,-29.386902954273584
1.58,-29.640523589455363
1.59,-31.023806095257378
1.6,-32.76157178179887
1.61,-34.951046378832544
1.62,-38.333188563932055
1.63,-35.77445451866291
1.64,-36.123599479677736
1.65,-38.13847802765047
1.66,-35.80710827756498
1.67,-30.736259731504866
1.68,-28.301587796843094
1.69,-25.533027444916016
1.7,-23.636023568900335
1.71,-24.03165429181129
1.72,-23.010478023394842
1.73,-23.346797329589602
1.74,-24.23643917151656
1.75,-24.189081043778266
1.76,-25.266507649081472
1.77,-25.083741323344487
1.78,-24.895421976300227
1.79,-25.251938079596492
1.8,-25.20354859712824
1.81,-25.954057233938485
1.82,-27.498837838430763
1.83,-29.004876138108116
1.84,-30.40507286725077
1.85,-31.253149838312517
1.86,-32.590471903165735
1.87,-31.023806095257378
1.88,-34.83326979957049
1.89,-33.054448132834864
1.9,-32.912634539607794
1.91,-32.44486363799739
1.92,-33.06637111293361
