seconds_elapsed,dBFS
0.0,-20.271388824093183
0.01,-12.967902689660324
0.02,-10.849214162087382
0.03,-11.022863053115628
0.04,-9.53341730808359
0.05,-8.73768751285201
0.06,-10.417377073996462
0.07,-9.09957484324078
0.08,-10.146367454381108
0.09,-10.393663118194878
0.1,-11.262838505951853
0.11,-9.157197925781077
0.12,-8.42796558899507
0.13,-7.735198827485271
0.14,-9.043082277723952
0.15,-9.474830281365636
0.16,-8.56757458106365
0.17,-11.33682770166563
0.18,-9.558078457477821
0.19,-7.679191785295392
0.2,-8.713077475747157
0.21,-11.009671202572397
0.22,-15.651477871940225
0.23,-13.885281047017449
0.24,-19.185361766136133
0.25,-21.560329823234934
0.26,-19.705004735132714
0.27,-14.482204619891569
0.28,-14.67389120614498
0.29,-11.591802738436748
0.3,-13.959013461839191
0.31,-8.01211043629388
0.32,-6.973885925889606
0.33,-8.834631692271904
0.34,-7.99479193894677
0.35,-10.613053557408502
0.36,-10.428818036722092
0.37,-10.02783315070764
0.38,-10.226872233601195
0.39,-9.571632099573257
0.4,-8.322984174525098
0.41,-8.455287440444543
0.42,-8.596052933257226
0.43,-9.610015765666915
0.44,-9.516751061259875
0.45,-9.03107793667447
0.46,-10.819685984449507
0.47,-11.442076732062542
0.48,-11.166434745658096
0.49,-13.062792500108948
0.5,-12.369660660531263
0.51,-14.121845294972243
0.52,-15.123198038708278
0.53,-14.485013769216852
0.54,-14.050731566337246
0.55,-13.834298931219733
0.56,-13.702358830155122
0.57,-14.940676934867724
0.58,-14.534321522640209
0.59,-15.248067466663775
0.6,-15.506483959879747
0.61,-13.916804044162651
0.62,-14.820119320695056
0.63,-20.07935292667433
0.64,-20.222300463145075
0.65,-22.02959926423313
0.66,-24.876812671617717
0.67,-25.16022736199808
0.68,-26.992246205391794
0.69,-28.85664916828962
0.7,-28.287811601032043
0.71,-29.901773046240198
0.72,-29.489044850724543
0.73,-29.934988725869488
0.74,-28.539189295546432
0.75,-26.798762431925404
0.76,-22.546974667784024
0.77,-22.7592310316717
0.78,-18.947312072886476
0.79,-18.796006404089972
0.8,-11.803788508805651
0.81,-5.482054354430374
0.82,-8.537772463370048
0.83,-13.463056012633052
0.84,-13.450576283994714
0.85,-9.762006543699226
0.86,-10.902991191150802
0.87,-12.89273022088241
0.88,-13.866945326255948
0.89,-15.322003487244825
0.9,-13.210738253037245
0.91,-13.578718721380929
0.92,-13.079505322050984
0.93,-13.46180723258086
0.94,-14.337366804623404
0.95,-14.241222199522088
0.96,-13.581250312666139
0.97,-15.334387577224469
0.98,-13.634584890301692
0.99,-13.4244270731618
1.0,-13.944480826915246
1.01,-14.582490011392956
1.02,-19.547582958330917
1.03,-20.900788879675744
1.04,-22.81036761963059
1.05,-23.234519947415375
1.06,-23.68450307877971
1.07,-23.918549717885277
1.08,-14.94660081549841
1.09,-10.652723456557107
1.1,-11.838937360352267
1.11,-12.6119590442744
1.12,-12.210362151281304
1.13,-14.880188966396119
1.14,-12.615356615073857
1.15,-13.428157858374028
1.16,-14.205780667205676
1.17,-15.04193652423005
1.18,-13.180463249789469
1.19,-13.663931295254198
1.2,-14.36503330241518
1.21,-15.074951348366103
1.22,-17.36721012486326
1.23,-16.727712336768104
1.24,-12.18122027613774
1.25,-15.171714217983379
1.26,-19.216792994671078
1.27,-17.569216662949774
1.28,-20.106144711142896
1.29,-20.68014612914826
1.3,-21.8637696829223
1.31,-24.6565564416331
1.32,-24.318852725184605
1.33,-25.543057341686477
1.34,-27.74747844582005
1.35,-28.93044646555292
1.36,-28.617473140507737
1.37,-27.50512512762173
1.38,-26.435378108368724
1.39,-20.865575765347092
1.4,-15.662732149769507
1.41,-15.859610981513741
1.42,-12.916151806162464
1.43,-13.42069788971787
1.44,-14.296031591914595
1.45,-12.61762240082769
1.46,-14.012065327105091
1.47,-18.654099385368816
1.48,-12.169375634617275
1.49,-10.555673400668866
1.5,-10.933737735249384
1.51,-10.869573171199228
1.52,-11.454951321421003
1.53,-11.488713825082964
1.54,-15.331289899004021
1.55,-14.934757091641085
1.56,-15.629012968426618
1.57,-15.625808434305021
1.58,-13.83038959668308
1.59,-15.590636368568415
1.6,-13.105833472828792
1.61,-13.343984405653508
1.62,-13.843427560160944
1.63,-12.618755515386477
1.64,-14.242588227619276
1.65,-16.113426662229852
1.66,-19.907192136937507
1.67,-22.614763840428708
1.68,-22.77016355625918
1.69,-24.120654183631558
1.7,-27.312304764878657
1.71,-27.90410278826705
1.72,-29.97668774805081
1.73,-27.670212794985865
1.74,-17.39269633326152
1.75,-11.785237717050238
1.76,-15.838243468553221
1.77,-13.997443732709012
1.78,-14.184042155278549
1.79,-13.299750043964027
1.8,-15.126222373571029
1.81,-16.020726853451933
1.82,-18.051203313444663
1.83,-18.966117795281214
1.84,-21.02815459041814
1.85,-19.60311629833895
1.86,-18.74309259677783
1.87,-18.70418853388683
1.88,-18.59978410902434
1.89,-14.004086860863097
1.9,-12.621022188060632
1.91,-15.613002107417417
1.92,-11.914888008211937
1.93,-11.688999860071315
1.94,-13.028275044678857
1.95,-12.708741931858922
1.96,-13.801774780141692
1.97,-12.769639350542658
1.98,-14.388619312251372
1.99,-13.460558632041362
2.0,-14.355340000896376
2.01,-13.707495370599354
2.02,-13.278939643783465
2.03,-15.715985332475952
2.04,-14.390008721138292
2.05,-15.191501585744529
2.06,-13.438114460281653
2.07,-14.046723619036385
2.08,-14.260366170579886
2.09,-14.139377567875338
2.1,-15.544489736344255
2.11,-17.607369978976894
2.12,-16.255219336011688
2.13,-15.373202056142112
2.14,-15.970577235859135
2.15,-16.40462032109134
2.16,-16.551288202220245
2.17,-14.406698986587092
2.18,-12.786952271638485
2.19,-12.057118744152245
2.2,-13.62440064216081
2.21,-14.271324556689564
2.22,-13.440605395095993
2.23,-14.355340000896376
2.24,-13.54461426104184
2.25,-13.952404704282246
2.26,-15.156523781026577
2.27,-11.878390429169507
2.28,-12.703018870679305
2.29,-13.350145922289885
2.3,-13.898401728723961
2.31,-15.12924776184197
2.32,-15.357655444441857
2.33,-14.406698986587092
2.34,-14.048059395992201
2.35,-14.79533371867348
2.36,-14.465368776200782
2.37,-14.465368776200782
2.38,-14.893430775811405
2.39,-13.43686926070414
2.4,-12.36415664308705
2.41,-11.643303252220461
2.42,-13.818672139050175
2.43,-12.911462433859027
2.44,-13.67800165927924
2.45,-15.39657427305559
2.46,-15.161078123333873
2.47,-12.954936033792404
2.48,-13.081895495329157
2.49,-14.213946656185147
2.5,-13.194982082485613
2.51,-11.675773905504734
2.52,-14.704093021887306
2.53,-13.760320791178772
2.54,-14.198981536026354
2.55,-14.735846060247253
2.56,-14.280924498847254
2.57,-14.034710861571462
2.58,-15.552428581278663
2.59,-15.38565941164865
2.6,-14.462565972162889
2.61,-15.31581805729636
2.62,-16.232857393707786
2.63,-14.082861897567634
2.64,-14.886071722894654
2.65,-13.355078284511048
2.66,-16.691415210658135
2.67,-14.267213541559702
2.68,-14.390008721138292
2.69,-13.699791698575014
2.7,-12.71332309738604
2.71,-12.421569622069605
2.72,-11.539604931841453
2.73,-11.17794686084638
2.74,-13.446835859202222
2.75,-13.293624160616755
2.76,-13.214378354915512
2.77,-14.036044792256423
2.78,-15.40594079765635
2.79,-16.976767330813757
2.8,-15.377871470986975
2.81,-12.891560797839501
