seconds_elapsed,dBFS
0.0,-26.3248691159612
0.01,-26.08124764045718
0.02,-18.443277358785213
0.03,-17.979488421423046
0.04,-16.633653470688124
0.05,-14.66528136935403
0.06,-15.009046713496746
0.07,-14.146130183964535
0.08,-13.704926720680275
0.09,-14.931798682335213
0.1,-14.49625946056029
0.11,-14.076158270131337
0.12,-14.329084010316729
0.13,-14.780786923047511
0.14,-14.973308389237179
0.15,-14.575389635261383
0.16,-14.724286065677086
0.17,-15.156523781026577
0.18,-15.712748555975644
0.19,-15.64665907035307
0.2,-15.370090506892264
0.21,-15.423139036740833
0.22,-16.133784225388023
0.23,-17.804808191556734
0.24,-21.853919873167392
0.25,-20.697362962610978
0.26,-19.402856369877878
0.27,-18.720186756398412
0.28,-18.521178236455697
0.29,-18.070286198391905
0.3,-17.93757813679176
0.31,-18.523414274475012
0.32,-18.28083748850068
0.33,-21.172571738762382
0.34,-23.15411219558684
0.35,-16.969284332601145
0.36,-16.22770511102301
0.37,-14.200340936551559
0.38,-14.619505823944028
0.39,-13.882659287372409
0.4,-13.640956114557186
0.41,-13.923385759744733
0.42,-14.260366170579886
0.43,-14.334604995494232
0.44,-14.410876568858274
0.45,-13.98682528439628
0.46,-14.169128425552213
0.47,-14.510337080559347
0.48,-14.050731566337246
0.49,-13.936564171676578
0.5,-13.453070795682756
0.51,-14.116457861313362
0.52,-14.462565972162889
0.53,-14.144779240709918
0.54,-14.120498123253673
0.55,-14.517384455905846
0.56,-14.298781161306998
0.57,-14.463967261129074
0.58,-14.52020500785077
0.59,-14.480800385851154
0.6,-14.30565889516708
0.61,-14.311165006057053
0.62,-14.36503330241518
0.63,-14.534321522640209
0.64,-13.818672139050175
0.65,-13.865637111834008
0.66,-14.349805824450435
0.67,-14.040047813897933
0.68,-13.82387794660071
0.69,-14.528672163326865
0.7,-14.21122380674653
0.71,-13.642230920406407
0.72,-13.931290407314162
0.73,-13.577453202381378
0.74,-13.980195340071583
0.75,-14.486418684648633
0.76,-14.338748038567326
0.77,-14.28504201001138
0.78,-14.785148404252919
0.79,-14.31391937095664
0.8,-13.788799143372348
0.81,-14.181328662711003
0.82,-14.105693008331366
0.83,-14.640933076743089
0.84,-14.956977338187649
0.85,-15.511225597503495
0.86,-15.601812039160144
0.87,-15.354549458484188
0.88,-15.402817500377797
0.89,-15.844812491092128
0.9,-16.2466117744728
0.91,-14.630927113739657
0.92,-15.269567204467814
0.93,-16.948739266357716
0.94,-17.607369978976894
0.95,-18.18782371098807
0.96,-18.31788687947475
0.97,-18.935579138996424
0.98,-19.248338375145558
0.99,-22.277541785665438
1.0,-20.28507385865258
1.01,-20.26592084176714
