seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-90.30899869919435
0.11,-90.30899869919435
0.12,-90.30899869919435
0.13,-90.30899869919435
0.14,-84.28839878591472
0.15,-84.28839878591472
0.16,-90.30899869919435
0.17,-90.30899869919435
0.18,-84.28839878591472
0.19,-90.30899869919435
0.2,-90.30899869919435
0.21,-90.30899869919435
0.22,-84.28839878591472
0.23,-84.28839878591472
0.24,-84.28839878591472
0.25,-84.28839878591472
0.26,-90.30899869919435
0.27,-84.28839878591472
0.28,-84.28839878591472
0.29,-90.30899869919435
0.3,-84.28839878591472
0.31,-84.28839878591472
0.32,-90.30899869919435
0.33,-90.30899869919435
0.34,-84.28839878591472
0.35,-90.30899869919435
0.36,-90.30899869919435
0.37,-84.28839878591472
0.38,-84.28839878591472
0.39,-80.76657360480111
0.4,-90.30899869919435
0.41,-84.28839878591472
0.42,-84.28839878591472
0.43,-84.28839878591472
0.44,-84.28839878591472
0.45,-80.76657360480111
0.46,-90.30899869919435
0.47,-80.76657360480111
0.48,-84.28839878591472
0.49,-90.30899869919435
0.5,-90.30899869919435
0.51,-90.30899869919435
0.52,-84.28839878591472
0.53,-78.2677988726351
0.54,-69.48114499602985
0.55,-57.844012891236346
0.56,-53.16234877056899
0.57,-51.03324215228325
0.58,-45.39874534291136
0.59,-42.7410406802316
0.6,-37.51926891382263
0.61,-33.852565793132264
0.62,-31.147281728772654
0.63,-26.581174385284495
0.64,-27.542944735868726
0.65,-27.3184584241074
0.66,-26.689287083459746
0.67,-24.28405692647013
0.68,-23.40544636834028
0.69,-24.638451401960488
0.7,-26.474390831937228
0.71,-24.53507348738924
0.72,-24.606858107858116
0.73,-25.518004282384897
0.74,-25.483050956994493
0.75,-24.18049814818061
0.76,-22.795726419976646
0.77,-22.353673576665358
0.78,-22.44100479333232
0.79,-23.055580104681013
0.8,-22.270653688842863
0.81,-21.756031275455705
0.82,-21.824437285274758
0.83,-22.88394611669557
0.84,-22.11709831125804
0.85,-20.552096296965647
0.86,-20.490174592058622
0.87,-20.141098036533297
0.88,-19.358427169998716
0.89,-19.378145429631736
0.9,-19.19502080481633
0.91,-19.328933458678602
0.92,-19.457469173983764
0.93,-19.8288697880469
0.94,-21.381362454745513
0.95,-22.226013715000455
0.96,-23.4882260656439
0.97,-21.393801969421734
0.98,-21.175606110719208
0.99,-22.93954193038712
1.0,-22.13741619102101
1.01,-22.0195597066083
1.02,-21.64961288170624
1.03,-22.318985472902146
1.04,-21.001341670225994
1.05,-21.10608234935935
1.06,-20.515452865920384
1.07,-22.683086239117838
1.08,-22.01287310917411
1.09,-20.640105737223653
1.1,-23.636023568900335
1.11,-21.791795797637548
1.12,-21.697823308739203
1.13,-20.580389122105682
1.14,-22.17478952699856
1.15,-20.1303281781937
1.16,-20.677279971841912
1.17,-20.0233577419868
1.18,-20.18701950062555
1.19,-19.13482728853104
1.2,-20.900788879675744
1.21,-19.14202852396196
1.22,-19.265371922407642
1.23,-21.157415759279104
1.24,-19.789971874234105
1.25,-20.007425197675907
1.26,-20.708859840051343
1.27,-22.353673576665358
1.28,-19.545067132205272
1.29,-20.927292716731948
1.3,-21.484525214342106
1.31,-21.37825535772148
1.32,-20.28507385865258
1.33,-20.27686025081777
1.34,-20.315257046826282
1.35,-19.13962744871846
1.36,-18.663185044814476
1.37,-21.487670566409093
1.38,-19.294650229808703
1.39,-18.846923035914532
1.4,-20.04464669783558
1.41,-19.867942681817908
1.42,-19.800327630617957
1.43,-20.052643527896894
1.44,-19.489902520671702
1.45,-20.34278762340235
1.46,-18.608813101145138
1.47,-18.45658227275471
1.48,-19.8288697880469
1.49,-19.9571640849562
1.5,-17.684183094484172
1.51,-17.782191351693513
1.52,-19.44005509756035
1.53,-16.98987811011522
1.54,-16.675130859103074
1.55,-16.68779382655812
1.56,-17.31646096238377
1.57,-16.673323369836734
1.58,-17.365252741274567
1.59,-18.3266273980871
1.6,-19.766716466398254
1.61,-19.847081934143002
1.62,-20.3070148608799
1.63,-21.27633975005454
1.64,-21.239574024735642
1.65,-21.304016532807136
1.66,-25.543057341686477
1.67,-28.13093614584809
1.68,-33.16234877056899
1.69,-36.0391878373155
1.7,-38.82837334463998
1.71,-41.30401653280713
1.72,-43.66022950088225
1.73,-45.75126460692089
1.74,-47.574587356066225
1.75,-50.05225420509091
1.76,-51.82341297795672
1.77,-51.518613646821976
1.78,-56.32959861247397
1.79,-56.15759517723562
1.8,-61.36583807234997
1.81,-62.009531739778
1.82,-65.70002027162887
1.83,-66.22659904607586
1.84,-70.30899869919435
1.85,-70.30899869919435
1.86,-70.30899869919435
