seconds_elapsed,dBFS
0.0,-15.311181873765918
0.01,-14.618079218103905
0.02,-14.423421384766357
0.03,-14.833269799570486
0.04,-16.868889798735317
0.05,-16.2466117744728
0.06,-15.443508228955691
0.07,-16.24833260452064
0.08,-14.756113145264658
0.09,-15.376314720442782
0.1,-14.169128425552213
0.11,-17.761681567339703
0.12,-17.177452871272077
0.13,-19.11804758758567
0.14,-16.35395321583926
0.15,-17.985792442242698
0.16,-15.517551810192519
0.17,-12.110393504137743
0.18,-12.555527650105407
0.19,-11.870069614606154
0.2,-12.788107694272455
0.21,-14.359492948447672
0.22,-14.561206272152155
0.23,-12.972622640673393
0.24,-14.662413319257618
0.25,-14.547046031588412
0.26,-14.205780667205676
0.27,-15.373202056142112
0.28,-16.26900920140162
0.29,-14.283669289401955
0.3,-15.691738858264479
0.31,-16.76050994516941
0.32,-17.72284589771938
0.33,-16.35395321583926
0.34,-17.18703465893772
0.35,-17.139231073014017
0.36,-17.326197416309977
0.37,-20.233185038050735
0.38,-18.947312072886476
0.39,-17.45970829435193
0.4,-19.705004735132714
0.41,-16.841207135428256
0.42,-18.717899491174382
0.43,-17.72692569565163
0.44,-17.169795044337373
0.45,-19.40038210988733
0.46,-17.489437552027717
0.47,-17.02556459195574
0.48,-16.200277767489347
0.49,-17.463666321140888
0.5,-14.135328516614972
0.51,-14.682509585854602
0.52,-15.544489736344255
0.53,-15.202175022963404
0.54,-16.38536695582388
0.55,-13.568599728376189
0.56,-13.288726562720958
0.57,-13.43064593906651
0.58,-13.027087230709409
0.59,-12.47156209028268
0.6,-13.331674469298772
0.61,-14.660979649263762
0.62,-13.185300164650961
0.63,-13.503112066965633
0.64,-15.523882633824144
0.65,-17.55720298242036
0.66,-15.56355516848349
0.67,-15.47021714461038
0.68,-16.142280645549086
0.69,-15.833319959887769
0.7,-15.241934446364438
0.71,-14.912593543922515
0.72,-17.641649796854217
0.73,-17.674037211262966
0.74,-17.394659911802282
0.75,-18.738506593694495
0.76,-21.550817988404386
0.77,-18.03427587395693
0.78,-17.617438242116595
0.79,-18.95200968773222
0.8,-18.84460215690592
0.81,-18.586258194578495
0.82,-18.552535272815255
0.83,-17.406450714026533
0.84,-17.910444493364995
0.85,-17.495395633641053
0.86,-17.351563393069707
0.87,-16.076227934547376
0.88,-19.294650229808703
0.89,-17.53322535604639
0.9,-16.032470211583863
0.91,-24.508306471943996
0.92,-18.46102177688308
0.93,-17.93130899928535
0.94,-16.61388625702188
0.95,-16.742273764550756
0.96,-18.017381359244638
0.97,-17.84815001426672
0.98,-18.04485165711916
0.99,-17.086001554298626
1.0,-16.76781515135113
1.01,-19.65136431104641
1.02,-18.370462412334945
1.03,-18.239615504517584
1.04,-18.121379814180216
1.05,-17.833678696515737
1.06,-17.068961111396014
1.07,-19.04649949243347
1.08,-20.569060930557907
1.09,-17.1468619890665
1.1,-19.163668121796274
1.11,-17.714692046251713
1.12,-19.272682252174043
1.13,-16.135482844663617
1.14,-18.19858823044498
1.15,-16.34002793888778
1.16,-19.248338375145558
1.17,-16.21055287472632
1.18,-19.469929210029633
1.19,-18.706472190962707
1.2,-17.308679649757586
1.21,-16.67151625662142
1.22,-19.567735843562016
1.23,-16.19172445351597
1.24,-19.292206597878657
1.25,-15.186931267492245
1.26,-18.43220547756893
1.27,-15.343687245819543
1.28,-14.238490787663709
1.29,-14.267213541559702
1.3,-16.865193675429307
1.31,-20.04464669783558
1.32,-16.98987811011522
1.33,-15.123198038708278
1.34,-16.420404880052697
1.35,-16.742273764550756
1.36,-17.359383235720838
1.37,-18.656369909401626
1.38,-15.27110493831941
1.39,-21.10006302157995
1.4,-18.706472190962707
1.41,-16.68779382655812
1.42,-18.858536742201604
1.43,-17.293137906155742
1.44,-18.10857820591145
1.45,-18.679107853376372
1.46,-19.50491270235316
1.47,-19.818479966666843
1.48,-19.930827225366073
1.49,-16.12529610818945
1.5,-18.58400592187352
1.51,-17.929220291895685
1.52,-18.185672407041945
1.53,-18.45658227275471
1.54,-19.73323486369643
1.55,-17.806867191125004
1.56,-18.487706558664375
1.57,-20.205999132796236
1.58,-18.966117795281214
1.59,-18.017381359244638
1.6,-17.983690593560194
1.61,-17.173623113874022
1.62,-19.427637812188845
1.63,-18.46102177688308
1.64,-18.963764852116867
1.65,-17.57723502459751
1.66,-18.194280821659426
1.67,-16.583425137850334
1.68,-17.88755127632184
1.69,-17.70451048414571
1.7,-19.048874957958482
1.71,-16.184887861554948
1.72,-19.11804758758567
1.73,-20.211429510990037
1.74,-17.41825754362621
1.75,-17.332044531736486
1.76,-18.900475132014904
1.77,-18.006838950330476
1.78,-20.181604357284275
1.79,-17.773981625526496
1.8,-19.87577839695289
1.81,-19.707567322446792
1.82,-21.64961288170624
1.83,-18.239615504517584
1.84,-17.330095055880907
1.85,-17.870939481369746
1.86,-20.874365669593335
1.87,-19.365816272646008
1.88,-18.104315192506583
1.89,-18.545806371532517
1.9,-21.337963915162796
1.91,-17.676065440025965
1.92,-18.28083748850068
1.93,-18.8353248373184
1.94,-16.225988362398375
1.95,-19.067902106066782
1.96,-17.96899187677638
1.97,-15.255739836774914
1.98,-18.766059002643857
1.99,-21.8440812204582
2.0,-20.389790801560256
2.01,-19.608182434171148
2.02,-18.443277358785213
2.03,-17.03686453670395
2.04,-18.22663857535366
2.05,-19.214371165675026
2.06,-17.77193040585984
2.07,-21.37825535772148
2.08,-17.649735335849133
2.09,-14.930319855458729
2.1,-14.779333582520726
2.11,-16.025757777217294
2.12,-16.49621846487501
2.13,-19.378145429631736
2.14,-16.510396618829997
2.15,-16.610297046376562
2.16,-17.889629986308563
2.17,-17.497382569401303
2.18,-18.541323331619804
2.19,-17.447845024165296
2.2,-19.008580132288483
2.21,-17.183200675367164
2.22,-18.083031453265782
2.23,-15.759800282036181
2.24,-18.805241800641138
2.25,-23.078219273808777
2.26,-17.96479680804568
2.27,-18.860861348033243
2.28,-18.27431573399226
2.29,-17.353517693817754
2.3,-19.699881827500832
2.31,-19.70244290363263
2.32,-18.64048869106422
2.33,-16.190014800988443
2.34,-18.144898545107832
2.35,-18.32444144371843
2.36,-21.085032926744493
2.37,-17.943851802386327
2.38,-18.541323331619804
2.39,-19.385551332855506
2.4,-18.579503127766422
2.41,-20.11419838778671
2.42,-21.847359533249737
2.43,-21.052057982560882
2.44,-19.808102558457453
2.45,-20.0900597257349
2.46,-17.45970829435193
2.47,-18.747681022472527
2.48,-19.037004121563733
2.49,-15.963912443943364
2.5,-16.762335670796322
2.51,-21.304016532807136
2.52,-17.485467766932075
2.53,-18.051203313444663
2.54,-17.18511745561064
2.55,-17.252472647974265
2.56,-17.2660065911613
2.57,-16.049274027306705
2.58,-15.900850683132186
2.59,-17.190870335590056
2.6,-17.36721012486326
2.61,-17.912528690048795
2.62,-16.49976083427079
2.63,-17.351563393069707
2.64,-17.561205696610116
2.65,-17.759633250000167
2.66,-17.682152969515702
2.67,-17.449821110998545
2.68,-17.103075493779766
2.69,-16.894806794718416
2.7,-17.749398902594756
2.71,-16.565556607298365
2.72,-14.630927113739657
2.73,-18.69962302017432
2.74,-20.149184202800527
2.75,-17.72692569565163
2.76,-16.305312106750403
2.77,-17.21007416750747
2.78,-15.764682281024507
2.79,-16.126993068171025
2.8,-16.622865777761724
2.81,-18.884141687989878
2.82,-16.85780614392884
2.83,-17.833678696515737
2.84,-18.207209461562748
2.85,-17.217767604359494
2.86,-18.31788687947475
2.87,-16.84489306361345
2.88,-15.314272387813135
2.89,-13.09505321815358
2.9,-13.538313288956985
2.91,-14.64379404173538
2.92,-15.264955635663938
2.93,-15.807108277564977
2.94,-15.202175022963404
2.95,-17.388770507369575
2.96,-14.645224877689206
2.97,-16.38711549928989
2.98,-15.286497268482686
2.99,-16.64986017317019
3.0,-15.167154296815706
3.01,-15.147422254202107
3.02,-16.73135040577964
3.03,-15.938964921848871
3.04,-16.664291561143074
3.05,-16.212266574966282
3.06,-15.43253426711935
3.07,-15.065934853122464
3.08,-16.904081637711876
3.09,-14.750317722438771
3.1,-16.787936206156925
3.11,-14.980741756946367
3.12,-15.802202380999615
3.13,-15.629012968426618
3.14,-14.96439673697999
3.15,-15.952261349455846
3.16,-16.084668212772556
3.17,-16.775126506697024
3.18,-16.017374522403735
3.19,-16.918942017107497
3.2,-16.86149912427277
3.21,-14.682509585854602
3.22,-15.65629934841044
3.23,-15.3903355300055
3.24,-15.838243468553221
3.25,-18.826057416179903
3.26,-19.83667031810694
3.27,-15.635425585652598
3.28,-17.326197416309977
3.29,-21.31326175947889
3.3,-15.590636368568415
3.31,-17.567213228587747
3.32,-15.751669709844574
3.33,-18.638222314107317
3.34,-18.74309259677783
3.35,-17.135418127545382
3.36,-17.051954033898433
3.37,-17.757585415583495
3.38,-17.283438419231477
3.39,-17.357427614945255
3.4,-16.756859644784495
3.41,-16.474994533391126
3.42,-16.612091466306108
3.43,-17.551202367578547
3.44,-16.55663610775896
3.45,-18.049085578547405
3.46,-17.90003100496018
3.47,-19.001488644912882
3.48,-18.900475132014904
3.49,-19.865332346820633
3.5,-17.561205696610116
3.51,-20.033995697557888
3.52,-20.749219174176567
3.53,-17.164056101520032
3.54,-18.16204316382609
3.55,-19.390492112077503
3.56,-17.519268913822636
3.57,-17.097380450648366
3.58,-17.363295798687023
3.59,-16.88739404441737
3.6,-15.940625862601244
3.61,-17.798634119761605
3.62,-16.83568117428032
3.63,-16.17464305245918
3.64,-12.715614586553286
3.65,-13.897088768304553
3.66,-13.155113543463363
3.67,-15.523882633824144
3.68,-17.441919459657097
3.69,-15.820204231252863
3.7,-15.288038002790596
3.71,-16.88739404441737
3.72,-17.39269633326152
3.73,-17.37700366478689
3.74,-17.200466944275984
3.75,-16.483831536532133
3.76,-17.32424925220221
3.77,-17.519268913822636
3.78,-16.39411319524789
3.79,-17.651757897189757
3.8,-16.709544813645987
3.81,-17.112575538080257
3.82,-18.41893782279257
3.83,-19.11804758758567
3.84,-19.430119849536226
3.85,-18.581754233037042
3.86,-17.061398298869406
3.87,-18.541323331619804
3.88,-17.240888885904333
3.89,-18.053321564799646
3.9,-16.293194271707417
3.91,-17.40841740477151
3.92,-17.657828408540922
3.93,-15.168674004568345
3.94,-16.466166511858685
3.95,-17.897949804605652
3.96,-16.720440766951977
3.97,-17.86679149196997
3.98,-15.214389318719286
3.99,-16.666097171717723
4.0,-17.264071879127894
4.01,-17.649735335849133
4.02,-18.28518804688769
4.03,-16.94687394053973
4.04,-18.937924458205504
4.05,-16.505077098624085
4.06,-18.877151031968214
4.07,-19.679420358349255
4.08,-15.440371396260685
4.09,-18.144898545107832
4.1,-16.411632139545237
4.11,-16.15248733254973
4.12,-18.28083748850068
4.13,-16.012348450527703
4.14,-16.338288847954335
4.15,-17.657828408540922
4.16,-16.482063416497923
