seconds_elapsed,dBFS
0.0,-24.310140698739016
0.01,-21.873630675055878
0.02,-21.4124947089994
0.03,-19.628476578071655
0.04,-23.69666535330559
0.05,-27.087630989770865
0.06,-35.95558863914911
0.07,-33.60787666479203
0.08,-24.94212042017306
0.09,-18.372659980882545
0.1,-15.232743027900316
0.11,-15.218974111456017
0.12,-15.87938160379337
0.13,-17.250540947835518
0.14,-18.631426729221836
0.15,-19.746097134132228
0.16,-20.807202631414224
0.17,-22.036298755223243
0.18,-30.948684419321516
0.19,-31.478770046506295
0.2,-31.08057681786539
0.21,-33.826482020863374
0.22,-34.559789208826054
0.23,-38.898139901556405
0.24,-39.15885466108119
0.25,-37.68012331893091
0.26,-37.65985285549987
0.27,-38.289540785459394
0.28,-33.49433400695822
0.29,-32.865873244228496
0.3,-28.52503136309138
0.31,-29.255119860694997
0.32,-29.186153458013308
0.33,-29.608413055146997
0.34,-30.967404016304414
0.35,-34.13128135199811
0.36,-35.13076085123488
0.37,-37.7616815673397
0.38,-38.03216226167297
0.39,-39.70500473513271
0.4,-41.36583807234997
0.41,-41.490817057890006
0.42,-40.260456299505705
0.43,-40.509829110697666
0.44,-40.88316447801559
0.45,-39.628476578071655
0.46,-39.47741382026274
0.47,-43.421153225492134
0.48,-43.66022950088225
0.49,-43.82334959324051
0.5,-42.88764145375963
0.51,-46.17248117855736
0.52,-45.59842976104338
0.53,-43.57980402222377
0.54,-43.3040383325111
0.55,-41.522344822589105
0.56,-44.64297412512336
0.57,-44.24507755078458
0.58,-43.782281480619325
0.59,-41.9098837293992
0.6,-38.944964217854455
0.61,-32.78464188736151
0.62,-30.27432444301435
0.63,-33.99744373270901
0.64,-37.400553312212516
0.65,-36.904081637711876
0.66,-40.28781345483932
0.67,-42.52567701190371
0.68,-42.96188027867397
0.69,-42.850758639792225
0.7,-42.88764145375963
0.71,-44.073921478079264
0.72,-32.796199959110986
0.73,-38.24611124679071
0.74,-35.98893182649837
0.75,-33.38225645659825
0.76,-32.796199959110986
0.77,-37.927132086659505
0.78,-41.74630281861858
0.79,-41.522344822589105
0.8,-40.82467341766925
0.81,-40.79557493270576
0.82,-18.663185044814476
0.83,-21.221249356255253
0.84,-32.02213555680554
0.85,-33.65882044506963
0.86,-42.41996508267003
0.87,-43.66022950088225
0.88,-44.20197131026188
0.89,-45.54807663661845
0.9,-37.70044119869388
0.91,-42.043003417569324
0.92,-36.08973631928884
0.93,-33.38225645659825
0.94,-31.690018075843895
0.95,-26.660705650503278
0.96,-27.117654834521954
0.97,-25.543057341686477
0.98,-23.852213245467937
0.99,-26.915510018018217
1.0,-29.721323145490164
1.01,-30.95803917481711
1.02,-32.81936234520502
1.03,-34.14477924070991
1.04,-26.775600045831368
1.05,-19.0251494866704
1.06,-26.374424246728623
1.07,-33.64605646093865
1.08,-36.277638998075815
1.09,-36.666097171717716
1.1,-24.336303036705647
1.11,-19.48490488552919
1.12,-19.412760464038833
1.13,-23.304038332511098
1.14,-30.326387873446933
1.15,-31.301701611671895
1.16,-32.54540882082786
1.17,-33.01877707802652
1.18,-38.267798872635105
1.19,-41.06103874121523
1.2,-41.21210149902416
1.21,-41.942972872799444
1.22,-41.876920161797734
1.23,-42.59687322722811
1.24,-45.39874534291136
1.25,-39.06314141006486
1.26,-39.9387199016366
1.27,-37.823356782480985
1.28,-41.30401653280713
1.29,-39.01567741415257
1.3,-39.834069362963064
1.31,-38.75916270244985
1.32,-39.15885466108119
1.33,-37.70044119869388
1.34,-36.793431865712655
1.35,-36.29492435629397
1.36,-37.7616815673397
1.37,-32.936109931297835
1.38,-23.725110397425336
1.39,-34.117804406489
1.4,-24.24075728725952
1.41,-20.157277903934144
1.42,-33.46930260739208
1.43,-31.548616749670153
1.44,-34.21258512477111
1.45,-36.73863111839208
1.46,-38.851566655184754
1.47,-44.33193717100022
1.48,-33.67160321358432
1.49,-34.93623667424207
1.5,-42.52567701190371
1.51,-43.57980402222377
1.52,-34.545631276371005
1.53,-27.48627689677957
1.54,-28.18518075392605
1.55,-31.291969521423425
1.56,-37.302848236555626
1.57,-37.63962958760262
1.58,-36.243171136821125
1.59,-35.565145845099615
1.6,-37.016159188071846
1.61,-35.145906259846555
