seconds_elapsed,dBFS
0.0,-24.477182186034334
0.01,-30.582523158179047
0.02,-26.69501467327366
0.03,-33.93129040731416
0.04,-30.29164426856982
0.05,-34.80407350438963
0.06,-34.76046225140812
0.07,-11.706325782372005
0.08,-6.600422274781009
0.09,-5.878105958650446
0.1,-7.349910080577945
0.11,-7.7171341318356905
0.12,-9.46930866945863
0.13,-9.643741181504776
0.14,-9.447257255867775
0.15,-10.958975204737529
0.16,-9.085983080623382
0.17,-12.144661637406507
0.18,-16.764161780261276
0.19,-22.50796877001461
0.2,-25.65924137213463
0.21,-27.306155462223188
0.22,-30.213975587374332
0.23,-29.301403573965196
0.24,-32.7270811091929
0.25,-33.77454829581452
0.26,-35.54925217252573
0.27,-36.505077098624085
0.28,-40.708859840051346
0.29,-37.559204108944144
0.3,-15.675612062621632
0.31,-7.964235856397961
0.32,-8.47425303936114
0.33,-10.533361830121553
0.34,-9.854659098173757
0.35,-9.485884046600123
0.36,-9.45827596475149
0.37,-8.691420492358017
0.38,-7.986145622118483
0.39,-10.038772029876359
0.4,-16.551288202220245
0.41,-24.575379312095755
0.42,-30.457928342551646
0.43,-33.15029340480577
0.44,-33.18650981434835
0.45,-33.13825474780157
0.46,-32.50057832317607
0.47,-35.69335318586658
0.48,-38.37705678666515
0.49,-39.231338166316874
0.5,-39.086971026213234
0.51,-42.455059634001046
0.52,-40.708859840051346
0.53,-19.28243893911744
0.54,-13.984172699358696
0.55,-11.835830263328234
0.56,-10.62475536396568
0.57,-11.640265342668748
0.58,-11.126262075786874
0.59,-12.23309584437365
0.6,-9.07693370702685
0.61,-7.954957475008058
0.62,-7.420005481816369
0.63,-6.980396422328704
0.64,-14.419237766010966
0.65,-24.31449561968162
0.66,-33.36989219879788
0.67,-27.480003231185005
0.68,-32.796199959110986
0.69,-28.532107444654272
0.7,-29.43389615982077
0.71,-32.37847434940325
0.72,-33.198615585838354
0.73,-37.63962958760262
0.74,-38.944964217854455
0.75,-41.77877347190285
0.76,-36.29492435629397
0.77,-22.24315579602927
0.78,-20.425906818825503
0.79,-18.1556099654295
0.8,-14.656680058562287
0.81,-13.027087230709409
0.82,-12.092243399340688
0.83,-10.433222422820252
0.84,-10.733523012591908
0.85,-11.72982188157776
0.86,-14.337366804623404
0.87,-20.219581449305977
0.88,-32.345469029240824
0.89,-36.48736885673499
0.9,-35.872786394943425
0.91,-40.37040573773005
0.92,-38.992042325724
0.93,-41.12114894400974
0.94,-43.26534833696711
0.95,-47.02194158350561
0.96,-43.82334959324051
0.97,-42.96188027867397
0.98,-40.151881265277744
0.99,-40.07133147961686
1.0,-26.45207639541752
1.01,-17.244748423687483
1.02,-16.243171136821132
1.03,-15.018004317905014
1.04,-14.660979649263762
1.05,-14.290535062929992
1.06,-13.027087230709409
1.07,-12.665340946588959
1.08,-12.924364304574834
1.09,-13.351378750286854
1.1,-13.90759801294784
1.11,-15.998959793328677
1.12,-15.487543251727928
1.13,-14.500480351372143
1.14,-16.0023050233481
1.15,-17.661877774412893
1.16,-15.451355270448898
1.17,-16.099881412485864
1.18,-17.33399444523397
1.19,-18.756865151943643
1.2,-17.215843606203865
1.21,-16.540602259140144
1.22,-17.75553806386204
1.23,-18.36606894252045
1.24,-18.429992793914607
1.25,-18.82374210505382
1.26,-20.13301939111626
1.27,-21.209054353005158
1.28,-21.478237925151138
1.29,-21.54764969012448
1.3,-23.523946018540368
1.31,-26.620848990947955
1.32,-37.034980191401395
1.33,-41.2426318982536
1.34,-44.073921478079264
1.35,-45.10757093949286
1.36,-45.34953337195822
1.37,-43.15030175918528
1.38,-46.012121738240396
1.39,-48.164799306236986
1.4,-45.39874534291136
1.41,-43.1122890523966
1.42,-40.623001912258644
1.43,-33.174420891536705
1.44,-9.188443537467117
1.45,-4.1385641200080165
1.46,-3.9904310469906203
1.47,-3.9925295441712425
1.48,-4.012700954979939
1.49,-3.9971480233625334
1.5,-4.051916874028564
1.51,-4.0561442015262585
1.52,-4.048958968453216
1.53,-4.0287032772724345
1.54,-3.9845579506580457
1.55,-4.061642804874889
1.56,-4.198532034969248
1.57,-4.505189019788275
1.58,-5.549080843757329
1.59,-11.072037518827871
1.6,-19.15404386636499
1.61,-18.523414274475012
1.62,-19.168484251466694
1.63,-21.3101789237276
1.64,-26.275595106262728
1.65,-24.733926680137778
1.66,-32.81936234520502
1.67,-30.457928342551646
1.68,-30.12848385745615
1.69,-29.410367776211153
1.7,-30.043825393524028
1.71,-36.20883951252764
1.72,-15.402817500377797
1.73,-7.696534665542453
1.74,-6.259777286606365
1.75,-6.4420535714651255
1.76,-6.150928091473325
1.77,-6.486128900096388
1.78,-10.036246450123727
1.79,-22.657852261018636
1.8,-28.349977279311354
1.81,-32.0539326257679
1.82,-29.31688644729489
1.83,-25.9382885948638
1.84,-28.85664916828962
1.85,-28.77618982578752
1.86,-37.63962958760262
1.87,-13.248426404934563
1.88,-5.897423606537774
1.89,-5.098031246454769
1.9,-5.463637802640604
1.91,-6.478860606711319
1.92,-6.149851839735617
1.93,-5.4333603773184596
1.94,-6.354017346742108
1.95,-5.0946948276431225
1.96,-4.962278199921522
1.97,-6.795863753561088
1.98,-8.122828594259378
1.99,-16.366156173685166
2.0,-23.17700998469494
2.01,-25.413563469288455
2.02,-31.109101932626032
2.03,-29.835720335238488
2.04,-30.154043139179556
2.05,-27.392644409357803
2.06,-27.43621399370349
2.07,-27.599984712284076
2.08,-29.632484820128152
2.09,-25.638923492371667
2.1,-10.76825199470073
2.11,-7.038615447796792
2.12,-7.973524159676363
2.13,-9.671946071281779
2.14,-9.782419924747375
2.15,-10.253586137170485
2.16,-11.88463627529535
2.17,-9.013102475286694
2.18,-6.087656314853719
2.19,-7.68689545731973
2.2,-10.179677854209723
2.21,-9.952477938585861
2.22,-18.21799804776913
2.23,-26.313895154124864
2.24,-30.001803591010074
2.25,-31.11863115973439
2.26,-35.42313903674083
2.27,-33.407037898909216
2.28,-31.49866900054301
2.29,-27.74747844582005
2.3,-23.93104440664462
2.31,-20.789766915345883
2.32,-21.175606110719208
2.33,-19.469929210029633
2.34,-14.767715604345767
2.35,-12.23309584437365
2.36,-10.71712078221575
2.37,-10.688944900366362
2.38,-12.497225345084612
2.39,-13.157524616244443
2.4,-14.420632081711538
2.41,-14.15829813781729
2.42,-18.390260573810885
2.43,-21.31326175947889
2.44,-20.67441475999404
2.45,-21.187754210095328
2.46,-17.237031062328562
2.47,-16.04422946828112
2.48,-14.082861897567634
2.49,-14.077498581782491
2.5,-13.540833129310624
2.51,-13.865637111834008
2.52,-14.465368776200782
2.53,-17.70247560311542
2.54,-21.91979724347295
2.55,-26.660705650503278
2.56,-31.844118326588827
2.57,-38.01105437853166
2.58,-41.876920161797734
2.59,-42.96188027867397
2.6,-40.34278762340235
2.61,-40.680146129148255
2.62,-39.086971026213234
2.63,-41.58574575837924
2.64,-40.76657360480111
2.65,-38.42114769168582
2.66,-37.68012331893091
2.67,-33.11422737525142
2.68,-33.60787666479203
2.69,-31.864873150414027
2.7,-32.842586662886376
2.71,-29.640523589455363
2.72,-29.02732997992244
2.73,-28.945281464271126
2.74,-26.909635219256508
2.75,-29.11016093795526
2.76,-26.150928091473325
2.77,-26.723709412413854
2.78,-27.766902731898206
2.79,-26.592491506935115
2.8,-22.94326100115174
2.81,-22.965608928500743
2.82,-23.704783007763798
2.83,-20.786864362390528
2.84,-13.926019843051673
2.85,-10.05731542091134
2.86,-8.822179851892813
2.87,-9.775882421653494
2.88,-13.002180586702679
2.89,-18.819113333487806
2.9,-20.252265926774292
2.91,-22.21574468171991
2.92,-20.031334986972503
2.93,-18.879480625555484
2.94,-24.59785251903888
2.95,-24.340671097968464
2.96,-24.46830997929963
2.97,-23.378027528224877
2.98,-28.391669629623504
2.99,-26.204911420231465
3.0,-27.676625412211845
3.01,-20.312508782402766
3.02,-22.843400833644438
3.03,-24.159077940930096
3.04,-25.59842976104338
3.05,-20.02601600968561
3.06,-15.421574152557145
3.07,-20.6286994458431
3.08,-23.331224237765596
3.09,-24.120654183631558
3.1,-24.078159531170456
3.11,-21.415614080423868
3.12,-17.759633250000167
3.13,-19.891471065427517
3.14,-21.979517117189943
3.15,-22.350198525753605
3.16,-24.588856257604867
3.17,-17.846081206435564
3.18,-11.889844580085374
3.19,-7.296939663334165
3.2,-7.209569868304934
3.21,-5.640445685845449
3.22,-4.887973469347417
3.23,-4.725245130551406
3.24,-4.466093342911931
3.25,-4.270610938477249
3.26,-4.224359855480887
3.27,-4.364734779401529
3.28,-4.2667111600703365
3.29,-4.200681422433648
3.3,-4.150097182275747
3.31,-4.1458238920006005
3.32,-4.216172733300962
3.33,-4.259349685748443
3.34,-4.281886810371879
3.35,-4.261081236143027
3.36,-4.155655604543009
3.37,-4.098106126455252
3.38,-4.199391726130247
3.39,-4.366925696209227
3.4,-4.397656699944777
3.41,-4.550278158300311
3.42,-4.467866606764987
3.43,-4.6434265269900825
3.44,-4.666983953477405
3.45,-4.711555063141236
3.46,-4.625800291220733
3.47,-4.85824315168961
3.48,-5.076605168235648
3.49,-4.972139725182673
3.5,-5.080410388005426
3.51,-5.640445685845449
3.52,-5.686235978599976
3.53,-5.487038511127683
3.54,-5.149670509030811
3.55,-5.169835647975721
3.56,-5.570699426644245
3.57,-5.563654909114501
3.58,-5.449230455298462
3.59,-5.449726862764695
3.6,-5.27574769939847
3.61,-5.401213275770149
3.62,-5.43088329484393
3.63,-5.363284641926787
3.64,-5.407139177168732
3.65,-5.4740856477814805
3.66,-5.898991786899761
3.67,-6.663559565310639
3.68,-6.991060499344213
3.69,-6.229856865569476
3.7,-6.296365602992289
3.71,-7.471854234427009
3.72,-10.400682728346055
3.73,-8.95419464066955
3.74,-10.503109776625584
3.75,-12.55440275343375
3.76,-11.222218527145156
3.77,-19.580355182754086
3.78,-20.334519284236265
3.79,-19.45000172291078
3.8,-25.880713942347583
3.81,-22.71926242484888
3.82,-23.13888046938965
3.83,-23.199968296664007
3.84,-27.111641757343023
3.85,-27.80588210758375
3.86,-29.737573645343605
3.87,-30.094521391358896
3.88,-26.507970344010236
3.89,-16.497989468987186
3.9,-12.54653255323619
3.91,-10.839975818695663
3.92,-11.261869152718543
3.93,-11.174107793540538
3.94,-12.85072986678645
3.95,-9.437823760899702
3.96,-5.546068570573657
3.97,-5.000848768572577
3.98,-6.459879928954853
3.99,-9.400191902898875
4.0,-10.947749497665374
4.01,-12.17152800475295
4.02,-9.987562364513881
4.03,-9.91006506561751
4.04,-8.21038391763955
4.05,-6.2005803856675
4.06,-6.939638322104673
4.07,-7.253450403249455
4.08,-11.31144461845686
4.09,-10.121680732269464
4.1,-8.87135855307185
4.11,-11.27156755662707
4.12,-11.472809239017593
4.13,-12.38178178980803
4.14,-12.175834345762361
4.15,-12.40165292372712
4.16,-12.048625024235154
4.17,-13.043731426184738
4.18,-12.57016457952605
4.19,-13.061599956736709
4.2,-13.646056460938656
4.21,-14.31943072243474
4.22,-15.648265040522766
4.23,-18.570504536297953
4.24,-25.003206181977756
4.25,-25.443275777525432
4.26,-31.449006831873547
