seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-72.24719895935547
0.08,-61.68172341601461
0.09,-56.86704154048
0.1,-55.66112350273499
0.11,-52.57918419574472
0.12,-51.32119856629609
0.13,-49.96833191321875
0.14,-51.128170852772485
0.15,-51.22414851040786
0.16,-51.518613646821976
0.17,-49.40253912346121
0.18,-50.136995263955995
0.19,-49.64052358945536
0.2,-49.32463824579072
0.21,-49.247429829525956
0.22,-48.72537377824186
0.23,-48.44056499594966
0.24,-44.33193717100022
0.25,-49.17090167246491
0.26,-49.72132314549016
0.27,-51.22414851040786
0.28,-49.64052358945536
0.29,-49.64052358945536
0.3,-50.39629480724336
0.31,-48.653291292865354
0.32,-48.581802085699394
0.33,-51.619029674323
0.34,-51.22414851040786
0.35,-51.41934525619099
0.36,-50.39629480724336
0.37,-53.65882044506962
0.38,-51.22414851040786
0.39,-50.84644162720038
0.4,-51.22414851040786
0.41,-49.247429829525956
0.42,-49.01983891465598
0.43,-52.69272685357852
0.44,-51.32119856629609
0.45,-49.96833191321875
0.46,-53.40703789890922
0.47,-49.80288139389895
0.48,-53.16234877056899
0.49,-49.40253912346121
0.5,-51.32119856629609
0.51,-51.82341297795672
0.52,-48.510896470406394
0.53,-51.7206201849085
0.54,-49.481144996029855
0.55,-50.30899869919435
0.56,-54.60240199897902
0.57,-50.754526593417395
0.58,-53.918119988356985
0.59,-49.80288139389895
0.6,-50.39629480724336
0.61,-54.18539921951661
0.62,-48.164799306236986
0.63,-50.663574038402984
0.64,-51.22414851040786
0.65,-51.128170852772485
0.66,-54.60240199897902
0.67,-50.754526593417395
0.68,-51.619029674323
0.69,-51.41934525619099
0.7,-51.92743685167287
0.71,-53.65882044506962
0.72,-51.82341297795672
0.73,-52.69272685357852
0.74,-52.57918419574472
0.75,-51.32119856629609
0.76,-55.823481307178575
0.77,-52.35645687338553
0.78,-55.66112350273499
0.79,-53.40703789890922
0.8,-51.41934525619099
0.81,-50.754526593417395
0.82,-42.3501985257536
0.83,-37.59932376289611
0.84,-34.83326979957049
0.85,-38.13847802765047
0.86,-42.14419939295736
0.87,-43.539868827102254
0.88,-43.61992367617574
0.89,-45.95931981491623
0.9,-48.72537377824186
0.91,-49.80288139389895
0.92,-48.164799306236986
0.93,-48.37079843903322
0.94,-47.89752007507736
0.95,-48.945281464271126
0.96,-50.663574038402984
0.97,-47.89752007507736
0.98,-45.54807663661845
0.99,-47.574587356066225
1.0,-48.37079843903322
1.01,-47.63822053179
1.02,-47.96357278607907
1.03,-47.263231811533224
1.04,-49.885212717795596
1.05,-47.263231811533224
1.06,-49.32463824579072
1.07,-48.798059471343734
1.08,-48.87135855307185
1.09,-48.37079843903322
1.1,-42.49029655712677
1.11,-43.57980402222377
1.12,-42.455059634001046
1.13,-37.09168913911697
1.14,-40.88316447801559
1.15,-44.073921478079264
1.16,-44.68833135423981
1.17,-43.50011640239199
1.18,-43.82334959324051
1.19,-41.84408122045819
1.2,-40.07133147961686
1.21,-41.522344822589105
1.22,-41.12114894400974
1.23,-40.94205209095121
1.24,-42.96188027867397
1.25,-44.24507755078458
1.26,-46.84527333094888
1.27,-47.08163865449485
1.28,-49.40253912346121
1.29,-47.02194158350561
1.3,-46.44650673210513
1.31,-44.28839878591474
1.32,-46.39100565100968
1.33,-46.84527333094888
1.34,-49.80288139389895
1.35,-52.467106645384746
1.36,-51.22414851040786
1.37,-49.481144996029855
1.38,-48.510896470406394
1.39,-46.50236473578853
1.4,-40.9125583796311
1.41,-37.09168913911697
1.42,-34.81865938462336
1.43,-31.147281728772654
1.44,-33.55722993448413
1.45,-32.44486363799739
1.46,-29.186153458013308
1.47,-29.82749895304583
1.48,-28.989939092916963
1.49,-35.533387529506975
1.5,-35.597020705230754
1.51,-36.31224418184944
1.52,-38.48770655866437
1.53,-39.402856369877874
1.54,-39.1108661984721
1.55,-38.44327735878521
1.56,-35.629012968426615
1.57,-34.03737892783052
1.58,-36.43445972072142
1.59,-41.00134167022599
1.6,-35.82348130717857
1.61,-34.503295418529525
1.62,-35.54925217252573
1.63,-32.65850794009675
1.64,-34.83326979957049
1.65,-36.904081637711876
1.66,-36.45206031364975
1.67,-37.96899187677637
1.68,-40.73766878731749
1.69,-40.53798436918547
1.7,-37.2640718791279
1.71,-38.71332676685816
1.72,-37.24474842368748
1.73,-30.555673400668866
1.74,-25.906836938393255
1.75,-24.64297412512336
1.76,-21.814631952563012
1.77,-21.362736522722994
1.78,-22.557643110850588
1.79,-22.37455312911889
1.8,-21.743062419536766
1.81,-21.765770640675047
1.82,-23.519969873065545
1.83,-25.369184714363364
1.84,-28.475659547280667
1.85,-32.601774298564116
1.86,-34.60240199897902
1.87,-32.48940675940057
1.88,-29.17852421761235
1.89,-30.40507286725077
1.9,-30.40507286725077
1.91,-29.993423571413533
1.92,-30.352537084279845
1.93,-32.66989927240235
1.94,-34.53149638368602
1.95,-32.80777343136036
1.96,-35.517551810192515
1.97,-37.823356782480985
1.98,-40.151881265277744
1.99,-44.59785251903888
2.0,-43.03675910135147
2.01,-44.68833135423981
2.02,-45.802813064677096
2.03,-46.44650673210513
2.04,-48.03013165305762
2.05,-50.39629480724336
2.06,-52.92436430457484
2.07,-51.518613646821976
2.08,-49.56046874038188
2.09,-50.136995263955995
2.1,-52.03272165152002
2.11,-53.16234877056899
2.12,-55.823481307178575
2.13,-52.24719895935549
2.14,-52.467106645384746
2.15,-52.69272685357852
2.16,-53.787502645177824
2.17,-51.7206201849085
2.18,-52.807773431360346
2.19,-52.92436430457484
2.2,-54.05073156633725
2.21,-53.53201688444925
2.22,-50.84644162720038
2.23,-52.24719895935549
2.24,-52.807773431360346
2.25,-53.04254149678523
2.26,-51.82341297795672
2.27,-52.467106645384746
2.28,-52.807773431360346
2.29,-51.82341297795672
2.3,-51.619029674323
2.31,-53.40703789890922
2.32,-56.32959861247397
2.33,-53.16234877056899
