seconds_elapsed,dBFS
0.0,-22.232866488245904
0.01,-22.154384138667645
0.02,-25.184268035075895
0.03,-19.07504804611449
0.04,-14.494852952640763
0.05,-13.493080722252483
0.06,-13.049683519639109
0.07,-12.286373672086919
0.08,-11.188513053580815
0.09,-12.778868613876739
0.1,-14.931798682335213
0.11,-19.59552263067935
0.12,-18.121379814180216
0.13,-15.443508228955691
0.14,-13.205887155654478
0.15,-12.9690824369814
0.16,-10.16685103971321
0.17,-9.874465410918809
0.18,-13.493080722252483
0.19,-13.893151077430282
0.2,-15.519134083562058
0.21,-19.839272052329797
0.22,-21.801575370415534
0.23,-23.074441978842497
0.24,-23.81923403304123
0.25,-26.2429003764247
0.26,-25.513002330252384
0.27,-28.989939092916963
0.28,-30.52000234586052
0.29,-33.12623275330374
0.3,-35.07044193078378
0.31,-34.847904831909105
0.32,-35.72570290533895
0.33,-36.8301587265126
0.34,-43.90607297697328
0.35,-45.64907649135128
0.36,-46.67212694029891
0.37,-46.96265200423083
0.38,-48.72537377824186
0.39,-44.55296410058984
0.4,-43.421153225492134
0.41,-41.81136596657302
0.42,-39.730664693641266
0.43,-39.231338166316874
0.44,-40.708859840051346
0.45,-39.70500473513271
0.46,-39.834069362963064
0.47,-40.20599913279624
0.48,-39.25563437695049
0.49,-39.552616797728874
0.5,-39.75640068176758
0.51,-39.20710972762797
0.52,-39.1108661984721
0.53,-36.81177588443812
0.54,-40.37040573773005
0.55,-45.34953337195822
0.56,-44.33193717100022
0.57,-45.75126460692089
0.58,-14.728619260896947
0.59,-9.397063261842781
0.6,-5.034857407045729
0.61,-2.922454685285658
0.62,-7.910690494034537
0.63,-13.719063704790708
0.64,-12.815884047232336
0.65,-14.06276651657188
0.66,-15.029962178527875
0.67,-13.221663138376966
0.68,-12.476019821783176
0.69,-16.52104544276871
0.7,-18.237451336165023
0.71,-17.977388097476638
0.72,-11.377988487797255
0.73,-5.68674611806731
0.74,-10.998379826737146
0.75,-13.543353700900589
0.76,-12.250456778849099
0.77,-13.793987072233802
0.78,-11.7155123402226
0.79,-19.236191974567273
0.8,-19.044124676386396
0.81,-16.722258088778478
0.82,-15.038941389842417
0.83,-14.761912437510183
0.84,-17.561205696610116
0.85,-21.66565331034259
0.86,-24.90940516628788
0.87,-26.264683183171726
0.88,-26.46322644783195
0.89,-27.555587954459252
0.9,-17.714692046251713
0.91,-5.746640216457454
0.92,-6.8809060025917725
0.93,-8.746390083143073
0.94,-8.375663899686716
0.95,-9.82010635656737
0.96,-10.05478444435862
0.97,-9.130613484816664
0.98,-8.765275617476423
0.99,-12.621022188060632
1.0,-14.430398563740665
1.01,-13.777137620513395
1.02,-12.790419000735817
1.03,-17.627518189444988
1.04,-22.543421430001573
1.05,-26.335856960105907
1.06,-28.08374842601305
1.07,-29.347935236882176
1.08,-26.113338402224056
1.09,-15.948935333854006
1.1,-9.610015765666915
1.11,-12.66761981047139
1.12,-13.451823450288485
1.13,-13.899714887640675
1.14,-13.211951450837677
1.15,-12.02636844657648
1.16,-11.4460361120231
1.17,-11.498669000543014
1.18,-21.267133718839727
1.19,-23.79868543193139
1.2,-23.81923403304123
1.21,-27.62545654765903
1.22,-29.528652259246115
1.23,-31.262838505951855
1.24,-18.41010396529269
1.25,-6.958516850790169
1.26,-11.660538171659582
1.27,-11.77494881554146
1.28,-15.251135601502481
1.29,-13.859098993619341
1.3,-12.695012914820325
1.31,-11.38290159932486
1.32,-10.631964319364924
1.33,-11.985185499583606
1.34,-15.288038002790596
1.35,-15.144390530039367
1.36,-14.738738464415862
1.37,-17.989997666066337
1.38,-21.4187345725135
1.39,-25.488035685761467
1.4,-27.184074891247466
1.41,-30.930005079567504
1.42,-32.32353495284228
1.43,-35.23733752133622
1.44,-37.2640718791279
1.45,-39.99152182496077
1.46,-39.27999873973685
1.47,-45.59842976104338
1.48,-44.87216656846438
1.49,-45.802813064677096
1.5,-50.136995263955995
1.51,-51.619029674323
1.52,-54.05073156633725
1.53,-55.19150158574453
1.54,-56.32959861247397
1.55,-58.053321564799646
1.56,-56.505077098624085
1.57,-54.18539921951661
1.58,-55.50174490930948
1.59,-57.63962958760263
1.6,-50.84644162720038
1.61,-48.72537377824186
1.62,-48.164799306236986
1.63,-43.57980402222377
1.64,-44.37569489396373
1.65,-49.64052358945536
1.66,-55.823481307178575
1.67,-67.3864379856296
1.68,-69.48114499602985
1.69,-71.22414851040786
1.7,-78.2677988726351
1.71,-90.30899869919435
1.72,-90.30899869919435
1.73,-100
1.74,-100
1.75,-100
1.76,-100
1.77,-100
1.78,-100
1.79,-100
1.8,-100
1.81,-100
1.82,-100
1.83,-100
1.84,-100
1.85,-100
1.86,-100
1.87,-100
1.88,-100
1.89,-100
1.9,-100
1.91,-100
1.92,-100
1.93,-100
1.94,-100
1.95,-100
1.96,-100
1.97,-100
1.98,-100
1.99,-100
2.0,-100
2.01,-100
2.02,-100
2.03,-100
2.04,-100
2.05,-100
2.06,-100
2.07,-100
2.08,-100
2.09,-100
2.1,-100
2.11,-100
2.12,-100
2.13,-100
2.14,-100
2.15,-100
2.16,-100
2.17,-100
2.18,-100
2.19,-100
2.2,-100
2.21,-100
2.22,-100
2.23,-100
2.24,-100
2.25,-100
2.26,-100
2.27,-100
2.28,-100
2.29,-100
2.3,-100
2.31,-100
2.32,-100
2.33,-100
2.34,-100
2.35,-100
2.36,-100
2.37,-100
2.38,-100
2.39,-100
2.4,-100
2.41,-100
2.42,-100
2.43,-100
2.44,-100
2.45,-100
2.46,-100
2.47,-100
2.48,-100
2.49,-100
2.5,-100
2.51,-100
2.52,-100
2.53,-100
2.54,-100
2.55,-100
2.56,-100
2.57,-100
2.58,-100
2.59,-100
2.6,-100
2.61,-100
2.62,-100
2.63,-100
2.64,-100
2.65,-100
2.66,-100
2.67,-100
2.68,-100
2.69,-100
2.7,-100
2.71,-100
2.72,-100
2.73,-100
2.74,-100
2.75,-100
2.76,-100
2.77,-100
2.78,-100
2.79,-100
2.8,-100
2.81,-100
2.82,-100
2.83,-100
2.84,-100
2.85,-100
2.86,-100
2.87,-100
2.88,-100
2.89,-100
2.9,-100
2.91,-100
2.92,-100
2.93,-100
2.94,-100
2.95,-100
2.96,-100
2.97,-100
2.98,-100
2.99,-100
3.0,-100
3.01,-100
3.02,-100
3.03,-100
3.04,-100
3.05,-100
3.06,-100
3.07,-100
3.08,-100
3.09,-100
3.1,-100
3.11,-100
3.12,-100
3.13,-100
3.14,-100
3.15,-100
3.16,-100
3.17,-100
3.18,-100
3.19,-100
3.2,-100
3.21,-100
3.22,-100
3.23,-100
3.24,-100
3.25,-100
3.26,-100
3.27,-100
3.28,-100
3.29,-100
3.3,-100
3.31,-100
3.32,-100
3.33,-100
3.34,-100
3.35,-100
3.36,-100
3.37,-100
3.38,-100
3.39,-100
3.4,-100
3.41,-100
3.42,-100
3.43,-100
3.44,-100
3.45,-100
3.46,-100
3.47,-100
3.48,-100
3.49,-100
3.5,-100
3.51,-100
3.52,-100
3.53,-100
3.54,-100
3.55,-100
3.56,-100
3.57,-100
3.58,-100
3.59,-100
3.6,-100
3.61,-100
3.62,-100
3.63,-100
3.64,-100
3.65,-84.28839878591472
3.66,-45.49801373354236
3.67,-44.33193717100022
3.68,-43.03675910135147
3.69,-44.96556413113407
3.7,-44.37569489396373
3.71,-45.95931981491623
3.72,-46.61517008284237
3.73,-44.733926680137785
3.74,-45.300598653016465
3.75,-43.86461280451597
3.76,-47.08163865449485
3.77,-45.10757093949286
3.78,-43.86461280451597
3.79,-44.64297412512336
3.8,-39.603116298338946
3.81,-41.42810278083282
3.82,-41.5539874427866
3.83,-41.61762061851039
3.84,-39.67942035834925
3.85,-40.07133147961686
3.86,-37.42022690983759
3.87,-36.072854118370536
3.88,-36.08973631928884
3.89,-36.0391878373155
3.9,-34.475185718792
3.91,-34.77497501942614
3.92,-35.23733752133622
3.93,-35.02547605138774
3.94,-33.09026628519248
3.95,-31.458916575832742
3.96,-32.51176427403059
3.97,-33.32061042325637
3.98,-36.140580696500095
3.99,-40.20599913279624
4.0,-39.88623702511363
4.01,-30.663574038402984
4.02,-21.531825510783122
4.03,-17.692308342633346
4.04,-9.209846778946227
4.05,-2.9507039233193053
4.06,-2.41016396492717
4.07,-10.889980012285875
4.08,-13.08906996405044
4.09,-13.324296872899907
4.1,-12.423785410254595
4.11,-11.264777537020978
4.12,-11.789356692652294
4.13,-12.515122870310652
4.14,-12.992711095834997
4.15,-12.622155746253178
4.16,-13.23503446367087
4.17,-12.527448846193078
4.18,-15.328193325125214
4.19,-13.312014787089199
4.2,-13.116627123750746
4.21,-12.37186324445027
4.22,-13.214378354915512
4.23,-11.674757358059244
4.24,-12.133938315503682
4.25,-13.382256456598252
4.26,-12.673319587326663
4.27,-13.366186350926233
4.28,-12.910290486257159
4.29,-14.250788910813561
4.3,-15.004571373094741
4.31,-12.453754006878022
4.32,-12.650542887142384
4.33,-12.434872837900086
4.34,-12.774252756381067
4.35,-12.00628056675412
4.36,-12.940812632895158
4.37,-10.56282522457071
4.38,-11.508635599041096
4.39,-10.725318025705988
4.4,-15.525466060979758
4.41,-20.411998265592473
4.42,-21.573028494558283
4.43,-19.272682252174043
4.44,-19.001488644912882
4.45,-15.93564399287014
4.46,-16.51571939887895
4.47,-16.217409705268373
4.48,-15.52229949527277
4.49,-16.113426662229852
4.5,-14.408091290771857
4.51,-15.825120308907765
4.52,-14.323566532196905
4.53,-14.065443216019279
4.54,-14.525848860965564
4.55,-16.420404880052697
4.56,-6.8768095748610385
4.57,-11.679841285414255
4.58,-11.657494229228544
4.59,-10.15916403328764
4.6,-13.853872040166543
4.61,-23.41722384762008
4.62,-21.8277081908446
4.63,-22.913552927255097
4.64,-23.319562714906642
4.65,-24.112138604872943
4.66,-22.90243854360415
4.67,-25.59338129264315
4.68,-10.781999119128889
4.69,-7.191351537558054
4.7,-12.88805347308437
4.71,-14.117804406489004
4.72,-12.936109931297842
4.73,-11.140588138143993
4.74,-15.061430112955076
4.75,-22.755589912507897
4.76,-23.265348336967108
