seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-100
0.13,-100
0.14,-100
0.15,-100
0.16,-100
0.17,-100
0.18,-100
0.19,-100
0.2,-61.36583807234997
0.21,-12.285283096451352
0.22,-7.159863336509845
0.23,-7.098427622159211
0.24,-7.683042767241898
0.25,-8.068299675725761
0.26,-7.4699747819393
0.27,-7.560017432387651
0.28,-8.035478461252355
0.29,-8.231556531133245
0.3,-8.909719942179105
0.31,-8.41259109209836
0.32,-8.507366338417931
0.33,-8.039490728459613
0.34,-7.6420533874695
0.35,-6.5001235050605555
0.36,-4.8156833175665845
0.37,-4.509642865459684
0.38,-6.7507691773141705
0.39,-9.272061932919641
0.4,-11.117677766435804
0.41,-15.026971169669782
0.42,-17.889629986308563
0.43,-20.159977481154957
0.44,-15.555606152061518
0.45,-14.98222919416861
0.46,-15.145906259846559
0.47,-14.732954618929583
0.48,-15.846455523280527
0.49,-15.887632663251175
0.5,-14.489229197418041
0.51,-15.275719773974624
0.52,-14.269954002108722
0.53,-12.250456778849099
0.54,-8.40351893723072
0.55,-8.097877844086732
0.56,-8.703686152397463
0.57,-8.544858936503656
0.58,-8.264442096731758
0.59,-7.90278584646511
0.6,-7.6862532236222165
0.61,-7.532212450907922
0.62,-7.406936036266725
0.63,-6.85460547220443
0.64,-7.94833612262302
0.65,-7.7922194192942715
0.66,-8.224721015207896
0.67,-9.130613484816664
0.68,-10.342067951267065
0.69,-10.038772029876359
0.7,-9.993423571413539
0.71,-10.693483219941925
0.72,-12.053932625767896
0.73,-11.479763912247762
0.74,-10.44203790072916
0.75,-9.336278930541388
0.76,-9.422124001292215
0.77,-10.007674418971373
0.78,-9.591602425283304
0.79,-10.236341959106191
0.8,-11.029466499262242
0.81,-11.668660570510331
0.82,-13.021150596182585
0.83,-12.989162696668853
0.84,-11.450987876388478
0.85,-11.469830368578084
0.86,-11.952589059320417
0.87,-12.451530561419046
0.88,-15.31736400188317
0.89,-18.222317237136135
0.9,-24.59785251903888
0.91,-21.016227517293697
0.92,-19.020412159234688
0.93,-17.731007410782222
0.94,-15.489120067496636
0.95,-14.27818057538799
0.96,-15.123198038708278
0.97,-15.844812491092128
0.98,-16.89295301397548
0.99,-17.048179201314873
1.0,-16.62825794946396
1.01,-16.682364579811043
1.02,-17.745308537726107
1.03,-18.465463551277022
1.04,-20.631549614740884
1.05,-17.629535583400887
1.06,-22.16798240310935
1.07,-20.40366381143815
1.08,-22.178195090515253
1.09,-21.344150446505576
1.1,-22.127251310237654
1.11,-22.74831225004773
1.12,-22.17478952699856
1.13,-22.8250335406127
1.14,-22.181601989809007
1.15,-23.142685897550443
1.16,-21.218198999897982
1.17,-21.640002823962433
1.18,-20.953877674313695
1.19,-20.977577251467274
1.2,-20.411998265592473
1.21,-21.400028413873358
1.22,-21.85063908384111
1.23,-21.81789916706009
1.24,-22.40596686910351
1.25,-23.39368483690459
1.26,-25.050489312557723
1.27,-24.18049814818061
1.28,-23.066892313318895
1.29,-22.37455312911889
1.3,-22.19865655966683
1.31,-21.27633975005454
1.32,-22.777459558064116
1.33,-23.097130427889383
1.34,-22.872869529046042
1.35,-22.84707895761982
1.36,-23.335114893883535
1.37,-23.69260936927762
1.38,-25.09326532609483
1.39,-27.392644409357803
1.4,-27.117654834521954
1.41,-26.134798301066336
1.42,-28.989939092916963
1.43,-31.802756869201367
1.44,-26.330361300550177
1.45,-23.64811810272461
1.46,-24.082399653118493
1.47,-26.038643559268255
1.48,-28.287811601032043
1.49,-34.489229197418034
1.5,-39.182948683848615
1.51,-34.70265245639133
1.52,-39.9387199016366
1.53,-44.03165429181129
1.54,-39.304431638092474
1.55,-41.71395309914619
1.56,-43.0744419788425
1.57,-44.733926680137785
1.58,-47.44870269411245
1.59,-45.01264223900363
1.6,-46.61517008284237
1.61,-44.68833135423981
1.62,-43.700723232210535
1.63,-42.14419939295736
1.64,-27.851580241905648
1.65,-21.557158054115128
1.66,-19.48490488552919
1.67,-20.512640533165346
1.68,-25.588335756841637
1.69,-31.37013328523785
1.7,-24.895421976300227
1.71,-34.559789208826054
1.72,-35.741923058769785
1.73,-34.60240199897902
1.74,-31.659523405651292
1.75,-35.93896492184887
1.76,-34.995627604014075
1.77,-37.12970184590566
1.78,-39.3289334586786
1.79,-36.43445972072142
1.8,-36.75685964478449
1.81,-39.01567741415257
1.82,-38.92152050689344
1.83,-35.80710827756498
1.84,-38.13847802765047
1.85,-39.182948683848615
1.86,-38.333188563932055
1.87,-38.851566655184754
1.88,-35.741923058769785
1.89,-37.65985285549987
1.9,-39.378145429631736
1.91,-40.623001912258644
1.92,-39.96508074019487
1.93,-36.68417395168262
1.94,-39.15885466108119
1.95,-39.603116298338946
1.96,-39.01567741415257
1.97,-39.304431638092474
1.98,-40.97164629211217
1.99,-38.5100066726802
2.0,-36.848580556616426
2.01,-19.037004121563733
2.02,-17.198546774126005
2.03,-9.198374198176392
2.04,-5.5525964833130566
2.05,-2.7149133187054124
2.06,-3.021356252430211
2.07,-3.053696168085831
2.08,-2.532060827204145
2.09,-2.3048032959531244
2.1,-2.9246815509915014
2.11,-3.071798849408474
2.12,-2.709479996541923
2.13,-4.597852519038883
2.14,-2.4807684914821286
2.15,-2.012538914386044
2.16,-2.0326133957334718
2.17,-2.245558389349335
2.18,-3.216459162135377
2.19,-2.4807684914821286
2.2,-1.9323706259681819
2.21,-2.122173327258728
2.22,-2.8994771083084774
2.23,-2.8129323688727115
2.24,-2.226698749082445
2.25,-2.431179919138387
2.26,-3.502893157945814
2.27,-2.876560155673933
2.28,-2.0155471304799377
2.29,-3.629580030297662
2.3,-2.334924796932781
2.31,-2.7862228575847325
2.32,-2.28133256856275
2.33,-2.391642074514593
2.34,-2.3134482094183753
2.35,-2.2796092803325743
2.36,-2.4850018970188694
2.37,-3.5658058086572417
