seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-34.419237766010966
0.08,-40.37040573773005
0.09,-40.09809849506211
0.1,-30.40507286725077
0.11,-31.57872384961649
0.12,-42.96188027867397
0.13,-40.01804364598864
0.14,-29.255119860694997
0.15,-34.83326979957049
0.16,-44.03165429181129
0.17,-41.091041844063405
0.18,-28.232924280075217
0.19,-33.6205846255637
0.2,-42.704773864962235
0.21,-36.63005608416411
0.22,-27.695891718753742
0.23,-33.13825474780157
0.24,-43.3040383325111
0.25,-31.253149838312517
0.26,-29.057359014631096
0.27,-34.19898153602635
0.28,-41.490817057890006
0.29,-31.399626996557963
0.3,-28.28093168808774
0.31,-40.680146129148255
0.32,-39.603116298338946
0.33,-28.32920591117081
0.34,-27.910690494034537
0.35,-37.302848236555626
0.36,-38.898139901556405
0.37,-27.07565045043964
0.38,-28.588924586826717
0.39,-35.31427238781313
0.4,-38.7821716950785
0.41,-28.232924280075217
0.42,-26.491164360750965
0.43,-36.05600466665013
0.44,-38.224477637504954
0.45,-29.170901672464904
0.46,-27.818914202508715
0.47,-32.33449506740448
0.48,-42.41996508267003
0.49,-27.937091394719115
0.5,-26.564226302564784
0.51,-33.83951411578833
0.52,-40.39811194826538
0.53,-37.927132086659505
0.54,-25.28110169839227
0.55,-32.796199959110986
0.56,-41.9098837293992
0.57,-34.117804406489
0.58,-23.70072323221054
0.59,-35.08548243607973
0.6,-38.44327735878521
0.61,-30.231175374456143
0.62,-25.169835647975717
0.63,-39.6539111193444
0.64,-36.922661087872115
0.65,-27.937091394719115
0.66,-27.330778837007227
0.67,-40.97164629211217
0.68,-36.95993964139527
0.69,-26.598155602106853
0.7,-26.286520755046766
0.71,-36.191724453515974
0.72,-36.9973788788353
0.73,-26.758268700597117
0.74,-26.11869840834174
0.75,-39.42763781218884
0.76,-34.29465713354666
0.77,-25.19390296633347
0.78,-26.270137431161352
0.79,-39.1108661984721
0.8,-36.72044076695198
0.81,-23.72918159020578
0.82,-29.943312530663736
0.83,-41.522344822589105
0.84,-28.967581578286953
0.85,-24.19767242888828
0.86,-34.489229197418034
0.87,-36.922661087872115
0.88,-27.214434550391246
0.89,-23.93104440664462
0.9,-37.12970184590566
0.91,-36.68417395168262
0.92,-26.39100565100968
0.93,-25.198724442803687
0.94,-38.39907426268287
0.95,-35.95558863914911
0.96,-26.270137431161352
0.97,-26.001535643525916
0.98,-37.18703465893772
0.99,-36.45206031364975
1.0,-25.71024498103568
1.01,-26.992246205391794
1.02,-39.57782984776375
1.03,-33.41945518428073
1.04,-23.378027528224877
1.05,-28.77618982578752
1.06,-40.53798436918547
1.07,-31.558640858847422
1.08,-22.639872768699295
1.09,-31.710407497502597
1.1,-39.75640068176758
1.11,-29.97668774805081
1.12,-24.526141980547695
1.13,-32.52296464906815
1.14,-41.12114894400974
1.15,-30.154043139179556
1.16,-27.70232332929423
1.17,-41.58574575837924
1.18,-38.66773144096018
1.19,-28.805361606820526
1.2,-29.61642956668795
1.21,-42.07660457992975
1.22,-37.47951648911237
1.23,-33.519437751710385
1.24,-33.21073825303724
1.25,-42.14419939295736
1.26,-43.22682991624633
1.27,-37.16788164205228
1.28,-34.03737892783052
1.29,-44.33193717100022
1.3,-43.989591790056004
1.31,-45.15542720181067
1.32,-48.44056499594966
1.33,-50.30899869919435
1.34,-49.64052358945536
1.35,-48.510896470406394
1.36,-44.91873981483603
1.37,-47.7669027318982
1.38,-46.729459753330964
1.39,-46.96265200423083
1.4,-43.57980402222377
1.41,-48.87135855307185
1.42,-45.802813064677096
1.43,-44.15907794093009
1.44,-44.91873981483603
1.45,-47.89752007507736
1.46,-48.945281464271126
1.47,-43.381939210181585
1.48,-46.787173518080735
1.49,-49.17090167246491
1.5,-48.097204493209375
1.51,-41.68172341601461
1.52,-46.22659904607586
1.53,-45.01264223900363
1.54,-43.7414066304196
1.55,-47.32461644608676
1.56,-47.89752007507736
1.57,-50.84644162720038
1.58,-44.96556413113407
1.59,-47.32461644608676
1.6,-46.90376439129521
1.61,-48.164799306236986
1.62,-45.44823772546847
1.63,-45.95931981491623
1.64,-49.64052358945536
1.65,-43.342901438231145
1.66,-45.85466927624269
1.67,-46.90376439129521
1.68,-49.56046874038188
1.69,-40.94205209095121
1.7,-47.3864379856296
1.71,-47.7669027318982
1.72,-44.64297412512336
1.73,-47.7669027318982
1.74,-45.05997690458577
1.75,-51.7206201849085
1.76,-43.46054508275023
1.77,-47.70232332929424
1.78,-44.779762615729474
1.79,-48.510896470406394
1.8,-44.11639535067637
1.81,-45.90683693839325
1.82,-46.012121738240396
1.83,-47.02194158350561
1.84,-43.7414066304196
1.85,-45.75126460692089
1.86,-46.5585842824651
1.87,-45.05997690458577
1.88,-46.28105621278533
1.89,-46.50236473578853
1.9,-46.787173518080735
1.91,-45.59842976104338
1.92,-45.64907649135128
1.93,-45.59842976104338
1.94,-48.945281464271126
1.95,-45.49801373354236
1.96,-46.39100565100968
1.97,-45.54807663661845
1.98,-48.87135855307185
1.99,-45.05997690458577
2.0,-46.729459753330964
2.01,-47.63822053179
2.02,-47.83196587985263
2.03,-46.28105621278533
2.04,-46.06524661111521
2.05,-48.510896470406394
2.06,-45.75126460692089
2.07,-48.097204493209375
2.08,-45.85466927624269
2.09,-49.96833191321875
2.1,-45.802813064677096
2.11,-47.20227794989312
2.12,-46.5585842824651
2.13,-49.96833191321875
2.14,-45.95931981491623
2.15,-48.653291292865354
2.16,-49.247429829525956
2.17,-47.574587356066225
2.18,-47.51141697116962
2.19,-47.574587356066225
2.2,-48.301587796843094
2.21,-47.32461644608676
2.22,-48.23292428007521
2.23,-47.83196587985263
2.24,-49.96833191321875
2.25,-45.802813064677096
2.26,-47.83196587985263
2.27,-49.96833191321875
2.28,-46.67212694029891
2.29,-47.70232332929424
2.3,-48.798059471343734
2.31,-50.22257122354151
2.32,-45.90683693839325
2.33,-48.581802085699394
