seconds_elapsed,dBFS
0.0,-12.879875218735283
0.01,-16.780614064827155
0.02,-13.881348704248374
0.03,-15.20980694476016
0.04,-15.020992240066594
0.05,-14.483609080988986
0.06,-14.745973691521485
0.07,-11.977814313172079
0.08,-13.39835634932285
0.09,-15.070441930783776
0.1,-14.804073504389628
0.11,-17.412352122681632
0.12,-14.69113652545278
0.13,-17.267941734232256
0.14,-12.834451086260767
0.15,-15.894239158825851
0.16,-14.1070378855715
0.17,-14.802616262604806
0.18,-14.825961520100151
0.19,-13.256959312429661
0.2,-14.636643395379384
0.21,-13.8695623463535
0.22,-13.488069391008285
0.23,-14.184042155278549
0.24,-14.582490011392956
0.25,-13.316925537545414
0.26,-14.300156272469223
0.27,-19.575305246775756
0.28,-14.283669289401955
0.29,-14.022714695045167
0.3,-12.508406975926018
0.31,-14.551291680375867
0.32,-13.434379396952515
0.33,-14.548461017278282
0.34,-13.30097573925119
0.35,-14.499073159852166
0.36,-14.37057719259098
0.37,-14.748869470724191
0.38,-13.593919348806692
0.39,-15.123198038708278
0.4,-14.714183675659546
0.41,-15.942287121024224
0.42,-14.595285333576332
0.43,-14.37057719259098
0.44,-14.264473945372957
0.45,-14.216670359449255
0.46,-14.387230125580988
0.47,-15.234274255694153
0.48,-14.117804406489004
0.49,-15.64505339706297
0.5,-15.416881190909582
0.51,-17.006763957693327
0.52,-15.846455523280527
0.53,-16.773298090810247
0.54,-15.412190763486773
0.55,-16.90037051198225
0.56,-14.792422409902109
0.57,-17.661877774412893
0.58,-19.5249667133118
0.59,-19.430119849536226
0.6,-19.679420358349255
0.61,-21.365838072349973
0.62,-18.3091551475124
0.63,-19.878391873620135
0.64,-19.378145429631736
0.65,-13.34644848783686
0.66,-11.574703534970283
0.67,-13.414486139729838
0.68,-11.809980920882143
0.69,-13.566071821013159
0.7,-12.977345157923379
0.71,-12.72937623131963
0.72,-12.536424191489834
0.73,-13.614228321117537
0.74,-13.663931295254198
0.75,-14.254892157707316
