seconds_elapsed,dBFS
0.0,-25.155427201810664
0.01,-27.825437589700854
0.02,-25.30059865301648
0.03,-11.28419169270755
0.04,-8.468629284138418
0.05,-6.868038015589245
0.06,-4.727072104242333
0.07,-4.906606726816304
0.08,-5.359353485653272
0.09,-6.617441200553861
0.1,-6.501804373887875
0.11,-6.4548625669371855
0.12,-7.307384974524491
0.13,-8.461604706611945
0.14,-9.16024133493557
0.15,-7.327080877834904
0.16,-7.80848696279538
0.17,-9.96582672943806
0.18,-10.356029601270233
0.19,-12.549904623018326
0.2,-13.332904678158283
0.21,-16.298385559622524
0.22,-18.724763094564373
0.23,-24.279717236328363
0.24,-26.36890413873344
0.25,-27.00411217668814
0.26,-28.878722597292573
0.27,-29.36350135151077
0.28,-33.633311206064775
0.29,-35.69335318586658
0.3,-41.21210149902416
0.31,-39.353504591437904
0.32,-13.729359619035897
0.33,-15.020992240066594
0.34,-8.247298662362068
0.35,-6.657282190048503
0.36,-4.47673836039677
0.37,-3.929794128643556
0.38,-4.740329168446041
0.39,-4.469196792270748
0.4,-5.130509041656767
0.41,-5.8069501877074785
0.42,-5.505504798808813
0.43,-6.282148846240202
0.44,-6.330361300550177
0.45,-9.285176205480385
0.46,-12.234179886763584
0.47,-12.396128602712775
0.48,-9.159480382669276
0.49,-9.650179943577285
0.5,-11.778034206481982
0.51,-13.164761852856508
0.52,-16.839364757727413
0.53,-22.277541785665438
0.54,-26.232029424269662
0.55,-31.875269189522314
0.56,-32.18229786309254
0.57,-30.44027408924212
0.58,-35.206753371292926
0.59,-34.98074175694637
0.6,-35.438803404625766
0.61,-38.35509498068411
0.62,-38.8748220630206
0.63,-38.69049918568197
0.64,-42.81403177899228
0.65,-45.49801373354236
0.66,-46.28105621278533
0.67,-46.118698408341736
0.68,-43.82334959324051
0.69,-45.75126460692089
0.7,-46.22659904607586
0.71,-42.81403177899228
0.72,-43.700723232210535
0.73,-45.95931981491623
0.74,-46.50236473578853
0.75,-53.16234877056899
0.76,-56.86704154048
0.77,-31.679841285414255
0.78,-18.046968359856102
0.79,-17.72896631345452
0.8,-18.289540785459394
0.81,-11.249277395253248
0.82,-7.986145622118483
0.83,-5.698487602806611
0.84,-4.007233237428015
0.85,-3.3772454031837795
0.86,-4.0713796384362775
0.87,-4.124062754120926
0.88,-5.0808861577115705
0.89,-5.58379727917778
0.9,-5.386416185925632
0.91,-6.736940892382567
0.92,-6.648729437555769
0.93,-6.752499261900723
0.94,-5.766182190730628
0.95,-7.522123576146857
0.96,-6.978028404419254
0.97,-8.943796823700369
0.98,-11.727776217499049
0.99,-15.000098337391357
1.0,-18.624636456846257
