seconds_elapsed,dBFS
0.0,-18.467685290549415
0.01,-18.2331246164551
0.02,-15.520716645220451
0.03,-17.031212726741128
0.04,-16.52282151672195
0.05,-19.363352539928293
0.06,-18.11924490212865
0.07,-18.749976144599255
0.08,-17.489437552027717
0.09,-16.991752695131254
0.1,-19.0180444640754
0.11,-18.532364187310215
0.12,-18.95200968773222
0.13,-17.914613386959815
0.14,-15.343687245819543
0.15,-16.18317955401909
0.16,-16.16611493234545
0.17,-15.168674004568345
0.18,-17.509313738362586
0.19,-14.608099532563477
0.2,-18.465463551277022
0.21,-15.73380919583687
0.22,-16.050956198249903
0.23,-15.798933322008047
0.24,-17.42810884289938
0.25,-16.3365501051524
0.26,-15.872786394943425
0.27,-16.26728427047786
0.28,-16.635452722820517
0.29,-15.552428581278663
0.3,-15.557195373479924
0.31,-16.37313699755947
0.32,-17.473569286115172
0.33,-19.656458674616534
0.34,-18.458801741180753
0.35,-16.881838630324527
0.36,-19.044124676386396
0.37,-18.63595652835348
0.38,-19.562693236954164
0.39,-21.531825510783122
0.4,-17.741220098188123
0.41,-17.281499820933494
0.42,-19.044124676386396
0.43,-22.564762692919746
0.44,-22.686697084997345
0.45,-19.98622716485287
0.46,-19.5249667133118
0.47,-19.336297502899324
0.48,-19.430119849536226
0.49,-19.437570219947048
0.5,-19.365816272646008
0.51,-18.796006404089972
0.52,-17.437971327935454
0.53,-18.731632125873784
0.54,-16.795264525206335
0.55,-19.728095283878975
0.56,-17.097380450648366
0.57,-15.748419610783987
0.58,-18.770659579890218
0.59,-17.883395348186063
0.6,-20.68014612914826
0.61,-21.765770640675047
0.62,-20.018043645988634
0.63,-20.947962870109606
0.64,-21.130201461387834
0.65,-19.13962744871846
0.66,-20.640105737223653
0.67,-20.362111078842755
0.68,-22.93582445134982
0.69,-20.93319345720214
0.7,-17.061398298869406
0.71,-14.914069355605285
0.72,-15.89258706378748
0.73,-18.987323015834438
0.74,-18.09153869159332
0.75,-15.199124130891974
0.76,-14.301531601367367
0.77,-15.565145845099613
0.78,-18.3091551475124
0.79,-21.772269623124195
0.8,-21.245690848677214
0.81,-20.848022597423604
0.82,-20.62300191225864
0.83,-21.415614080423868
0.84,-22.625515923053683
0.85,-22.564762692919746
0.86,-20.033995697557888
0.87,-19.782213151397475
0.88,-18.789086295129003
0.89,-17.267941734232256
0.9,-17.3359447965699
0.91,-18.881810844117563
0.92,-16.624662796416747
0.93,-17.59329398852132
0.94,-19.608182434171148
0.95,-16.039187837315506
0.96,-18.474353920157643
0.97,-15.393454341399178
0.98,-15.407502867553209
0.99,-19.358427169998716
1.0,-21.285555548943563
1.01,-19.681975407533162
1.02,-21.736585245755577
1.03,-22.185010225928103
1.04,-22.24315579602927
1.05,-22.325912020030025
1.06,-21.617620618510387
1.07,-23.055580104681013
1.08,-23.010478023394842
1.09,-26.63221795806593
1.1,-21.18471559203458
1.11,-21.076027337925254
1.12,-21.756031275455705
1.13,-16.120207216546138
1.14,-14.462565972162889
1.15,-14.85376575631371
1.16,-16.064425306803653
1.17,-17.66998217401002
1.18,-19.336297502899324
1.19,-23.432952035961257
1.2,-23.13888046938965
1.21,-24.040091290666076
1.22,-21.697823308739203
1.23,-22.82136473817671
1.24,-21.736585245755577
1.25,-24.844342018333446
1.26,-22.291334388227103
1.27,-22.73740717687886
1.28,-23.464494111978546
1.29,-22.458576900555713
1.3,-20.83050483087121
1.31,-21.085032926744493
1.32,-20.930242585885132
1.33,-20.671550492981087
1.34,-20.38424779585965
1.35,-20.52108026465177
1.36,-22.009531739777994
1.37,-25.684705739942334
1.38,-27.07565045043964
1.39,-29.680829414161877
1.4,-27.83196587985264
1.41,-29.536595460200303
1.42,-22.869180469896055
1.43,-20.389790801560256
1.44,-22.16798240310935
1.45,-22.557643110850588
1.46,-19.72039161185464
1.47,-17.979488421423046
1.48,-16.62825794946396
1.49,-20.448206932841334
1.5,-19.224062535872147
1.51,-18.796006404089972
1.52,-18.527888078147477
1.53,-19.517441032288176
1.54,-19.336297502899324
1.55,-18.56151525773305
1.56,-16.5263747545044
1.57,-17.46564601109545
1.58,-18.590764492805675
1.59,-17.281499820933494
1.6,-19.101300239754046
1.61,-18.478802519301272
1.62,-16.73317001186948
1.63,-17.70044119869388
1.64,-18.563761705343673
