seconds_elapsed,dBFS
0.0,-14.931798682335213
0.01,-16.510396618829997
0.02,-14.980741756946367
0.03,-12.728228594449618
0.04,-11.897141457498188
0.05,-12.232011937260738
0.06,-14.98222919416861
0.07,-13.721636539417952
0.08,-13.456813906983115
0.09,-14.511746098266723
0.1,-14.508928291384569
0.11,-13.52824123142824
0.12,-13.701075169524978
0.13,-14.837657720673183
0.14,-13.777137620513395
0.15,-13.526983045051292
0.16,-14.715626155051398
0.17,-10.219991639409871
0.18,-11.746204561691961
0.19,-12.221180298947123
0.2,-12.459315111900604
0.21,-12.004168753070468
0.22,-14.029377186464922
0.23,-11.72982188157776
0.24,-11.559643906326809
0.25,-12.655093451562415
0.26,-12.483826361111577
0.27,-9.278230888887808
0.28,-10.983347455845092
0.29,-11.971501128420691
0.3,-12.376270088602672
0.31,-12.840261434753618
0.32,-14.906692803452323
0.33,-14.79096712136087
0.34,-13.040162126920185
0.35,-13.261839025837816
0.36,-13.347680791114527
0.37,-14.116457861313362
0.38,-14.366418943263305
0.39,-12.890391532220441
0.4,-12.870538061546888
0.41,-10.425296135148015
0.42,-14.521615627364724
0.43,-12.596121262479079
0.44,-14.271324556689564
0.45,-15.352996881906979
0.46,-13.062792500108948
0.47,-12.594991096627759
0.48,-13.91417275373415
0.49,-12.740860947574443
0.5,-11.321198566296102
0.51,-11.326079650795482
0.52,-11.993617379520675
0.53,-13.20225060980355
0.54,-14.82742268414398
0.55,-14.228937604602104
0.56,-14.676763049331354
0.57,-14.323566532196905
0.58,-12.786952271638485
0.59,-12.553278002426927
0.6,-11.346610211583636
0.61,-13.65754320227076
0.62,-13.67672159301238
0.63,-12.253715820712635
0.64,-10.821528557565891
0.65,-10.695299211928065
0.66,-11.40159680938828
0.67,-10.177110975511617
0.68,-10.450862334728106
0.69,-14.470977099002933
0.7,-15.038941389842417
0.71,-16.94500901522112
0.72,-16.275912352679395
0.73,-13.729359619035897
0.74,-14.351189038027378
0.75,-14.547046031588412
0.76,-14.002757828707175
0.77,-15.153488878955844
0.78,-14.86843539269726
0.79,-15.978915423730019
0.8,-15.106582993903006
0.81,-14.327704312174195
0.82,-14.132630197351872
0.83,-11.925344118344345
0.84,-11.990454465252043
0.85,-14.001428999875996
0.86,-15.756547139811609
0.87,-15.26649255323639
0.88,-16.793431865712655
0.89,-18.43220547756893
0.9,-16.279365986775815
0.91,-13.852565793132266
0.92,-14.058753013394705
0.93,-13.890526941568009
0.94,-13.625673020341955
0.95,-13.782318586749955
0.96,-12.763876036922635
0.97,-11.789356692652294
0.98,-12.82052208746432
0.99,-14.14207798438646
1.0,-14.925884884906381
1.01,-12.882211077197137
1.02,-12.489406759400579
