seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-100
0.13,-100
0.14,-100
0.15,-100
0.16,-100
0.17,-100
0.18,-100
0.19,-100
0.2,-100
0.21,-100
0.22,-100
0.23,-100
0.24,-100
0.25,-100
0.26,-100
0.27,-100
0.28,-100
0.29,-100
0.3,-100
0.31,-60.48176482250891
0.32,-34.6452248776892
0.33,-27.34311675049944
0.34,-25.21803715701488
0.35,-12.211443359926266
0.36,-11.535602678740773
0.37,-12.786952271638485
0.38,-13.152703139774227
0.39,-12.763876036922635
0.4,-12.846075672629244
0.41,-12.386193670353967
0.42,-11.806884163001081
0.43,-11.039853496860205
0.44,-10.578938391459547
0.45,-10.257902536224709
0.46,-9.94081455155299
0.47,-9.680829414161874
0.48,-9.392372412239267
0.49,-9.492206805487557
0.5,-8.932670100749961
0.51,-9.186916750745297
0.52,-9.251273994066722
0.53,-8.616043482099759
0.54,-9.382217587098173
0.55,-9.197609897974564
0.56,-8.35691212170614
0.57,-8.114053944929786
0.58,-8.071655763104967
0.59,-8.03815310011508
0.6,-8.316076356729745
0.61,-9.044583987554468
0.62,-8.64539861659482
0.63,-8.222671408959805
0.64,-8.465818771369012
0.65,-8.57184038599742
0.66,-8.110007094582594
0.67,-9.6654911599671
0.68,-8.024120425416212
0.69,-7.9981197385499705
0.7,-8.514428037699638
0.71,-8.124854772793055
0.72,-7.9166237041428635
0.73,-7.815002520552006
0.74,-7.5974416322957605
0.75,-7.984816183126362
0.76,-8.591062476562598
0.77,-8.664065604320975
0.78,-8.11540331414767
0.79,-8.33958538618177
0.8,-8.104614225406285
0.81,-8.477066282993203
0.82,-8.423769844784315
0.83,-8.152593354233398
0.84,-7.900810808072988
0.85,-7.520863290358508
0.86,-7.6114377952917724
0.87,-7.729388219862131
0.88,-7.906078575432124
0.89,-7.914645517084459
0.9,-7.469348388138281
0.91,-7.546735769451017
0.92,-7.340647765366826
0.93,-7.448702694112457
0.94,-7.40507057691072
0.95,-7.617170004976817
0.96,-7.6798334970638535
0.97,-7.607618422725402
0.98,-7.52968913339782
0.99,-7.619081582500887
1.0,-7.888969999401549
1.01,-7.661243077073383
1.02,-7.780525624447589
1.03,-7.755890303690217
1.04,-7.481257601847609
1.05,-7.576489583975726
1.06,-7.6580418498827365
1.07,-7.318458424107401
1.08,-7.347439163944238
1.09,-7.6305598907189225
1.1,-7.4825121536860095
1.11,-7.579026536060375
1.12,-7.598077332492778
1.13,-7.720357216082872
1.14,-7.5196031874057585
1.15,-7.517083529794917
1.16,-7.465590973672448
1.17,-7.3055407713317315
1.18,-6.866284766203027
1.19,-7.2290449653383675
1.2,-7.480003231185011
1.21,-7.434342236420511
1.22,-7.2479531978521825
1.23,-7.186499762742297
1.24,-7.40071939583669
1.25,-7.497580926535358
1.26,-7.1532169735533815
1.27,-7.300010509976746
1.28,-7.776631188735329
1.29,-8.090473853865952
1.3,-8.090473853865952
1.31,-8.125530270684912
1.32,-7.742305964120035
1.33,-7.301239152688755
1.34,-7.211393804819122
1.35,-7.199241456368729
1.36,-7.291414873809576
1.37,-7.593628407837913
1.38,-8.287811601032049
1.39,-8.641813405977995
1.4,-8.633931147794138
1.41,-8.242504557965459
1.42,-8.326440144665014
1.43,-7.93246544052856
1.44,-7.718423222018831
1.45,-8.114053944929786
1.46,-8.562600455066342
1.47,-8.68133234994865
1.48,-8.230872737419997
1.49,-8.422371713652433
1.5,-8.74058740091436
1.51,-8.787846783937841
1.52,-8.190623893466904
1.53,-7.9463507007762715
1.54,-7.803278033321089
1.55,-7.813047339983691
1.56,-7.914645517084459
1.57,-7.759775448963611
1.58,-8.170908720481489
1.59,-7.926521402982017
1.6,-8.268561560711305
1.61,-8.045512606507128
1.62,-8.331972558634263
1.63,-8.064944884583648
1.64,-8.118102681627423
1.65,-8.35691212170614
1.66,-8.028127448232809
1.67,-7.97883622444743
1.68,-8.174304697237446
1.69,-8.07971566746128
1.7,-8.030799824113613
1.71,-7.714556525276803
1.72,-7.963572786079073
1.73,-7.996122905795539
1.74,-7.6862532236222165
1.75,-7.796120852046525
1.76,-8.125530270684912
1.77,-8.090473853865952
1.78,-7.687537738507443
1.79,-7.8280483169937485
1.8,-7.903444292406984
1.81,-8.223354557305594
1.82,-8.425168201003718
1.83,-8.436363162615406
1.84,-8.728993653117369
1.85,-8.670536612173155
1.86,-9.025081981901504
1.87,-8.676292669135341
1.88,-7.79351970217665
1.89,-7.904102788267052
1.9,-7.956282351404473
1.91,-8.366630212301363
1.92,-8.104614225406285
1.93,-8.30710439889457
1.94,-8.751470612008747
1.95,-8.799519407415431
1.96,-8.298141698945065
1.97,-8.730442025579965
1.98,-8.959398220564704
1.99,-8.901590891854296
2.0,-8.514428037699638
2.01,-8.591062476562598
2.02,-8.240450751539008
2.03,-8.123503934588456
2.04,-8.39794077880632
2.05,-8.194708487775927
2.06,-8.513015238471075
2.07,-8.408402766225324
2.08,-8.634647421215405
2.09,-8.416781438551618
2.1,-8.196070446169632
2.11,-8.881669964011751
2.12,-9.226700688982639
2.13,-9.166331354212623
2.14,-8.943054598565281
2.15,-8.767457362279137
2.16,-8.846367400374497
2.17,-9.005623665079455
2.18,-8.890518069671353
2.19,-8.399334982603545
2.2,-8.908980623147457
2.21,-8.58892458682672
2.22,-8.615328741129344
2.23,-8.485511485056723
2.24,-8.603187134593057
2.25,-8.913417481564075
2.26,-8.749292878604319
2.27,-8.513721609360584
2.28,-8.656163136051733
2.29,-8.474956264851388
2.3,-8.535647648346266
2.31,-8.318838824635058
2.32,-8.211066100215048
2.33,-8.525738711895718
2.34,-8.719585114490076
2.35,-8.710186756147113
2.36,-8.430763878206793
2.37,-8.527861103998658
2.38,-8.39794077880632
2.39,-8.439864549222285
2.4,-8.150560695468773
2.41,-8.517961041465275
2.42,-8.768184732345137
2.43,-8.77618982578752
