seconds_elapsed,dBFS
0.0,-8.86841468263592
0.01,-9.216737608056603
0.02,-5.42593124816586
0.03,-5.879670654899563
0.04,-10.304656839749756
0.05,-4.460775722437858
0.06,-5.123812502147091
0.07,-11.674757358059244
0.08,-5.238846329540627
0.09,-4.730270233172368
0.1,-5.21223883260859
0.11,-7.339413535931277
0.12,-4.835549460342249
0.13,-5.036277327432196
0.14,-8.008110794026095
0.15,-4.43600311487766
0.16,-3.933128603328422
0.17,-5.7569199852626
0.18,-6.548437872492746
0.19,-3.5978349378771357
0.2,-4.29448103769795
0.21,-7.388299447144325
0.22,-3.22952065277424
0.23,-4.505189019788275
0.24,-8.014110948291837
0.25,-3.2460677749147715
0.26,-4.657462685010011
0.27,-9.71402032785762
0.28,-3.318009027461653
0.29,-3.820880023123485
0.3,-9.900115591862866
0.31,-3.178920861314257
0.32,-3.481099668713524
0.33,-7.733261526342399
0.34,-4.281886810371879
0.35,-3.839006530559347
0.36,-5.487537084134625
0.37,-6.967971524436747
0.38,-4.488729619886752
0.39,-4.438212084559225
0.4,-10.738997312965175
0.41,-4.579869304254701
0.42,-4.850826445389417
0.43,-11.95468836800449
0.44,-5.531022854637547
0.45,-5.265535583763681
0.46,-7.550528458386059
0.47,-7.824785030470011
0.48,-6.06684538824118
0.49,-7.5999847122840825
0.5,-12.018962242648076
0.51,-6.746733652901722
0.52,-7.774035867990521
0.53,-11.832724277370563
0.54,-9.857132418765117
0.55,-7.800024037989109
0.56,-9.959984108983635
0.57,-11.164517542331016
0.58,-8.153271012875292
0.59,-8.99516413732894
0.6,-13.149088787975877
0.61,-7.93312614030738
0.62,-8.247298662362068
0.63,-13.548397039487954
0.64,-7.701036626138328
0.65,-8.228138100754176
0.66,-10.78933982494343
0.67,-10.942142080015449
0.68,-8.338893035168049
0.69,-9.7156426456879
0.7,-14.254892157707316
0.71,-9.209846778946227
0.72,-9.7270073627235
0.73,-12.706452254861858
0.74,-15.170193978259874
0.75,-9.668718016004238
0.76,-11.062559244602667
0.77,-18.359482901786805
0.78,-10.953360537678371
0.79,-9.857132418765117
0.8,-14.499073159852166
0.81,-11.533602243532009
0.82,-9.949977322579514
0.83,-14.293282892639105
0.84,-16.89295301397548
0.85,-10.000965225135376
0.86,-10.918816727263021
0.87,-16.926381751727707
0.88,-13.918119988356983
0.89,-13.568599728376189
0.9,-16.778784493543284
0.91,-16.587003259276038
0.92,-13.81086927315211
0.93,-14.602401998979015
0.94,-23.733254692103664
0.95,-13.267942525237347
0.96,-13.777137620513395
0.97,-18.049085578547405
0.98,-17.057619360529152
0.99,-13.940521597352781
1.0,-14.72139846936124
1.01,-23.46844493744492
1.02,-15.142875064688221
1.03,-14.489229197418041
1.04,-17.837810899085618
1.05,-19.301985253162048
1.06,-16.76050994516941
1.07,-17.40841740477151
1.08,-24.23643917151656
1.09,-16.742273764550756
1.1,-16.28282099463285
1.11,-20.028675091181366
1.12,-18.65864102711311
1.13,-15.362316506876256
1.14,-16.17464305245918
1.15,-19.537524023057244
1.16,-16.53170733809852
1.17,-15.777714375949463
1.18,-19.214371165675026
1.19,-17.18511745561064
1.2,-16.025757777217294
1.21,-15.12924776184197
1.22,-16.066110414896638
1.23,-14.290535062929992
1.24,-15.145906259846559
1.25,-15.533387529506975
1.26,-17.948036764952505
1.27,-15.10960154810821
1.28,-14.675327009047344
1.29,-13.961658373442473
1.3,-17.198546774126005
1.31,-14.006745535398107
1.32,-14.330463927650328
1.33,-15.667559879197023
1.34,-13.247208102157046
1.35,-15.407502867553209
1.36,-14.909642672605507
1.37,-15.040438827935612
1.38,-13.724210136366576
1.39,-13.881348704248374
1.4,-13.642230920406407
1.41,-13.191350098473645
1.42,-12.440421863603458
1.43,-12.066684117617282
1.44,-12.410499152003489
1.45,-13.329214574171012
1.46,-12.172604389863448
1.47,-11.512625442766769
1.48,-12.048625024235154
1.49,-13.538313288956985
1.5,-15.410627850367295
1.51,-16.09818974052842
1.52,-16.581636629733634
1.53,-17.264071879127894
1.54,-17.359383235720838
