seconds_elapsed,dBFS
0.0,-1.6836538282101488
0.01,-1.4949092015971608
0.02,-1.3788766882155465
0.03,-1.6736846466873994
0.04,-1.6544219007299281
0.05,-1.6476900193647603
0.06,-1.630723197391212
0.07,-1.5660419279852122
0.08,-1.8149586187146596
0.09,-1.73011289848287
0.1,-1.7592765172786484
0.11,-1.8588433818328463
0.12,-2.0326133957334718
0.13,-1.7152447772864432
0.14,-1.8355633934040059
0.15,-1.6730418664282394
0.16,-1.6541012166133695
0.17,-2.0964904072318626
0.18,-2.3110267662251522
0.19,-2.4694894869991186
0.2,-2.712015123937761
0.21,-0.9989623003609382
0.22,-1.4672461081791501
0.23,-3.625555244702241
0.24,-3.9139728316679676
0.25,-5.341685266939935
0.26,-7.34558643764661
0.27,-10.257902536224709
0.28,-12.18014282285371
0.29,-15.441939671003244
0.3,-19.21921549911798
0.31,-18.550291726467236
0.32,-20.24680996576697
0.33,-21.672077785219845
0.34,-22.09008152543887
0.35,-25.37902708327834
0.36,-25.859871965609422
0.37,-25.528016836390528
0.38,-26.69501467327366
0.39,-25.443275777525432
0.4,-26.352364832616296
0.41,-32.51176427403059
0.42,-37.034980191401395
0.43,-12.486058090218936
0.44,-5.402200645287873
0.45,-1.8818567289315082
0.46,-2.6603723624793996
0.47,-2.857754333484364
0.48,-3.8003275322554213
0.49,-1.7751957524304764
0.5,-1.045179017214143
0.51,-1.1036741176566558
0.52,-1.0072929480457022
0.53,-1.0757273123768594
0.54,-1.7207365533446903
0.55,-1.0901402414151793
0.56,-0.9763907355665056
0.57,-0.9264079513061911
0.58,-1.8430979678520463
0.59,-0.9846997525945995
0.6,-1.2481387848980434
0.61,-1.2291852998297597
0.62,-1.5972072374622366
0.63,-1.74533057195547
0.64,-1.4496880825009395
0.65,-2.2809878835634763
0.66,-1.909223230586057
0.67,-1.5277159419733646
0.68,-0.9639420944730495
0.69,-1.3364179705759862
0.7,-2.9065121664812095
0.71,-2.6614526298320844
0.72,-4.244645427720982
0.73,-7.525905531056273
0.74,-3.028490762185389
0.75,-6.495642777781379
0.76,-3.080864358007604
0.77,-2.2754747830051327
0.78,-2.2827114453586077
0.79,-3.9077355072947606
0.8,-4.209714662440566
0.81,-4.489618520224024
0.82,-2.0772779308071083
0.83,-1.8617988271929262
0.84,-1.5015236628672337
0.85,-1.233155992304882
0.86,-3.22952065277424
0.87,-2.247274934410961
0.88,-2.4687850352843714
0.89,-2.800482103347495
0.9,-3.0472938384076578
0.91,-3.7822814806193295
0.92,-3.294737004149764
0.93,-4.7889588999533546
0.94,-8.836830930070224
0.95,-9.551707583706872
0.96,-7.375277586243848
0.97,-3.514406325502273
0.98,-2.50124909284878
0.99,-1.8188795711062922
1.0,-4.1505246269567255
1.01,-8.100571769715232
1.02,-7.755242948397347
1.03,-3.4388574569058354
1.04,-1.1932264028311974
1.05,-0.7347835889391721
1.06,-0.7480634440653506
1.07,-1.0031266254615234
1.08,-1.5315093210654582
1.09,-1.8529355062466646
1.1,-1.4534475298330929
1.11,-2.8067050053498583
1.12,-2.606887430341253
1.13,-3.108496915406408
1.14,-4.734383844254733
1.15,-3.979107914748135
1.16,-6.057789539771483
1.17,-4.229534648388232
1.18,-1.7901669388164496
1.19,-1.349412464871064
1.2,-1.019505830085237
1.21,-0.8200111042786937
1.22,-1.8345811044984561
1.23,-2.2000223729628408
1.24,-2.3547163631049397
1.25,-4.5230181216260315
1.26,-6.7628870123571545
1.27,-7.963572786079073
1.28,-12.444863637997399
1.29,-8.048859899175655
1.3,-10.046353178274291
1.31,-13.46180723258086
1.32,-15.595424181076265
1.33,-17.246678835883017
1.34,-18.337565429551535
1.35,-18.61107181644536
1.36,-18.3091551475124
1.37,-22.828703893356128
1.38,-20.743442060802266
1.39,-24.42408437643199
1.4,-24.00639235552232
1.41,-25.9382885948638
1.42,-27.536630021204505
1.43,-27.129693491526155
1.44,-26.992246205391794
1.45,-30.34381193072038
1.46,-30.205388449118754
1.47,-32.47824954574307
1.48,-33.76161323811785
1.49,-33.39463833986118
1.5,-35.70951298520325
1.51,-35.17627653427739
1.52,-35.50174490930948
1.53,-18.41893782279257
1.54,-7.124876026267848
1.55,-4.53552030390407
1.56,-0.8500686401186598
1.57,-2.093454031650162
1.58,-3.3141260242953416
1.59,-4.70426250700057
1.6,-3.330446315626521
1.61,-2.5125694409839023
1.62,-2.4178639119212306
1.63,-1.2090543530051587
1.64,-1.8054902846816587
1.65,-1.3534385133019375
1.66,-1.0847325899716538
1.67,-0.7662840799718946
1.68,-0.7686005488693303
1.69,-0.8448083609226533
1.7,-0.8682118027547446
1.71,-0.790637870404995
1.72,-0.6787129322737806
1.73,-0.8229247568631466
1.74,-0.9879661852075372
1.75,-1.1184350275252144
1.76,-1.216369300146514
1.77,-1.0496646809991235
1.78,-0.9054947660907684
1.79,-0.7434420608022657
1.8,-0.8858058595548417
1.81,-1.241408619660207
1.82,-2.18705580971227
1.83,-1.1828929313127396
1.84,-1.0102701167597048
1.85,-1.6486513973256447
1.86,-1.5053056177766493
1.87,-1.3866470718348645
1.88,-1.0049119475817616
1.89,-1.480123634093252
1.9,-2.3300706011682264
1.91,-1.2035721825687709
