seconds_elapsed,dBFS
0.0,-37.302848236555626
0.01,-35.645053397062966
0.02,-38.13847802765047
0.03,-42.96188027867397
0.04,-41.81136596657302
0.05,-20.00477261263832
0.06,-16.380123436414372
0.07,-17.573224918506863
0.08,-17.631553446027702
0.09,-18.736214499832908
0.1,-21.160444840264667
0.11,-19.532498920436282
0.12,-17.839877737795685
0.13,-17.837810899085618
0.14,-19.86011402906796
0.15,-22.858122684012947
0.16,-22.94326100115174
0.17,-34.63092711373966
0.18,-33.90496950948155
0.19,-37.619453295979724
0.2,-45.59842976104338
0.21,-44.33193717100022
0.22,-41.490817057890006
0.23,-23.939384195704008
0.24,-19.834069362963064
0.25,-19.277559225709282
0.26,-18.590764492805675
0.27,-17.489437552027717
0.28,-17.475551234700625
0.29,-18.7821716950785
0.3,-18.94966056273127
0.31,-21.082030026234698
0.32,-19.459959751674827
0.33,-20.450998477020292
0.34,-31.802756869201367
0.35,-33.11422737525142
0.36,-35.83988525849064
0.37,-41.33487230109275
0.38,-39.88623702511363
0.39,-42.38501175727962
0.4,-38.57725260575926
0.41,-22.792069973011237
0.42,-21.946288730689712
0.43,-21.601668566941132
0.44,-18.04485165711916
0.45,-18.476577934927974
0.46,-17.5752297401287
0.47,-16.13718179618748
0.48,-16.37313699755947
0.49,-16.32091706288761
0.5,-22.100202974987425
0.51,-30.326387873446933
0.52,-29.28594825024673
0.53,-35.39189479571978
0.54,-36.81177588443812
0.55,-37.98999766606634
0.56,-35.85632024851811
0.57,-38.42114769168582
0.58,-37.70044119869388
0.59,-34.616652846536844
0.6,-27.22660818887742
0.61,-24.6837849580941
0.62,-21.26406720878561
0.63,-22.24315579602927
0.64,-21.857201902164714
0.65,-21.09404786231042
0.66,-19.839272052329797
0.67,-20.1249482525723
0.68,-19.008580132288483
0.69,-18.293895706401994
0.7,-17.792464433480134
0.71,-17.927132086659505
0.72,-18.487706558664375
0.73,-20.170784188163996
0.74,-20.529528204664192
0.75,-15.897544291909135
0.76,-15.613002107417417
0.77,-14.004086860863097
0.78,-14.06276651657188
0.79,-14.521615627364724
0.8,-14.909642672605507
0.81,-14.451363791486415
0.82,-13.364951419575881
0.83,-13.214378354915512
0.84,-12.875205385484051
0.85,-10.002642037812024
0.86,-10.80312039207023
0.87,-10.207105197743385
0.88,-5.185712593602066
0.89,-6.689287083459749
0.9,-5.043854158913035
0.91,-5.038170915762796
0.92,-4.7903391827602
0.93,-3.7663174008227998
0.94,-4.432469931470803
0.95,-4.026174633982941
0.96,-4.896819282730796
0.97,-3.2966739596777304
0.98,-3.557816946619643
0.99,-3.808542693785318
1.0,-4.936971284401092
1.01,-3.2661204503627066
1.02,-2.9009576997444437
1.03,-4.376133586336771
1.04,-3.2873805099340463
1.05,-4.612716751569733
1.06,-4.473632215763987
1.07,-3.47318830134076
1.08,-3.2846717924075186
1.09,-3.711688984034207
1.1,-4.656556441633106
1.11,-4.192087062025283
1.12,-3.5802043028587875
1.13,-3.7986854319313954
1.14,-2.643106331920137
1.15,-2.5221324741528
1.16,-2.8820990375523925
1.17,-2.0289295992516463
1.18,-1.6605171495672757
1.19,-2.3200241029097306
1.2,-3.0412724242059785
1.21,-2.976431073335001
1.22,-2.9313655756676793
1.23,-4.449707791535778
1.24,-5.460655010839978
1.25,-6.459322301141092
1.26,-5.754863057980933
1.27,-7.606345671658861
1.28,-13.350145922289885
1.29,-20.230462615324146
1.3,-22.37455312911889
1.31,-22.7446757041968
1.32,-23.737329704910316
1.33,-28.050199177512752
1.34,-29.624453483783345
1.35,-32.80777343136036
1.36,-36.072854118370536
1.37,-36.225988362398375
1.38,-35.75817355862323
1.39,-35.54925217252573
1.4,-37.65985285549987
1.41,-44.87216656846438
1.42,-44.24507755078458
1.43,-48.581802085699394
1.44,-49.481144996029855
1.45,-49.885212717795596
1.46,-50.22257122354151
1.47,-50.136995263955995
1.48,-51.41934525619099
1.49,-50.84644162720038
1.5,-42.704773864962235
1.51,-31.948391963496753
1.52,-28.72537377824186
1.53,-24.146251126433587
1.54,-21.762522972049414
1.55,-20.848022597423604
1.56,-21.443738950020457
1.57,-22.67226269922749
1.58,-24.137710427969576
1.59,-29.293672474533512
1.6,-31.128170852772485
1.61,-30.87420688143879
1.62,-35.677223395459585
1.63,-40.85386971285011
1.64,-35.93896492184887
1.65,-36.364411844
1.66,-29.968331913218748
1.67,-31.875269189522314
1.68,-29.170901672464904
1.69,-28.85664916828962
1.7,-28.482695505249897
1.71,-25.290844705177236
1.72,-23.603853570503723
1.73,-21.54131655850008
1.74,-20.691620225451
1.75,-24.6565564416331
1.76,-33.76161323811785
1.77,-35.100549030730114
1.78,-33.0069192063718
1.79,-37.844012891236346
1.8,-42.455059634001046
1.81,-46.787173518080735
1.82,-46.61517008284237
1.83,-41.9098837293992
1.84,-37.65985285549987
1.85,-34.433191005377985
1.86,-30.52000234586052
1.87,-27.97020576817924
1.88,-25.508003256941404
1.89,-24.761399205849266
1.9,-25.553098833715904
1.91,-30.069136406009214
1.92,-39.730664693641266
1.93,-37.53921356010161
1.94,-44.508306471944
1.95,-44.33193717100022
1.96,-50.754526593417395
1.97,-50.05225420509091
1.98,-51.518613646821976
1.99,-50.48447718534446
2.0,-44.41967417596249
2.01,-43.61992367617574
2.02,-32.55665269247964
2.03,-24.661088604343846
2.04,-24.76598641991842
2.05,-24.807380730057183
2.06,-25.943541627765406
2.07,-28.510896470406397
2.08,-34.05073156633725
2.09,-34.503295418529525
2.1,-35.613002107417415
2.11,-36.10665139695803
2.12,-37.16788164205228
2.13,-38.944964217854455
2.14,-39.78221315139747
2.15,-40.82467341766925
2.16,-37.53921356010161
2.17,-40.48176482250891
2.18,-33.247208102157046
2.19,-31.099583148508376
2.2,-25.73585953701565
2.21,-27.220519236901417
2.22,-30.326387873446933
2.23,-33.34521635936638
2.24,-36.793431865712655
2.25,-35.97224423320387
2.26,-35.17627653427739
2.27,-34.951046378832544
2.28,-37.927132086659505
2.29,-38.7821716950785
2.3,-40.94205209095121
2.31,-43.1122890523966
2.32,-39.03937699130614
2.33,-36.666097171717716
2.34,-36.75685964478449
2.35,-34.70265245639133
2.36,-38.66773144096018
2.37,-36.922661087872115
2.38,-36.77512650669703
2.39,-35.82348130717857
2.4,-35.97224423320387
2.41,-34.32218771012272
2.42,-31.679841285414255
2.43,-32.01156234839335
2.44,-28.783473591110003
2.45,-26.35787443612363
2.46,-23.074441978842497
2.47,-20.51826610955245
2.48,-17.25827032733385
2.49,-17.084106520007687
2.5,-17.551202367578547
2.51,-16.784274363928127
2.52,-16.891099628790155
2.53,-15.598617522890933
2.54,-13.812169264120344
2.55,-13.573657751310249
2.56,-12.566784636696685
2.57,-13.625673020341955
2.58,-11.552625005227238
2.59,-13.371127832861854
2.6,-12.32791733923094
2.61,-9.67759805637235
2.62,-10.593286343742253
2.63,-8.30089846787658
2.64,-8.520788479523468
2.65,-9.09202123841821
2.66,-9.00487613810812
2.67,-5.558626606532215
2.68,-7.6490846853490515
2.69,-8.94899417629092
2.7,-3.9060729769732783
2.71,-4.580767581274795
2.72,-4.561923244899428
2.73,-6.927271549453903
2.74,-8.245928648220731
2.75,-7.461209376817636
2.76,-5.47806908726339
2.77,-4.049803981552245
2.78,-4.141979727459842
2.79,-2.687780631536549
2.8,-3.8225263251826336
2.81,-2.64670059235298
2.82,-4.0287032772724345
2.83,-4.668798712353281
2.84,-3.8167656326159416
2.85,-2.6398727686992967
2.86,-3.2750046910890305
2.87,-2.363411122122506
2.88,-2.4227674345698262
2.89,-2.3888497450911266
2.9,-2.0035205121365887
2.91,-1.9535880768558542
2.92,-2.7348646286153047
2.93,-3.4554140274448226
2.94,-3.8439566957606157
2.95,-3.3612273406137634
2.96,-4.922476484989623
2.97,-3.8940291394508835
2.98,-2.2486484147487475
2.99,-2.3728112481067223
3.0,-2.18705580971227
3.01,-2.0678557653912364
3.02,-1.9036110176298515
3.03,-2.1673019840390055
3.04,-2.0948034008680487
3.05,-2.0373041247061723
3.06,-2.201729941654928
3.07,-3.885732763980779
3.08,-3.853865497639185
3.09,-1.6820451215883843
3.1,-2.377340865526697
3.11,-2.630538120151147
3.12,-2.422066761828103
3.13,-2.776729682038475
3.14,-2.696815446512116
3.15,-3.3452387633485534
3.16,-3.164790319071928
3.17,-3.9485672217906354
3.18,-3.3768543670717017
3.19,-5.4229613747708205
3.2,-7.81695814132759
3.21,-6.629942973862759
3.22,-8.911198769055591
3.23,-11.595830977181675
3.24,-11.778034206481982
3.25,-17.048179201314873
3.26,-17.66998217401002
3.27,-19.746097134132228
3.28,-21.154387734274387
3.29,-21.456268183549724
3.3,-26.017419627784374
3.31,-24.830463097183845
3.32,-29.75385460538329
3.33,-30.026992268801944
3.34,-33.67160321358432
3.35,-28.82730491862948
3.36,-28.117427761106622
3.37,-28.09720449320938
3.38,-27.22660818887742
3.39,-25.31036356651046
3.4,-24.544014187754634
3.41,-23.603853570503723
3.42,-21.224300784229047
3.43,-19.067902106066782
3.44,-17.61340953627532
3.45,-18.36606894252045
3.46,-26.986319293092173
3.47,-29.332396968627354
3.48,-31.38978462764298
3.49,-33.865637111834005
3.5,-37.38092417473297
3.51,-34.63092711373966
3.52,-41.091041844063405
3.53,-44.508306471944
3.54,-35.741923058769785
3.55,-25.155427201810664
3.56,-20.063317433557284
3.57,-19.245907735801847
3.58,-17.769879670485413
3.59,-17.32035423436202
3.6,-16.76050994516941
3.61,-16.913366395023626
3.62,-17.821293870789056
3.63,-21.27633975005454
3.64,-26.09727820109122
3.65,-26.986319293092173
3.66,-27.943704177404772
3.67,-30.600469217534325
3.68,-31.379953398932898
3.69,-34.33598579028897
3.7,-37.53921356010161
3.71,-42.178195090515246
3.72,-46.17248117855736
3.73,-31.061611985793935
3.74,-23.652153359307327
3.75,-20.71749249569459
3.76,-18.624636456846257
3.77,-18.192127918032572
3.78,-17.48745243268687
3.79,-18.6268992912053
3.8,-28.496784542626223
3.81,-27.683042767241894
3.82,-27.5682496034041
3.83,-31.813078783236115
