seconds_elapsed,dBFS
0.0,-8.622478798857816
0.01,-10.434103568105112
0.02,-12.301656126064952
0.03,-14.108382971077567
0.04,-15.75817355862323
0.05,-12.432654219845096
0.06,-12.543161792064051
0.07,-14.086886558835749
0.08,-15.6546918921945
0.09,-14.27680893864798
0.1,-10.728052160235062
0.11,-11.326079650795482
0.12,-14.27818057538799
0.13,-12.273295793122372
0.14,-13.993460293227102
0.15,-8.86988649313475
0.16,-12.093310003337614
0.17,-11.403567069040161
0.18,-10.97771701724815
0.19,-11.08247558050014
0.2,-11.582746025950495
0.21,-12.246113291003587
0.22,-13.113027749583043
0.23,-13.524467218925649
0.24,-11.690018075843899
0.25,-11.064454072192657
0.26,-11.212575038158494
0.27,-13.238684764055783
0.28,-10.43762904339981
0.29,-10.177110975511617
0.3,-12.271118059717942
0.31,-10.905781838448084
0.32,-15.03744420986145
0.33,-6.113874254017194
0.34,-9.863731385569185
0.35,-8.250039339086886
0.36,-9.359607206797229
0.37,-9.330844669518934
0.38,-12.352060067602924
0.39,-11.389784627642987
0.4,-11.910709086005726
0.41,-12.291828605154524
0.42,-13.924702701546675
0.43,-14.487823827357849
0.44,-8.977262769780468
0.45,-12.3773721490797
0.46,-13.439359838395204
0.47,-12.743159714198438
0.48,-15.77608429437612
0.49,-12.771945747167488
0.5,-11.90235726840257
0.51,-13.138254747801577
0.52,-10.479160920991168
0.53,-12.9690824369814
0.54,-11.292942239901187
0.55,-14.766264449110905
0.56,-14.930319855458729
0.57,-11.662568059408493
0.58,-13.494334006958223
0.59,-11.204867948355524
0.6,-12.27874251659556
0.61,-13.435624239611482
0.62,-11.679841285414255
0.63,-10.821528557565891
0.64,-11.290996911866614
0.65,-15.73380919583687
0.66,-11.19428185364104
0.67,-11.644316124898195
0.68,-6.707628681169994
0.69,-8.601759825471769
0.7,-6.506848932913455
0.71,-13.510643185620737
0.72,-8.771822496622487
0.73,-11.914888008211937
0.74,-8.830234886489299
0.75,-8.803900688536356
0.76,-9.627665127243143
0.77,-9.425261683847085
0.78,-14.03204361461727
0.79,-13.535794179415529
0.8,-8.997404404625389
0.81,-8.957167733164114
0.82,-11.558640858847424
0.83,-7.862714739818232
0.84,-7.813699017940111
0.85,-8.938602579176134
0.86,-10.201098061460234
0.87,-9.147314204175858
0.88,-10.36214488716191
0.89,-9.507241829796742
0.9,-11.330963479790084
0.91,-9.86538191092105
0.92,-10.15148382384265
0.93,-10.471192620473857
0.94,-10.357776386522591
0.95,-11.007788286970385
0.96,-11.606918276165366
0.97,-9.888522258562656
0.98,-11.045524371689325
0.99,-11.838937360352267
1.0,-9.16252459180867
1.01,-12.628960203818615
1.02,-10.165142228053544
1.03,-8.132288140502244
1.04,-9.258967430918743
1.05,-5.8028130646771015
1.06,-11.501657779481054
1.07,-9.183863982191577
1.08,-10.599571033402604
1.09,-11.024749239797973
1.1,-14.289161473990928
1.11,-9.735947226531987
1.12,-9.737573645343605
1.13,-9.020587730522486
1.14,-7.674059797176781
1.15,-9.377534745954252
1.16,-12.042260180541893
1.17,-12.454865943081046
1.18,-8.89420744221039
1.19,-9.0588631950207
1.2,-10.995559274792225
1.21,-6.531553483767593
1.22,-8.080387663874756
1.23,-11.219324356083316
1.24,-12.573545838105595
1.25,-8.225404324781318
1.26,-12.75121019176468
1.27,-10.71712078221575
1.28,-6.716814024670349
1.29,-8.09585794803374
1.3,-6.049806918459634
1.31,-11.993617379520675
1.32,-11.005905779455851
1.33,-11.437130043826977
1.34,-12.276563417327216
1.35,-8.152593354233398
1.36,-8.954937818393047
1.37,-14.622359738751392
1.38,-10.862164372679395
1.39,-9.355714807163158
1.4,-4.985305866176228
1.41,-7.088829953074319
1.42,-8.472846759160857
1.43,-10.7417357575167
1.44,-14.646655949385014
1.45,-8.239766257300262
1.46,-10.937471995684405
1.47,-10.21139855438167
1.48,-7.394507201580993
1.49,-8.200157603160456
1.5,-9.570036455288793
1.51,-9.546136899795508
1.52,-8.739862338128507
1.53,-12.383987449961595
1.54,-8.610327200460034
1.55,-9.972508825844598
1.56,-8.399334982603545
1.57,-9.212143114620691
1.58,-10.472077626296423
1.59,-11.703265754283965
1.6,-11.39076836280889
1.61,-11.196205638729317
1.62,-8.205610139207725
1.63,-7.93246544052856
1.64,-9.44253922770285
1.65,-8.31262450688975
1.66,-9.848067017684254
1.67,-9.838188268097277
1.68,-10.944945336337364
1.69,-12.33559183988376
1.7,-11.974657147218108
1.71,-12.864707431242646
1.72,-10.894624624790572
1.73,-9.022085555950937
1.74,-9.898458453703102
1.75,-9.389246585975009
1.76,-6.875639521698621
1.77,-8.177022434943618
1.78,-12.0709387783137
1.79,-10.522672599395328
1.8,-7.945688994331882
1.81,-12.290737344440977
1.82,-13.061599956736709
1.83,-9.013102475286694
1.84,-11.211611277864792
1.85,-9.535006238781897
1.86,-8.405611670559255
1.87,-10.359523523134751
1.88,-8.072327136217423
1.89,-10.053097536286106
1.9,-8.556919225438197
1.91,-7.987475264622123
1.92,-7.406936036266725
1.93,-8.104614225406285
1.94,-12.347665486361663
1.95,-13.634584890301692
1.96,-11.422306859778715
1.97,-11.929530089335273
1.98,-11.323150670953845
1.99,-9.393935747311533
2.0,-8.584650385327496
2.01,-7.980164748408121
2.02,-9.289037115726677
2.03,-8.218573646827785
2.04,-8.839764113597658
2.05,-12.581440564022914
2.06,-11.834794811263102
2.07,-13.271606684599032
2.08,-12.412712117528342
2.09,-6.728309380554231
2.1,-7.396370393387802
2.11,-9.519129996675685
2.12,-10.590594296723008
2.13,-7.0350397813429755
2.14,-7.9463507007762715
2.15,-12.308213989447863
2.16,-7.052335821631157
2.17,-7.527166548717905
2.18,-6.790648568992484
2.19,-8.11472860333535
2.2,-6.685280016629762
2.21,-12.88104306944468
2.22,-9.040079636733696
2.23,-11.745179738419218
2.24,-12.807773431360356
2.25,-7.858128217819271
2.26,-7.772738498363304
2.27,-9.123790616759743
2.28,-6.728884547897954
2.29,-5.984096745077912
2.3,-7.582198768533481
2.31,-9.059615382909291
2.32,-8.420274938835234
2.33,-12.419354398992546
2.34,-10.377889706527053
2.35,-9.786508364285352
2.36,-10.469422879302684
2.37,-6.655570965684786
2.38,-7.179832994385231
2.39,-11.710407497502601
2.4,-10.650012927704385
2.41,-13.520694845516486
2.42,-13.012846118671417
2.43,-12.249370703244299
2.44,-9.117730341169004
2.45,-8.671975268845275
2.46,-6.251606944890145
2.47,-5.149190956807745
2.48,-10.991799963052923
2.49,-12.092243399340688
2.5,-8.529276320236097
2.51,-9.08070313365289
2.52,-11.698168101905669
2.53,-10.872353100695856
2.54,-7.276699258874105
2.55,-7.895546233542206
2.56,-7.8071844375416735
2.57,-10.860313160047056
2.58,-11.585763880971205
2.59,-12.883379242034895
2.6,-8.758007090158486
2.61,-10.793012505606207
2.62,-5.643998508372352
2.63,-9.743268510668807
2.64,-9.947477426278454
2.65,-13.476804455825649
2.66,-9.295218144016738
2.67,-9.26127679140686
2.68,-10.82429315033383
2.69,-13.514411195066598
2.7,-7.790919331035885
2.71,-6.772131009119581
2.72,-10.003480565556853
2.73,-8.408402766225324
2.74,-10.605860273653224
2.75,-12.350961213829802
2.76,-13.511899007156657
2.77,-10.785668696554854
2.78,-14.253524193354842
2.79,-10.479160920991168
2.8,-6.554637047842262
