seconds_elapsed,dBFS
0.0,-67.3864379856296
0.01,-67.3864379856296
0.02,-66.78717351808073
0.03,-70.30899869919435
0.04,-66.22659904607586
0.05,-68.72537377824186
0.06,-64.73392668013777
0.07,-66.22659904607586
0.08,-69.48114499602985
0.09,-68.72537377824186
0.1,-69.48114499602985
0.11,-68.72537377824186
0.12,-67.3864379856296
0.13,-68.72537377824186
0.14,-66.78717351808073
0.15,-68.03013165305762
0.16,-66.22659904607586
0.17,-68.72537377824186
0.18,-67.3864379856296
0.19,-66.22659904607586
0.2,-62.704773864962235
0.21,-60.76657360480111
0.22,-51.41934525619099
0.23,-49.32463824579072
0.24,-51.82341297795672
0.25,-54.745973691521485
0.26,-55.66112350273499
0.27,-57.43994516947061
0.28,-59.18294868384861
0.29,-59.67942035834925
0.3,-60.20599913279624
0.31,-62.704773864962235
0.32,-62.3501985257536
0.33,-64.28839878591474
0.34,-61.68172341601461
0.35,-62.3501985257536
0.36,-66.78717351808073
0.37,-65.70002027162887
0.38,-61.36583807234997
0.39,-64.73392668013777
0.4,-64.28839878591474
0.41,-64.73392668013777
0.42,-68.03013165305762
0.43,-65.70002027162887
0.44,-65.70002027162887
0.45,-64.73392668013777
0.46,-67.3864379856296
0.47,-66.78717351808073
0.48,-67.3864379856296
0.49,-64.28839878591474
0.5,-65.20354859712823
0.51,-64.73392668013777
0.52,-68.03013165305762
0.53,-66.78717351808073
0.54,-69.48114499602985
0.55,-65.20354859712823
0.56,-68.03013165305762
0.57,-65.70002027162887
0.58,-68.03013165305762
0.59,-63.46054508275023
0.6,-66.22659904607586
0.61,-63.074441978842486
0.62,-63.46054508275023
0.63,-66.78717351808073
0.64,-66.22659904607586
0.65,-64.28839878591474
0.66,-68.03013165305762
0.67,-66.22659904607586
0.68,-65.20354859712823
0.69,-66.22659904607586
0.7,-64.73392668013777
0.71,-66.22659904607586
0.72,-66.78717351808073
0.73,-66.78717351808073
0.74,-67.3864379856296
0.75,-67.3864379856296
0.76,-67.3864379856296
0.77,-66.78717351808073
0.78,-66.22659904607586
0.79,-66.22659904607586
0.8,-67.3864379856296
0.81,-65.70002027162887
0.82,-68.03013165305762
0.83,-70.30899869919435
0.84,-65.70002027162887
0.85,-66.78717351808073
0.86,-60.76657360480111
0.87,-63.86461280451597
0.88,-60.76657360480111
0.89,-58.94496421785445
0.9,-61.68172341601461
0.91,-63.46054508275023
0.92,-66.22659904607586
0.93,-63.86461280451597
0.94,-65.20354859712823
0.95,-66.22659904607586
0.96,-68.03013165305762
0.97,-68.72537377824186
0.98,-66.78717351808073
0.99,-64.73392668013777
