seconds_elapsed,dBFS
0.0,-38.37705678666515
0.01,-39.86011402906796
0.02,-42.31552426957359
0.03,-50.939339728115655
0.04,-54.32218771012272
0.05,-55.50174490930948
0.06,-54.60240199897902
0.07,-50.84644162720038
0.08,-55.34523815907035
0.09,-51.619029674323
0.1,-49.247429829525956
0.11,-50.30899869919435
0.12,-48.44056499594966
0.13,-46.84527333094888
0.14,-45.44823772546847
0.15,-45.34953337195822
0.16,-46.787173518080735
0.17,-51.22414851040786
0.18,-53.65882044506962
0.19,-54.05073156633725
0.2,-52.57918419574472
0.21,-55.823481307178575
0.22,-54.32218771012272
0.23,-52.57918419574472
0.24,-53.40703789890922
0.25,-53.787502645177824
0.26,-55.19150158574453
0.27,-50.939339728115655
0.28,-40.623001912258644
0.29,-33.633311206064775
0.3,-33.55722993448413
0.31,-35.872786394943425
0.32,-34.57397025628313
0.33,-37.88547306369365
0.34,-50.39629480724336
0.35,-55.0404388279356
0.36,-57.24474842368748
0.37,-54.60240199897902
0.38,-56.15759517723562
0.39,-57.053842065562876
0.4,-55.823481307178575
0.41,-55.0404388279356
0.42,-54.18539921951661
0.43,-44.33193717100022
0.44,-34.13128135199811
0.45,-34.03737892783052
0.46,-32.15002826694891
0.47,-30.95803917481711
0.48,-35.055427424645636
0.49,-45.300598653016465
0.5,-52.03272165152002
0.51,-55.0404388279356
0.52,-55.98893182649837
0.53,-56.86704154048
0.54,-56.32959861247397
0.55,-54.60240199897902
0.56,-54.05073156633725
0.57,-44.91873981483603
0.58,-39.402856369877874
0.59,-45.54807663661845
0.6,-50.573564013869465
0.61,-54.18539921951661
0.62,-54.05073156633725
0.63,-55.66112350273499
0.64,-56.32959861247397
0.65,-56.86704154048
0.66,-56.32959861247397
0.67,-56.86704154048
0.68,-60.20599913279624
0.69,-54.60240199897902
0.7,-54.745973691521485
0.71,-56.32959861247397
0.72,-58.26779887263511
0.73,-57.053842065562876
0.74,-58.713326766858145
0.75,-57.053842065562876
0.76,-54.46116490922928
0.77,-58.26779887263511
0.78,-56.86704154048
0.79,-55.66112350273499
0.8,-55.98893182649837
0.81,-58.26779887263511
0.82,-55.823481307178575
0.83,-58.26779887263511
0.84,-56.505077098624085
0.85,-55.50174490930948
0.86,-54.891958466351475
0.87,-56.32959861247397
0.88,-57.053842065562876
0.89,-57.24474842368748
0.9,-58.053321564799646
0.91,-56.68417395168261
0.92,-57.053842065562876
0.93,-54.05073156633725
0.94,-56.68417395168261
0.95,-55.19150158574453
0.96,-58.48770655866437
0.97,-53.40703789890922
0.98,-52.92436430457484
0.99,-53.918119988356985
1.0,-57.63962958760263
1.01,-55.823481307178575
1.02,-56.32959861247397
1.03,-55.0404388279356
1.04,-55.66112350273499
1.05,-56.505077098624085
1.06,-59.42763781218885
1.07,-58.713326766858145
1.08,-55.98893182649837
1.09,-58.26779887263511
1.1,-57.43994516947061
1.11,-54.05073156633725
1.12,-56.32959861247397
1.13,-55.98893182649837
1.14,-56.86704154048
1.15,-57.43994516947061
1.16,-56.15759517723562
1.17,-56.68417395168261
1.18,-55.0404388279356
1.19,-56.505077098624085
1.2,-51.82341297795672
1.21,-54.891958466351475
1.22,-54.18539921951661
1.23,-58.053321564799646
1.24,-57.43994516947061
1.25,-55.34523815907035
1.26,-56.86704154048
1.27,-53.787502645177824
1.28,-55.19150158574453
1.29,-54.891958466351475
1.3,-58.48770655866437
1.31,-58.713326766858145
1.32,-52.807773431360346
1.33,-56.86704154048
1.34,-55.34523815907035
1.35,-57.43994516947061
1.36,-55.98893182649837
1.37,-53.28383172481285
1.38,-53.16234877056899
1.39,-54.46116490922928
1.4,-54.745973691521485
1.41,-55.34523815907035
1.42,-52.13929832162136
1.43,-52.03272165152002
1.44,-54.891958466351475
1.45,-55.98893182649837
1.46,-57.844012891236346
1.47,-56.15759517723562
1.48,-54.05073156633725
1.49,-49.885212717795596
1.5,-46.5585842824651
1.51,-44.68833135423981
1.52,-42.49029655712677
1.53,-42.31552426957359
1.54,-36.576273313948484
1.55,-36.86704154048001
1.56,-36.243171136821125
1.57,-33.25939882645723
1.58,-31.185630089687088
1.59,-29.324638245790723
1.6,-33.519437751710385
1.61,-31.548616749670153
1.62,-28.489737167279724
1.63,-31.679841285414255
1.64,-27.990135160413253
1.65,-21.362736522722994
1.66,-23.83158656838418
1.67,-31.79244720669951
1.68,-37.51926891382263
1.69,-39.67942035834925
1.7,-43.342901438231145
1.71,-47.83196587985263
1.72,-50.663574038402984
1.73,-54.46116490922928
1.74,-54.05073156633725
1.75,-48.72537377824186
1.76,-51.518613646821976
1.77,-54.32218771012272
1.78,-58.053321564799646
1.79,-56.32959861247397
1.8,-57.24474842368748
1.81,-55.66112350273499
1.82,-59.42763781218885
1.83,-58.48770655866437
1.84,-54.18539921951661
1.85,-55.66112350273499
1.86,-58.053321564799646
1.87,-53.787502645177824
1.88,-52.35645687338553
1.89,-57.844012891236346
1.9,-56.505077098624085
1.91,-58.26779887263511
1.92,-58.053321564799646
1.93,-56.15759517723562
1.94,-56.86704154048
1.95,-58.053321564799646
1.96,-54.60240199897902
1.97,-56.86704154048
1.98,-58.26779887263511
1.99,-51.7206201849085
2.0,-53.65882044506962
2.01,-49.80288139389895
2.02,-46.22659904607586
2.03,-45.59842976104338
2.04,-45.05997690458577
2.05,-42.59687322722811
2.06,-42.9246815509915
2.07,-41.84408122045819
2.08,-38.01105437853166
2.09,-34.559789208826054
2.1,-35.533387529506975
2.11,-33.826482020863374
2.12,-30.573564013869458
2.13,-37.59932376289611
2.14,-46.17248117855736
2.15,-51.128170852772485
2.16,-53.53201688444925
2.17,-56.505077098624085
2.18,-56.32959861247397
2.19,-57.63962958760263
2.2,-57.053842065562876
2.21,-53.787502645177824
2.22,-50.39629480724336
2.23,-47.20227794989312
2.24,-42.110336232568464
2.25,-41.42810278083282
2.26,-39.502409203376885
2.27,-37.51926891382263
2.28,-36.59416392714908
2.29,-34.44716669566275
