seconds_elapsed,dBFS
0.0,-17.53322535604639
0.01,-15.92568881741009
0.02,-13.431890246731136
0.03,-15.06293143343899
0.04,-17.696373818784355
0.05,-17.529235512320717
0.06,-18.076656488107638
0.07,-18.656369909401626
0.08,-16.27763899807581
0.09,-19.815884452038816
0.1,-17.99630932164604
0.11,-14.311165006057053
0.12,-17.475551234700625
0.13,-17.763730367829936
0.14,-18.087284030896903
0.15,-17.053842065562876
0.16,-16.74956364297956
0.17,-16.505077098624085
0.18,-17.601334618244387
0.19,-19.962441053306886
0.2,-17.93548792149156
0.21,-22.898736907222506
0.22,-21.393801969421734
0.23,-22.036298755223243
0.24,-21.942972872799448
0.25,-21.304016532807136
0.26,-19.343667795779453
0.27,-22.85443988148245
0.28,-22.5754530199776
0.29,-23.636023568900335
0.3,-19.904569981555156
0.31,-13.649883687102388
0.32,-15.978915423730019
0.33,-16.820962442288725
0.34,-14.32080910689182
0.35,-14.786602718134603
0.36,-17.93548792149156
0.37,-20.47336318751104
0.38,-22.618346389309387
0.39,-21.53815172347214
0.4,-20.28781345483933
0.41,-21.24875087676525
0.42,-20.574723179544648
0.43,-20.241357429719706
0.44,-21.31943071544706
0.45,-22.73740717687886
0.46,-20.414778195089106
0.47,-21.0072929480457
0.48,-21.91649148143949
0.49,-21.47195518372852
0.5,-21.620814547444354
0.51,-21.91979724347295
0.52,-21.830980328626023
0.53,-22.472660226929378
0.54,-20.815933631953104
0.55,-19.67686606053991
0.56,-15.831679410324282
0.57,-18.476577934927974
0.58,-18.74079929256964
0.59,-18.403484463152367
0.6,-19.98622716485287
0.61,-26.38547499839489
0.62,-24.517219648342422
0.63,-19.95980216838971
0.64,-15.541316228951239
0.65,-17.39269633326152
0.66,-19.163668121796274
0.67,-18.779868051081955
0.68,-17.765779651698843
0.69,-17.260203747405953
0.7,-16.232857393707786
0.71,-16.074540862649663
0.72,-15.93398400440105
0.73,-16.918942017107497
0.74,-14.672455640545799
0.75,-15.997287661330432
0.76,-14.766264449110905
0.77,-14.283669289401955
0.78,-15.611402643341805
0.79,-14.725730223904383
0.8,-12.465993141167075
0.81,-12.982070244202323
0.82,-16.75868460321921
0.83,-17.525247500479278
0.84,-16.828318690569258
0.85,-16.26728427047786
0.86,-13.993460293227102
0.87,-11.870069614606154
0.88,-12.30493443885649
0.89,-12.676741249627387
0.9,-17.242818440424777
0.91,-16.229422199026637
0.92,-13.626945584938483
0.93,-12.44375298143453
0.94,-12.28746438466926
0.95,-16.666097171717723
0.96,-23.922712617384114
0.97,-29.985051628945577
0.98,-30.87420688143879
0.99,-31.885677686439582
1.0,-32.81936234520502
1.01,-31.004964678676114
1.02,-25.885932260100255
1.03,-20.792670438567995
1.04,-20.181604357284275
1.05,-17.846081206435564
1.06,-17.784244996256348
1.07,-18.207209461562748
1.08,-16.16781988664243
1.09,-14.525848860965564
1.1,-14.85376575631371
1.11,-16.94500901522112
1.12,-16.590582855303648
1.13,-16.841207135428256
1.14,-19.679420358349255
1.15,-20.116884606963236
1.16,-17.43402499000384
1.17,-23.307916827613752
1.18,-26.507970344010236
1.19,-22.94326100115174
1.2,-22.6291029103597
1.21,-20.726133739622096
1.22,-17.89586910280194
1.23,-16.603123071458675
1.24,-18.68594085986858
1.25,-15.797299253780468
1.26,-16.922661087872115
1.27,-15.89258706378748
1.28,-15.629012968426618
1.29,-18.82374210505382
1.3,-15.797299253780468
1.31,-20.746330137184007
1.32,-22.828703893356128
1.33,-22.346724864584306
1.34,-14.717068874037867
1.35,-19.818479966666843
1.36,-16.13718179618748
1.37,-15.441939671003244
1.38,-13.771959742781481
1.39,-14.298781161306998
1.4,-15.05842825025436
1.41,-15.38565941164865
1.42,-15.872786394943425
1.43,-19.76155704264212
1.44,-18.19858823044498
1.45,-16.896660971187845
1.46,-19.671759717278167
1.47,-19.88100613688684
1.48,-20.340030635714363
1.49,-19.390492112077503
1.5,-19.0180444640754
1.51,-19.620860716436816
1.52,-17.629535583400887
1.53,-17.629535583400887
1.54,-20.467766608942377
1.55,-23.014227598086382
1.56,-21.8277081908446
1.57,-20.691620225451
