seconds_elapsed,dBFS
0.0,-3.032623947910806
0.01,-2.705859669031164
0.02,-3.0322481224715476
0.03,-2.811466705146295
0.04,-2.750858738348022
0.05,-3.0457880934722645
0.06,-2.8327430735434285
0.07,-3.1202579331145577
0.08,-3.1251947160781413
0.09,-3.1613566332721503
0.1,-2.8195309179148484
0.11,-2.755589912507897
0.12,-3.1324150653278755
0.13,-2.6744263284921512
0.14,-2.9414012667183274
0.15,-2.6301792954702012
0.16,-2.973817596667754
0.17,-3.049929520308648
0.18,-2.763602390414228
0.19,-2.684169335277116
0.2,-2.9480981750208315
0.21,-2.50124909284878
0.22,-2.6574923062046385
0.23,-2.8224652162031543
0.24,-2.876560155673933
0.25,-2.691032082411268
0.26,-2.7439485776936707
0.27,-3.016478120093553
0.28,-2.7661533660127717
0.29,-2.8643870341920863
0.3,-2.8806216569921155
0.31,-3.1957547274861575
0.32,-3.050682719202466
0.33,-3.242601814340169
0.34,-2.7040500709833957
0.35,-2.9309941059942313
0.36,-2.751950319059268
0.37,-3.3909427696634546
0.38,-2.9324800800174557
0.39,-3.157924304332727
0.4,-3.151825733158499
0.41,-2.82099794314961
0.42,-3.0997812781907945
0.43,-2.8533353451473573
0.44,-2.986518998771688
0.45,-2.9753109156154824
0.46,-3.0684017215489656
0.47,-3.1301343065476637
0.48,-3.0684017215489656
0.49,-3.3526444450161104
0.5,-3.465284133320499
0.51,-2.946981665007331
0.52,-3.4427966359475306
0.53,-3.33978598280389
0.54,-3.399171569701438
0.55,-3.180832158414733
0.56,-3.442402637642228
0.57,-3.71372119892803
0.58,-4.175781168181754
0.59,-4.338049997620238
0.6,-3.9069042023567597
0.61,-4.041357547631372
0.62,-4.490063004508237
0.63,-4.851753187416231
0.64,-8.73768751285201
0.65,-9.578017609611312
0.66,-10.726229308258159
0.67,-10.846441627200385
0.68,-11.819277824516057
0.69,-20.998367559723363
0.7,-26.956745244643756
0.71,-31.253149838312517
0.72,-31.864873150414027
0.73,-35.39189479571978
0.74,-37.53921356010161
0.75,-39.9387199016366
0.76,-41.64961288170624
0.77,-43.61992367617574
0.78,-46.22659904607586
0.79,-47.08163865449485
0.8,-48.510896470406394
0.81,-49.095041892122126
0.82,-49.80288139389895
0.83,-50.754526593417395
0.84,-47.574587356066225
0.85,-44.41967417596249
0.86,-45.49801373354236
0.87,-45.34953337195822
0.88,-44.59785251903888
0.89,-43.1884815553319
0.9,-43.82334959324051
0.91,-43.46054508275023
0.92,-42.07660457992975
0.93,-43.342901438231145
0.94,-42.77745955806411
0.95,-43.86461280451597
0.96,-45.802813064677096
0.97,-48.03013165305762
0.98,-48.37079843903322
0.99,-49.01983891465598
1.0,-51.22414851040786
1.01,-51.128170852772485
1.02,-53.65882044506962
1.03,-54.32218771012272
1.04,-54.32218771012272
