seconds_elapsed,dBFS
0.0,-28.732615037217386
0.01,-27.251006771319407
0.02,-27.87780181544434
0.03,-25.83388962604953
0.04,-25.528016836390528
0.05,-25.359353485653273
0.06,-26.346858721726324
0.07,-28.440564995949657
0.08,-25.901606050166464
0.09,-22.19865655966683
0.1,-22.05978775059513
0.11,-20.467766608942377
0.12,-19.946619756331295
0.13,-20.998367559723363
0.14,-22.93210856267793
0.15,-24.87216656846438
0.16,-33.89183891040035
0.17,-35.206753371292926
0.18,-37.034980191401395
0.19,-36.31224418184944
0.2,-34.89195846635147
0.21,-37.38092417473297
0.22,-38.8748220630206
0.23,-38.7821716950785
0.24,-44.11639535067637
0.25,-40.88316447801559
0.26,-42.7410406802316
0.27,-37.9062775997192
0.28,-38.7821716950785
0.29,-36.68417395168262
0.3,-29.600403935503394
0.31,-22.07323860831698
0.32,-18.82374210505382
0.33,-24.914071236579012
0.34,-24.01480484009088
0.35,-24.679240940392727
0.36,-21.273269988708556
0.37,-22.486766425138306
0.38,-23.37020944521454
0.39,-23.374117607097382
0.4,-23.238367517639116
0.41,-23.515995546920678
0.42,-21.44060946353801
0.43,-19.05838332194913
0.44,-18.093666803728937
0.45,-18.667731440960182
0.46,-19.351044347932415
0.47,-19.888853651022277
0.48,-19.943985673024358
0.49,-20.178898051096912
0.5,-20.111512999099972
0.51,-18.791392385581435
0.52,-18.615591009907384
0.53,-17.804808191556734
0.54,-16.350469803064257
0.55,-15.241934446364438
0.56,-16.44677638995153
0.57,-15.641842940682649
0.58,-15.830039170561488
0.59,-17.034980191401395
0.6,-17.357427614945255
0.61,-18.935579138996424
0.62,-20.631549614740884
0.63,-24.544014187754634
0.64,-28.212430626121247
0.65,-27.117654834521954
0.66,-26.10262830266972
0.67,-32.01156234839335
0.68,-34.51738445590585
0.69,-32.78464188736151
0.7,-30.663574038402984
0.71,-29.293672474533512
0.72,-28.937860797747096
0.73,-27.663804908573468
0.74,-27.257117140644958
0.75,-23.021731606879744
0.76,-21.046075964667367
0.77,-23.074441978842497
0.78,-23.811008758148088
0.79,-20.38424779585965
0.8,-21.662442853962276
0.81,-22.412963155940137
0.82,-26.2429003764247
0.83,-28.267188188957626
0.84,-30.736259731504866
0.85,-28.54627692518333
0.86,-22.958153228782827
0.87,-21.257937434615847
0.88,-22.444516371968408
0.89,-25.463140599535738
0.9,-29.77016614001377
0.91,-30.818764844447788
0.92,-30.65453094582345
0.93,-19.774461352901646
0.94,-19.262936512427274
0.95,-18.02371295202025
0.96,-16.736810368015835
0.97,-15.965578162548155
0.98,-13.784910229209304
0.99,-17.101176731145017
1.0,-18.40789690400828
1.01,-17.023682696240854
1.02,-16.000632247293233
1.03,-17.160232245135106
1.04,-17.420226909837588
1.05,-16.965545249616987
1.06,-18.000519641475478
1.07,-18.265627671614414
1.08,-19.925569422761175
1.09,-19.402856369877878
1.1,-19.973004617561866
1.11,-21.503414434482593
1.12,-21.89009058075491
1.13,-28.178381622746727
1.14,-23.006730066642813
1.15,-19.489902520671702
1.16,-20.2631881408989
1.17,-19.545067132205272
1.18,-16.604916009774065
1.19,-19.211950011753267
1.2,-19.432602596341205
1.21,-19.390492112077503
1.22,-20.947962870109606
1.23,-19.792559656061105
1.24,-20.35934795184695
1.25,-26.297460164097394
1.26,-24.266711160070336
1.27,-24.371309188423417
1.28,-25.89115371480397
1.29,-26.717962875890603
1.3,-26.792966042228766
1.31,-25.354442040999892
1.32,-26.129428353669283
1.33,-21.966210504647844
1.34,-22.9246815509915
1.35,-21.233461505385517
1.36,-21.65602549893222
1.37,-20.694491119424605
1.38,-23.856344465349892
1.39,-23.4882260656439
1.4,-26.03333271248827
1.41,-28.43356306921976
1.42,-29.16328581083006
1.43,-26.530429023977288
1.44,-27.29386990198818
1.45,-30.248409288121998
1.46,-34.117804406489
1.47,-35.37631472044278
1.48,-37.24474842368748
1.49,-36.68417395168262
1.5,-39.1108661984721
1.51,-33.944480826915246
1.52,-35.72570290533895
1.53,-34.280924498847256
1.54,-31.844118326588827
1.55,-23.37020944521454
1.56,-19.5249667133118
1.57,-19.79514820909414
1.58,-17.084106520007687
1.59,-17.12398932374114
1.6,-20.047311489891474
1.61,-20.603089924672577
1.62,-23.188481555331904
1.63,-22.850758639792225
1.64,-22.069873940586326
1.65,-20.554921435919834
1.66,-18.179221690341397
1.67,-16.780614064827155
1.68,-16.21055287472632
1.69,-13.671603213584325
1.7,-12.44597443659704
1.71,-10.429698735291979
1.72,-13.345216359366383
1.73,-14.369190888280631
1.74,-14.891958466351474
1.75,-16.73317001186948
1.76,-15.468643756391591
1.77,-17.396623934340454
1.78,-16.839364757727413
1.79,-17.605357726069006
1.8,-20.729016065727212
1.81,-21.70427163096415
1.82,-23.885318153148077
1.83,-22.755589912507897
1.84,-25.990962435113723
1.85,-27.374038426581556
1.86,-27.996788465708363
1.87,-29.811079497044656
1.88,-27.956944865392668
1.89,-32.69272685357853
1.9,-35.629012968426615
1.91,-36.666097171717716
1.92,-40.01804364598864
1.93,-40.97164629211217
1.94,-39.01567741415257
1.95,-39.1108661984721
1.96,-33.865637111834005
1.97,-13.876108348350014
1.98,-14.000100374307355
1.99,-15.298830802167434
2.0,-19.28243893911744
2.01,-15.365425271991066
2.02,-12.839099054070978
2.03,-17.60938269816979
2.04,-18.177072515608653
2.05,-18.017381359244638
2.06,-19.79773753379302
2.07,-18.697341162907016
2.08,-21.046075964667367
2.09,-19.044124676386396
2.1,-20.766573604801106
2.11,-22.079971856435606
2.12,-20.662963354725502
2.13,-20.068659309271823
2.14,-19.66155602783681
2.15,-21.512874471327752
2.16,-18.819113333487806
2.17,-16.81728665313608
2.18,-18.000519641475478
2.19,-18.68138492499462
2.2,-19.03226032590346
2.21,-19.728095283878975
2.22,-15.326645452067911
2.23,-18.100054270351933
2.24,-19.19985435510137
2.25,-15.322003487244825
2.26,-18.478802519301272
2.27,-18.030049163587364
2.28,-18.849244535230255
2.29,-19.73580579449456
2.3,-17.90003100496018
2.31,-17.339846813543907
2.32,-16.196855431102257
2.33,-16.709544813645987
2.34,-20.75210917241919
2.35,-23.93104440664462
2.36,-19.0180444640754
2.37,-22.12048132576549
2.38,-18.828373344639978
2.39,-18.91449971467118
2.4,-20.93319345720214
2.41,-17.629535583400887
2.42,-17.27956165521351
2.43,-19.053627838863974
2.44,-19.76929732799444
2.45,-17.950130002614898
2.46,-18.84460215690592
2.47,-19.679420358349255
2.48,-17.85643017660786
2.49,-22.72288834418272
2.5,-15.638633670504605
2.51,-20.082028389390096
2.52,-20.965719379812548
2.53,-21.49396468961065
2.54,-21.187754210095328
2.55,-23.591820472798
2.56,-25.463140599535738
2.57,-22.395482993795635
2.58,-23.4882260656439
2.59,-23.081998212149028
2.6,-19.103690741940063
2.61,-19.17571345674299
2.62,-19.862722796061007
2.63,-21.840804144532488
2.64,-19.161261058004214
2.65,-20.326258808446703
2.66,-22.64346569104135
2.67,-18.651829454704373
