seconds_elapsed,dBFS
0.0,-21.393801969421734
0.01,-27.473734093678598
0.02,-28.9824801919536
0.03,-29.379095412500188
0.04,-29.608413055146997
0.05,-36.81177588443812
0.06,-35.22203198497398
0.07,-37.63962958760262
0.08,-43.1122890523966
0.09,-25.823518413309202
0.1,-23.636023568900335
0.11,-20.942052090951208
0.12,-25.85466927624269
0.13,-23.769998815874377
0.14,-26.16708789080999
0.15,-31.761591438413884
0.16,-26.496762742922257
0.17,-20.594570169562758
0.18,-17.359383235720838
0.19,-19.096521208195757
0.2,-14.79096712136087
0.21,-14.423421384766357
0.22,-15.240401867685902
0.23,-19.248338375145558
0.24,-19.91243882367998
0.25,-17.099278383495
0.26,-19.363352539928293
0.27,-18.895805298763676
0.28,-21.95292424639674
0.29,-18.038504642121307
0.3,-20.915503248158394
0.31,-24.323212017440756
0.32,-19.782213151397475
0.33,-20.50701859792826
0.34,-23.939384195704008
0.35,-22.38501175727963
0.36,-20.015387816694723
0.37,-22.781109858449035
0.38,-19.740949940122007
0.39,-20.331764919336678
0.4,-22.076604579929754
0.41,-22.504431449811758
0.42,-22.11371661386743
0.43,-21.30709718176231
0.44,-21.37514937176381
0.45,-23.484266234420513
0.46,-21.54764969012448
0.47,-20.084704676466597
0.48,-19.831469186431733
0.49,-20.654384697595496
0.5,-19.925569422761175
0.51,-20.859720767054565
0.52,-19.048874957958482
0.53,-21.837528304539646
0.54,-22.75195031905927
0.55,-22.280987883563476
0.56,-21.870342433624188
0.57,-25.03627732743219
0.58,-22.444516371968408
0.59,-24.292742816832018
0.6,-22.73740717687886
0.61,-21.795054431942535
0.62,-20.71749249569459
0.63,-21.497113462397742
0.64,-21.32869237223863
0.65,-20.509829110697662
0.66,-20.67441475999404
0.67,-21.684941008064023
0.68,-22.733775192866894
0.69,-19.598053115661
0.7,-17.200466944275984
0.71,-20.29603743175612
0.72,-20.32075618574885
0.73,-22.733775192866894
0.74,-24.129178119191074
0.75,-20.865575765347092
0.76,-24.116395350676385
0.77,-19.728095283878975
0.78,-20.478963374447826
0.79,-23.234519947415375
0.8,-22.07323860831698
0.81,-23.69666535330559
0.82,-25.79247886995649
0.83,-29.528652259246115
0.84,-22.416463413750172
0.85,-19.1708933180854
0.86,-12.818202757774152
0.87,-13.249644878617989
0.88,-14.773522650952216
0.89,-18.33975468971135
0.9,-18.333188563932055
0.91,-21.979517117189943
0.92,-25.807984776433383
0.93,-27.442456099353425
0.94,-27.263231811533227
0.95,-26.237463199634906
0.96,-19.844477859880335
0.97,-21.534988041179627
0.98,-18.185672407041945
0.99,-17.341798479575726
1.0,-20.095418078550157
1.01,-23.591820472798
1.02,-24.279717236328363
1.03,-26.424263724717775
1.04,-25.513002330252384
1.05,-21.362736522722994
1.06,-14.777880485129117
1.07,-15.03744420986145
1.08,-15.028466545353611
1.09,-14.615226709165931
1.1,-18.337565429551535
1.11,-19.509921866066424
1.12,-21.166506173126184
1.13,-24.798164931168166
1.14,-25.007922929114063
1.15,-28.370798439033223
1.16,-25.664328276899685
1.17,-24.51276191684193
1.18,-23.515995546920678
1.19,-26.16708789080999
1.2,-24.839713246767428
1.21,-26.16708789080999
1.22,-25.37902708327834
1.23,-25.083741323344487
1.24,-25.4234562831575
1.25,-26.547311224895594
1.26,-28.294696967732726
1.27,-27.3184584241074
1.28,-26.712220138730626
1.29,-26.028025110955525
1.3,-26.96856278338923
1.31,-24.292742816832018
1.32,-28.718138551136235
1.33,-27.773387158954176
1.34,-29.340162628186267
1.35,-26.547311224895594
1.36,-26.717962875890603
1.37,-27.950321998401524
1.38,-26.270137431161352
1.39,-25.2713696081438
1.4,-26.248340958900144
1.41,-24.297089021395088
1.42,-25.83388962604953
1.43,-27.511416971169623
1.44,-23.615903361529533
1.45,-28.124179327430294
1.46,-27.117654834521954
1.47,-24.946804103024792
1.48,-24.463877272064835
1.49,-27.41129033345151
1.5,-26.16708789080999
1.51,-27.3184584241074
1.52,-25.92254853080762
1.53,-24.87216656846438
1.54,-24.201971310261882
1.55,-27.97684381942939
1.56,-24.33193717100022
1.57,-25.150629692913185
1.58,-24.839713246767428
1.59,-23.62796989225652
1.6,-25.05523181316043
1.61,-28.22608768811419
1.62,-25.912070978707142
1.63,-26.330361300550177
1.64,-25.0742277521436
1.65,-24.223497689651794
1.66,-26.075910688130705
1.67,-23.77409110788792
1.68,-26.666414418134387
1.69,-25.71024498103568
1.7,-26.637908026817122
1.71,-27.306155462223188
1.72,-30.162579640739466
1.73,-32.18229786309254
1.74,-36.17464305245918
1.75,-35.581068653661504
1.76,-36.77512650669703
1.77,-37.38092417473297
1.78,-37.59932376289611
1.79,-37.11067469779735
1.8,-36.97863908809674
1.81,-37.98999766606634
1.82,-37.034980191401395
1.83,-29.918365008569246
1.84,-29.27823088888781
1.85,-26.615170082842383
1.86,-24.503853311303992
1.87,-25.948797839507087
1.88,-27.87123899712073
1.89,-26.352364832616296
1.9,-26.868622510703226
1.91,-29.079949117450493
1.92,-26.672126940298906
1.93,-29.77833340872842
1.94,-25.59842976104338
1.95,-26.248340958900144
1.96,-27.83196587985264
1.97,-25.75640570777418
1.98,-29.019838914655985
1.99,-31.41934525619098
2.0,-34.21258512477111
2.01,-35.29883080216743
2.02,-35.454496073100394
2.03,-39.03937699130614
2.04,-42.56120217241977
2.05,-31.90653217337988
2.06,-28.24661362828008
2.07,-27.676625412211845
2.08,-26.821986749606754
2.09,-25.305479737515853
2.1,-27.392644409357803
2.11,-23.165553544733687
2.12,-22.843400833644438
2.13,-21.085032926744493
2.14,-17.414320150250507
2.15,-19.93345732065886
2.16,-26.418711861545013
2.17,-24.459446825838675
2.18,-21.35963608019924
2.19,-21.500263377078884
2.2,-22.836049255010003
2.21,-23.631995797143453
2.22,-25.165030176407463
2.23,-24.384472953971144
2.24,-24.701984838274242
2.25,-24.557442517620245
2.26,-25.453202509620823
2.27,-22.490296557126776
2.28,-20.055310774851087
2.29,-17.86679149196997
2.3,-19.907192136937507
2.31,-25.74099152513426
2.32,-27.3864379856296
2.33,-28.36385250532596
2.34,-33.06637111293361
2.35,-33.569863958003346
2.36,-34.53149638368602
2.37,-35.92237295951982
2.38,-34.58817449434327
2.39,-32.7270811091929
2.4,-27.799373385182477
2.41,-30.537819561622044
2.42,-24.793560695895728
2.43,-25.548076636618447
2.44,-25.573216711008495
2.45,-24.6565564416331
2.46,-21.10909357824653
2.47,-23.57980402222377
2.48,-25.21803715701488
2.49,-26.76981908745619
2.5,-26.97447758759332
2.51,-28.15801610430063
2.52,-27.884369596201925
2.53,-26.3248691159612
2.54,-28.377749931711644
2.55,-26.424263724717775
2.56,-24.575379312095755
2.57,-23.413296246541144
2.58,-21.684941008064023
2.59,-21.972861262735467
2.6,-24.544014187754634
2.61,-24.4284968172879
2.62,-24.97966079038953
2.63,-24.688331354239807
2.64,-23.591820472798
2.65,-22.20890539818697
2.66,-21.608045872395067
2.67,-25.251938079596492
2.68,-24.14197972745984
2.69,-23.249920464992606
2.7,-25.498013733542365
2.71,-24.35816534283116
2.72,-25.684705739942334
2.73,-21.500263377078884
2.74,-22.991754391143253
2.75,-22.522132474152798
2.76,-23.57980402222377
2.77,-24.375694893963733
2.78,-24.159077940930096
2.79,-26.97447758759332
2.8,-22.984276224828495
2.81,-23.006730066642813
2.82,-23.456597848127394
2.83,-27.524014347762215
2.84,-26.944943762341737
2.85,-25.354442040999892
2.86,-21.903281000356
2.87,-21.22735328457256
2.88,-26.150928091473325
2.89,-28.09047385386595
2.9,-29.46536680887903
2.91,-29.22440050192641
2.92,-22.65425338396775
2.93,-26.980396422328702
2.94,-28.28093168808774
2.95,-28.52503136309138
2.96,-26.16169794981292
2.97,-23.889465152337888
2.98,-25.79247886995649
2.99,-26.56987198988611
3.0,-30.231175374456143
3.01,-25.573216711008495
3.02,-21.847359533249737
3.03,-17.061398298869406
3.04,-13.115427166625391
3.05,-16.54416277964012
3.06,-19.85750604537082
3.07,-18.50554206726807
3.08,-20.52108026465177
3.09,-23.893614132420623
3.1,-25.638923492371667
3.11,-24.05698991396917
3.12,-21.356536743988634
3.13,-20.603089924672577
3.14,-21.769019524063612
3.15,-18.586258194578495
3.16,-18.08515748182567
3.17,-21.40314331067492
3.18,-25.679606890580725
3.19,-23.69260936927762
3.2,-21.331781787045543
3.21,-25.513002330252384
3.22,-20.304269202681574
3.23,-27.06966637191286
3.24,-25.533027444916016
3.25,-22.773810791096757
3.26,-25.443275777525432
3.27,-24.402055732521998
3.28,-22.518589382266807
3.29,-23.215307620099786
3.3,-22.586156520577987
3.31,-21.03711065545435
3.32,-21.956243906149766
3.33,-22.05978775059513
3.34,-23.081998212149028
3.35,-22.298238911355433
3.36,-26.547311224895594
3.37,-25.782156955921742
3.38,-24.271044355290194
3.39,-20.93319345720214
3.4,-24.432911500807624
3.41,-25.483050956994493
3.42,-22.472660226929378
3.43,-23.378027528224877
3.44,-24.867522949194157
3.45,-24.9280845060419
3.46,-26.603823393262655
3.47,-24.4284968172879
3.48,-27.511416971169623
3.49,-26.672126940298906
3.5,-23.135076707718145
3.51,-24.606858107858116
3.52,-26.446506732105128
3.53,-27.3184584241074
3.54,-25.36426770905907
3.55,-28.44757257167309
3.56,-28.036815677733795
3.57,-27.818914202508715
3.58,-24.258051249444645
3.59,-24.345041356998056
3.6,-29.270520378272224
3.61,-23.307916827613752
3.62,-22.04300341756932
3.63,-18.013162860066007
3.64,-16.42742945757917
3.65,-15.049428881839496
3.66,-13.717777573206504
3.67,-12.549904623018326
3.68,-12.44375298143453
3.69,-12.871704657430458
3.7,-11.656479818758713
3.71,-14.437381351831242
3.72,-14.146130183964535
3.73,-16.25005377556324
3.74,-15.191501585744529
3.75,-16.646256069534218
3.76,-16.364411844000006
3.77,-10.98428621722272
3.78,-8.952708475957555
3.79,-15.66595033789008
3.8,-21.824437285274758
3.81,-26.530429023977288
3.82,-32.81936234520502
3.83,-38.532364187310215
3.84,-43.61992367617574
3.85,-41.42810278083282
3.86,-39.603116298338946
3.87,-41.3969146337224
3.88,-39.552616797728874
3.89,-36.364411844
3.9,-39.378145429631736
3.91,-41.490817057890006
3.92,-44.82584171392076
3.93,-40.59457016956276
3.94,-37.302848236555626
3.95,-35.47021714461037
3.96,-36.81177588443812
3.97,-35.93896492184887
3.98,-37.559204108944144
3.99,-35.50174490930948
4.0,-29.520716315671613
4.01,-24.13344322589993
4.02,-19.048874957958482
4.03,-13.895776006322446
4.04,-10.958975204737529
4.05,-11.819277824516057
4.06,-13.024712089967764
4.07,-18.22880005094975
4.08,-24.715659818225248
4.09,-33.76161323811785
4.1,-31.099583148508376
4.11,-28.32920591117081
4.12,-30.528906385223618
4.13,-35.54925217252573
4.14,-39.75640068176758
4.15,-41.74630281861858
4.16,-41.81136596657302
4.17,-44.24507755078458
4.18,-48.653291292865354
4.19,-49.481144996029855
4.2,-49.247429829525956
4.21,-51.619029674323
4.22,-51.92743685167287
4.23,-51.82341297795672
4.24,-49.96833191321875
4.25,-50.39629480724336
4.26,-49.095041892122126
4.27,-49.72132314549016
4.28,-46.96265200423083
4.29,-45.20354859712824
4.3,-40.39811194826538
4.31,-32.13929832162136
4.32,-24.761399205849266
4.33,-16.648057934417363
4.34,-17.943851802386327
4.35,-22.458576900555713
