seconds_elapsed,dBFS
0.0,-19.991521824960774
0.01,-19.255634376950496
0.02,-23.35069496916053
0.03,-31.109101932626032
0.04,-31.60893567012126
0.05,-33.865637111834005
0.06,-31.42922119771892
0.07,-28.553370343003508
0.08,-28.886092890172698
0.09,-29.680829414161877
0.1,-30.7636744506485
0.11,-31.24347196584827
0.12,-30.19680979198875
0.13,-31.844118326588827
0.14,-34.70265245639133
0.15,-36.10665139695803
0.16,-39.47741382026274
0.17,-39.628476578071655
0.18,-39.9387199016366
0.19,-40.20599913279624
0.2,-40.34278762340235
0.21,-37.927132086659505
0.22,-39.75640068176758
0.23,-42.63269137958573
0.24,-40.59457016956276
0.25,-40.56623118965063
0.26,-36.43445972072142
0.27,-29.520716315671613
0.28,-24.724788447166453
0.29,-23.835707987032354
0.3,-21.528664131444103
0.31,-23.32344814983525
0.32,-26.816174845985387
0.33,-25.818337447072643
0.34,-25.901606050166464
0.35,-28.356912121706138
0.36,-31.023806095257378
0.37,-35.23733752133622
0.38,-34.58817449434327
0.39,-32.601774298564116
0.4,-34.489229197418034
0.41,-37.034980191401395
0.42,-33.15029340480577
0.43,-33.878728131098896
0.44,-29.117730341169
0.45,-29.402539123461207
0.46,-26.017419627784374
0.47,-17.589276463177693
0.48,-14.046723619036385
0.49,-14.324945573183854
0.5,-10.026992268801946
0.51,-7.662523898374541
0.52,-7.777280140107595
0.53,-8.250724643409942
0.54,-11.643303252220461
0.55,-12.827483794733661
0.56,-13.801774780141692
0.57,-13.977544778672295
0.58,-14.476589045338077
0.59,-13.816070404827318
0.6,-12.031662461269573
0.61,-9.508825978923523
0.62,-8.568996283274544
0.63,-13.929972466390904
0.64,-14.380287522990866
0.65,-21.959564835128496
0.66,-26.145548165851924
0.67,-29.293672474533512
0.68,-31.82341297795672
0.69,-33.722923242573856
0.7,-34.81865938462336
0.71,-35.42313903674083
0.72,-34.51738445590585
0.73,-34.545631276371005
0.74,-24.629413014424756
0.75,-21.58574575837924
0.76,-20.83342200625986
0.77,-24.697431291832828
0.78,-25.37902708327834
0.79,-26.402077532225967
0.8,-19.47491823350859
0.81,-16.408125522768476
0.82,-12.1253691796373
0.83,-10.348173411925792
0.84,-9.853010608960597
0.85,-11.874229025502384
0.86,-17.45970829435193
0.87,-19.93608821258813
0.88,-23.24606777491477
0.89,-26.956745244643756
0.9,-27.063686413233924
0.91,-22.839724266546977
0.92,-20.387018856542927
0.93,-20.535164732855545
0.94,-17.77808551865177
0.95,-25.40368191004513
0.96,-26.78717351808073
0.97,-31.42922119771892
0.98,-33.01877707802652
0.99,-34.03737892783052
1.0,-34.308411514311665
1.01,-32.0539326257679
1.02,-30.52000234586052
1.03,-31.64938226073039
1.04,-30.528906385223618
1.05,-24.384472953971144
1.06,-19.899328044378517
1.07,-20.478963374447826
1.08,-17.96899187677638
1.09,-16.913366395023626
1.1,-17.547204259504245
1.11,-22.20207149568018
1.12,-23.18083215841473
1.13,-26.221172060808364
1.14,-27.40507057691072
1.15,-27.257117140644958
1.16,-28.58180208569939
1.17,-28.841964651456337
1.18,-29.27823088888781
1.19,-29.968331913218748
1.2,-30.948684419321516
1.21,-25.927792050217132
1.22,-13.989478679754647
1.23,-16.172936758447594
1.24,-13.078310482013599
1.25,-12.50616949790281
1.26,-14.335985790288978
1.27,-17.29507910398214
1.28,-13.65882044506963
1.29,-11.891928776769172
1.3,-7.408801896351535
1.31,-5.40615124613513
1.32,-10.966467077666103
1.33,-14.894903334878771
1.34,-11.54160675015823
1.35,-12.6119590442744
1.36,-16.072854118370536
1.37,-22.522132474152798
1.38,-28.805361606820526
1.39,-29.664684633234724
1.4,-28.391669629623504
1.41,-28.23976625730026
1.42,-27.039807663794555
1.43,-29.893488935323198
1.44,-29.600403935503394
1.45,-30.12848385745615
1.46,-29.968331913218748
1.47,-30.248409288121998
1.48,-30.094521391358896
1.49,-31.679841285414255
1.5,-31.937908088188884
1.51,-22.568324673547092
1.52,-26.74673365290172
1.53,-28.440564995949657
1.54,-33.48180929009726
1.55,-36.41689472052298
1.56,-39.086971026213234
1.57,-40.680146129148255
1.58,-42.2123243667956
1.59,-41.522344822589105
1.6,-37.499369959785916
1.61,-33.93129040731416
1.62,-34.81865938462336
1.63,-33.697225325491466
1.64,-32.796199959110986
1.65,-34.363647882580025
1.66,-33.44434313723417
1.67,-31.679841285414255
1.68,-28.923038456883774
1.69,-28.405611670559253
1.7,-27.753948382534894
1.71,-27.812395710917173
1.72,-29.186153458013308
1.73,-31.70020680386035
1.74,-28.468629284138416
1.75,-28.66047268197892
1.76,-36.45206031364975
1.77,-40.56623118965063
1.78,-38.62237421184374
1.79,-37.24474842368748
1.8,-40.39811194826538
1.81,-38.35509498068411
1.82,-20.149184202800527
1.83,-11.575708439192848
1.84,-7.072657895840507
1.85,-5.740478189852174
1.86,-7.33632872940737
1.87,-5.736372599400283
1.88,-6.34630830256084
1.89,-8.493964906296297
1.9,-7.269350790044879
1.91,-7.139939485417795
1.92,-8.27337007263501
1.93,-8.017446159191037
1.94,-7.30677019661872
1.95,-6.672698399204871
