seconds_elapsed,dBFS
0.0,-7.014805428396778
0.01,-7.308614660891387
0.02,-7.485649326269709
0.03,-5.971435865137219
0.04,-5.48903297488801
0.05,-6.395432710044392
0.06,-7.752006895441595
0.07,-6.658423193615077
0.08,-7.339413535931277
0.09,-6.774443546310575
0.1,-7.179832994385231
0.11,-6.964424815674497
0.12,-6.582305434135375
0.13,-7.043385293956234
0.14,-5.711268114276521
0.15,-7.065479968591106
0.16,-7.162886092635032
0.17,-6.260322249409698
0.18,-8.016111921148772
0.19,-6.972111182555375
0.2,-7.255283578458638
0.21,-7.07565045043964
0.22,-6.9072864118765755
0.23,-6.961470330922699
0.24,-6.537177967314554
0.25,-7.35670872795381
0.26,-8.133640345632719
0.27,-8.289876638004504
0.28,-8.27337007263501
0.29,-8.851506762974584
0.3,-8.432863186890865
0.31,-8.842698287981802
0.32,-8.413987649644268
0.33,-8.956424364629443
0.34,-8.461604706611945
0.35,-8.723202577221166
0.36,-8.65257348040777
0.37,-8.771822496622487
0.38,-9.417419601662102
0.39,-9.224400501926413
0.4,-9.005623665079455
0.41,-9.326965135023213
0.42,-8.736962692086534
0.43,-8.829502301861186
0.44,-9.239746600685251
0.45,-8.434963003083386
0.46,-9.465366808879033
0.47,-9.462214607923345
0.48,-7.438086154425917
0.49,-8.016111921148772
0.5,-8.083748426013052
0.51,-8.380532087288946
0.52,-7.773387158954178
0.53,-7.800024037989109
0.54,-8.25483760519687
0.55,-8.313314767122804
0.56,-9.229001485333049
0.57,-9.018341476562792
0.58,-8.975027690734454
0.59,-8.864736247126716
0.6,-8.908241367039256
0.61,-8.267874847690583
0.62,-8.16887177156348
0.63,-8.347897905809491
0.64,-8.256894816663022
0.65,-8.318148125287705
0.66,-7.875832449232961
0.67,-8.623909516969775
0.68,-8.808284180750544
0.69,-8.928964358282357
0.7,-7.967551967474802
0.71,-8.040828562830848
0.72,-8.04618196185274
0.73,-7.478122014781297
0.74,-7.732615855304147
0.75,-7.717778653012706
0.76,-8.492555431301227
0.77,-8.445469705269387
0.78,-7.761070883662217
0.79,-8.363852505325958
0.8,-7.826742855258661
0.81,-7.824785030470011
0.82,-7.8863408992261785
0.83,-7.952308328319412
0.84,-7.9496599893590165
0.85,-8.700798556081619
0.86,-8.916376646787507
0.87,-9.023583639714236
0.88,-8.607470469752466
0.89,-7.5733194355270665
0.9,-8.103266531123046
0.91,-8.29125360212249
0.92,-7.586641841264836
0.93,-8.059579912431571
0.94,-7.917283199958681
0.95,-7.917942745852013
0.96,-8.056228486824509
0.97,-8.332664358215533
0.98,-8.545567901907312
0.99,-8.347204891915313
1.0,-7.9748518713325804
1.01,-7.956282351404473
1.02,-7.7036102230869545
1.03,-7.42561269836103
1.04,-7.569516784037772
1.05,-8.185180753926053
1.06,-7.046964398314849
1.07,-7.233310969806962
1.08,-7.509528939505186
1.09,-6.949072457456753
1.1,-7.555587954459256
1.11,-7.941719813925539
1.12,-7.6305598907189225
1.13,-7.833272126886921
1.14,-8.42097380753562
1.15,-7.589816856703217
1.16,-9.71402032785762
1.17,-8.705852479790675
1.18,-10.591491553026485
1.19,-11.215466960821487
1.2,-11.217395444319212
1.21,-11.322174563784412
1.22,-10.017747936642156
1.23,-11.094827665423226
1.24,-10.24151161879936
1.25,-10.132738518152571
1.26,-10.42705690743016
1.27,-10.294245223713695
1.28,-9.415068356990474
1.29,-9.481144996029858
1.3,-10.143810399368853
1.31,-10.343811930720383
1.32,-10.325517587424658
1.33,-10.452628297860766
1.34,-11.051198951358534
1.35,-11.56666848385328
1.36,-11.911753628083597
1.37,-12.028485665267784
1.38,-11.444056196437122
1.39,-10.847365707167008
1.4,-10.845517645534915
1.41,-10.917885014777486
1.42,-10.578938391459547
1.43,-11.161642530563809
1.44,-11.577718596489037
1.45,-11.637228495261295
1.46,-11.760564798185984
1.47,-11.63925294222025
1.48,-11.994671940274484
1.49,-12.53530176600038
1.5,-13.069951200765324
1.51,-12.965543675621362
1.52,-12.94198870623499
1.53,-12.97144241244438
1.54,-12.669899272402347
1.55,-11.858641494302129
1.56,-11.16739350603636
1.57,-11.18370864522885
1.58,-10.839975818695663
1.59,-11.368170594089953
1.6,-10.75361233736287
1.61,-10.85568685387214
1.62,-10.7783310913556
1.63,-11.218359846656076
1.64,-12.11680848939098
1.65,-11.938955906470882
1.66,-12.215769540883867
1.67,-12.704163181284752
1.68,-12.730524019843015
1.69,-12.382884549872745
1.7,-11.836865838845174
1.71,-12.120017759569027
1.72,-12.005224595731232
1.73,-11.061611985793935
1.74,-8.900852264391965
1.75,-8.33958538618177
1.76,-9.274374777997366
1.77,-10.282114090962331
1.78,-11.539604931841453
1.79,-11.836865838845174
1.8,-9.870335369645588
1.81,-6.89203462632817
1.82,-6.665843372498731
1.83,-6.031209282667635
1.84,-9.825034055056989
1.85,-12.632364432605307
1.86,-11.089124520347637
1.87,-12.963185302096674
1.88,-22.096827847827
1.89,-27.281601694245147
1.9,-28.937860797747096
1.91,-33.38225645659825
1.92,-33.852565793132264
1.93,-33.01877707802652
1.94,-32.45597802164835
1.95,-24.539542687198708
1.96,-18.891137974826513
1.97,-15.348340816591486
1.98,-15.218974111456017
1.99,-13.588849516683727
2.0,-15.32509785480091
2.01,-26.9272715494539
2.02,-37.80274967996088
2.03,-42.246588275678
2.04,-45.70002027162887
2.05,-43.7414066304196
2.06,-46.012121738240396
2.07,-45.10757093949286
2.08,-46.5585842824651
2.09,-45.64907649135128
2.1,-48.510896470406394
2.11,-49.56046874038188
2.12,-31.458916575832742
2.13,-22.946981665007332
2.14,-20.66582479096883
2.15,-20.40366381143815
2.16,-22.006191655276904
2.17,-22.063148512733424
2.18,-22.593299522327644
2.19,-22.525677011903706
2.2,-18.99912610181711
2.21,-18.485479692958528
2.22,-23.021731606879744
2.23,-36.05600466665013
2.24,-40.4537909186576
2.25,-46.012121738240396
2.26,-46.96265200423083
2.27,-50.754526593417395
2.28,-44.55296410058984
2.29,-48.653291292865354
2.3,-52.13929832162136
2.31,-44.59785251903888
2.32,-26.3248691159612
