seconds_elapsed,dBFS
0.0,-51.619029674323
0.01,-46.012121738240396
0.02,-49.40253912346121
0.03,-47.08163865449485
0.04,-47.141748857289365
0.05,-48.37079843903322
0.06,-48.798059471343734
0.07,-43.0744419788425
0.08,-45.70002027162887
0.09,-49.64052358945536
0.1,-48.301587796843094
0.11,-50.136995263955995
0.12,-48.510896470406394
0.13,-46.33585696010591
0.14,-46.96265200423083
0.15,-46.96265200423083
0.16,-44.59785251903888
0.17,-45.85466927624269
0.18,-45.70002027162887
0.19,-48.301587796843094
0.2,-45.20354859712824
0.21,-46.17248117855736
0.22,-46.84527333094888
0.23,-46.06524661111521
0.24,-46.17248117855736
0.25,-45.01264223900363
0.26,-44.64297412512336
0.27,-43.0744419788425
0.28,-41.3969146337224
0.29,-41.30401653280713
0.3,-45.15542720181067
0.31,-45.10757093949286
0.32,-45.59842976104338
0.33,-42.88764145375963
0.34,-43.57980402222377
0.35,-43.700723232210535
0.36,-44.15907794093009
0.37,-43.381939210181585
0.38,-46.44650673210513
0.39,-48.44056499594966
0.4,-45.34953337195822
0.41,-45.75126460692089
0.42,-44.59785251903888
0.43,-45.01264223900363
0.44,-47.44870269411245
0.45,-46.67212694029891
0.46,-47.83196587985263
0.47,-47.51141697116962
0.48,-49.095041892122126
0.49,-49.32463824579072
0.5,-49.01983891465598
0.51,-51.7206201849085
0.52,-46.06524661111521
0.53,-46.118698408341736
0.54,-50.30899869919435
0.55,-48.581802085699394
0.56,-47.02194158350561
0.57,-47.63822053179
0.58,-46.90376439129521
0.59,-45.44823772546847
0.6,-42.96188027867397
0.61,-43.421153225492134
0.62,-47.7669027318982
0.63,-48.37079843903322
0.64,-48.03013165305762
0.65,-47.63822053179
0.66,-46.729459753330964
0.67,-46.61517008284237
0.68,-45.64907649135128
0.69,-46.90376439129521
0.7,-45.95931981491623
0.71,-45.01264223900363
0.72,-48.301587796843094
0.73,-46.06524661111521
0.74,-47.02194158350561
0.75,-45.39874534291136
0.76,-44.64297412512336
0.77,-47.20227794989312
0.78,-44.733926680137785
0.79,-44.68833135423981
0.8,-46.67212694029891
0.81,-43.421153225492134
0.82,-46.44650673210513
0.83,-44.11639535067637
0.84,-46.5585842824651
0.85,-48.301587796843094
0.86,-50.22257122354151
0.87,-49.56046874038188
0.88,-47.20227794989312
0.89,-50.30899869919435
0.9,-49.01983891465598
0.91,-50.754526593417395
0.92,-49.01983891465598
0.93,-51.03324215228325
0.94,-49.32463824579072
0.95,-47.83196587985263
0.96,-46.28105621278533
0.97,-45.85466927624269
0.98,-43.26534833696711
0.99,-47.7669027318982
1.0,-47.70232332929424
1.01,-45.34953337195822
1.02,-42.49029655712677
1.03,-48.945281464271126
1.04,-48.798059471343734
1.05,-48.097204493209375
1.06,-47.44870269411245
1.07,-46.61517008284237
1.08,-49.40253912346121
1.09,-50.30899869919435
1.1,-46.5585842824651
1.11,-46.84527333094888
1.12,-45.15542720181067
1.13,-46.67212694029891
1.14,-46.67212694029891
1.15,-45.54807663661845
1.16,-45.70002027162887
1.17,-46.33585696010591
1.18,-46.84527333094888
1.19,-45.85466927624269
1.2,-44.33193717100022
1.21,-44.96556413113407
1.22,-46.729459753330964
1.23,-45.15542720181067
1.24,-42.59687322722811
1.25,-47.3864379856296
1.26,-46.96265200423083
1.27,-43.22682991624633
1.28,-48.164799306236986
1.29,-49.01983891465598
1.3,-42.9246815509915
1.31,-43.26534833696711
1.32,-48.164799306236986
1.33,-44.91873981483603
1.34,-45.20354859712824
1.35,-46.84527333094888
