seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-78.2677988726351
0.04,-62.009531739778
0.05,-40.94205209095121
0.06,-24.112138604872943
0.07,-23.997988010756256
0.08,-24.384472953971144
0.09,-24.606858107858116
0.1,-24.42408437643199
0.11,-24.692880131321022
0.12,-25.031545161889884
0.13,-25.227709640907598
0.14,-25.901606050166464
0.15,-26.575521349199455
0.16,-27.930483642678823
0.17,-27.87123899712073
0.18,-29.004876138108116
0.19,-29.860431275484626
0.2,-29.680829414161877
0.21,-30.63647295670367
0.22,-31.979919728195853
0.23,-34.03737892783052
0.24,-39.304431638092474
0.25,-43.50011640239199
0.26,-43.421153225492134
0.27,-45.39874534291136
0.28,-46.17248117855736
0.29,-44.733926680137785
0.3,-45.54807663661845
0.31,-46.96265200423083
0.32,-44.59785251903888
0.33,-43.989591790056004
0.34,-44.28839878591474
0.35,-44.11639535067637
0.36,-44.37569489396373
0.37,-43.342901438231145
0.38,-44.463877272064835
0.39,-45.44823772546847
0.4,-43.57980402222377
0.41,-41.876920161797734
0.42,-42.9246815509915
0.43,-38.59978410902434
0.44,-26.816174845985387
0.45,-22.690309432580314
0.46,-21.870342433624188
0.47,-22.419965082670032
0.48,-23.273072561253887
0.49,-22.332844095129065
0.5,-21.95292424639674
0.51,-21.316345689792865
0.52,-22.305148927342838
0.53,-21.36894072987111
0.54,-21.22735328457256
0.55,-20.512640533165346
0.56,-18.816799872390614
0.57,-18.545806371532517
0.58,-17.469606745153172
0.59,-17.977388097476638
0.6,-16.762335670796322
0.61,-17.12398932374114
0.62,-16.71680726359924
0.63,-17.281499820933494
0.64,-16.162706027420196
0.65,-16.599538304739173
0.66,-16.241451328947363
0.67,-15.937304298645635
0.68,-16.87998761494446
0.69,-15.988931826498373
0.7,-16.81728665313608
0.71,-15.622605082014218
0.72,-15.416881190909582
0.73,-15.393454341399178
0.74,-16.369645884313893
0.75,-15.910777415227578
0.76,-16.062740525567047
0.77,-16.15078538493224
0.78,-15.983922181273623
0.79,-15.848098866325454
0.8,-15.838243468553221
0.81,-15.905812631075218
0.82,-15.74029967970926
0.83,-15.859610981513741
0.84,-16.15078538493224
0.85,-15.449785294911308
0.86,-16.601330503164608
0.87,-15.669169718815768
0.88,-16.473228211140388
0.89,-15.919058366982723
0.9,-16.508623083420453
0.91,-17.943851802386327
0.92,-15.197599086618359
0.93,-16.09818974052842
0.94,-17.27762392187852
0.95,-17.672009455997994
0.96,-16.854114733062374
0.97,-16.997378878835296
0.98,-15.275719773974624
0.99,-14.434587562923891
1.0,-14.25762873291523
1.01,-14.84351173244528
1.02,-15.643448020542722
1.03,-15.2266208146861
1.04,-14.197622348223241
1.05,-14.500480351372143
1.06,-16.553070471568464
1.07,-14.747421460445258
1.08,-13.243554218780693
1.09,-14.156945300864464
1.1,-15.148938513198376
1.11,-16.28973513600337
1.12,-17.706545842008115
1.13,-18.040619798502895
1.14,-16.780614064827155
1.15,-15.60500773074809
1.16,-14.001428999875996
1.17,-12.43043616834222
1.18,-11.298780839474425
1.19,-12.957292168253634
1.2,-15.124710074509478
1.21,-15.478088363670167
1.22,-12.40165292372712
1.23,-13.052065499535583
1.24,-15.118663509950597
1.25,-14.730064139822021
1.26,-14.24532092848752
1.27,-13.0556396946226
1.28,-11.899227406028402
1.29,-10.438510635853044
1.3,-11.324126887829058
1.31,-12.120017759569027
1.32,-12.065620778001819
1.33,-13.56733568273064
1.34,-15.509644764004172
1.35,-15.020992240066594
1.36,-12.059243472547884
1.37,-15.11715252627486
1.38,-15.859610981513741
1.39,-13.456813906983115
1.4,-12.957292168253634
1.41,-15.598617522890933
1.42,-14.094941480252022
1.43,-12.990345335330638
1.44,-12.94198870623499
1.45,-12.904433118958469
1.46,-11.018149377611621
1.47,-11.310469825836112
1.48,-11.928483407447153
1.49,-11.427245110885673
1.5,-13.51315501028777
1.51,-14.523026476005537
1.52,-13.203462622592522
1.53,-11.905488258993902
1.54,-12.59951264261121
1.55,-13.966950614055895
1.56,-13.303427648833615
1.57,-13.51566756154569
1.58,-12.241771974087987
1.59,-11.227044289610566
1.6,-10.482704735662141
1.61,-12.208200137670126
1.62,-11.702245984439756
1.63,-11.03701944724953
1.64,-12.252629337549287
1.65,-12.460427760289758
1.66,-12.488290392888139
1.67,-15.31736400188317
1.68,-14.23030170191752
1.69,-12.06349448921811
1.7,-12.512883661832648
1.71,-12.253715820712635
1.72,-11.657494229228544
1.73,-10.973027771527137
1.74,-13.574922717399732
1.75,-11.277391801126521
1.76,-10.96459350353501
1.77,-12.748909293833854
1.78,-12.53530176600038
1.79,-13.360013449210902
1.8,-14.076158270131337
1.81,-14.576809246221158
1.82,-17.206230002966713
1.83,-13.397116835993872
1.84,-15.992273195894482
1.85,-15.81365378626815
1.86,-15.306548163526355
1.87,-16.648057934417363
1.88,-16.430943877873144
1.89,-17.215843606203865
1.9,-18.127787700592616
1.91,-18.025824509010853
1.92,-18.606554973058046
1.93,-18.414519770999423
1.94,-19.015677414152567
1.95,-18.819113333487806
1.96,-18.036390000689543
1.97,-18.237451336165023
1.98,-18.786780816777565
1.99,-19.32402756211324
2.0,-19.40038210988733
2.01,-19.60311629833895
2.02,-19.725526633959895
2.03,-19.697321506292003
2.04,-20.181604357284275
2.05,-19.93871990163661
2.06,-19.216792994671078
2.07,-18.812174797926662
2.08,-18.083031453265782
2.09,-16.039187837315506
2.1,-16.145681542083558
2.11,-16.116816277741382
2.12,-16.104958406086663
2.13,-15.63061567894654
2.14,-13.783614311319832
2.15,-14.880188966396119
2.16,-14.289161473990928
2.17,-12.970262344561569
2.18,-12.810089977483718
2.19,-12.900920593613815
2.2,-12.763876036922635
2.21,-12.610826815942215
2.22,-12.416032623324016
2.23,-12.937285368019044
2.24,-14.500480351372143
2.25,-12.564532071943898
2.26,-10.551206499239449
2.27,-11.892971062681273
2.28,-12.03695970461121
2.29,-10.986164044413707
2.3,-11.367189414801919
2.31,-10.748128820995097
