seconds_elapsed,dBFS
0.0,-14.052067959852932
0.01,-13.897088768304553
0.02,-11.996781445965013
0.03,-11.659523405651292
0.04,-10.389278740918371
0.05,-10.171979492708918
0.06,-11.971501128420691
0.07,-13.037783408669505
0.08,-12.412712117528342
0.09,-11.481751984959134
0.1,-10.351664174411464
0.11,-9.668718016004238
0.12,-10.74538836044608
0.13,-15.720842759932996
0.14,-14.582490011392956
0.15,-16.217409705268373
0.16,-16.935690390104515
0.17,-18.43220547756893
0.18,-18.09579543739676
0.19,-16.935690390104515
0.2,-14.271324556689564
0.21,-11.037964027712432
0.22,-13.294848991703612
0.23,-13.935245430364082
0.24,-12.978526188537487
0.25,-11.43416338256808
0.26,-10.96459350353501
0.27,-11.018149377611621
0.28,-10.169414887708822
0.29,-9.28440422933109
0.3,-9.916704385366014
0.31,-14.274066314805154
0.32,-14.552707357933896
0.33,-13.49182761835677
0.34,-15.301916923940196
0.35,-12.85422214974098
0.36,-12.9149792257168
0.37,-13.977544778672295
0.38,-13.352611753289573
0.39,-11.028522842393686
0.4,-9.440967120976737
0.41,-9.287492545679383
0.42,-9.753854605383289
0.43,-10.259629696627709
0.44,-9.944145350036166
0.45,-9.070152858632628
0.46,-9.345602723874004
0.47,-9.258967430918743
0.48,-11.470823211882369
0.49,-11.90235726840257
0.5,-10.83074729080026
0.51,-12.338882988507184
0.52,-13.181672226009397
0.53,-14.24942159248912
0.54,-15.318910221671512
0.55,-15.415317433656629
0.56,-17.21007416750747
0.57,-12.015790087409922
0.58,-7.968878766475024
0.59,-9.84230304842818
0.6,-13.679281914221209
0.61,-12.719052954205786
0.62,-10.902991191150802
0.63,-10.33945263846423
0.64,-11.051198951358534
0.65,-11.257024008598897
0.66,-10.986164044413707
0.67,-11.308520568727827
0.68,-11.906532173379878
0.69,-12.064557568546048
0.7,-11.1453687478954
0.71,-12.1296526908266
0.72,-12.385090490110143
0.73,-14.98222919416861
0.74,-13.524467218925649
0.75,-11.63419270925565
0.76,-9.53182866799904
0.77,-9.296764088603549
0.78,-10.09621636446176
0.79,-9.928335420574385
0.8,-10.302920703498108
0.81,-10.663574038402988
0.82,-10.901131257602355
0.83,-10.349918617806297
0.84,-9.907576628517532
0.85,-10.103847839228333
0.86,-10.38752560948885
0.87,-10.02194868617418
0.88,-10.217412821150125
0.89,-10.469422879302684
0.9,-11.017206949396293
0.91,-11.702245984439756
0.92,-12.29619501954235
0.93,-13.343984405653508
0.94,-13.846037502980478
0.95,-14.148832700986356
0.96,-11.637228495261295
0.97,-10.434984802787353
0.98,-11.524605982097993
0.99,-12.886884679482652
1.0,-10.839052524553093
1.01,-9.133647591785973
1.02,-9.289809503761337
1.03,-9.742454729842985
1.04,-10.795768035573188
1.05,-8.48621562267926
1.06,-7.807835675752893
1.07,-8.302966618917281
1.08,-9.019090163339799
1.09,-8.906763043550356
1.1,-7.17075018519402
1.11,-9.235139923495293
1.12,-8.559049251109084
1.13,-11.397657630346586
1.14,-12.724786593359173
1.15,-12.71790668041487
1.16,-10.58252315817905
1.17,-11.468837638748091
1.18,-13.749988133141752
1.19,-13.629491273596235
1.2,-13.327984887804114
1.21,-13.982846710555561
1.22,-14.330463927650328
1.23,-11.664598421651975
1.24,-10.433222422820252
1.25,-8.718861802699006
1.26,-8.86841468263592
1.27,-9.6052085210254
1.28,-12.589342472094895
1.29,-10.516443284291338
1.3,-11.635204520036464
1.31,-11.704285643868658
1.32,-13.169590029544512
1.33,-9.74001384472419
1.34,-8.949736909169056
1.35,-10.416497623822265
1.36,-9.333949545204565
1.37,-10.118281166809995
1.38,-10.485363545836893
1.39,-12.71676055787734
1.4,-12.285283096451352
1.41,-11.752356041862722
1.42,-11.974657147218108
1.43,-12.649405618448375
1.44,-11.777005621053808
1.45,-12.974983578344377
1.46,-12.18768780408962
1.47,-11.02757928803525
1.48,-9.762006543699226
1.49,-9.394717520377005
1.5,-9.221334533084812
1.51,-8.841964651456339
1.52,-8.295385804692367
1.53,-8.562600455066342
1.54,-9.263586766059381
1.55,-9.052096433653347
1.56,-9.098063596670972
1.57,-8.41049667671111
1.58,-9.021336610950424
1.59,-8.90011369973542
1.6,-8.143111680392591
1.61,-8.938602579176134
1.62,-9.062624786018846
1.63,-9.382998306134974
1.64,-10.232897227893854
1.65,-9.602005168734596
1.66,-9.040079636733696
1.67,-11.683910570866088
1.68,-13.4893219527868
1.69,-13.41945518428073
1.7,-12.58708405043941
1.71,-13.176837330455633
1.72,-12.75696510460892
1.73,-13.021150596182585
1.74,-13.314469815267802
1.75,-10.707112423488478
1.76,-12.186609548283124
1.77,-12.098644988849028
1.78,-11.801725352112326
1.79,-8.700076806973382
1.8,-10.075052936911508
1.81,-9.644545765789367
1.82,-9.498534170282436
1.83,-9.131371912203136
1.84,-12.413818811756517
1.85,-12.176911264694752
1.86,-14.430398563740665
1.87,-16.51217051644426
1.88,-16.40111653337216
1.89,-14.798246003575217
1.9,-14.483609080988986
1.91,-13.403316172234527
1.92,-12.195239344957313
1.93,-10.954296063516756
1.94,-12.157547123223338
1.95,-10.747215238071504
1.96,-10.959911335539541
1.97,-11.614990664885859
1.98,-10.760014151547532
1.99,-13.077115806317053
2.0,-15.194549801125195
2.01,-15.539729909955309
2.02,-16.15078538493224
2.03,-17.12589308038176
2.04,-16.71317527958727
2.05,-17.649735335849133
2.06,-15.694967813557453
2.07,-16.26728427047786
2.08,-14.150184274884372
2.09,-14.415056161354386
2.1,-13.402075950966188
2.11,-15.44507707022033
2.12,-18.38585708087091
2.13,-16.453822336099872
2.14,-17.489437552027717
2.15,-17.034980191401395
2.16,-14.388619312251372
2.17,-15.035947287903749
2.18,-15.155006197439583
2.19,-12.953758206190344
2.2,-12.388400451269817
2.21,-12.161846536570902
2.22,-10.72714068642783
2.23,-11.476782656121681
2.24,-10.183957671807063
2.25,-13.808269874767284
2.26,-15.167154296815706
2.27,-15.659515153570487
2.28,-16.691415210658135
2.29,-15.899197330193326
2.3,-15.71760417315496
2.31,-16.411632139545237
2.32,-15.421574152557145
2.33,-15.569919623531437
2.34,-13.05683141989552
2.35,-10.565508677443523
2.36,-11.018149377611621
2.37,-10.72076304650565
2.38,-11.02757928803525
2.39,-12.519603019804208
2.4,-12.750059666610591
2.41,-15.105074110091678
2.42,-15.759800282036181
2.43,-17.435997934847773
2.44,-16.902225876645513
2.45,-15.465497834720814
2.46,-13.364951419575881
2.47,-16.738631118392078
2.48,-19.255634376950496
2.49,-20.135711438135502
2.5,-16.928242681491238
2.51,-13.474303119699487
2.52,-13.64350591338309
2.53,-13.241119150181042
2.54,-11.796569603377778
2.55,-10.653627154174119
2.56,-9.386121884209835
2.57,-10.898342103827872
2.58,-8.768912163327352
2.59,-13.053256734487471
2.6,-13.600260803157195
2.61,-14.263104471245082
2.62,-9.232837500781198
2.63,-11.072037518827871
2.64,-15.531802657750351
2.65,-13.873489355525088
2.66,-15.199124130891974
2.67,-15.940625862601244
2.68,-19.432602596341205
2.69,-18.26779887263511
2.7,-17.79040884486847
2.71,-17.31256943470305
2.72,-17.561205696610116
2.73,-19.83667031810694
2.74,-19.236191974567273
2.75,-19.628476578071655
2.76,-19.6360991232191
2.77,-18.926204189745167
2.78,-18.300432184551735
2.79,-16.94500901522112
2.8,-18.205053351426802
2.81,-15.571511466225907
2.82,-15.393454341399178
2.83,-15.821842614665826
2.84,-16.272460091251567
2.85,-16.909651301024276
2.86,-17.135418127545382
2.87,-15.112621151697832
2.88,-14.518794617389272
2.89,-14.750317722438771
2.9,-15.180841248215195
2.91,-14.517384455905846
2.92,-15.438803404625762
2.93,-14.503295418529522
2.94,-14.635213972248028
2.95,-19.687087761793798
2.96,-20.50420899426861
2.97,-16.19172445351597
2.98,-17.42613768899598
2.99,-17.527241277519607
3.0,-14.95252873904402
3.01,-13.5926516133249
3.02,-17.971090171179156
3.03,-16.653465772905676
3.04,-16.826479044340193
3.05,-15.15197182548276
3.06,-14.78224050679085
3.07,-13.908912563028
3.08,-13.663931295254198
3.09,-10.47827519319373
3.1,-10.911365824264358
3.11,-11.787296960691476
3.12,-12.225511333511088
3.13,-13.133443953085369
3.14,-16.15248733254973
3.15,-15.985591741997279
3.16,-16.904081637711876
3.17,-15.573103600707142
3.18,-15.849742520344565
3.19,-15.165634854908907
3.2,-13.92865472541317
3.21,-13.79917810160574
3.22,-14.56404109255528
3.23,-13.889215170873365
3.24,-11.873188986030618
3.25,-14.005416096405984
3.26,-14.028044279282367
3.27,-14.23030170191752
3.28,-15.661123502734988
3.29,-12.899750067415956
3.3,-10.02194868617418
3.31,-9.411151029707161
3.32,-11.808948545574808
3.33,-13.077115806317053
3.34,-12.422677445505588
3.35,-9.889349840825973
3.36,-9.28672036364233
3.37,-8.580378286066985
3.38,-8.283682999367658
3.39,-10.398927293894232
3.4,-10.932804420937195
3.41,-11.004964678676117
3.42,-10.263085048095679
3.43,-11.204867948355524
3.44,-10.470307704815403
3.45,-10.49955762868197
3.46,-10.737172162792863
3.47,-10.71712078221575
3.48,-10.314211797062995
3.49,-13.844732433541008
3.5,-16.133784225388023
3.51,-13.20225060980355
3.52,-6.963242901175727
3.53,-5.3074329396014575
3.54,-7.956282351404473
3.55,-7.954957475008058
3.56,-7.4274825752233475
3.57,-9.397845316463403
3.58,-8.407007106282084
3.59,-8.695026241771775
3.6,-9.216737608056603
3.61,-11.522608077629595
3.62,-14.329084010316729
3.63,-13.829086876075003
3.64,-12.688156535326247
3.65,-13.042541496785239
3.66,-8.975027690734454
3.67,-9.998450612918614
3.68,-7.171960677794136
3.69,-6.8260573972537495
3.7,-6.865700428375226
3.71,-6.615170082842381
3.72,-7.096027210471123
3.73,-7.3864379856295965
3.74,-6.034925625590773
3.75,-7.108035908136849
3.76,-6.447620379088903
3.77,-6.3501619693942315
3.78,-6.339705991756044
3.79,-5.536536591500352
3.8,-6.278325230326716
3.81,-5.788864804610775
3.82,-6.839445830134467
3.83,-6.604390375843102
3.84,-7.112844039805745
3.85,-6.140171570423011
3.86,-6.423708378684014
3.87,-11.745179738419218
3.88,-8.289876638004504
3.89,-5.619159214414592
3.9,-5.731756128583099
3.91,-6.514701852720756
3.92,-6.405956027328616
3.93,-5.88958694878859
3.94,-7.5524254240627435
3.95,-6.2005803856675
3.96,-5.849469701326532
3.97,-6.0455525182579715
3.98,-8.130936145848091
3.99,-8.18722153154551
4.0,-7.047561059117974
4.01,-7.4187599251155785
4.02,-8.006777989107404
4.03,-6.297460164097394
4.04,-7.205315505314205
4.05,-6.415382446195464
4.06,-7.68561103740788
4.07,-6.487807062646396
4.08,-5.750750664159395
4.09,-6.207077747624678
4.1,-8.061591388677714
4.11,-9.032577572320125
4.12,-6.761732204187129
4.13,-7.0612955820495324
4.14,-6.178417665539747
4.15,-5.299134862382213
4.16,-5.960372713837222
4.17,-6.248340958900146
4.18,-8.018780602216872
4.19,-6.430374875695422
4.2,-5.330905687960771
4.21,-5.646029345332286
4.22,-5.233518305616768
4.23,-6.2065361151212715
4.24,-9.587604685240317
4.25,-11.734938150582417
4.26,-11.914888008211937
4.27,-11.488713825082964
4.28,-13.977544778672295
4.29,-21.86705543656015
4.3,-22.353673576665358
4.31,-21.052057982560882
4.32,-17.89586910280194
4.33,-22.701155498053808
4.34,-27.15382097825708
4.35,-25.700020271628876
4.36,-23.672357810469382
4.37,-19.592992882696404
4.38,-19.015677414152567
4.39,-19.42267586424581
4.4,-19.265371922407642
4.41,-22.01287310917411
4.42,-24.23643917151656
4.43,-20.726133739622096
4.44,-19.05125107331677
4.45,-17.455752070353647
4.46,-21.640002823962433
4.47,-19.841874566098504
4.48,-18.2331246164551
4.49,-23.146492993661383
4.5,-21.553987442786596
4.51,-22.09008152543887
4.52,-22.16798240310935
4.53,-23.35069496916053
4.54,-24.715659818225248
4.55,-32.03272165152002
4.56,-32.61309142021474
4.57,-33.38225645659825
4.58,-25.77700059504721
4.59,-23.432952035961257
4.6,-21.949605854899616
4.61,-23.575802230105957
4.62,-24.327573498646164
4.63,-25.050489312557723
4.64,-25.488035685761467
4.65,-25.715361852840843
4.66,-25.927792050217132
4.67,-27.417514547002032
4.68,-27.238798913177604
4.69,-28.232924280075217
4.7,-30.484477185344456
4.71,-29.193789405439663
4.72,-27.734553012425817
4.73,-29.901773046240198
4.74,-28.62462496440958
4.75,-29.57642079195113
4.76,-28.703686152397463
4.77,-29.819285345211014
4.78,-28.539189295546432
4.79,-25.2713696081438
4.8,-16.28800608461156
4.81,-17.784244996256348
4.82,-20.992422392045626
4.83,-20.56057447200487
4.84,-19.01094524861026
4.85,-20.688750280062898
4.86,-19.192605037970534
4.87,-19.05125107331677
4.88,-18.127787700592616
4.89,-18.775262595174446
4.9,-19.64881824928465
4.91,-20.450998477020292
4.92,-19.679420358349255
4.93,-21.082030026234698
4.94,-22.05307012486349
4.95,-23.40152408801259
4.96,-21.652818598530992
4.97,-20.428691204051482
4.98,-20.30152441212688
4.99,-23.87703008988748
5.0,-22.895036847682817
5.01,-23.93104440664462
5.02,-25.19390296633347
5.03,-24.67469929864844
5.04,-25.46811391180334
5.05,-25.16022736199808
5.06,-26.93315829291072
5.07,-27.606345671658858
5.08,-28.461604706611944
5.09,-27.129693491526155
5.1,-23.547841190799232
5.11,-19.746097134132228
5.12,-18.43884691255905
5.13,-17.633571777543246
5.14,-17.846081206435564
5.15,-17.031212726741128
5.16,-18.59978410902434
5.17,-21.557158054115128
5.18,-22.13741619102101
5.19,-23.04052004085083
5.2,-23.31567901726176
5.21,-22.85443988148245
5.22,-22.661452629832084
5.23,-25.42840691859392
5.24,-24.18478853583913
5.25,-24.310140698739016
5.26,-24.665623133101526
5.27,-24.0274388636101
5.28,-23.24221679296826
5.29,-24.900080538835105
5.3,-27.454953784442043
5.31,-26.038643559268255
5.32,-27.63183619512766
5.33,-26.798762431925404
5.34,-28.768912163327354
5.35,-30.600469217534325
5.36,-28.783473591110003
5.37,-26.31938040194724
5.38,-23.484266234420513
5.39,-21.525503902324985
5.4,-21.487670566409093
5.41,-22.486766425138306
5.42,-22.806705005349855
5.43,-25.725604648412336
5.44,-23.872889022043573
5.45,-22.171385298211863
5.46,-21.316345689792865
5.47,-21.70427163096415
5.48,-22.568324673547092
5.49,-22.858122684012947
5.5,-22.53986964518902
5.51,-20.3565857035686
5.52,-18.819113333487806
5.53,-20.903729759892787
5.54,-19.831469186431733
5.55,-17.422196722667906
5.56,-15.454496073100392
5.57,-14.140727671186994
5.58,-13.549658331821263
5.59,-19.072665412815205
5.6,-19.36088950584456
5.61,-20.315257046826282
5.62,-15.83660198888509
5.63,-7.417514547002031
5.64,-4.854534006917514
5.65,-7.081039648278419
5.66,-4.776086826576832
5.67,-4.953834366167043
5.68,-5.5100025410193
5.69,-6.301839788361653
5.7,-4.740329168446041
5.71,-3.8658537345328083
5.72,-4.261081236143027
5.73,-4.510088375661001
5.74,-5.962478894652117
5.75,-5.652124706731948
5.76,-6.9502524451828
5.77,-7.799373385182476
5.78,-7.488787632347881
5.79,-5.29328216545367
5.8,-5.584805624853171
5.81,-5.353460085243035
5.82,-5.392825163444596
5.83,-6.013181057668272
5.84,-5.355915182813879
5.85,-5.154467488021717
5.86,-5.890631428063305
5.87,-5.273801608618342
5.88,-5.647044941900301
5.89,-6.158465589927674
5.9,-5.899514576609995
5.91,-4.563716183214818
5.92,-3.545847413758904
5.93,-3.3417330114906347
5.94,-4.044312865299878
5.95,-4.623994492952677
5.96,-5.974072026994859
5.97,-4.021540699007802
5.98,-4.504743760803784
5.99,-4.696520868936126
6.0,-4.613618432213964
6.01,-4.5610269145092746
6.02,-4.114266717008564
6.03,-4.150097182275747
6.04,-4.187793068642366
6.05,-3.91230910717156
6.06,-3.962359990276419
6.07,-3.4961511479802523
6.08,-3.971986100673349
6.09,-4.140698717260918
6.1,-4.405136381477175
6.11,-5.169354981162943
6.12,-7.443080556712919
6.13,-5.533528664780438
6.14,-6.301292214546621
6.15,-9.237442956688705
6.16,-8.429364620912095
6.17,-6.600422274781009
6.18,-5.654665703630995
6.19,-5.041012072514313
6.2,-5.723555122768554
6.21,-9.268208559164918
6.22,-7.504496193865398
6.23,-5.391345748849132
6.24,-8.064274081815576
6.25,-5.640953142956454
6.26,-7.580295290026707
6.27,-6.692150406260712
6.28,-6.035987729974349
6.29,-6.906112246327228
6.3,-6.095139082834372
6.31,-6.5163855453512465
6.32,-6.1074462132886165
6.33,-5.648568559440487
6.34,-5.211272821415017
6.35,-5.823518413309205
6.36,-6.182197543593023
6.37,-7.090628708398745
6.38,-8.946023879728482
6.39,-9.495369911727197
6.4,-7.581564229347891
6.41,-11.10529316710214
6.42,-9.505657969537419
6.43,-8.390973114676815
6.44,-9.504866147700135
6.45,-8.766730053119149
6.46,-9.277459529743563
6.47,-8.86841468263592
6.48,-6.637908026817124
6.49,-3.887391405249593
6.5,-4.1202282063558755
6.51,-4.1774961372653765
6.52,-5.089930737112287
6.53,-5.674001611220517
6.54,-4.182643077105714
6.55,-5.093741800470994
6.56,-4.5641644756274005
6.57,-4.213588928729187
6.58,-3.8435440742247993
6.59,-3.0288664250809374
6.6,-2.6657750432768785
6.61,-3.2310585908311222
6.62,-2.633050308061086
6.63,-2.9347095178218066
6.64,-2.7087558103118834
6.65,-2.7537699251491032
6.66,-2.5644065751837717
6.67,-3.0101031549354085
6.68,-2.624440115653343
6.69,-2.7657888950546146
6.7,-2.6881418437561777
6.71,-2.9087349481118845
6.72,-3.079352782691531
6.73,-3.50249642422852
6.74,-3.7863795649784664
6.75,-3.7007232322105414
6.76,-3.306753097227081
6.77,-3.3972116243813755
6.78,-3.2838980282416634
6.79,-2.978298323946931
6.8,-3.192691596878942
6.81,-2.7803796756367785
6.82,-3.4416146946437225
6.83,-3.500116402391992
6.84,-4.854534006917514
6.85,-2.89244774350684
6.86,-3.113047678506349
6.87,-3.0763304209932296
6.88,-2.925423966448859
6.89,-2.8089023885815627
6.9,-2.6571323663070228
6.91,-3.542658322112425
6.92,-3.6114831636122653
6.93,-3.7165670988091586
6.94,-4.124062754120926
6.95,-3.734884467816874
6.96,-3.6138939018009477
6.97,-2.7993844068229103
6.98,-3.6283723987853844
6.99,-3.075197306434443
7.0,-4.197242657747543
7.01,-3.8994260360419988
7.02,-4.202401315442201
7.03,-4.417910722573422
7.04,-4.105757395105297
7.05,-3.8336470332587593
7.06,-3.999668229281292
7.07,-3.508846339260897
7.08,-3.456992490878918
7.09,-3.9077355072947606
7.1,-3.4763519836332724
7.11,-4.593353223606464
7.12,-5.330416024818997
7.13,-4.856852036777837
7.14,-5.576238415557349
7.15,-4.661541950706749
7.16,-4.89542197630023
7.17,-3.6521533593073268
7.18,-3.2986113472436034
7.19,-4.51276191684193
7.2,-7.563815926459005
7.21,-7.684326807400651
7.22,-5.835446376593726
7.23,-6.569871989886113
7.24,-3.6650787927015553
7.25,-5.809536890617707
7.26,-11.184669314326555
7.27,-6.53942878091566
7.28,-4.4046962218683925
7.29,-6.742700002551163
7.3,-7.796120852046525
7.31,-6.187600224390504
7.32,-4.866130347373353
7.33,-4.691515248050048
7.34,-3.716973732063982
7.35,-4.681967065739608
7.36,-3.170898002992794
7.37,-5.627768883866625
7.38,-5.076605168235648
7.39,-4.902410757397189
7.4,-5.3040151241344144
7.41,-5.22819354796018
7.42,-3.991690084458783
7.43,-3.2306740807870984
7.44,-3.194605926915137
7.45,-3.510037465307341
7.46,-3.483474484760598
7.47,-3.45580861641198
7.48,-5.048119032931048
7.49,-7.110439641274665
7.5,-7.064882075654159
7.51,-8.173625395658242
7.52,-5.8692446668057485
7.53,-5.631316523876643
7.54,-7.225999101563399
