seconds_elapsed,dBFS
0.0,-39.086971026213234
0.01,-34.995627604014075
0.02,-35.597020705230754
0.03,-36.41689472052298
0.04,-37.72080671713998
0.05,-36.885541844892686
0.06,-35.83988525849064
0.07,-36.666097171717716
0.08,-36.97863908809674
0.09,-36.522821516721955
0.1,-36.8301587265126
0.11,-36.666097171717716
0.12,-36.97863908809674
0.13,-37.24474842368748
0.14,-36.793431865712655
0.15,-36.32959861247398
0.16,-36.39936516939041
0.17,-40.79557493270576
0.18,-44.733926680137785
0.19,-46.06524661111521
0.2,-40.48176482250891
0.21,-40.53798436918547
0.22,-40.76657360480111
0.23,-39.47741382026274
0.24,-38.44327735878521
0.25,-39.67942035834925
0.26,-38.48770655866437
0.27,-38.465463551277026
0.28,-35.790766053293396
0.29,-34.44716669566275
0.3,-34.117804406489
0.31,-32.44486363799739
0.32,-34.02404678455595
0.33,-36.243171136821125
0.34,-36.364411844
0.35,-36.38187092452772
0.36,-35.22203198497398
0.37,-40.59457016956276
0.38,-38.117110514689955
0.39,-38.333188563932055
0.4,-41.33487230109275
0.41,-40.680146129148255
0.42,-43.61992367617574
0.43,-40.151881265277744
0.44,-40.4259068188255
0.45,-42.41996508267003
0.46,-41.15136076451451
0.47,-45.64907649135128
0.48,-45.20354859712824
0.49,-38.39907426268287
0.5,-35.69335318586658
0.51,-33.27160668459903
0.52,-33.41945518428073
0.53,-30.352537084279845
0.54,-30.690759943657483
0.55,-32.345469029240824
0.56,-34.21258512477111
0.57,-37.16788164205228
0.58,-35.161078123333866
0.59,-30.50222160344233
0.6,-22.8250335406127
0.61,-19.5249667133118
0.62,-18.64048869106422
0.63,-19.834069362963064
0.64,-22.0497132592611
0.65,-20.40644107433569
0.66,-20.16537915398954
0.67,-21.341056630039006
0.68,-23.889465152337888
0.69,-27.97684381942939
0.7,-30.162579640739466
0.71,-32.4005477784062
0.72,-33.35754551635211
0.73,-35.98893182649837
0.74,-36.576273313948484
0.75,-35.07044193078378
0.76,-38.074532539047524
0.77,-38.532364187310215
0.78,-38.18137139698226
0.79,-32.865873244228496
0.8,-25.031545161889884
0.81,-23.512023038441615
0.82,-24.159077940930096
0.83,-23.75364890113978
0.84,-23.721041111973502
0.85,-24.59785251903888
0.86,-27.663804908573468
0.87,-27.689464867082016
0.88,-31.813078783236115
0.89,-34.53149638368602
0.9,-37.302848236555626
0.91,-39.70500473513271
0.92,-38.7821716950785
0.93,-39.70500473513271
