seconds_elapsed,dBFS
0.0,-21.652818598530992
0.01,-21.462539584282865
0.02,-22.009531739777994
0.03,-22.312064444935906
0.04,-23.346797329589602
0.05,-22.832375797717752
0.06,-22.906141758172318
0.07,-23.1274741780091
0.08,-23.939384195704008
0.09,-25.07898323522875
0.1,-23.13888046938965
0.11,-23.881173132960573
0.12,-25.13146611175173
0.13,-25.943541627765406
0.14,-25.97512671579927
0.15,-27.87123899712073
0.16,-29.592402194137794
0.17,-32.433763458035486
0.18,-31.282248323276
0.19,-31.147281728772654
0.2,-32.345469029240824
0.21,-30.672626555781086
0.22,-34.433191005377985
0.23,-32.433763458035486
0.24,-31.62913542256951
0.25,-33.5068768100592
0.26,-32.18229786309254
0.27,-33.09026628519248
0.28,-31.7206201849085
0.29,-32.7270811091929
0.3,-28.09720449320938
0.31,-26.038643559268255
0.32,-25.92254853080762
0.33,-24.923410903756384
0.34,-24.393259894162167
0.35,-23.910229899588185
0.36,-24.01480484009088
0.37,-23.7414066304196
0.38,-23.16937067933173
0.39,-23.378027528224877
0.4,-23.085778795293837
0.41,-22.792069973011237
0.42,-23.215307620099786
0.43,-24.42408437643199
0.44,-25.85466927624269
0.45,-37.96899187677637
0.46,-37.63962958760262
0.47,-43.15030175918528
0.48,-46.787173518080735
0.49,-46.012121738240396
0.5,-46.61517008284237
0.51,-45.49801373354236
0.52,-40.260456299505705
0.53,-40.09809849506211
0.54,-36.45206031364975
0.55,-33.865637111834005
0.56,-35.22203198497398
0.57,-34.93623667424207
0.58,-34.18539921951661
0.59,-32.995077500872945
0.6,-33.21073825303724
0.61,-34.63092711373966
0.62,-34.58817449434327
0.63,-34.789512076606975
0.64,-29.072412553300374
0.65,-26.19408788034111
0.66,-25.050489312557723
0.67,-25.088502019346407
0.68,-24.570891639746858
0.69,-23.968636678232123
0.7,-24.129178119191074
0.71,-23.765908451005725
0.72,-23.02924210422453
0.73,-23.660229500882252
0.74,-23.960268768492373
0.75,-26.689287083459746
0.76,-31.458916575832742
0.77,-34.267213541559705
0.78,-37.11067469779735
0.79,-39.552616797728874
0.8,-41.84408122045819
0.81,-40.79557493270576
0.82,-42.668657847696984
0.83,-42.07660457992975
0.84,-41.36583807234997
0.85,-40.509829110697666
0.86,-36.364411844
0.87,-33.60787666479203
0.88,-28.849303806635746
0.89,-26.46322644783195
0.9,-28.42656678238313
0.91,-28.732615037217386
0.92,-29.14807409128872
0.93,-30.54674189382732
0.94,-30.282980038785997
0.95,-31.710407497502597
0.96,-35.741923058769785
0.97,-38.13847802765047
0.98,-37.59932376289611
0.99,-37.579240772127044
1.0,-46.5585842824651
1.01,-58.26779887263511
1.02,-57.43994516947061
1.03,-58.48770655866437
1.04,-58.94496421785445
1.05,-65.20354859712823
1.06,-60.48176482250891
1.07,-64.28839878591474
1.08,-60.20599913279624
1.09,-59.42763781218885
1.1,-48.72537377824186
1.11,-43.421153225492134
1.12,-33.18650981434835
1.13,-32.01156234839335
1.14,-27.6510033003047
1.15,-26.92138879295537
1.16,-26.19408788034111
1.17,-22.872869529046042
1.18,-24.544014187754634
1.19,-22.26377105010075
1.2,-23.199968296664007
1.21,-27.367845278627158
1.22,-30.555673400668866
1.23,-31.099583148508376
1.24,-28.610327200460034
1.25,-24.349413816007107
1.26,-23.108496915406405
1.27,-24.120654183631558
1.28,-24.544014187754634
1.29,-23.04052004085083
1.3,-24.633931032543824
1.31,-25.453202509620823
1.32,-26.04927500446099
1.33,-25.623716211618568
1.34,-28.20561013920772
1.35,-30.188239599248014
1.36,-33.09026628519248
1.37,-38.96847137601314
1.38,-38.159898234900986
1.39,-40.82467341766925
1.4,-42.63269137958573
1.41,-43.700723232210535
1.42,-45.300598653016465
1.43,-45.05997690458577
1.44,-43.0744419788425
1.45,-41.5539874427866
1.46,-26.474390831937228
1.47,-23.24221679296826
1.48,-23.006730066642813
1.49,-23.559813473381233
1.5,-23.097130427889383
1.51,-23.64005320925935
1.52,-23.889465152337888
1.53,-25.003206181977756
1.54,-25.558123936336866
1.55,-26.21574846422998
1.56,-27.864681133737825
1.57,-30.213975587374332
1.58,-25.588335756841637
1.59,-18.784475950202257
1.6,-19.0180444640754
1.61,-22.607603172555663
1.62,-21.03711065545435
1.63,-18.322256039344577
1.64,-19.681975407533162
1.65,-24.20627232032157
1.66,-26.05459561083751
1.67,-23.733254692103664
1.68,-23.761820011467748
1.69,-23.22298745228716
1.7,-33.29607399553303
1.71,-38.37705678666515
1.72,-42.110336232568464
1.73,-43.26534833696711
1.74,-49.01983891465598
1.75,-52.807773431360346
1.76,-51.619029674323
1.77,-52.92436430457484
1.78,-56.86704154048
1.79,-57.63962958760263
1.8,-57.43994516947061
1.81,-58.053321564799646
1.82,-60.20599913279624
1.83,-59.42763781218885
1.84,-34.489229197418034
1.85,-32.15002826694891
1.86,-36.522821516721955
1.87,-37.302848236555626
1.88,-35.50174490930948
1.89,-22.43398589223275
1.9,-18.902810990476762
1.91,-17.32035423436202
1.92,-19.50491270235316
1.93,-19.988874091473402
1.94,-21.497113462397742
1.95,-21.25181198327731
1.96,-20.848022597423604
1.97,-21.54448254710377
1.98,-21.936344952113046
1.99,-23.81923403304123
2.0,-27.58092973651456
2.01,-28.588924586826717
2.02,-28.36385250532596
2.03,-27.41129033345151
2.04,-28.117427761106622
