seconds_elapsed,dBFS
0.0,-36.885541844892686
0.01,-36.64805793441736
0.02,-39.88623702511363
0.03,-39.47741382026274
0.04,-39.182948683848615
0.05,-39.75640068176758
0.06,-40.708859840051346
0.07,-39.628476578071655
0.08,-38.71332676685816
0.09,-40.09809849506211
0.1,-42.07660457992975
0.11,-40.76657360480111
0.12,-38.224477637504954
0.13,-39.96508074019487
0.14,-41.3969146337224
0.15,-39.86011402906796
0.16,-37.98999766606634
0.17,-39.353504591437904
0.18,-38.224477637504954
0.19,-38.805241800641134
0.2,-37.20623000296671
0.21,-37.016159188071846
0.22,-37.88547306369365
0.23,-37.72080671713998
0.24,-38.13847802765047
0.25,-36.45206031364975
0.26,-37.24474842368748
0.27,-35.98893182649837
0.28,-33.93129040731416
0.29,-37.32230152495152
0.3,-37.12970184590566
0.31,-36.63005608416411
0.32,-37.579240772127044
0.33,-34.86256456473596
0.34,-32.37847434940325
0.35,-34.29465713354666
0.36,-34.475185718792
0.37,-34.545631276371005
0.38,-36.32959861247398
0.39,-37.016159188071846
0.4,-38.96847137601314
0.41,-37.302848236555626
0.42,-36.0224035042897
0.43,-33.35754551635211
0.44,-31.43910838107231
0.45,-37.864718239868445
0.46,-30.422655645801623
0.47,-31.38978462764298
0.48,-28.06360333084894
0.49,-27.349292285518256
0.5,-26.19408788034111
0.51,-25.92254853080762
0.52,-24.46830997929963
0.53,-25.088502019346407
0.54,-26.496762742922257
0.55,-32.36745863500595
0.56,-35.645053397062966
0.57,-32.842586662886376
0.58,-34.92145217767158
0.59,-29.729444595018798
0.6,-29.901773046240198
0.61,-35.28341661952751
0.62,-36.8301587265126
0.63,-34.475185718792
0.64,-33.5068768100592
0.65,-32.30165612606495
0.66,-33.04254149678523
0.67,-35.206753371292926
0.68,-31.23380486452978
0.69,-29.901773046240198
0.7,-30.718031205112453
0.71,-32.52296464906815
0.72,-32.345469029240824
0.73,-33.544614261041836
0.74,-31.33096347979008
0.75,-32.12858161497124
0.76,-33.81346944968344
0.77,-35.83988525849064
0.78,-33.60787666479203
0.79,-34.25352419335484
0.8,-33.95769130799874
0.81,-33.49433400695822
0.82,-36.39936516939041
0.83,-34.847904831909105
0.84,-35.42313903674083
0.85,-34.363647882580025
0.86,-35.01053900619659
0.87,-33.102238567774485
0.88,-34.6452248776892
0.89,-34.80407350438963
0.9,-33.944480826915246
0.91,-32.995077500872945
0.92,-33.35754551635211
0.93,-34.53149638368602
0.94,-33.918119988356985
0.95,-34.05073156633725
0.96,-33.174420891536705
0.97,-34.745973691521485
0.98,-36.59416392714908
0.99,-33.519437751710385
1.0,-33.33290467815828
1.01,-30.708931267519425
1.02,-31.690018075843895
1.03,-31.679841285414255
1.04,-32.33449506740448
1.05,-30.855686853872136
1.06,-34.02404678455595
1.07,-36.48736885673499
1.08,-38.5100066726802
1.09,-36.8301587265126
1.1,-34.96588137755075
1.11,-33.984172699358695
1.12,-35.85632024851811
1.13,-36.9973788788353
1.14,-36.0391878373155
1.15,-34.86256456473596
1.16,-34.489229197418034
1.17,-33.81346944968344
1.18,-35.72570290533895
1.19,-37.14877076605211
1.2,-37.74122009818812
1.21,-41.81136596657302
1.22,-39.603116298338946
1.23,-38.805241800641134
1.24,-40.48176482250891
1.25,-38.532364187310215
1.26,-38.13847802765047
1.27,-39.78221315139747
1.28,-37.38092417473297
1.29,-37.32230152495152
1.3,-34.33598579028897
1.31,-38.96847137601314
1.32,-36.97863908809674
1.33,-36.48736885673499
1.34,-36.95993964139527
1.35,-38.42114769168582
1.36,-36.072854118370536
1.37,-35.533387529506975
1.38,-35.790766053293396
1.39,-33.30833354539897
1.4,-34.33598579028897
1.41,-30.645497258438095
1.42,-29.985051628945577
1.43,-32.01156234839335
1.44,-32.579184195744716
1.45,-33.36989219879788
1.46,-38.09579543739675
1.47,-34.65954621586863
1.48,-41.58574575837924
1.49,-34.46116490922928
1.5,-36.32959861247398
1.51,-37.59932376289611
1.52,-34.44716669566275
1.53,-35.454496073100394
1.54,-38.24611124679071
1.55,-38.465463551277026
1.56,-34.10434833929267
1.57,-34.267213541559705
1.58,-34.906692803452316
1.59,-33.722923242573856
1.6,-35.83988525849064
1.61,-35.206753371292926
1.62,-40.23318503805073
1.63,-36.612091466306104
1.64,-35.93896492184887
1.65,-36.29492435629397
1.66,-36.75685964478449
1.67,-36.77512650669703
1.68,-36.63005608416411
1.69,-39.88623702511363
1.7,-35.790766053293396
1.71,-35.25267007542893
1.72,-35.70951298520325
1.73,-36.39936516939041
1.74,-35.48596672215866
1.75,-35.97224423320387
1.76,-35.790766053293396
1.77,-39.402856369877874
1.78,-36.364411844
1.79,-39.67942035834925
1.8,-37.14877076605211
1.81,-37.70044119869388
1.82,-40.82467341766925
1.83,-41.77877347190285
1.84,-43.989591790056004
1.85,-43.0744419788425
1.86,-42.49029655712677
1.87,-39.78221315139747
1.88,-39.378145429631736
1.89,-37.42022690983759
1.9,-37.74122009818812
1.91,-37.864718239868445
1.92,-40.34278762340235
1.93,-39.20710972762797
1.94,-42.110336232568464
1.95,-39.42763781218884
1.96,-26.04927500446099
1.97,-23.504083467835724
1.98,-23.13888046938965
1.99,-20.375939914176
2.0,-26.700746042427884
2.01,-26.55294592482597
2.02,-23.089561024675636
2.03,-20.529528204664192
2.04,-20.540804921130395
2.05,-18.62916271522803
2.06,-21.688159792476647
2.07,-23.86461280451597
2.08,-25.73585953701565
2.09,-25.964585586303983
2.1,-27.63183619512766
2.11,-27.963572786079073
2.12,-28.287811601032043
2.13,-28.468629284138416
2.14,-28.915636760962443
2.15,-30.077589827248794
2.16,-34.226210052487346
2.17,-35.98893182649837
2.18,-36.20883951252764
2.19,-31.79244720669951
2.2,-32.44486363799739
2.21,-34.10434833929267
2.22,-33.6205846255637
2.23,-31.350526302559825
2.24,-23.017978792114917
2.25,-18.021601908228583
2.26,-17.854359395899976
2.27,-19.03226032590346
2.28,-24.9749593615126
2.29,-32.117878114370846
2.3,-30.484477185344456
2.31,-29.95164431992424
2.32,-36.0224035042897
2.33,-33.456813906983115
2.34,-37.80274967996088
2.35,-35.01053900619659
2.36,-36.540602259140144
2.37,-38.267798872635105
2.38,-35.32974147407113
2.39,-32.41160556428931
2.4,-32.389504052013066
2.41,-33.852565793132264
2.42,-35.055427424645636
2.43,-37.14877076605211
2.44,-35.645053397062966
2.45,-33.65882044506963
2.46,-33.735800768487955
2.47,-37.36133929690196
2.48,-35.407502867553205
2.49,-38.311337257720595
2.5,-36.73863111839208
2.51,-40.20599913279624
2.52,-35.22203198497398
2.53,-37.9480367649525
2.54,-37.07274498844913
2.55,-36.666097171717716
2.56,-37.09168913911697
2.57,-38.159898234900986
2.58,-36.55841947490166
2.59,-37.65985285549987
2.6,-34.419237766010966
2.61,-33.89183891040035
2.62,-34.226210052487346
2.63,-37.68012331893091
2.64,-35.54925217252573
2.65,-36.34698778672656
2.66,-36.59416392714908
2.67,-37.499369959785916
2.68,-38.55477939881613
2.69,-40.651527027019284
2.7,-38.992042325724
2.71,-40.48176482250891
2.72,-41.9098837293992
2.73,-39.06314141006486
2.74,-36.505077098624085
2.75,-37.59932376289611
2.76,-39.75640068176758
2.77,-39.78221315139747
2.78,-40.39811194826538
2.79,-40.34278762340235
2.8,-39.70500473513271
2.81,-37.341798479575715
2.82,-41.36583807234997
2.83,-40.37040573773005
2.84,-38.03216226167297
2.85,-35.454496073100394
2.86,-36.43445972072142
2.87,-34.503295418529525
2.88,-37.11067469779735
2.89,-37.225467861635146
2.9,-39.353504591437904
2.91,-38.57725260575926
2.92,-42.49029655712677
2.93,-39.27999873973685
2.94,-40.260456299505705
2.95,-39.20710972762797
2.96,-36.576273313948484
2.97,-36.63005608416411
2.98,-35.438803404625766
2.99,-34.68825992677172
3.0,-34.57397025628313
3.01,-31.854489539329155
3.02,-33.83951411578833
3.03,-33.81346944968344
3.04,-35.98893182649837
3.05,-29.262816706247886
3.06,-30.56461410103426
3.07,-34.23985638622608
3.08,-30.10299956639812
3.09,-30.8003625290091
3.1,-33.67160321358432
3.11,-33.27160668459903
3.12,-34.616652846536844
3.13,-33.35754551635211
3.14,-34.58817449434327
3.15,-35.517551810192515
3.16,-35.645053397062966
3.17,-29.117730341169
3.18,-32.624423306542276
3.19,-29.02732997992244
3.2,-28.57468542029671
3.21,-29.332396968627354
3.22,-30.188239599248014
3.23,-34.67389120614498
3.24,-32.37847434940325
3.25,-33.456813906983115
3.26,-31.214502879613097
3.27,-30.77283195243303
3.28,-31.004964678676114
3.29,-27.3864379856296
3.3,-26.468806846120955
3.31,-27.78637055395467
3.32,-27.423743223954546
3.33,-26.46322644783195
3.34,-26.35787443612363
3.35,-26.752499261900724
3.36,-27.845037198554383
3.37,-28.56757458106365
3.38,-28.790763469538803
3.39,-30.257039084796183
3.4,-31.20486794835552
3.41,-29.36350135151077
3.42,-30.213975587374332
3.43,-28.9824801919536
3.44,-27.943704177404772
3.45,-28.384706992266256
3.46,-32.97144241244438
3.47,-31.83375948262035
3.48,-29.102598125428653
3.49,-28.01677901455089
3.5,-31.588782784890164
3.51,-30.88348172443225
3.52,-33.28383172481285
3.53,-30.27432444301435
3.54,-28.87135855307185
3.55,-27.963572786079073
3.56,-31.64938226073039
3.57,-27.937091394719115
3.58,-27.838499080339716
3.59,-29.441753138771766
3.6,-30.40507286725077
3.61,-26.547311224895594
3.62,-27.741013324838228
3.63,-30.690759943657483
3.64,-29.36350135151077
3.65,-29.43389615982077
3.66,-32.80777343136036
3.67,-31.57872384961649
3.68,-30.44027408924212
3.69,-31.11863115973439
3.7,-32.37847434940325
3.71,-30.001803591010074
3.72,-29.012354304422878
3.73,-29.13288896567622
3.74,-30.818764844447788
3.75,-31.782149766681258
3.76,-32.19308109183699
3.77,-31.854489539329155
3.78,-31.17602711509029
3.79,-32.12858161497124
3.8,-31.79244720669951
3.81,-31.99045446525204
3.82,-31.99045446525204
3.83,-32.44486363799739
3.84,-32.02213555680554
3.85,-31.64938226073039
3.86,-30.818764844447788
3.87,-30.50222160344233
3.88,-30.63647295670367
3.89,-31.350526302559825
3.9,-31.08057681786539
3.91,-31.43910838107231
3.92,-31.128170852772485
3.93,-28.696468960758242
3.94,-28.77618982578752
3.95,-30.34381193072038
3.96,-30.7911759711585
3.97,-30.47561855159539
3.98,-30.370013729286732
3.99,-29.592402194137794
4.0,-29.270520378272224
4.01,-31.004964678676114
4.02,-32.738562789170224
4.03,-34.363647882580025
4.04,-35.22203198497398
4.05,-33.569863958003346
4.06,-34.80407350438963
4.07,-33.29607399553303
4.08,-31.147281728772654
4.09,-28.454585805512373
4.1,-27.093627461971792
4.11,-28.198795003794878
4.12,-29.019838914655985
4.13,-30.265677464064204
4.14,-31.253149838312517
4.15,-31.37013328523785
4.16,-32.52296464906815
4.17,-32.635769996122
4.18,-32.001001994948965
4.19,-32.54540882082786
4.2,-33.0069192063718
4.21,-33.35754551635211
4.22,-32.738562789170224
4.23,-33.826482020863374
4.24,-33.519437751710385
4.25,-32.279832271272106
4.26,-34.15829813781729
4.27,-33.90496950948155
4.28,-33.944480826915246
4.29,-34.13128135199811
4.3,-34.10434833929267
4.31,-35.08548243607973
4.32,-35.905812631075214
4.33,-35.47021714461037
4.34,-37.7616815673397
4.35,-38.92152050689344
4.36,-36.46969664384714
4.37,-38.267798872635105
4.38,-37.16788164205228
4.39,-38.224477637504954
4.4,-37.65985285549987
4.41,-43.1122890523966
4.42,-39.1108661984721
4.43,-37.302848236555626
4.44,-40.651527027019284
4.45,-36.666097171717716
4.46,-39.15885466108119
4.47,-38.42114769168582
4.48,-37.74122009818812
4.49,-37.053842065562876
4.5,-39.67942035834925
4.51,-38.5100066726802
4.52,-39.1108661984721
4.53,-39.452490160010754
4.54,-38.267798872635105
4.55,-38.42114769168582
4.56,-40.76657360480111
4.57,-37.63962958760262
4.58,-39.42763781218884
4.59,-37.70044119869388
4.6,-37.927132086659505
4.61,-36.95993964139527
4.62,-37.559204108944144
4.63,-38.311337257720595
4.64,-37.9062775997192
4.65,-37.42022690983759
4.66,-40.28781345483932
4.67,-40.623001912258644
4.68,-42.56120217241977
4.69,-39.91243882367998
4.7,-39.231338166316874
4.71,-41.273269988708556
4.72,-38.66773144096018
4.73,-40.82467341766925
4.74,-42.96188027867397
4.75,-41.84408122045819
4.76,-42.043003417569324
4.77,-37.225467861635146
4.78,-41.36583807234997
4.79,-38.532364187310215
4.8,-39.15885466108119
4.81,-39.603116298338946
4.82,-38.898139901556405
4.83,-39.25563437695049
4.84,-39.15885466108119
4.85,-37.9062775997192
4.86,-37.16788164205228
4.87,-40.56623118965063
4.88,-37.782191351693506
4.89,-36.9973788788353
4.9,-36.29492435629397
4.91,-34.81865938462336
4.92,-36.505077098624085
4.93,-38.333188563932055
4.94,-39.3289334586786
4.95,-41.459403317905384
4.96,-37.53921356010161
4.97,-37.63962958760262
4.98,-39.20710972762797
4.99,-36.34698778672656
5.0,-37.51926891382263
5.01,-36.72044076695198
5.02,-32.865873244228496
5.03,-32.92436430457484
5.04,-33.174420891536705
5.05,-30.13699526395601
5.06,-31.33096347979008
5.07,-33.0783104820136
5.08,-31.730844894315304
5.09,-34.559789208826054
5.1,-33.174420891536705
5.11,-35.80710827756498
5.12,-36.70228843090309
5.13,-36.46969664384714
5.14,-36.576273313948484
5.15,-39.03937699130614
5.16,-38.117110514689955
5.17,-38.8748220630206
5.18,-34.40530690554588
5.19,-34.93623667424207
5.2,-35.100549030730114
5.21,-35.37631472044278
5.22,-36.505077098624085
5.23,-37.034980191401395
5.24,-35.29883080216743
5.25,-37.18703465893772
5.26,-36.32959861247398
5.27,-36.43445972072142
5.28,-35.613002107417415
