seconds_elapsed,dBFS
0.0,-29.568441104078858
0.01,-29.270520378272224
0.02,-28.864000746924063
0.03,-28.908241367039253
0.04,-29.14807409128872
0.05,-29.2167376080566
0.06,-29.347935236882176
0.07,-29.034827511366007
0.08,-28.09047385386595
0.09,-27.612711292785153
0.1,-27.72164678473464
0.11,-27.010051246757524
0.12,-26.55294592482597
0.13,-26.74673365290172
0.14,-27.374038426581556
0.15,-27.42997637071509
0.16,-27.818914202508715
0.17,-27.917283199958682
0.18,-27.07565045043964
0.19,-26.485569584623185
0.2,-26.491164360750965
0.21,-27.689464867082016
0.22,-27.87780181544434
0.23,-27.728097501435194
0.24,-27.367845278627158
0.25,-27.683042767241894
0.26,-27.80588210758375
0.27,-27.80588210758375
0.28,-27.454953784442043
0.29,-27.330778837007227
0.3,-27.027892861325324
0.31,-27.884369596201925
0.32,-28.39863785273134
0.33,-27.884369596201925
0.34,-27.312304764878657
0.35,-26.73521390368256
0.36,-27.06966637191286
0.37,-26.36338753668197
0.38,-27.196206023998826
0.39,-27.374038426581556
0.4,-27.423743223954546
0.41,-28.32920591117081
0.42,-29.11016093795526
0.43,-29.91006506561751
0.44,-30.17967785420972
0.45,-29.680829414161877
0.46,-30.511107424818892
0.47,-31.272537992876117
0.48,-30.231175374456143
0.49,-29.985051628945577
0.5,-29.918365008569246
0.51,-29.301403573965196
0.52,-29.843949506520126
0.53,-30.094521391358896
0.54,-30.265677464064204
0.55,-30.069136406009214
0.56,-29.901773046240198
0.57,-29.680829414161877
0.58,-29.68891307192362
0.59,-29.441753138771766
0.6,-30.10299956639812
0.61,-30.645497258438095
0.62,-30.754526593417395
0.63,-32.31258865065243
0.64,-30.939339728115655
0.65,-31.7206201849085
0.66,-32.45597802164835
0.67,-31.948391963496753
0.68,-32.61309142021474
0.69,-33.95769130799874
0.7,-33.722923242573856
0.71,-39.452490160010754
0.72,-39.91243882367998
0.73,-40.73766878731749
0.74,-43.66022950088225
0.75,-43.1884815553319
0.76,-45.75126460692089
0.77,-48.37079843903322
0.78,-48.44056499594966
0.79,-48.87135855307185
0.8,-49.885212717795596
0.81,-49.32463824579072
0.82,-50.30899869919435
0.83,-49.80288139389895
0.84,-49.56046874038188
0.85,-49.247429829525956
0.86,-49.56046874038188
0.87,-50.22257122354151
0.88,-50.22257122354151
0.89,-50.939339728115655
0.9,-50.136995263955995
0.91,-50.663574038402984
0.92,-51.619029674323
0.93,-49.885212717795596
0.94,-51.41934525619099
0.95,-50.136995263955995
0.96,-50.39629480724336
0.97,-50.48447718534446
0.98,-50.663574038402984
0.99,-48.510896470406394
1.0,-47.70232332929424
1.01,-48.798059471343734
1.02,-48.164799306236986
1.03,-50.663574038402984
1.04,-49.01983891465598
1.05,-50.05225420509091
1.06,-50.84644162720038
1.07,-49.885212717795596
1.08,-51.619029674323
1.09,-48.87135855307185
1.1,-48.510896470406394
1.11,-49.40253912346121
1.12,-46.17248117855736
1.13,-31.813078783236115
1.14,-28.056898668502868
1.15,-25.694912426942977
1.16,-24.16763968596839
1.17,-23.226829916246338
1.18,-22.30169323219558
1.19,-22.12048132576549
1.2,-22.357150018432023
1.21,-22.318985472902146
1.22,-22.781109858449035
1.23,-23.09334490172876
1.24,-24.24507755078458
1.25,-24.297089021395088
1.26,-24.876812671617717
1.27,-24.74307453736888
1.28,-24.793560695895728
1.29,-24.557442517620245
1.3,-24.441747604965446
1.31,-24.124915105786204
1.32,-23.50011640239199
1.33,-24.35378847721168
1.34,-22.98801450318965
1.35,-22.872869529046042
1.36,-21.79831428922909
1.37,-22.232866488245904
1.38,-21.443738950020457
1.39,-21.769019524063612
1.4,-21.860485171770264
1.41,-21.63360202069704
1.42,-22.430478567477618
1.43,-22.19183071284162
1.44,-22.73014472692561
1.45,-22.05642828830685
