seconds_elapsed,dBFS
0.0,-31.937908088188884
0.01,-30.396294807243358
0.02,-30.511107424818892
0.03,-33.30833354539897
0.04,-36.0224035042897
0.05,-31.62913542256951
0.06,-29.568441104078858
0.07,-14.660979649263762
0.08,-13.049683519639109
0.09,-21.35963608019924
0.1,-21.707497588155572
0.11,-20.537984369185473
0.12,-18.8353248373184
0.13,-20.14648797753037
0.14,-20.591732107247665
0.15,-19.628476578071655
0.16,-18.84460215690592
0.17,-17.804808191556734
0.18,-15.672390293431109
0.19,-15.264955635663938
0.2,-13.530758151074384
0.21,-13.224092757871986
0.22,-13.201038766112983
0.23,-13.615499209939479
0.24,-13.341521022302324
0.25,-13.022337598526496
0.26,-12.720199379290019
0.27,-12.152175847535464
0.28,-12.635769996122006
0.29,-12.222262855144457
0.3,-11.649382260730395
0.31,-13.62440064216081
0.32,-12.007336666170348
0.33,-13.08906996405044
0.34,-13.525725040901355
0.35,-14.037378927830517
0.36,-12.840261434753618
0.37,-13.323067882499826
0.38,-12.960827568738534
0.39,-12.094376738326744
0.4,-13.735800768487962
0.41,-13.213164818114647
0.42,-12.211443359926266
0.43,-12.428218683102179
0.44,-11.748254571056698
0.45,-11.669676404630906
0.46,-12.320249613470807
0.47,-12.657369628105332
0.48,-13.150293404805778
0.49,-12.557777880594177
0.5,-13.350145922289885
0.51,-15.202175022963404
0.52,-13.766784949874133
0.53,-14.581069471748272
0.54,-13.628218336005025
0.55,-12.999812245955063
0.56,-12.930235132536133
0.57,-12.643721507494877
0.58,-12.615356615073857
0.59,-14.547046031588412
0.6,-15.777714375949463
0.61,-15.517551810192519
0.62,-14.152888053781867
0.63,-15.73056577173717
0.64,-14.511746098266723
0.65,-13.81476982989967
0.66,-13.122629397252037
0.67,-14.088228527110038
0.68,-13.350145922289885
0.69,-14.745973691521485
0.7,-15.148938513198376
0.71,-14.94660081549841
0.72,-13.41324432263743
0.73,-14.052067959852932
0.74,-13.768078359099674
0.75,-12.527448846193078
0.76,-12.88571604313537
0.77,-13.509387545627504
0.78,-13.33659635051168
0.79,-14.420632081711538
0.8,-16.54594358736303
0.81,-15.52229949527277
0.82,-14.971822478766004
0.83,-15.034450623880392
0.84,-13.294848991703612
0.85,-13.313242214440649
0.86,-13.955047603933878
0.87,-13.409519936256604
0.88,-13.566071821013159
0.89,-14.296031591914595
0.9,-15.168674004568345
0.91,-12.856551118688591
0.92,-14.215308401055548
0.93,-14.395568580273924
0.94,-14.23030170191752
0.95,-13.52824123142824
0.96,-13.17200512469091
0.97,-13.393399356956571
0.98,-14.000100374307355
0.99,-14.265843635455127
1.0,-13.757736474099884
1.01,-14.053404559015076
1.02,-14.234395279703477
1.03,-13.626945584938483
1.04,-13.890526941568009
1.05,-13.701075169524978
1.06,-14.445768114283341
1.07,-15.493852233038945
1.08,-15.478088363670167
1.09,-14.62378704787268
1.1,-15.709512985203244
1.11,-16.106651396958032
1.12,-15.790766053293394
1.13,-15.331289899004021
1.14,-15.942287121024224
1.15,-16.42567278053039
1.16,-16.73317001186948
1.17,-15.754921025487276
1.18,-15.955588639149115
1.19,-15.766310223984583
1.2,-17.267941734232256
1.21,-17.72692569565163
1.22,-16.529929446445998
1.23,-15.402817500377797
1.24,-19.358427169998716
1.25,-25.715361852840843
1.26,-22.11371661386743
1.27,-17.559204108944144
1.28,-16.94500901522112
1.29,-12.891560797839501
1.3,-11.565664624893703
1.31,-11.526604346224618
1.32,-10.015228461747604
1.33,-11.425269473520608
1.34,-12.910290486257159
1.35,-12.727081109192904
1.36,-12.868205339728632
1.37,-11.845154890781007
1.38,-13.291175016475878
1.39,-17.162143962901833
1.4,-19.041750509462208
1.41,-19.363352539928293
1.42,-18.874822063020602
1.43,-19.166075852827092
1.44,-19.38802137115967
1.45,-17.375044073207665
1.46,-14.90079606891623
1.47,-12.597251575401236
1.48,-11.119584657692217
1.49,-11.10529316710214
1.5,-9.650985124540835
1.51,-10.05478444435862
1.52,-13.611687101193597
1.53,-13.503112066965633
1.54,-11.702245984439756
1.55,-13.291175016475878
1.56,-11.09577855377472
1.57,-13.685686021005507
1.58,-14.318052556682057
1.59,-14.129932716076134
1.6,-13.895776006322446
1.61,-14.223483356612478
1.62,-12.489406759400579
1.63,-12.812407141599921
1.64,-11.647355451798536
1.65,-9.494579027170488
1.66,-9.590802730062183
1.67,-10.295979626602456
1.68,-10.622053547477082
1.69,-13.444343137234169
1.7,-16.52104544276871
1.71,-19.130029779633567
1.72,-18.259117323048738
1.73,-17.647713245364372
1.74,-16.722258088778478
1.75,-16.39411319524789
1.76,-15.459209407558854
1.77,-15.097533620306473
1.78,-13.103436704149658
1.79,-11.403567069040161
1.8,-10.188239599248014
1.81,-11.735961766120466
1.82,-17.055730507713605
1.83,-18.16848113049864
1.84,-15.983922181273623
1.85,-16.90037051198225
1.86,-16.870738450362616
1.87,-17.489437552027717
1.88,-17.21969202879144
1.89,-15.234274255694153
1.9,-14.23985638622608
1.91,-15.904158333453218
1.92,-16.820962442288725
1.93,-16.617476951425253
1.94,-15.818566156823104
1.95,-16.34002793888778
1.96,-15.212861592105892
1.97,-14.839120853774945
1.98,-13.757736474099884
1.99,-13.204674804527091
2.0,-13.374835790074222
2.01,-14.37057719259098
2.02,-12.844912513653544
2.03,-11.589789319411029
2.04,-10.944010817036009
2.05,-11.590795970584209
2.06,-10.8169228574537
2.07,-11.67170842935372
2.08,-12.804299770191058
2.09,-10.875133920197138
2.1,-10.529797291387597
2.11,-10.917885014777486
2.12,-10.95710324575656
2.13,-11.87630947812025
2.14,-14.36503330241518
2.15,-16.455584716066976
2.16,-17.264071879127894
2.17,-19.3068787122425
2.18,-18.042735470085162
2.19,-15.675612062621632
2.2,-14.523026476005537
2.21,-14.021382809795595
2.22,-13.4893219527868
2.23,-13.046111774141007
2.24,-13.168382733741877
2.25,-12.704163181284752
2.26,-12.946694592650017
2.27,-13.323067882499826
2.28,-12.635769996122006
2.29,-13.65626614726029
2.3,-14.207141132340897
2.31,-15.519134083562058
2.32,-16.084668212772556
2.33,-15.769567025536823
2.34,-14.830345749841452
2.35,-13.215592061287648
2.36,-13.385969168618049
2.37,-12.258063112914531
2.38,-13.238684764055783
2.39,-12.172604389863448
2.4,-10.60945617088449
2.41,-11.04268847147213
2.42,-16.87813699394288
2.43,-19.23376473139427
2.44,-23.081998212149028
2.45,-27.983486947583472
2.46,-29.11016093795526
2.47,-33.826482020863374
2.48,-36.9973788788353
2.49,-40.28781345483932
2.5,-41.490817057890006
2.51,-40.151881265277744
2.52,-40.151881265277744
2.53,-37.11067469779735
2.54,-34.280924498847256
2.55,-29.811079497044656
2.56,-26.637908026817122
2.57,-21.795054431942535
2.58,-13.981520924147118
2.59,-13.593919348806692
2.6,-13.634584890301692
2.61,-13.42069788971787
2.62,-14.579649164388705
2.63,-16.291464531656285
2.64,-14.369190888280631
2.65,-17.038749290891243
2.66,-14.559789208826057
2.67,-13.73451215641853
2.68,-14.490634794902792
2.69,-13.672882525706537
2.7,-13.55722993448413
2.71,-15.214389318719286
2.72,-18.25477980004321
2.73,-22.444516371968408
2.74,-25.92254853080762
2.75,-28.44757257167309
2.76,-32.24719895935549
2.77,-33.918119988356985
2.78,-33.970921911681145
2.79,-33.198615585838354
2.8,-28.841964651456337
2.81,-24.044312865299876
2.82,-15.111111218684371
2.83,-10.703475877637555
2.84,-11.612971864263624
2.85,-15.856320248518113
2.86,-8.969814741851913
2.87,-12.67217933269581
2.88,-15.968910558383415
2.89,-17.2660065911613
2.9,-18.166334611363023
2.91,-16.101573413979104
2.92,-15.363870750351472
2.93,-15.947272803532524
2.94,-14.566876838462955
2.95,-12.55440275343375
2.96,-13.036594293788044
2.97,-12.964364408816476
2.98,-12.862376274589344
2.99,-13.518180839814981
3.0,-15.088493664966904
3.01,-15.124710074509478
3.02,-15.571511466225907
3.03,-16.19172445351597
3.04,-15.955588639149115
3.05,-14.50751973066826
3.06,-13.51943775171039
3.07,-13.439359838395204
3.08,-14.09225567638459
3.09,-14.24532092848752
3.1,-15.766310223984583
3.11,-16.000632247293233
3.12,-14.146130183964535
3.13,-12.855386556155766
3.14,-13.046111774141007
3.15,-12.177988317165356
3.16,-12.248284763424413
3.17,-14.435984345050896
3.18,-16.243171136821132
3.19,-16.98425678127827
3.2,-15.638633670504605
3.21,-16.09818974052842
3.22,-18.76375962747806
3.23,-20.683013232537242
3.24,-20.939098209052972
3.25,-21.154387734274387
3.26,-20.431476482137896
3.27,-19.973004617561866
3.28,-19.867942681817908
3.29,-21.939658280262346
3.3,-19.67686606053991
3.31,-19.771878956676865
3.32,-20.373172385193513
3.33,-21.929722085121902
3.34,-27.57458735606622
3.35,-30.231175374456143
3.36,-33.49433400695822
3.37,-32.2363483775096
3.38,-28.703686152397463
3.39,-28.667660013492096
3.4,-27.92388091363562
3.41,-28.85664916828962
3.42,-25.849469701326527
3.43,-24.530606585959823
3.44,-24.67016003037786
3.45,-26.396539827455623
3.46,-29.893488935323198
3.47,-29.117730341169
3.48,-24.59335322360646
3.49,-18.527888078147477
3.5,-17.627518189444988
3.51,-19.289763653230835
3.52,-12.307120668326391
3.53,-10.01942799267023
3.54,-10.064912778579501
3.55,-9.71402032785762
3.56,-9.895973339107522
3.57,-9.7595601587688
3.58,-9.65420659500449
3.59,-11.02757928803525
3.6,-10.629260259890565
3.61,-11.089124520347637
3.62,-14.483609080988986
3.63,-19.395435703353844
3.64,-16.439736154803736
3.65,-13.529499600084996
3.66,-12.875205385484051
3.67,-11.912798295790438
3.68,-10.058159243677643
3.69,-10.804959454037311
3.7,-11.011554526438854
3.71,-14.722842147522641
3.72,-17.794520508679238
3.73,-25.354442040999892
3.74,-24.232123201421267
3.75,-21.32869237223863
3.76,-20.467766608942377
3.77,-20.0900597257349
3.78,-20.0233577419868
3.79,-18.68594085986858
3.8,-24.258051249444645
3.81,-22.621930416444233
3.82,-23.2306740807871
3.83,-23.811008758148088
3.84,-23.346797329589602
3.85,-23.496151147980253
3.86,-20.56057447200487
3.87,-19.722958743434745
3.88,-22.690309432580314
3.89,-22.312064444935906
3.9,-20.48737043073061
3.91,-19.512427531636394
3.92,-16.51571939887895
3.93,-13.577453202381378
3.94,-11.478770046506297
3.95,-9.805340012485374
3.96,-11.723686334133046
3.97,-14.891958466351474
3.98,-20.26592084176714
3.99,-17.571220559518373
4.0,-15.541316228951239
4.01,-26.21574846422998
4.02,-19.214371165675026
4.03,-24.679240940392727
4.04,-25.46811391180334
4.05,-21.65602549893222
4.06,-21.12114894400974
4.07,-22.741040680231603
4.08,-25.165030176407463
4.09,-28.89346944232566
4.1,-27.78637055395467
4.11,-24.624897345158473
4.12,-25.700020271628876
4.13,-21.0880368657812
4.14,-19.64881824928465
4.15,-25.664328276899685
4.16,-29.02732997992244
4.17,-28.51796104146527
4.18,-27.48627689677957
4.19,-29.91006506561751
4.2,-27.517713375677356
4.21,-22.8250335406127
4.22,-21.350341387350756
4.23,-22.81403177899228
4.24,-24.4284968172879
4.25,-30.600469217534325
4.26,-31.19524369292424
4.27,-32.4005477784062
4.28,-29.449617231330755
4.29,-26.113338402224056
4.3,-26.172481178557362
4.31,-27.087630989770865
4.32,-24.59785251903888
4.33,-24.99849199481288
4.34,-24.03587176683373
4.35,-24.463877272064835
4.36,-24.06121971178252
4.37,-19.24347777645237
4.38,-17.027446895492865
4.39,-15.512806718767179
4.4,-14.216670359449255
4.41,-12.937285368019044
4.42,-11.377988487797255
4.43,-11.003082782961233
4.44,-14.869903719915374
4.45,-14.732954618929583
4.46,-11.142500066313296
4.47,-13.511899007156657
4.48,-15.922372959519823
4.49,-16.3836187642837
4.5,-16.798931004635225
4.51,-15.478088363670167
4.52,-13.067564311594474
4.53,-10.334224374078003
4.54,-9.95331163726079
4.55,-10.403316545409165
4.56,-12.19092337486202
4.57,-14.30841151431167
4.58,-16.85780614392884
4.59,-13.426914085244091
4.6,-10.442919940804867
4.61,-10.950554564584007
4.62,-11.289052019418257
4.63,-10.677156354912729
4.64,-11.054037632021545
4.65,-10.256175719193559
4.66,-10.368264481543823
4.67,-11.474795720361431
4.68,-12.089044372981501
4.69,-13.479306512486493
4.7,-13.669045154476432
4.71,-11.785237717050238
4.72,-10.605860273653224
4.73,-10.973027771527137
4.74,-11.227044289610566
4.75,-14.161004444004652
4.76,-15.467070653129468
4.77,-12.113600404538973
4.78,-17.206230002966713
4.79,-12.109324800397477
4.8,-12.70187471080963
4.81,-21.847359533249737
4.82,-24.606858107858116
4.83,-12.060306031682863
4.84,-13.23625106002247
4.85,-26.199497964376537
4.86,-27.41129033345151
4.87,-26.740971868519253
4.88,-27.214434550391246
4.89,-28.97502769073445
4.9,-31.518613646821983
4.91,-28.99740440462539
4.92,-30.13699526395601
4.93,-27.956944865392668
4.94,-29.648569805536145
4.95,-29.835720335238488
4.96,-28.050199177512752
4.97,-31.49866900054301
4.98,-28.75437510614651
4.99,-25.664328276899685
5.0,-23.868749927546347
5.01,-23.35459435851359
5.02,-20.108828440389665
5.03,-18.559269390975075
5.04,-18.15775383552259
5.05,-21.212101499024154
5.06,-24.620384022303966
5.07,-25.21803715701488
5.08,-22.277541785665438
5.09,-23.985396721325305
5.1,-22.483237727288405
5.11,-23.46844493744492
5.12,-22.639872768699295
5.13,-21.75278724567455
5.14,-23.432952035961257
5.15,-28.294696967732726
5.16,-28.63894630258901
5.17,-28.603187134593053
5.18,-28.682052543111705
5.19,-29.14047821005425
5.2,-27.92388091363562
5.21,-26.22659904607586
5.22,-22.781109858449035
5.23,-23.90191804284092
5.24,-29.78650836428535
5.25,-27.232701412303776
5.26,-28.97502769073445
5.27,-31.137721034755007
5.28,-26.270137431161352
5.29,-26.717962875890603
5.3,-27.196206023998826
5.31,-25.92254853080762
5.32,-23.889465152337888
5.33,-24.384472953971144
5.34,-22.74831225004773
5.35,-25.448237725468466
5.36,-24.249399964229372
5.37,-25.508003256941404
5.38,-28.13093614584809
5.39,-24.835086940592515
5.4,-25.2713696081438
5.41,-17.171708868216015
5.42,-14.600978199346606
5.43,-19.23133816631687
5.44,-23.806899039766204
5.45,-22.378037939451715
5.46,-26.335856960105907
5.47,-25.488035685761467
5.48,-27.657401745999618
5.49,-18.248277574183923
5.5,-20.591732107247665
5.51,-23.37020944521454
5.52,-22.94326100115174
5.53,-20.176192587864307
5.54,-17.537217033340017
5.55,-14.824500601815977
5.56,-14.766264449110905
5.57,-16.25005377556324
5.58,-13.09505321815358
5.59,-10.37176332938089
5.6,-10.087744804599662
5.61,-12.253715820712635
5.62,-16.71862382527857
5.63,-15.360762541465892
5.64,-12.056056574828013
5.65,-8.891993630642892
5.66,-10.049724702678803
5.67,-10.634669220919372
5.68,-9.688104367520257
5.69,-15.162596768260912
5.7,-16.978639088096738
5.71,-12.884547564000215
5.72,-11.976761797007438
5.73,-13.108230903050488
5.74,-17.93966885521275
5.75,-19.163668121796274
5.76,-18.01949137738645
5.77,-12.497225345084612
5.78,-9.749781503485407
5.79,-9.083719853189358
5.8,-10.587903083800452
5.81,-11.089124520347637
5.82,-9.972508825844598
5.83,-9.287492545679383
5.84,-10.865867982004485
5.85,-13.610416769982841
5.86,-18.7821716950785
5.87,-18.465463551277022
5.88,-11.838937360352267
5.89,-12.126439859409142
5.9,-17.304791605987177
5.91,-19.808102558457453
5.92,-13.357545516352115
5.93,-22.03965043947786
5.94,-22.458576900555713
5.95,-18.816799872390614
5.96,-19.514933920237844
5.97,-20.431476482137896
5.98,-16.811775884438124
5.99,-12.27874251659556
6.0,-15.269567204467814
6.01,-12.05287084596851
6.02,-15.380985809363137
6.03,-11.16260076208754
6.04,-11.451978568107608
6.05,-11.242504771410651
6.06,-9.26435689414767
6.07,-11.45296937283555
6.08,-12.480479842234475
6.09,-11.297807466958357
6.1,-12.173680908379803
6.11,-17.164056101520032
6.12,-17.437971327935454
6.13,-11.504647587199655
6.14,-10.598672942140048
6.15,-10.046353178274291
6.16,-11.272537992876117
6.17,-11.330963479790084
6.18,-12.73511669127219
6.19,-16.599538304739173
6.2,-16.089736319288843
6.21,-14.890486406414373
6.22,-15.074951348366103
6.23,-17.175537781497354
6.24,-18.2331246164551
6.25,-17.511303860868274
6.26,-15.245000415206036
6.27,-13.539573117755781
6.28,-14.013395784278265
6.29,-11.652423361177425
6.3,-12.329013281398575
6.31,-12.560028694195285
6.32,-12.161846536570902
6.33,-12.265676113773331
6.34,-12.54653255323619
6.35,-15.076455007962704
6.36,-14.872841119212243
6.37,-14.95252873904402
6.38,-10.798524439987728
6.39,-13.093856237563514
6.4,-19.003851830790083
6.41,-20.274124106634464
6.42,-14.131281351998116
6.43,-13.288726562720958
6.44,-10.522672599395328
6.45,-11.585763880971205
6.46,-10.863090126971567
6.47,-11.427245110885673
6.48,-10.018587924035883
6.49,-11.171229606192812
6.5,-11.667644855179926
6.51,-11.997836390963947
6.52,-16.17464305245918
6.53,-20.648670296311714
6.54,-20.11957165714339
6.55,-17.985792442242698
6.56,-18.919179612218695
6.57,-15.118663509950597
6.58,-13.9220690175853
6.59,-12.685872277683083
6.6,-12.399442773680065
6.61,-12.638041113833484
6.62,-12.827483794733661
6.63,-11.745179738419218
6.64,-13.003364999282148
6.65,-13.827784350821295
6.66,-13.362482083485885
6.67,-13.81086927315211
6.68,-13.936564171676578
6.69,-11.757485605372146
6.7,-12.537546762042357
6.71,-12.21468779362074
6.72,-12.05287084596851
6.73,-11.667644855179926
6.74,-12.06987491774062
6.75,-10.811399239055747
6.76,-10.49245768784478
6.77,-11.147281728772656
6.78,-11.576713459690131
6.79,-10.9974395409838
6.8,-11.787296960691476
6.81,-12.410499152003489
6.82,-13.388445191906783
6.83,-11.635204520036464
6.84,-11.845154890781007
6.85,-12.289646220811871
6.86,-12.383987449961595
6.87,-13.01877707802652
6.88,-12.752360869336481
6.89,-12.11680848939098
6.9,-12.893899801391555
6.91,-12.874038319356927
6.92,-13.403316172234527
6.93,-13.606606890703365
6.94,-13.82387794660071
6.95,-13.601529649794182
6.96,-13.550919807335509
6.97,-14.15424025891234
6.98,-13.836906132091197
6.99,-13.790095835117398
7.0,-14.961428216910747
7.01,-14.591018131506686
7.02,-14.173193267513023
7.03,-14.988181491566577
7.04,-14.75176621566952
7.05,-15.225090935397589
7.06,-15.212861592105892
7.07,-15.294203674487342
7.08,-15.006062897033853
7.09,-15.189977879111717
7.1,-13.952404704282246
7.11,-15.144390530039367
7.12,-14.676763049331354
7.13,-15.490697169568705
7.14,-15.044932691778925
7.15,-15.606606017556917
7.16,-16.30704460693328
7.17,-17.237031062328562
7.18,-17.038749290891243
7.19,-15.249601398612674
7.2,-15.251135601502481
7.21,-17.213920034135754
7.22,-16.46969664384715
7.23,-16.44149567869065
7.24,-15.523882633824144
7.25,-16.162706027420196
7.26,-15.856320248518113
7.27,-14.593862699941496
7.28,-15.241934446364438
7.29,-15.473364776331024
7.3,-13.786206340476062
7.31,-16.176349681728464
7.32,-16.24489128528463
7.33,-15.303460396114502
7.34,-17.13160685515511
7.35,-16.97489597679638
7.36,-17.469606745153172
7.37,-16.565556607298365
7.38,-16.28800608461156
7.39,-16.357438026172094
7.4,-15.142875064688221
7.41,-16.062740525567047
7.42,-15.577881755941638
7.43,-16.224271953018604
7.44,-15.704661887820478
7.45,-15.867843272565075
7.46,-15.503324305556774
7.47,-16.104958406086663
7.48,-14.669585220943318
7.49,-15.252670075428929
7.5,-14.506111398336346
7.51,-14.65524733449503
7.52,-15.412190763486773
7.53,-15.508064218164478
7.54,-15.189977879111717
7.55,-14.497666196272824
7.56,-14.186756495812533
7.57,-16.891099628790155
7.58,-16.569127373900784
7.59,-16.06779584997286
7.6,-15.794032039283392
7.61,-14.809904917591584
7.62,-15.538143880618653
7.63,-14.069459812455278
7.64,-14.31391937095664
7.65,-13.511899007156657
7.66,-14.406698986587092
7.67,-13.43686926070414
7.68,-13.642230920406407
7.69,-13.932608548243628
7.7,-11.471816168686889
7.71,-11.02757928803525
7.72,-12.32791733923094
7.73,-18.313519916266593
7.74,-21.12718290718263
7.75,-21.03412427425317
7.76,-21.880210894793365
7.77,-17.14495363145406
7.78,-14.890486406414373
7.79,-12.66648030379372
7.8,-16.8301587265126
