seconds_elapsed,dBFS
0.0,-56.15759517723562
0.01,-57.053842065562876
0.02,-55.66112350273499
0.03,-55.823481307178575
0.04,-55.66112350273499
0.05,-55.50174490930948
0.06,-54.18539921951661
0.07,-58.94496421785445
0.08,-56.32959861247397
0.09,-55.98893182649837
0.1,-58.053321564799646
0.11,-57.844012891236346
0.12,-56.32959861247397
0.13,-54.891958466351475
0.14,-55.34523815907035
0.15,-57.24474842368748
0.16,-56.505077098624085
0.17,-58.48770655866437
0.18,-57.844012891236346
0.19,-55.823481307178575
0.2,-55.823481307178575
0.21,-55.34523815907035
0.22,-57.053842065562876
0.23,-56.15759517723562
0.24,-57.053842065562876
0.25,-55.66112350273499
0.26,-55.19150158574453
0.27,-55.98893182649837
0.28,-57.43994516947061
0.29,-56.32959861247397
0.3,-56.505077098624085
0.31,-56.505077098624085
0.32,-58.26779887263511
0.33,-59.18294868384861
0.34,-54.891958466351475
0.35,-55.823481307178575
0.36,-56.32959861247397
0.37,-55.50174490930948
0.38,-56.32959861247397
0.39,-57.24474842368748
0.4,-55.19150158574453
0.41,-56.32959861247397
0.42,-54.891958466351475
0.43,-56.68417395168261
0.44,-57.24474842368748
0.45,-56.68417395168261
0.46,-58.94496421785445
0.47,-58.26779887263511
0.48,-58.053321564799646
0.49,-57.43994516947061
0.5,-58.48770655866437
0.51,-58.713326766858145
0.52,-57.844012891236346
0.53,-57.24474842368748
0.54,-55.98893182649837
0.55,-57.63962958760263
0.56,-57.24474842368748
0.57,-56.86704154048
0.58,-58.94496421785445
0.59,-57.43994516947061
0.6,-57.43994516947061
0.61,-55.66112350273499
0.62,-59.67942035834925
0.63,-57.053842065562876
0.64,-58.713326766858145
0.65,-58.713326766858145
0.66,-57.63962958760263
0.67,-59.18294868384861
0.68,-58.053321564799646
0.69,-59.67942035834925
0.7,-60.76657360480111
0.71,-59.18294868384861
0.72,-61.68172341601461
0.73,-59.9387199016366
0.74,-61.36583807234997
0.75,-60.20599913279624
0.76,-62.3501985257536
0.77,-60.76657360480111
0.78,-61.36583807234997
0.79,-62.3501985257536
0.8,-59.42763781218885
0.81,-61.06103874121523
0.82,-63.86461280451597
0.83,-62.704773864962235
0.84,-60.76657360480111
0.85,-61.36583807234997
0.86,-62.3501985257536
0.87,-64.28839878591474
0.88,-64.73392668013777
0.89,-62.009531739778
0.9,-64.28839878591474
0.91,-64.73392668013777
0.92,-64.28839878591474
0.93,-65.70002027162887
0.94,-61.68172341601461
0.95,-62.3501985257536
0.96,-62.704773864962235
0.97,-64.73392668013777
0.98,-63.86461280451597
0.99,-63.46054508275023
1.0,-65.70002027162887
1.01,-67.3864379856296
1.02,-64.73392668013777
1.03,-65.20354859712823
1.04,-68.03013165305762
1.05,-67.3864379856296
1.06,-64.73392668013777
1.07,-66.78717351808073
1.08,-67.3864379856296
1.09,-67.3864379856296
1.1,-65.70002027162887
1.11,-64.73392668013777
1.12,-64.28839878591474
1.13,-65.20354859712823
1.14,-66.22659904607586
1.15,-64.28839878591474
1.16,-66.22659904607586
1.17,-68.03013165305762
1.18,-68.03013165305762
1.19,-67.3864379856296
1.2,-65.70002027162887
1.21,-66.78717351808073
1.22,-67.3864379856296
1.23,-66.22659904607586
1.24,-64.73392668013777
1.25,-62.3501985257536
1.26,-63.46054508275023
1.27,-68.03013165305762
1.28,-64.73392668013777
1.29,-61.06103874121523
1.3,-58.94496421785445
1.31,-63.46054508275023
1.32,-62.3501985257536
1.33,-62.009531739778
1.34,-63.46054508275023
1.35,-64.73392668013777
1.36,-66.22659904607586
1.37,-66.78717351808073
1.38,-65.70002027162887
1.39,-66.78717351808073
1.4,-66.78717351808073
1.41,-64.73392668013777
1.42,-63.86461280451597
1.43,-63.86461280451597
1.44,-64.28839878591474
1.45,-63.074441978842486
1.46,-67.3864379856296
1.47,-66.22659904607586
1.48,-66.78717351808073
1.49,-67.3864379856296
1.5,-66.22659904607586
1.51,-68.03013165305762
1.52,-67.3864379856296
1.53,-66.22659904607586
1.54,-65.70002027162887
1.55,-66.78717351808073
1.56,-68.03013165305762
1.57,-64.73392668013777
1.58,-64.73392668013777
1.59,-65.20354859712823
1.6,-68.03013165305762
1.61,-56.32959861247397
1.62,-58.94496421785445
1.63,-63.46054508275023
1.64,-64.28839878591474
1.65,-63.86461280451597
1.66,-65.20354859712823
1.67,-65.20354859712823
1.68,-61.06103874121523
1.69,-62.009531739778
1.7,-62.009531739778
1.71,-65.20354859712823
1.72,-56.86704154048
1.73,-55.66112350273499
1.74,-53.53201688444925
1.75,-50.939339728115655
1.76,-48.097204493209375
1.77,-49.72132314549016
1.78,-49.80288139389895
1.79,-38.074532539047524
1.8,-36.86704154048001
1.81,-36.43445972072142
1.82,-31.03324215228325
1.83,-30.95803917481711
1.84,-30.609456170884485
1.85,-28.539189295546432
1.86,-28.110681438718494
1.87,-26.586831102930255
1.88,-22.308605997891185
1.89,-16.635452722820517
1.9,-15.003080105233224
1.91,-14.380287522990866
1.92,-13.699791698575014
1.93,-12.85422214974098
1.94,-13.004549573390777
1.95,-13.742246698014268
1.96,-13.663931295254198
1.97,-13.625673020341955
1.98,-14.865499482702074
1.99,-15.000098337391357
2.0,-16.34524730187191
2.01,-15.222031984973977
2.02,-15.082472250765226
2.03,-15.463925301062481
2.04,-16.742273764550756
2.05,-17.706545842008115
2.06,-15.097533620306473
2.07,-11.260899907653869
2.08,-11.522608077629595
2.09,-14.218032531433238
2.1,-14.200340936551559
2.11,-13.539573117755781
2.12,-14.353956126180144
2.13,-13.543353700900589
2.14,-16.162706027420196
2.15,-15.619402910682812
2.16,-16.21055287472632
2.17,-15.331289899004021
2.18,-18.19858823044498
2.19,-13.48306094938872
2.2,-15.73543136217608
2.21,-15.58266254111218
2.22,-20.442626534552325
2.23,-17.897949804605652
2.24,-18.82374210505382
2.25,-19.659006977301107
2.26,-19.17330305305385
2.27,-20.540804921130395
2.28,-23.725110397425336
2.29,-23.014227598086382
2.3,-25.007922929114063
2.31,-25.59842976104338
2.32,-27.943704177404772
2.33,-29.504866147700135
2.34,-26.69501467327366
2.35,-30.65453094582345
2.36,-28.81998432010253
2.37,-27.657401745999618
2.38,-30.56461410103426
2.39,-33.944480826915246
2.4,-30.47561855159539
2.41,-26.851104744150835
2.42,-30.939339728115655
2.43,-30.396294807243358
2.44,-28.26032458556763
2.45,-32.56791113817521
2.46,-29.528652259246115
2.47,-32.13929832162136
2.48,-33.60787666479203
2.49,-31.478770046506295
2.5,-29.835720335238488
2.51,-30.077589827248794
2.52,-25.47309007329038
2.53,-22.93954193038712
2.54,-27.184074891247466
2.55,-25.67451103262403
2.56,-25.369184714363364
2.57,-26.091931392896495
2.58,-25.508003256941404
2.59,-24.31449561968162
2.6,-23.296286534015266
2.61,-21.691379770136532
2.62,-25.71024498103568
2.63,-24.336303036705647
2.64,-23.21147024886968
2.65,-22.850758639792225
2.66,-20.965719379812548
2.67,-22.788415064630755
2.68,-22.58258722131343
2.69,-23.234519947415375
2.7,-22.596873227228112
2.71,-23.868749927546347
2.72,-21.209054353005158
2.73,-25.102799783295957
2.74,-24.729356361885493
2.75,-22.219166344020636
2.76,-22.367587700006183
2.77,-22.600448403091747
2.78,-21.381362454745513
2.79,-21.03412427425317
2.8,-23.523946018540368
2.81,-23.46844493744492
2.82,-25.329926389280203
2.83,-29.504866147700135
2.84,-26.172481178557362
2.85,-26.0652466111152
2.86,-24.620384022303966
2.87,-26.221172060808364
2.88,-26.758268700597117
2.89,-24.521679668793723
2.9,-24.55296410058984
2.91,-22.600448403091747
2.92,-21.66565331034259
2.93,-21.573028494558283
2.94,-23.519969873065545
2.95,-20.192438022097633
2.96,-18.701905477062525
2.97,-15.980584022263258
2.98,-14.645224877689206
2.99,-13.434379396952515
3.0,-12.556652692479634
3.01,-14.82742268414398
3.02,-16.87813699394288
3.03,-22.74831225004773
3.04,-20.0900597257349
3.05,-22.308605997891185
3.06,-24.393259894162167
3.07,-22.05978775059513
3.08,-20.54644877424519
3.09,-22.600448403091747
3.1,-21.12416540163272
3.11,-19.854898844499356
3.12,-20.694491119424605
3.13,-23.83158656838418
3.14,-27.46746947772866
3.15,-26.700746042427884
3.16,-26.56987198988611
3.17,-28.370798439033223
3.18,-30.0606912039457
3.19,-33.04254149678523
3.2,-28.212430626121247
3.21,-29.209081468611522
3.22,-33.67160321358432
3.23,-30.47561855159539
3.24,-25.083741323344487
