seconds_elapsed,dBFS
0.0,-26.330361300550177
0.01,-24.914071236579012
0.02,-25.003206181977756
0.03,-24.219188143724605
0.04,-24.163357758527436
0.05,-23.815120421958863
0.06,-23.539868827102257
0.07,-23.39368483690459
0.08,-23.19613769477698
0.09,-23.496151147980253
0.1,-23.296286534015266
0.11,-23.688555278357782
0.12,-23.57180228085817
0.13,-24.14197972745984
0.14,-24.120654183631558
0.15,-23.603853570503723
0.16,-23.199968296664007
0.17,-24.095132452327142
0.18,-23.436888537110917
0.19,-23.98120367773045
0.2,-23.782281480619325
0.21,-23.68450307877971
0.22,-23.619923676175738
0.23,-23.595829653408327
0.24,-24.07392147807927
0.25,-23.226829916246338
0.26,-24.301437401780305
0.27,-23.914388812589866
0.28,-23.782281480619325
0.29,-24.05698991396917
0.3,-23.90191804284092
0.31,-23.956087834771186
0.32,-23.24221679296826
0.33,-24.023225480244403
0.34,-23.72918159020578
0.35,-23.074441978842497
0.36,-22.733775192866894
0.37,-23.04052004085083
0.38,-22.181601989809007
0.39,-22.50796877001461
0.4,-22.887641453759628
0.41,-22.490296557126776
0.42,-22.28788418375748
0.43,-22.12386565841616
0.44,-22.12048132576549
0.45,-21.72364537053099
0.46,-21.136241718681372
0.47,-21.64961288170624
0.48,-22.04300341756932
0.49,-21.929722085121902
0.5,-21.678507015445337
0.51,-21.588927985796428
0.52,-22.05642828830685
0.53,-22.733775192866894
0.54,-22.322448056020782
0.55,-21.89009058075491
0.56,-20.68014612914826
0.57,-22.26377105010075
0.58,-21.66886495380239
0.59,-21.8277081908446
0.6,-21.662442853962276
0.61,-22.09345403165016
0.62,-21.62720593083654
0.63,-21.972861262735467
0.64,-20.983512263408514
0.65,-22.09345403165016
0.66,-22.134026575509473
0.67,-22.205487774834573
0.68,-21.80483767642123
0.69,-21.949605854899616
0.7,-22.229439425807264
0.71,-22.305148927342838
0.72,-22.002852854683006
0.73,-21.22735328457256
0.74,-21.830980328626023
0.75,-22.260331774808115
0.76,-22.350198525753605
0.77,-21.870342433624188
0.78,-22.839724266546977
0.79,-22.381524148464223
0.8,-27.753948382534894
0.81,-36.86704154048001
0.82,-41.21210149902416
0.83,-39.88623702511363
0.84,-34.09091308582035
0.85,-34.717068874037864
0.86,-33.80047634383789
0.87,-34.40530690554588
0.88,-32.77309917518034
0.89,-33.722923242573856
0.9,-33.21073825303724
0.91,-35.100549030730114
0.92,-34.419237766010966
0.93,-32.81936234520502
0.94,-28.82730491862948
0.95,-28.056898668502868
0.96,-24.406456994150535
0.97,-24.455018638315764
0.98,-24.44616903017574
0.99,-25.618653028940624
1.0,-26.3248691159612
1.01,-28.454585805512373
1.02,-29.664684633234724
1.03,-28.864000746924063
1.04,-27.423743223954546
1.05,-25.906836938393255
1.06,-25.917308174909262
1.07,-25.533027444916016
1.08,-26.172481178557362
1.09,-25.990962435113723
1.1,-25.964585586303983
1.11,-25.901606050166464
1.12,-25.290844705177236
1.13,-25.24223859267223
1.14,-25.969854551972418
1.15,-25.623716211618568
1.16,-25.478069087263385
1.17,-25.184268035075895
1.18,-24.720222933453947
1.19,-25.03627732743219
1.2,-24.10788394417653
1.21,-24.35378847721168
1.22,-23.567804172783866
1.23,-24.201971310261882
1.24,-24.262380125506372
1.25,-24.55296410058984
1.26,-24.775168122293564
1.27,-24.49495383343727
1.28,-24.80277160835812
1.29,-24.112138604872943
1.3,-23.69260936927762
1.31,-24.065451570398785
1.32,-24.214880734939047
1.33,-24.124915105786204
1.34,-23.977012657317136
1.35,-23.484266234420513
1.36,-23.089561024675636
1.37,-22.950703923319303
1.38,-23.38193921018158
1.39,-23.173189492160038
1.4,-22.657852261018636
1.41,-22.458576900555713
1.42,-22.7446757041968
1.43,-22.51504773506664
1.44,-23.021731606879744
1.45,-22.668657847696988
1.46,-22.906141758172318
1.47,-21.992844146483492
1.48,-21.79831428922909
1.49,-22.465615709399636
1.5,-22.06651057572801
1.51,-21.840804144532488
1.52,-22.343252592046333
1.53,-22.063148512733424
1.54,-22.437494633802608
1.55,-22.84707895761982
1.56,-22.679476893693757
1.57,-22.69753863785661
1.58,-22.430478567477618
1.59,-23.32344814983525
1.6,-22.561202172419765
1.61,-23.070666325821488
1.62,-23.40544636834028
1.63,-24.27537971332283
1.64,-23.42115322549214
1.65,-23.397603578066516
1.66,-23.721041111973502
1.67,-23.346797329589602
1.68,-23.802791264973134
1.69,-23.868749927546347
