seconds_elapsed,dBFS
0.0,-26.962652004230833
0.01,-31.854489539329155
0.02,-28.87135855307185
0.03,-26.700746042427884
0.04,-23.595829653408327
0.05,-25.730730579300594
0.06,-25.031545161889884
0.07,-27.996788465708363
0.08,-32.13929832162136
0.09,-34.02404678455595
0.1,-36.793431865712655
0.11,-26.075910688130705
0.12,-25.694912426942977
0.13,-25.563151947845185
0.14,-25.117121121475382
0.15,-26.248340958900144
0.16,-20.749219174176567
0.17,-25.498013733542365
0.18,-24.80277160835812
0.19,-28.603187134593053
0.2,-31.291969521423425
0.21,-36.86704154048001
0.22,-38.39907426268287
0.23,-38.13847802765047
0.24,-41.68172341601461
0.25,-38.117110514689955
0.26,-39.353504591437904
0.27,-40.17889805109691
0.28,-28.57468542029671
0.29,-27.349292285518256
0.3,-27.3184584241074
0.31,-26.874469626129734
0.32,-27.676625412211845
0.33,-25.47309007329038
0.34,-24.24507755078458
0.35,-26.792966042228766
0.36,-24.266711160070336
0.37,-22.71201512393776
0.38,-23.331224237765596
0.39,-25.603481165453307
0.4,-25.638923492371667
0.41,-27.423743223954546
0.42,-28.85664916828962
0.43,-29.713209282557244
0.44,-29.16328581083006
0.45,-29.193789405439663
0.46,-30.154043139179556
0.47,-32.31258865065243
0.48,-37.07274498844913
0.49,-43.61992367617574
0.5,-41.00134167022599
0.51,-41.71395309914619
0.52,-43.86461280451597
0.53,-42.63269137958573
0.54,-46.44650673210513
0.55,-35.26802974280558
0.56,-33.11422737525142
0.57,-33.15029340480577
0.58,-33.46930260739208
0.59,-32.29073734444098
0.6,-30.645497258438095
0.61,-20.86264777285752
0.62,-25.433360377318458
0.63,-17.854359395899976
0.64,-21.73334846925527
0.65,-17.369167949651906
0.66,-17.41038454092261
0.67,-16.501532560873176
0.68,-17.906277599719207
0.69,-17.529235512320717
0.7,-16.455584716066976
0.71,-17.07463754530117
0.72,-17.46564601109545
0.73,-18.49884945902269
0.74,-19.067902106066782
0.75,-17.692308342633346
0.76,-18.50554206726807
0.77,-18.300432184551735
0.78,-18.38585708087091
0.79,-18.24394545956142
0.8,-17.868865239058263
0.81,-17.948036764952505
0.82,-18.06604193266462
0.83,-17.89378889931024
0.84,-17.784244996256348
0.85,-17.531230205092847
0.86,-17.30284823655563
0.87,-17.380924174732968
0.88,-17.706545842008115
0.89,-17.297020735741217
0.9,-18.01949137738645
0.91,-17.227393993062947
0.92,-17.661877774412893
0.93,-17.390733198517474
0.94,-17.293137906155742
0.95,-17.95222374485429
0.96,-18.620112555890834
0.97,-17.53921356010161
0.98,-16.991752695131254
0.99,-17.529235512320717
1.0,-17.190870335590056
1.01,-18.568256344325246
1.02,-18.94966056273127
1.03,-17.902112704104493
1.04,-17.74326407740407
1.05,-18.58400592187352
1.06,-19.027519119651423
1.07,-18.45214503657235
1.08,-19.363352539928293
1.09,-17.196627028369914
1.1,-18.13847802765047
1.11,-15.141359863700849
1.12,-15.866196190046047
1.13,-17.95222374485429
1.14,-17.794520508679238
1.15,-19.192605037970534
1.16,-18.816799872390614
1.17,-18.1342003178186
1.18,-21.30709718176231
1.19,-19.507416923110906
1.2,-19.467435772481846
1.21,-19.613251526604525
1.22,-17.01052083043272
1.23,-17.945944031623966
1.24,-17.00113169360012
1.25,-18.638222314107317
1.26,-18.80986318390422
1.27,-19.2264870689341
1.28,-19.517441032288176
1.29,-17.922957181682193
1.3,-18.523414274475012
1.31,-18.814487027312893
1.32,-19.567735843562016
1.33,-18.647291372240606
1.34,-20.43704971918382
1.35,-21.10006302157995
1.36,-19.01094524861026
1.37,-19.499906425766117
1.38,-19.9703625218341
1.39,-20.783962779053688
1.4,-20.91844911545408
1.41,-21.091041844063398
1.42,-21.362736522722994
1.43,-21.926412544354843
1.44,-20.43983767929059
1.45,-20.883164478015583
1.46,-22.312064444935906
1.47,-21.03711065545435
1.48,-21.1453099877891
1.49,-21.148334849264238
1.5,-22.26721168775242
1.51,-22.9805395546749
1.52,-22.40247083780734
1.53,-22.568324673547092
1.54,-21.814631952563012
1.55,-23.078219273808777
1.56,-22.38501175727963
1.57,-23.097130427889383
1.58,-22.490296557126776
1.59,-22.781109858449035
1.6,-24.388865312920913
1.61,-23.20763457221734
1.62,-24.508306471943996
1.63,-25.573216711008495
1.64,-26.156311351415127
1.65,-27.380235993478866
1.66,-29.402539123461207
1.67,-30.855686853872136
1.68,-30.7911759711585
1.69,-30.83720623064922
1.7,-32.55665269247964
1.71,-31.19524369292424
1.72,-32.12858161497124
1.73,-33.12623275330374
1.74,-34.68825992677172
1.75,-37.65985285549987
1.76,-33.76161323811785
1.77,-33.22287786317275
1.78,-32.56791113817521
1.79,-34.616652846536844
1.8,-37.844012891236346
1.81,-40.04464669783558
1.82,-39.353504591437904
1.83,-40.37040573773005
1.84,-37.579240772127044
1.85,-36.75685964478449
1.86,-37.927132086659505
1.87,-40.4537909186576
1.88,-39.378145429631736
1.89,-37.864718239868445
1.9,-38.333188563932055
1.91,-35.07044193078378
1.92,-25.996247430493117
1.93,-26.275595106262728
1.94,-24.64297412512336
1.95,-25.36426770905907
1.96,-25.715361852840843
1.97,-27.015994380508417
1.98,-27.530319894055882
1.99,-28.23976625730026
2.0,-29.410367776211153
2.01,-30.19680979198875
2.02,-32.64713152768056
2.03,-33.16234877056899
2.04,-32.796199959110986
2.05,-35.517551810192515
2.06,-35.613002107417415
2.07,-35.50174490930948
2.08,-35.42313903674083
2.09,-33.569863958003346
2.1,-31.042688471472133
2.11,-31.272537992876117
2.12,-31.137721034755007
2.13,-28.87135855307185
2.14,-29.860431275484626
2.15,-28.191985211491485
2.16,-28.103940352126294
2.17,-27.766902731898206
2.18,-28.57468542029671
2.19,-25.553098833715904
2.2,-27.34311675049944
2.21,-27.027892861325324
2.22,-27.963572786079073
2.23,-27.956944865392668
2.24,-30.231175374456143
2.25,-28.886092890172698
2.26,-30.0606912039457
2.27,-29.568441104078858
2.28,-29.737573645343605
2.29,-30.591491553026483
2.3,-30.484477185344456
2.31,-31.340739383622335
2.32,-31.64938226073039
2.33,-32.06455756854605
2.34,-32.45597802164835
2.35,-34.117804406489
2.36,-34.93623667424207
2.37,-36.70228843090309
2.38,-36.904081637711876
2.39,-37.034980191401395
2.4,-38.5100066726802
2.41,-38.03216226167297
2.42,-37.559204108944144
2.43,-37.70044119869388
2.44,-28.689257760976613
2.45,-25.885932260100255
2.46,-27.676625412211845
2.47,-28.09720449320938
2.48,-28.151238195538383
2.49,-28.77618982578752
2.5,-28.82730491862948
2.51,-29.034827511366007
2.52,-30.13699526395601
2.53,-32.422677445505585
2.54,-33.81346944968344
2.55,-34.98074175694637
2.56,-36.922661087872115
2.57,-36.94128036539435
2.58,-39.15885466108119
2.59,-40.20599913279624
2.6,-38.805241800641134
2.61,-39.13482728853104
2.62,-38.24611124679071
2.63,-37.7616815673397
2.64,-36.45206031364975
2.65,-35.08548243607973
2.66,-29.23974660068525
2.67,-30.555673400668866
2.68,-31.70020680386035
2.69,-31.48871382508296
2.7,-32.624423306542276
2.71,-29.959984108983633
2.72,-26.9272715494539
2.73,-24.55296410058984
2.74,-23.769998815874377
2.75,-25.369184714363364
2.76,-25.155427201810664
2.77,-25.684705739942334
2.78,-26.909635219256508
2.79,-28.06360333084894
2.8,-28.682052543111705
2.81,-29.170901672464904
2.82,-30.74538836044608
2.83,-31.48871382508296
2.84,-31.802756869201367
2.85,-32.25806311291453
2.86,-33.21073825303724
2.87,-31.690018075843895
2.88,-32.15002826694891
2.89,-32.75005966661059
2.9,-30.422655645801623
2.91,-27.28773363211935
2.92,-25.933038736959606
2.93,-31.679841285414255
2.94,-29.91006506561751
2.95,-20.38147761894634
2.96,-13.894463442717672
2.97,-13.620584625563705
2.98,-14.66528136935403
2.99,-14.985204832991156
3.0,-15.670779856856909
3.01,-14.148832700986356
3.02,-16.787936206156925
3.03,-24.146251126433587
3.04,-22.395482993795635
3.05,-15.434101127345132
3.06,-14.458363461168204
3.07,-14.182685303032086
3.08,-13.919436131951905
3.09,-14.645224877689206
3.1,-15.145906259846559
3.11,-15.31581805729636
3.12,-14.551291680375867
3.13,-15.748419610783987
3.14,-15.274181222976345
3.15,-15.667559879197023
3.16,-16.301848142741157
3.17,-16.46793139851274
3.18,-15.68528454651435
3.19,-16.854114733062374
3.2,-14.77207052528837
3.21,-15.585851193731717
3.22,-15.138330254448626
3.23,-16.015698841943617
3.24,-17.108774273407743
3.25,-17.091689139116973
3.26,-17.057619360529152
3.27,-18.24611124679071
3.28,-17.798634119761605
3.29,-16.795264525206335
3.3,-17.283438419231477
3.31,-17.718768015185294
3.32,-17.18511745561064
3.33,-16.57091330783081
3.34,-15.65629934841044
3.35,-15.825120308907765
3.36,-15.21744557829975
3.37,-14.789512076606977
