seconds_elapsed,dBFS
0.0,-1.875275262704086
0.01,-1.5809746021823332
0.02,-1.8496550886391006
0.03,-1.7979882484400993
0.04,-1.7735700033404243
0.05,-1.56477224670272
0.06,-1.8973428325723907
0.07,-2.1330099487438208
0.08,-2.0702103487134864
0.09,-2.357497739148581
0.1,-2.2854698558102977
0.11,-1.849983074653982
0.12,-2.385709447117997
0.13,-2.4010728191920467
0.14,-2.3210628571281138
0.15,-2.379432255152291
0.16,-1.7761713479654582
0.17,-2.0897443468266848
0.18,-2.0534058827884265
0.19,-2.132332263665997
0.2,-2.18705580971227
0.21,-1.8539198731673943
0.22,-2.08030865589427
0.23,-2.7836659817923275
0.24,-2.616196682668525
0.25,-2.6172714694839856
0.26,-2.4301279128828694
0.27,-2.31206444493591
0.28,-2.2030962383486203
0.29,-2.5260315452468083
0.3,-2.428374852219751
0.31,-2.254831765355349
0.32,-2.872131591860425
0.33,-2.936567819884491
0.34,-2.8323757977177513
0.35,-3.3117970553477334
0.36,-3.0842663645677337
0.37,-3.151063712748477
0.38,-3.3234481498352526
0.39,-3.0684017215489656
0.4,-3.4814954263004734
0.41,-3.0296177996175704
0.42,-2.3013477382857843
0.43,-2.6287441449628983
0.44,-3.175099528371818
0.45,-2.6856136736114467
0.46,-2.9633715465354955
0.47,-1.9775198252703465
0.48,-2.524967988627689
0.49,-1.9221120257174964
0.5,-1.4453041161906655
0.51,-1.3157288161277467
0.52,-1.4776094464678926
0.53,-1.3624264286640169
0.54,-1.4550144465905515
0.55,-1.5714401449812077
0.56,-1.8828443791273606
0.57,-1.9908437880580243
0.58,-1.9161609744233
0.59,-2.2507090425638925
0.6,-2.183305940699821
0.61,-1.8775782086663473
0.62,-1.6768992616900669
0.63,-1.5886097105856753
0.64,-1.7356140861505864
0.65,-2.224986265167262
0.66,-2.11337851653032
0.67,-1.7000796770174031
0.68,-1.468815516375319
0.69,-1.3751493717638135
0.7,-1.3178880656538072
0.71,-1.294473458756849
0.72,-1.5210815123348145
0.73,-1.5692169434235939
0.74,-1.8283625197942543
0.75,-1.3404379989616406
0.76,-1.0559485046268884
0.77,-1.079628453083833
0.78,-1.0682300397946947
0.79,-0.9565406508378577
0.8,-1.1692351535030534
0.81,-1.2154545947866795
0.82,-1.0034241536660524
0.83,-0.9305376279082284
0.84,-1.087435994857226
0.85,-1.07662742011404
0.86,-1.0946491908189546
0.87,-1.0159295502043224
0.88,-1.1386589982177604
0.89,-1.171054950207398
0.9,-1.3218995251383934
0.91,-1.4106236237292389
0.92,-1.368320109697358
0.93,-1.5084585052620163
0.94,-1.2047901436782564
0.95,-1.137148119674045
0.96,-1.1217521517351177
0.97,-1.1045771263007278
0.98,-1.0949498706852958
0.99,-0.9772806072966168
1.0,-0.9562447242365286
