seconds_elapsed,dBFS
0.0,-13.56986395800335
0.01,-14.56545884978328
0.02,-12.192002166347983
0.03,-13.8695623463535
0.04,-13.459310210962954
0.05,-14.456963075895029
0.06,-15.258810683417497
0.07,-14.685384280449124
0.08,-14.093598474507086
0.09,-12.419354398992546
0.1,-15.973911550540414
0.11,-15.74029967970926
0.12,-17.906277599719207
0.13,-15.314272387813135
0.14,-17.103075493779766
0.15,-14.94660081549841
0.16,-16.28973513600337
0.17,-14.31667460956438
0.18,-17.347656110215663
0.19,-15.794032039283392
0.2,-15.587445959115442
0.21,-11.558640858847424
0.22,-13.449329296750008
0.23,-15.456066900419634
0.24,-17.708581676926155
0.25,-16.179763946567263
0.26,-16.229422199026637
0.27,-18.651829454704373
0.28,-14.606674798755957
0.29,-14.419237766010966
0.3,-15.255739836774914
0.31,-14.76916700206626
0.32,-13.545875004151402
0.33,-13.868253737742652
0.34,-14.906692803452323
0.35,-16.35395321583926
0.36,-17.30284823655563
0.37,-17.672009455997994
0.38,-19.262936512427274
0.39,-16.780614064827155
0.4,-15.904158333453218
0.41,-15.674001028649089
0.42,-16.969284332601145
0.43,-13.176837330455633
0.44,-14.84497585206747
0.45,-16.371391265539113
0.46,-16.149083770735775
0.47,-17.40841740477151
0.48,-17.200466944275984
0.49,-16.22770511102301
0.5,-14.30841151431167
0.51,-15.988931826498373
0.52,-18.49884945902269
0.53,-17.283438419231477
0.54,-16.775126506697024
0.55,-16.324388641526177
0.56,-13.852565793132266
0.57,-17.551202367578547
0.58,-17.647713245364372
0.59,-14.28504201001138
0.6,-16.660681465647187
0.61,-17.93757813679176
0.62,-17.657828408540922
0.63,-18.570504536297953
0.64,-16.132085938230777
0.65,-14.152888053781867
0.66,-13.368656740487273
0.67,-17.645691625516296
0.68,-15.171714217983379
0.69,-16.70047528203145
0.7,-17.099278383495
0.71,-17.9668940891468
0.72,-18.036390000689543
0.73,-17.10497467158072
0.74,-14.537147580787169
0.75,-17.72896631345452
0.76,-16.042548599453802
0.77,-16.704101958342203
0.78,-17.58526079521987
0.79,-19.228912278956297
0.8,-17.40841740477151
0.81,-20.274124106634464
0.82,-15.001589093361387
0.83,-17.53921356010161
0.84,-15.487543251727928
0.85,-16.190014800988443
0.86,-16.333073663385733
0.87,-13.813469449683444
0.88,-16.350469803064257
