seconds_elapsed,dBFS
0.0,-25.4234562831575
0.01,-26.507970344010236
0.02,-27.42997637071509
0.03,-27.349292285518256
0.04,-25.782156955921742
0.05,-23.708844681739173
0.06,-25.354442040999892
0.07,-17.93966885521275
0.08,-24.16763968596839
0.09,-23.146492993661383
0.1,-19.214371165675026
0.11,-25.18908416474632
0.12,-24.345041356998056
0.13,-23.69260936927762
0.14,-23.444766895599404
0.15,-22.88025235111234
0.16,-27.530319894055882
0.17,-26.96856278338923
0.18,-26.775600045831368
0.19,-23.839831362205004
0.2,-26.275595106262728
0.21,-28.51796104146527
0.22,-26.74673365290172
0.23,-29.012354304422878
0.24,-28.343047969300407
0.25,-27.910690494034537
0.26,-29.640523589455363
0.27,-27.12367207732447
0.28,-26.950842499164757
0.29,-23.77818532886312
0.3,-24.27537971332283
0.31,-28.03013165305762
0.32,-23.595829653408327
0.33,-28.44757257167309
0.34,-28.689257760976613
0.35,-24.74307453736888
0.36,-26.810366828625504
0.37,-28.85664916828962
0.38,-31.023806095257378
0.39,-25.5380409455678
0.4,-29.737573645343605
0.41,-31.291969521423425
0.42,-27.105632840024114
0.43,-32.29073734444098
0.44,-28.20561013920772
0.45,-32.001001994948965
0.46,-34.23985638622608
0.47,-32.12858161497124
0.48,-29.43389615982077
0.49,-31.619029674323002
0.5,-31.272537992876117
0.51,-29.087492226598517
0.52,-35.80710827756498
0.53,-28.070313172540725
0.54,-30.537819561622044
0.55,-30.555673400668866
0.56,-30.396294807243358
0.57,-37.28343841923147
0.58,-32.15002826694891
0.59,-33.90496950948155
0.6,-34.68825992677172
0.61,-35.454496073100394
0.62,-32.279832271272106
0.63,-34.67389120614498
0.64,-32.69272685357853
0.65,-34.995627604014075
0.66,-32.83096674190513
0.67,-42.043003417569324
0.68,-41.15136076451451
0.69,-36.95993964139527
0.7,-32.97144241244438
0.71,-38.24611124679071
0.72,-33.80047634383789
0.73,-36.666097171717716
0.74,-41.2426318982536
0.75,-38.736214499832904
0.76,-36.15759517723562
0.77,-35.533387529506975
0.78,-41.1816780366135
0.79,-40.651527027019284
0.8,-43.381939210181585
0.81,-50.30899869919435
0.82,-48.097204493209375
0.83,-50.84644162720038
0.84,-50.136995263955995
0.85,-47.20227794989312
0.86,-46.39100565100968
0.87,-43.03675910135147
0.88,-33.95769130799874
0.89,-25.849469701326527
0.9,-24.56640628481214
0.91,-23.82746710440463
0.92,-25.5380409455678
0.93,-27.511416971169623
0.94,-29.536595460200303
0.95,-26.55858428246509
0.96,-25.165030176407463
0.97,-27.619081582500886
0.98,-26.816174845985387
0.99,-26.598155602106853
1.0,-23.939384195704008
1.01,-27.165909901068726
1.02,-23.472397560784152
1.03,-27.15382097825708
1.04,-31.128170852772485
1.05,-25.24223859267223
1.06,-25.007922929114063
1.07,-21.0072929480457
1.08,-22.43398589223275
1.09,-23.055580104681013
1.1,-21.525503902324985
1.11,-24.6837849580941
1.12,-21.801575370415534
1.13,-20.889035305976883
1.14,-19.95980216838971
1.15,-18.532364187310215
1.16,-19.535011108346218
1.17,-18.722474624089255
1.18,-17.363295798687023
1.19,-16.554853106697976
1.2,-16.76050994516941
1.21,-17.095482932423874
1.22,-18.381455819242372
1.23,-18.38365617128405
1.24,-18.975535947072025
1.25,-20.75210917241919
1.26,-23.652153359307327
1.27,-23.660229500882252
1.28,-22.525677011903706
1.29,-22.444516371968408
1.3,-20.318006181091377
1.31,-19.459959751674827
1.32,-20.930242585885132
1.33,-20.154579165482083
1.34,-21.662442853962276
1.35,-19.623398595092727
1.36,-21.169538426478
1.37,-18.523414274475012
1.38,-21.058044123141073
1.39,-19.238619896214963
1.4,-19.85229242598376
1.41,-22.0497132592611
1.42,-19.063141410064862
1.43,-20.2631881408989
1.44,-20.411998265592473
1.45,-17.103075493779766
1.46,-18.28083748850068
1.47,-18.849244535230255
1.48,-19.978291221278365
1.49,-16.585214014313884
1.5,-17.038749290891243
1.51,-18.467685290549415
1.52,-18.12565121315396
1.53,-22.639872768699295
1.54,-21.456268183549724
1.55,-22.05307012486349
1.56,-21.390690420171886
1.57,-20.7318993486211
1.58,-20.757892055214736
1.59,-21.058044123141073
1.6,-20.947962870109606
1.61,-20.135711438135502
1.62,-18.94261699729212
1.63,-20.640105737223653
1.64,-22.06651057572801
1.65,-21.31943071544706
1.66,-19.447513998523714
1.67,-20.02070028758698
1.68,-18.177072515608653
1.69,-22.26721168775242
1.7,-20.57189159365549
1.71,-19.988874091473402
1.72,-21.5223448225891
1.73,-19.027519119651423
1.74,-20.151881265277737
1.75,-21.88350287498743
1.76,-20.010078593034272
1.77,-21.691379770136532
1.78,-18.96847137601315
1.79,-17.86057321968095
1.8,-18.886473157508124
1.81,-20.3070148608799
1.82,-23.32344814983525
1.83,-19.427637812188845
1.84,-18.025824509010853
1.85,-18.306973585366542
1.86,-17.93966885521275
1.87,-18.04485165711916
1.88,-16.793431865712655
1.89,-16.138881080089618
1.9,-16.200277767489347
