seconds_elapsed,dBFS
0.0,-16.49621846487501
0.01,-16.348728620410725
0.02,-18.814487027312893
0.03,-17.767829419174564
0.04,-17.196627028369914
0.05,-16.505077098624085
0.06,-17.835744552070267
0.07,-18.16848113049864
0.08,-19.122838481054107
0.09,-18.530125844394057
0.1,-17.902112704104493
0.11,-18.000519641475478
0.12,-17.603345939230117
0.13,-17.837810899085618
0.14,-17.547204259504245
0.15,-15.952261349455846
0.16,-17.25827032733385
0.17,-19.83667031810694
0.18,-18.856212758338092
0.19,-18.786780816777565
0.2,-18.645023219821905
0.21,-17.806867191125004
0.22,-16.3365501051524
0.23,-17.902112704104493
0.24,-17.078423896554707
0.25,-18.030049163587364
0.26,-17.14304569303056
0.27,-17.406450714026533
0.28,-18.10857820591145
0.29,-17.93757813679176
0.3,-18.089411100734413
0.31,-16.52282151672195
0.32,-17.33789558594094
0.33,-17.497382569401303
0.34,-17.69027631791053
0.35,-18.485479692958528
0.36,-16.3609242351846
0.37,-17.661877774412893
0.38,-17.581246982931223
0.39,-16.457347453696176
0.4,-17.985792442242698
0.41,-18.423358122958234
0.42,-18.492162003562306
0.43,-18.19858823044498
0.44,-20.77816251864578
0.45,-18.557024104769457
0.46,-18.087284030896903
0.47,-19.262936512427274
0.48,-16.95060499284713
0.49,-18.276489108115463
0.5,-18.826057416179903
0.51,-18.559269390975075
0.52,-18.44106185319022
0.53,-17.927132086659505
0.54,-18.674555500212385
0.55,-17.99630932164604
0.56,-19.442540686256113
0.57,-19.003851830790083
0.58,-18.427780673785993
0.59,-17.246678835883017
0.6,-18.170628180228533
0.61,-18.819113333487806
0.62,-19.08935758746965
0.63,-19.185361766136133
0.64,-17.188952285535212
0.65,-18.557024104769457
0.66,-17.351563393069707
0.67,-18.447710066020008
0.68,-16.905937795350752
0.69,-17.96899187677638
0.7,-19.022780499982304
0.71,-18.046968359856102
0.72,-17.129701845905657
0.73,-16.693226469060708
0.74,-17.595303448249908
0.75,-16.75868460321921
0.76,-17.497382569401303
0.77,-18.032162261672976
0.78,-16.965545249616987
0.79,-17.196627028369914
0.8,-17.24860967720209
0.81,-17.62348480667548
0.82,-16.581636629733634
0.83,-18.784475950202257
0.84,-19.738377486486126
0.85,-19.072665412815205
0.86,-18.50331062483112
0.87,-17.983690593560194
0.88,-16.82463978766036
0.89,-16.76781515135113
0.9,-18.392463157729892
0.91,-18.458801741180753
0.92,-18.114976651606366
0.93,-18.15132381205456
0.94,-17.5832536572241
0.95,-17.402518667948492
0.96,-15.894239158825851
0.97,-17.89586910280194
0.98,-17.906277599719207
0.99,-17.068961111396014
1.0,-17.41825754362621
1.01,-20.906671636174273
1.02,-20.057978841110142
1.03,-18.49439058334055
1.04,-19.380613362490525
1.05,-18.874822063020602
1.06,-18.05755961789083
1.07,-19.392963556008837
1.08,-19.782213151397475
1.09,-18.654099385368816
1.1,-18.7453865066388
1.11,-18.617851488680863
1.12,-18.478802519301272
1.13,-18.45658227275471
1.14,-20.159977481154957
1.15,-18.597528326739734
1.16,-18.954359448232974
1.17,-18.57500266671337
1.18,-19.44005509756035
1.19,-18.959060877109906
1.2,-20.411998265592473
1.21,-18.749976144599255
1.22,-18.879480625555484
1.23,-16.80076482489709
1.24,-17.786299126486583
1.25,-17.5912849935689
1.26,-17.275686620735648
1.27,-17.639629587602627
1.28,-18.926204189745167
1.29,-17.513294439457955
1.3,-16.909651301024276
1.31,-16.59774647602976
1.32,-16.99362768480676
1.33,-17.745308537726107
1.34,-16.67151625662142
1.35,-15.536558140835506
1.36,-15.503324305556774
1.37,-15.707895651684362
1.38,-15.196074310060759
1.39,-15.481238849608976
1.4,-14.780786923047511
1.41,-15.079463108300324
1.42,-15.09301246658
1.43,-14.842047859577898
1.44,-16.933827864175203
1.45,-17.873014219141005
1.46,-18.814487027312893
1.47,-18.57500266671337
1.48,-17.99630932164604
1.49,-18.476577934927974
1.5,-19.800327630617957
1.51,-19.978291221278365
1.52,-20.238632444712863
1.53,-19.61071661059702
1.54,-19.99417036580705
1.55,-18.403484463152367
1.56,-18.40789690400828
1.57,-18.3266273980871
1.58,-18.570504536297953
1.59,-18.3091551475124
1.6,-19.988874091473402
1.61,-20.304269202681574
1.62,-18.91449971467118
1.63,-19.410283381564305
1.64,-20.414778195089106
1.65,-19.132428202854122
1.66,-20.47336318751104
1.67,-19.909815084152992
1.68,-19.75897847957195
1.69,-21.443738950020457
1.7,-21.465676983499954
1.71,-22.09345403165016
1.72,-19.839272052329797
1.73,-20.222300463145075
1.74,-20.326258808446703
1.75,-20.2604562995057
1.76,-20.34278762340235
1.77,-19.95980216838971
1.78,-19.75124738014026
1.79,-20.697362962610978
1.8,-20.40644107433569
1.81,-19.33384212772027
1.82,-19.9756475172135
1.83,-19.45000172291078
1.84,-19.224062535872147
1.85,-19.228912278956297
1.86,-19.214371165675026
1.87,-18.64048869106422
1.88,-18.977892081533255
1.89,-19.132428202854122
1.9,-19.0180444640754
1.91,-19.692203126863948
1.92,-19.689645067756054
1.93,-19.572781379363526
1.94,-18.84460215690592
1.95,-19.022780499982304
1.96,-18.747681022472527
1.97,-18.79831433279707
1.98,-18.874822063020602
1.99,-19.427637812188845
2.0,-20.2604562995057
2.01,-19.71013066602097
2.02,-18.13847802765047
2.03,-18.127787700592616
2.04,-18.164188622559504
2.05,-17.92087048145881
2.06,-20.315257046826282
2.07,-18.011054378531664
2.08,-17.595303448249908
2.09,-18.42114769168582
2.1,-18.51670788656903
2.11,-19.202272139289022
2.12,-18.46102177688308
2.13,-18.590764492805675
2.14,-18.14061767284865
2.15,-17.692308342633346
2.16,-17.603345939230117
2.17,-17.363295798687023
2.18,-18.548048759472703
2.19,-19.95452680251965
2.2,-21.022189006641007
2.21,-20.478963374447826
2.22,-19.75897847957195
2.23,-21.212101499024154
2.24,-19.3117749297555
2.25,-19.547582958330917
2.26,-19.38802137115967
2.27,-19.787384863153758
2.28,-19.01094524861026
2.29,-17.252472647974265
2.3,-16.73317001186948
2.31,-17.227393993062947
2.32,-17.792464433480134
2.33,-18.21583925823694
2.34,-20.168081250647845
2.35,-17.87508945260878
2.36,-18.3266273980871
2.37,-17.698407270657878
2.38,-17.87508945260878
2.39,-17.215843606203865
2.4,-17.776033329714153
2.41,-19.23133816631687
2.42,-18.57500266671337
2.43,-19.24347777645237
2.44,-18.708756448605868
2.45,-18.59527313014442
2.46,-18.572753310326842
2.47,-19.545067132205272
2.48,-19.106081902213404
2.49,-19.774461352901646
2.5,-17.54121054588764
2.51,-18.812174797926662
2.52,-16.603123071458675
2.53,-15.318910221671512
2.54,-17.844012891236346
2.55,-20.850945663121077
2.56,-19.082199870016332
2.57,-19.190189942824134
2.58,-18.879480625555484
2.59,-18.617851488680863
2.6,-17.8171695166574
2.61,-17.985792442242698
2.62,-17.553202111949773
2.63,-18.2331246164551
2.64,-17.461687082294894
2.65,-18.29825281190498
2.66,-18.074532539047517
2.67,-19.402856369877878
2.68,-20.18431150695184
2.69,-19.75897847957195
2.7,-19.063141410064862
2.71,-18.69962302017432
2.72,-19.537524023057244
2.73,-20.495785632071623
2.74,-20.82758863489348
2.75,-22.270653688842863
2.76,-21.678507015445337
2.77,-19.1492357346961
2.78,-17.749398902594756
2.79,-17.798634119761605
2.8,-18.849244535230255
2.81,-18.485479692958528
2.82,-19.163668121796274
2.83,-19.355965531994975
2.84,-19.64372836362006
2.85,-17.929220291895685
2.86,-17.77808551865177
2.87,-18.192127918032572
2.88,-19.202272139289022
2.89,-20.942052090951208
2.9,-19.59552263067935
2.91,-19.464943050513792
2.92,-18.895805298763676
2.93,-17.27762392187852
2.94,-17.75553806386204
2.95,-17.103075493779766
2.96,-18.674555500212385
2.97,-18.64048869106422
2.98,-17.9668940891468
2.99,-17.73713358216917
3.0,-18.77756501788854
3.01,-19.728095283878975
3.02,-19.14202852396196
3.03,-17.684183094484172
3.04,-18.322256039344577
3.05,-17.59329398852132
3.06,-15.512806718767179
3.07,-16.121903182506436
3.08,-16.2466117744728
3.09,-17.293137906155742
3.1,-17.81510807375273
3.11,-18.04485165711916
3.12,-18.800622874907155
3.13,-17.617438242116595
3.14,-17.080317691315955
3.15,-17.63559057816548
3.16,-20.824673417669253
3.17,-21.74954442703018
3.18,-18.1556099654295
3.19,-19.378145429631736
3.2,-19.600584338070888
3.21,-18.69962302017432
3.22,-20.074004472294703
3.23,-19.489902520671702
3.24,-19.608182434171148
3.25,-19.432602596341205
3.26,-20.52671131161597
3.27,-20.611618044786304
3.28,-20.467766608942377
3.29,-19.764136371432585
3.3,-19.821076257117518
3.31,-20.138404319768625
3.32,-20.671550492981087
3.33,-20.149184202800527
3.34,-18.29607398594647
3.35,-18.49439058334055
3.36,-17.99630932164604
3.37,-18.35509498068411
3.38,-17.505334860767555
3.39,-18.521178236455697
3.4,-19.64372836362006
3.41,-19.689645067756054
3.42,-19.666656374218277
3.43,-18.16848113049864
3.44,-20.425906818825503
3.45,-19.28243893911744
3.46,-18.32444144371843
3.47,-19.442540686256113
3.48,-20.29603743175612
3.49,-19.3117749297555
3.5,-20.56623118965063
3.51,-20.61446261322112
3.52,-19.81328971276991
3.53,-19.445026986441423
