seconds_elapsed,dBFS
0.0,-43.0744419788425
0.01,-44.33193717100022
0.02,-42.850758639792225
0.03,-42.07660457992975
0.04,-43.539868827102254
0.05,-44.24507755078458
0.06,-41.942972872799444
0.07,-42.56120217241977
0.08,-42.7410406802316
0.09,-45.64907649135128
0.1,-41.84408122045819
0.11,-44.733926680137785
0.12,-44.073921478079264
0.13,-44.33193717100022
0.14,-44.24507755078458
0.15,-43.0744419788425
0.16,-41.61762061851039
0.17,-40.76657360480111
0.18,-40.260456299505705
0.19,-36.32959861247398
0.2,-33.53201688444925
0.21,-30.54674189382732
0.22,-28.915636760962443
0.23,-23.972823658133912
0.24,-14.709857674256238
0.25,-14.475185718791996
0.26,-16.961807775532616
0.27,-18.75456820901394
0.28,-19.31667390881265
0.29,-18.34194450180868
0.3,-18.322256039344577
0.31,-19.78479862236107
0.32,-18.357288664150264
0.33,-19.19743724373526
0.34,-19.540037664990013
0.35,-19.378145429631736
0.36,-19.67686606053991
0.37,-18.7821716950785
0.38,-19.459959751674827
0.39,-19.79773753379302
0.4,-20.157277903934144
0.41,-20.00477261263832
0.42,-19.962441053306886
0.43,-20.625850211886743
0.44,-19.435086053009464
0.45,-20.61446261322112
0.46,-21.534988041179627
0.47,-21.02815459041814
0.48,-20.233185038050735
0.49,-20.859720767054565
0.5,-19.562693236954164
0.51,-20.373172385193513
0.52,-19.88623702511363
0.53,-18.62916271522803
0.54,-18.891137974826513
0.55,-20.409219225530997
0.56,-20.315257046826282
0.57,-19.83667031810694
0.58,-20.07133147961687
0.59,-20.93319345720214
0.6,-20.074004472294703
0.61,-20.775263840281465
0.62,-21.163474977967844
0.63,-21.01920775051493
0.64,-19.163668121796274
0.65,-20.3565857035686
0.66,-18.863186576166
0.67,-21.082030026234698
0.68,-19.01331100911462
0.69,-21.13926342323022
0.7,-21.267133718839727
0.71,-21.756031275455705
0.72,-19.930827225366073
0.73,-19.144430263127845
0.74,-19.615787182625468
0.75,-19.48490488552919
0.76,-17.794520508679238
0.77,-19.01331100911462
0.78,-18.346325782929604
0.79,-17.53921356010161
0.8,-19.248338375145558
0.81,-15.823481307178577
0.82,-15.844812491092128
0.83,-18.179221690341397
0.84,-19.14202852396196
0.85,-17.455752070353647
0.86,-19.499906425766117
0.87,-21.267133718839727
0.88,-20.329011427591293
0.89,-21.325604055890338
0.9,-21.14228617935541
0.91,-20.88023055140837
0.92,-20.81884591685484
0.93,-20.159977481154957
0.94,-20.241357429719706
0.95,-19.351044347932415
0.96,-18.72934184513855
0.97,-18.59527313014442
0.98,-20.484567174408696
0.99,-21.02815459041814
1.0,-18.92152050689344
1.01,-17.950130002614898
1.02,-18.36387304069152
1.03,-19.91243882367998
1.04,-18.665457945426184
1.05,-21.148334849264238
1.06,-19.95452680251965
1.07,-18.44992726823704
1.08,-19.896708261629637
1.09,-23.18083215841473
1.1,-19.738377486486126
1.11,-20.82758863489348
1.12,-22.557643110850588
1.13,-19.901948617527996
1.14,-23.656190491445102
1.15,-20.532346011546345
1.16,-19.402856369877878
1.17,-21.582564696399693
1.18,-22.3606278521674
1.19,-19.363352539928293
1.2,-20.205999132796236
1.21,-19.64881824928465
1.22,-18.656369909401626
1.23,-20.9953944672288
1.24,-20.30152441212688
1.25,-21.946288730689712
1.26,-20.428691204051482
1.27,-18.959060877109906
1.28,-19.37567819779067
1.29,-18.289540785459394
1.3,-18.966117795281214
1.31,-21.163474977967844
1.32,-20.865575765347092
1.33,-20.60024907766833
1.34,-21.001341670225994
1.35,-20.434262653657562
1.36,-22.43398589223275
1.37,-21.218198999897982
1.38,-19.901948617527996
1.39,-23.512023038441615
1.4,-22.462095591970275
1.41,-20.04464669783558
1.42,-21.54448254710377
1.43,-22.865492976893073
1.44,-21.118133533586096
1.45,-22.518589382266807
1.46,-24.13344322589993
1.47,-23.947731999939123
1.48,-24.112138604872943
1.49,-24.688331354239807
1.5,-24.227809374842373
1.51,-25.483050956994493
1.52,-26.457649632463443
1.53,-25.088502019346407
1.54,-26.775600045831368
1.55,-31.214502879613097
1.56,-35.565145845099615
1.57,-34.81865938462336
1.58,-36.522821516721955
1.59,-40.85386971285011
1.6,-29.117730341169
1.61,-23.165553544733687
1.62,-21.347245365347533
1.63,-25.388880617673774
1.64,-31.156852957992452
1.65,-31.60893567012126
1.66,-30.528906385223618
1.67,-30.035404753370504
1.68,-32.80777343136036
1.69,-31.619029674323002
1.7,-32.0539326257679
1.71,-36.26038797028385
1.72,-39.1108661984721
1.73,-41.84408122045819
1.74,-36.922661087872115
1.75,-39.628476578071655
1.76,-39.42763781218884
1.77,-39.9387199016366
1.78,-34.06410476318697
1.79,-36.123599479677736
1.8,-36.15759517723562
1.81,-34.67389120614498
1.82,-35.42313903674083
1.83,-31.38978462764298
1.84,-31.08057681786539
1.85,-33.60787666479203
1.86,-28.212430626121247
1.87,-25.849469701326527
1.88,-23.55183011837247
1.89,-22.58972728718041
1.9,-22.21574468171991
1.91,-21.415614080423868
1.92,-18.076656488107638
1.93,-19.61071661059702
1.94,-19.267808015436668
1.95,-20.82758863489348
1.96,-20.998367559723363
1.97,-20.176192587864307
1.98,-20.73478358893917
1.99,-19.425156483893705
2.0,-20.515452865920384
2.01,-16.272460091251567
2.02,-14.392788205846191
2.03,-15.514388127900007
2.04,-20.789766915345883
2.05,-20.43983767929059
2.06,-20.219581449305977
2.07,-19.07743133317514
2.08,-19.570258245100888
2.09,-19.834069362963064
2.1,-20.711736438732405
2.11,-20.34554548646348
2.12,-20.755000132551743
2.13,-20.337274522844005
2.14,-20.214145973760598
2.15,-20.945006977742104
2.16,-20.939098209052972
2.17,-21.254874168973778
2.18,-21.31326175947889
2.19,-21.95292424639674
2.2,-20.095418078550157
2.21,-20.40644107433569
2.22,-20.323507061350007
2.23,-19.88623702511363
2.24,-20.660102860829053
2.25,-21.88679610332567
2.26,-21.62720593083654
2.27,-21.726878532540425
2.28,-19.60564899689547
2.29,-18.40789690400828
2.3,-19.522457428406852
2.31,-21.103072164044853
2.32,-22.02959926423313
2.33,-20.176192587864307
2.34,-19.75124738014026
2.35,-21.42810278083283
2.36,-23.839831362205004
2.37,-21.47509598638002
2.38,-21.49396468961065
2.39,-22.05978775059513
2.4,-19.3068787122425
2.41,-20.033995697557888
2.42,-19.472423363568108
2.43,-20.921395982195854
2.44,-21.322516837219823
2.45,-19.687087761793798
2.46,-20.00212083742674
2.47,-21.393801969421734
2.48,-22.164580840646426
2.49,-19.552616797728874
2.5,-17.806867191125004
2.51,-19.514933920237844
2.52,-17.32814601747083
2.53,-20.208713897512215
2.54,-24.150524626956727
2.55,-23.319562714906642
2.56,-22.416463413750172
2.57,-23.358495499220567
2.58,-21.736585245755577
2.59,-22.05307012486349
2.6,-24.052762174952594
2.61,-23.599840685406672
2.62,-23.448708756179006
2.63,-22.836049255010003
2.64,-22.02959926423313
2.65,-22.07323860831698
2.66,-21.962887034303847
2.67,-19.527476723338822
2.68,-23.146492993661383
2.69,-21.446869564449035
2.7,-23.58781314186737
2.71,-22.40247083780734
2.72,-23.18083215841473
2.73,-21.876920161797734
2.74,-21.759276517278646
2.75,-24.04853649272959
2.76,-25.329926389280203
2.77,-23.389767862931528
2.78,-25.247086982213727
2.79,-24.9749593615126
2.8,-26.129428353669283
2.81,-26.892034626328165
2.82,-25.117121121475382
2.83,-23.19613769477698
2.84,-21.811365966573018
2.85,-23.472397560784152
2.86,-22.639872768699295
2.87,-22.03965043947786
2.88,-24.271044355290194
2.89,-26.992246205391794
2.9,-26.35787443612363
2.91,-23.448708756179006
2.92,-22.704773864962235
2.93,-23.32733532360255
2.94,-21.78528219430413
2.95,-19.560173031035404
2.96,-18.38365617128405
2.97,-18.660912738813796
2.98,-20.478963374447826
2.99,-21.772269623124195
3.0,-21.8277081908446
3.01,-22.690309432580314
3.02,-24.044312865299876
3.03,-21.079028163533984
3.04,-20.648670296311714
3.05,-20.389790801560256
3.06,-15.595424181076265
3.07,-14.50751973066826
3.08,-16.25005377556324
3.09,-16.780614064827155
3.1,-21.016227517293697
3.11,-22.462095591970275
3.12,-20.691620225451
3.13,-18.786780816777565
3.14,-20.192438022097633
3.15,-20.620154546346217
3.16,-20.63440071919388
3.17,-19.19985435510137
3.18,-19.204690596672897
3.19,-18.368265399641288
3.2,-19.85229242598376
3.21,-19.55009951336462
3.22,-23.04428260952048
3.23,-21.946288730689712
3.24,-21.630403387025076
3.25,-23.761820011467748
3.26,-20.67441475999404
3.27,-20.252265926774292
3.28,-22.046357690496915
3.29,-18.23096206456093
3.3,-18.09579543739676
3.31,-17.786299126486583
3.32,-22.568324673547092
3.33,-20.580389122105682
3.34,-18.954359448232974
3.35,-20.168081250647845
3.36,-20.1249482525723
3.37,-17.32230152495152
3.38,-19.331387446444058
3.39,-19.34858480108374
3.4,-17.63760984811252
3.41,-18.563761705343673
3.42,-19.58540805644985
3.43,-20.041982723075215
3.44,-20.40644107433569
3.45,-19.725526633959895
3.46,-21.592111379505532
3.47,-21.896683286679057
3.48,-21.267133718839727
3.49,-23.413296246541144
3.5,-23.436888537110917
3.51,-23.456597848127394
3.52,-23.055580104681013
3.53,-21.939658280262346
3.54,-24.3625444150883
3.55,-24.98436476539649
3.56,-25.003206181977756
3.57,-25.573216711008495
3.58,-24.706540773148205
3.59,-20.95683658752169
3.6,-23.476351983633272
3.61,-20.318006181091377
3.62,-17.150679962595255
3.63,-19.805510142488927
3.64,-21.462539584282865
3.65,-16.924521220578242
3.66,-19.631016683262462
3.67,-24.87216656846438
3.68,-25.901606050166464
3.69,-28.841964651456337
3.7,-33.44434313723417
3.71,-34.877249081569246
3.72,-34.545631276371005
3.73,-35.47021714461037
3.74,-37.20623000296671
3.75,-34.60240199897902
3.76,-34.33598579028897
3.77,-32.50057832317607
3.78,-36.34698778672656
3.79,-38.20289777637217
3.8,-37.74122009818812
3.81,-37.88547306369365
3.82,-37.72080671713998
3.83,-39.27999873973685
3.84,-36.32959861247398
3.85,-34.995627604014075
3.86,-38.20289777637217
3.87,-39.20710972762797
3.88,-35.790766053293396
3.89,-35.13076085123488
3.9,-35.438803404625766
3.91,-34.15829813781729
3.92,-34.19898153602635
3.93,-32.912634539607794
3.94,-32.66989927240235
3.95,-33.36989219879788
3.96,-34.03737892783052
3.97,-34.489229197418034
3.98,-33.48180929009726
3.99,-34.363647882580025
4.0,-29.672753272586945
4.01,-31.224148510407858
4.02,-30.13699526395601
4.03,-31.99045446525204
4.04,-31.854489539329155
4.05,-40.53798436918547
4.06,-34.03737892783052
4.07,-38.01105437853166
4.08,-40.85386971285011
4.09,-45.44823772546847
4.1,-37.63962958760262
4.11,-31.927436851672873
4.12,-29.004876138108116
4.13,-27.184074891247466
4.14,-29.489044850724543
4.15,-28.18518075392605
4.16,-26.457649632463443
4.17,-24.624897345158473
4.18,-21.534988041179627
4.19,-20.608774407622896
4.2,-20.230462615324146
4.21,-19.862722796061007
4.22,-19.965080740194875
4.23,-18.828373344639978
4.24,-19.50240920337688
4.25,-20.041982723075215
4.26,-19.321575652530814
4.27,-15.136815845999482
4.28,-17.246678835883017
4.29,-16.61568141867714
4.3,-15.95891720391032
4.31,-16.902225876645513
