seconds_elapsed,dBFS
0.0,-18.501079755514102
0.01,-17.676065440025965
0.02,-17.059508624188165
0.03,-16.28627737734383
0.04,-15.205226987027858
0.05,-13.276494636128175
0.06,-11.611962639881138
0.07,-12.842586662886381
0.08,-10.798524439987728
0.09,-10.005157863937669
0.1,-7.945027338293622
0.11,-9.769349835362252
0.12,-10.050567788303155
0.13,-7.657401745999616
0.14,-7.659962444614291
0.15,-6.456534698935431
0.16,-6.6732698957105265
0.17,-7.298167871712636
0.18,-6.008944554895312
0.19,-4.334993046560932
0.2,-5.466621619103497
0.21,-6.346858721726328
0.22,-5.5035065496165725
0.23,-7.990800261653143
0.24,-4.5722376980141
0.25,-4.982012459454407
0.26,-4.454133271652945
0.27,-6.311702024549253
0.28,-5.494021138832641
0.29,-7.5372612861227015
0.3,-6.689287083459749
0.31,-9.329292647780136
0.32,-7.387058428476967
0.33,-10.693483219941925
0.34,-7.671494939742503
0.35,-7.8123957109171736
0.36,-7.970205768179241
0.37,-14.479396378794341
0.38,-8.118777654595714
0.39,-9.839011068234116
0.4,-11.026635836164658
0.41,-11.137721034755009
0.42,-9.985888460165267
0.43,-6.774443546310575
0.44,-7.219910576403075
0.45,-7.343116750499443
0.46,-7.398233984949694
0.47,-8.752196644494484
0.48,-9.803700856104198
0.49,-5.375088797272051
0.5,-6.957335739877544
0.51,-7.434342236420511
0.52,-8.773278029032774
0.53,-8.951965488947303
0.54,-8.972793186677691
0.55,-8.87430342159915
0.56,-7.9994512154649815
0.57,-10.804039874380734
0.58,-16.200277767489347
0.59,-14.383063898158525
0.6,-12.031662461269573
0.61,-20.490174592058622
0.62,-19.027519119651423
0.63,-20.88023055140837
0.64,-18.837643238409985
0.65,-18.15132381205456
0.66,-17.127797254375594
0.67,-12.829805604327294
0.68,-14.798246003575217
0.69,-17.621468817427
0.7,-16.997378878835296
0.71,-12.882211077197137
0.72,-15.463925301062481
0.73,-8.295385804692367
0.74,-13.9947879034151
0.75,-9.526270714752453
0.76,-10.034563138173098
0.77,-11.75133049258022
0.78,-13.19256059107376
0.79,-12.360855905962751
0.8,-12.487174169839882
0.81,-14.518794617389272
0.82,-15.111111218684371
0.83,-15.263418989991983
0.84,-17.188952285535212
0.85,-17.559204108944144
0.86,-17.655804433316085
0.87,-18.588511051454844
0.88,-17.651757897189757
0.89,-16.868889798735317
0.9,-19.489902520671702
0.91,-19.656458674616534
0.92,-19.71013066602097
0.93,-17.240888885904333
0.94,-18.874822063020602
0.95,-18.586258194578495
0.96,-19.47991012424258
0.97,-14.712741435782748
0.98,-11.966243644065472
0.99,-9.49141620887862
1.0,-8.19538944027818
1.01,-8.780559351982495
1.02,-9.482724392277152
1.03,-3.839006530559347
1.04,-6.685280016629762
1.05,-5.100892054397873
1.06,-4.837399785670239
1.07,-6.625394792249183
1.08,-4.3735017643881235
1.09,-2.89244774350684
1.1,-5.675020483906502
1.11,-6.701319387399083
1.12,-6.272320089707345
1.13,-4.539542687198708
1.14,-7.9139862215026735
1.15,-9.361943484115674
1.16,-10.434984802787353
1.17,-10.388402130972825
1.18,-9.506449863565232
1.19,-9.010858156001634
1.2,-10.402438517646166
1.21,-6.851688100854641
1.22,-12.978526188537487
1.23,-12.75121019176468
1.24,-17.237031062328562
1.25,-16.482063416497923
1.26,-18.259117323048738
1.27,-18.86551242693317
1.28,-19.063141410064862
1.29,-20.476162829642632
1.3,-18.12565121315396
1.31,-17.90003100496018
1.32,-16.594163927149083
1.33,-15.774454518662912
1.34,-15.885981824200675
1.35,-16.54772476026747
1.36,-16.61388625702188
1.37,-15.28957901044798
1.38,-16.931965737543983
1.39,-16.20883951252764
1.4,-14.897849202174456
1.41,-15.807108277564977
1.42,-15.937304298645635
1.43,-15.872786394943425
1.44,-16.326124951304685
1.45,-16.553070471568464
1.46,-16.95060499284713
1.47,-15.597020705230758
1.48,-17.065178882014212
1.49,-17.059508624188165
1.5,-19.07504804611449
1.51,-21.707497588155572
1.52,-20.56057447200487
1.53,-22.322448056020782
1.54,-25.003206181977756
1.55,-24.232123201421267
1.56,-20.743442060802266
1.57,-17.873014219141005
1.58,-17.958508001468513
1.59,-17.682152969515702
1.6,-16.594163927149083
1.61,-14.717068874037867
1.62,-14.890486406414373
1.63,-13.713920320694857
1.64,-14.902269877291374
1.65,-14.708416152447592
1.66,-14.67963584235839
1.67,-14.571132193968042
1.68,-15.096026307567236
1.69,-14.09225567638459
1.7,-13.818672139050175
1.71,-16.274186050450105
1.72,-16.51217051644426
1.73,-16.913366395023626
1.74,-17.625501263942354
1.75,-18.09579543739676
1.76,-21.245690848677214
1.77,-21.525503902324985
1.78,-20.77816251864578
1.79,-22.493828124420013
1.8,-24.74765208142111
1.81,-27.728097501435194
1.82,-30.986164044413698
1.83,-32.422677445505585
1.84,-34.51738445590585
1.85,-31.83375948262035
1.86,-23.123675407059388
1.87,-18.412311587528
1.88,-15.373202056142112
1.89,-15.294203674487342
1.9,-14.730064139822021
1.91,-13.707495370599354
1.92,-12.28201219088151
1.93,-13.533275800262466
1.94,-12.150028266948912
1.95,-12.486058090218936
1.96,-12.572418605654716
1.97,-11.540605783330495
1.98,-10.7829163681543
1.99,-11.077729451952969
2.0,-12.69958684311879
2.01,-11.887760883388786
2.02,-11.435152157074025
2.03,-14.367804805194936
2.04,-17.5752297401287
2.05,-17.599323762896113
2.06,-16.928242681491238
2.07,-18.672280218041397
2.08,-18.472130474698666
2.09,-18.928546978603084
2.1,-21.450001307637123
2.11,-24.07392147807927
2.12,-22.336312208426516
2.13,-23.20380058864679
2.14,-23.40152408801259
2.15,-24.201971310261882
2.16,-22.219166344020636
2.17,-21.66565331034259
2.18,-21.936344952113046
2.19,-22.84707895761982
2.2,-23.656190491445102
2.21,-21.946288730689712
2.22,-21.82116761098881
2.23,-16.28282099463285
2.24,-17.165968661175025
2.25,-16.907794349731674
2.26,-17.89586910280194
2.27,-16.926381751727707
2.28,-16.46793139851274
2.29,-16.40637274511384
2.3,-15.62741055358247
2.31,-15.220502913649185
2.32,-15.838243468553221
2.33,-17.661877774412893
2.34,-16.71680726359924
2.35,-19.615787182625468
2.36,-17.32035423436202
2.37,-20.3565857035686
2.38,-21.717182654728326
2.39,-21.80483767642123
2.4,-19.304431638092478
2.41,-22.865492976893073
2.42,-24.052762174952594
2.43,-21.1786415430891
2.44,-23.10091760459558
2.45,-19.962441053306886
2.46,-23.57980402222377
2.47,-24.402055732521998
2.48,-24.384472953971144
2.49,-23.04428260952048
2.5,-19.432602596341205
2.51,-17.684183094484172
2.52,-17.844012891236346
2.53,-21.12718290718263
2.54,-28.56757458106365
2.55,-27.04577119965399
