seconds_elapsed,dBFS
0.0,-26.798762431925404
0.01,-27.58092973651456
0.02,-29.568441104078858
0.03,-28.93044646555292
0.04,-28.09720449320938
0.05,-28.489737167279724
0.06,-28.274057220267032
0.07,-32.25806311291453
0.08,-30.591491553026483
0.09,-30.449096730567526
0.1,-29.402539123461207
0.11,-34.29465713354666
0.12,-32.0539326257679
0.13,-29.36350135151077
0.14,-27.657401745999618
0.15,-29.600403935503394
0.16,-32.66989927240235
0.17,-30.727140686427823
0.18,-29.77833340872842
0.19,-32.624423306542276
0.2,-31.301701611671895
0.21,-31.20486794835552
0.22,-29.934988725869488
0.23,-28.44757257167309
0.24,-30.36127101124809
0.25,-30.976778965555667
0.26,-28.343047969300407
0.27,-30.88348172443225
0.28,-34.58817449434327
0.29,-29.68891307192362
0.3,-29.968331913218748
0.31,-31.659523405651292
0.32,-27.257117140644958
0.33,-28.739862338128503
0.34,-33.77454829581452
0.35,-35.31427238781313
0.36,-34.53149638368602
0.37,-21.873630675055878
0.38,-27.87123899712073
0.39,-25.896378310232514
0.4,-29.943312530663736
0.41,-28.191985211491485
0.42,-27.40507057691072
0.43,-34.92145217767158
0.44,-35.25267007542893
0.45,-34.70265245639133
0.46,-29.592402194137794
0.47,-30.68168851762347
0.48,-28.87135855307185
0.49,-36.10665139695803
0.5,-34.57397025628313
0.51,-31.730844894315304
0.52,-33.22287786317275
0.53,-32.33449506740448
0.54,-29.270520378272224
0.55,-29.993423571413533
0.56,-31.023806095257378
0.57,-31.156852957992452
0.58,-28.967581578286953
0.59,-29.13288896567622
0.6,-31.619029674323002
0.61,-36.29492435629397
0.62,-33.80047634383789
0.63,-32.61309142021474
0.64,-30.13699526395601
0.65,-27.17801567255873
0.66,-27.105632840024114
0.67,-28.886092890172698
0.68,-25.483050956994493
0.69,-26.82780254469385
0.7,-27.89752007507736
0.71,-29.379095412500188
0.72,-30.663574038402984
0.73,-31.23380486452978
0.74,-32.635769996122
0.75,-36.43445972072142
0.76,-32.6813055637829
0.77,-33.054448132834864
0.78,-39.603116298338946
0.79,-31.896098671058603
0.8,-30.74538836044608
0.81,-31.90653217337988
0.82,-27.838499080339716
0.83,-25.083741323344487
0.84,-32.45597802164835
0.85,-28.36385250532596
0.86,-28.219256472946455
0.87,-34.58817449434327
0.88,-30.939339728115655
0.89,-28.689257760976613
0.9,-30.035404753370504
0.91,-33.27160668459903
0.92,-30.699840853672352
0.93,-31.46883763874809
0.94,-27.587276751512412
0.95,-31.061611985793935
0.96,-33.99744373270901
0.97,-34.10434833929267
0.98,-35.93896492184887
0.99,-33.44434313723417
1.0,-29.355714807163157
1.01,-35.29883080216743
1.02,-30.265677464064204
1.03,-34.51738445590585
1.04,-38.851566655184754
1.05,-31.782149766681258
1.06,-31.927436851672873
1.07,-29.664684633234724
1.08,-32.64713152768056
1.09,-31.4094805309534
1.1,-35.02547605138774
1.11,-33.48180929009726
1.12,-31.19524369292424
1.13,-33.27160668459903
1.14,-31.844118326588827
1.15,-32.590471903165735
1.16,-35.97224423320387
1.17,-30.591491553026483
1.18,-32.48940675940057
1.19,-32.30165612606495
1.2,-27.715200855208337
1.21,-31.128170852772485
1.22,-31.937908088188884
1.23,-32.52296464906815
1.24,-31.548616749670153
1.25,-30.754526593417395
1.26,-30.188239599248014
1.27,-27.74747844582005
1.28,-28.768912163327354
1.29,-29.449617231330755
1.3,-28.23976625730026
1.31,-29.441753138771766
1.32,-30.119980783220477
1.33,-30.36127101124809
1.34,-29.24742982952596
1.35,-27.70232332929423
1.36,-24.876812671617717
1.37,-27.48627689677957
1.38,-27.281601694245147
1.39,-28.696468960758242
1.4,-26.839445830134462
1.41,-26.944943762341737
1.42,-27.105632840024114
1.43,-26.874469626129734
1.44,-26.22659904607586
1.45,-28.62462496440958
1.46,-29.31688644729489
1.47,-27.90410278826705
1.48,-26.038643559268255
1.49,-21.209054353005158
1.5,-21.26100178096553
1.51,-22.50796877001461
1.52,-23.19230878149564
1.53,-25.4234562831575
1.54,-26.980396422328702
1.55,-27.599984712284076
1.56,-27.63183619512766
1.57,-26.986319293092173
1.58,-27.29386990198818
1.59,-27.689464867082016
1.6,-28.783473591110003
1.61,-27.825437589700854
1.62,-27.689464867082016
1.63,-27.480003231185005
1.64,-27.33694560307249
1.65,-27.312304764878657
1.66,-27.214434550391246
1.67,-26.752499261900724
1.68,-26.3248691159612
1.69,-25.2713696081438
1.7,-25.807984776433383
1.71,-26.14017157042301
1.72,-26.581174385284495
1.73,-27.087630989770865
1.74,-27.039807663794555
1.75,-26.892034626328165
1.76,-26.992246205391794
