seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-100
0.13,-100
0.14,-100
0.15,-100
0.16,-100
0.17,-80.76657360480111
0.18,-62.704773864962235
0.19,-34.92145217767158
0.2,-31.071089225837348
0.21,-33.53201688444925
0.22,-24.33193717100022
0.23,-33.80047634383789
0.24,-32.32353495284228
0.25,-25.349533371958227
0.26,-23.872889022043573
0.27,-27.587276751512412
0.28,-33.235034463670864
0.29,-37.98999766606634
0.3,-37.42022690983759
0.31,-35.407502867553205
0.32,-26.660705650503278
0.33,-27.5682496034041
0.34,-28.287811601032043
0.35,-22.07323860831698
0.36,-26.150928091473325
0.37,-23.50805234596649
0.38,-28.103940352126294
0.39,-25.488035685761467
0.4,-23.761820011467748
0.41,-23.362398392855347
0.42,-25.78731637967788
0.43,-27.812395710917173
0.44,-25.003206181977756
0.45,-26.038643559268255
0.46,-24.223497689651794
0.47,-27.15382097825708
0.48,-30.88348172443225
0.49,-29.255119860694997
0.5,-29.23974660068525
0.51,-31.761591438413884
0.52,-31.57872384961649
0.53,-32.422677445505585
0.54,-31.090074784517725
0.55,-28.124179327430294
0.56,-28.864000746924063
0.57,-31.19524369292424
0.58,-33.55722993448413
0.59,-32.738562789170224
0.6,-32.389504052013066
0.61,-32.33449506740448
0.62,-38.01105437853166
0.63,-37.72080671713998
0.64,-37.42022690983759
0.65,-34.98074175694637
0.66,-33.174420891536705
0.67,-37.14877076605211
0.68,-37.619453295979724
0.69,-35.161078123333866
0.7,-33.15029340480577
0.71,-33.6205846255637
0.72,-33.04254149678523
0.73,-35.055427424645636
0.74,-34.19898153602635
0.75,-34.433191005377985
0.76,-32.25806311291453
0.77,-32.44486363799739
0.78,-31.885677686439582
0.79,-33.25939882645723
0.8,-32.78464188736151
0.81,-34.308411514311665
0.82,-31.478770046506295
0.83,-35.85632024851811
0.84,-33.09026628519248
0.85,-30.736259731504866
0.86,-32.17152800475295
0.87,-34.117804406489
0.88,-30.591491553026483
0.89,-32.24719895935549
0.9,-31.36032426145334
0.91,-29.28594825024673
0.92,-33.407037898909216
0.93,-25.720481740780453
0.94,-27.41129033345151
0.95,-27.799373385182477
0.96,-21.26406720878561
0.97,-26.270137431161352
0.98,-27.996788465708363
0.99,-9.818464411451316
1.0,-18.51223983624516
1.01,-22.09345403165016
1.02,-30.19680979198875
1.03,-31.558640858847422
1.04,-33.102238567774485
1.05,-29.232070162149306
1.06,-27.32461644608676
1.07,-28.67485329724737
1.08,-24.706540773148205
1.09,-30.818764844447788
1.1,-29.79469102116754
1.11,-32.590471903165735
1.12,-34.717068874037864
1.13,-24.176209878709123
1.14,-31.38978462764298
1.15,-31.518613646821983
1.16,-27.367845278627158
1.17,-27.818914202508715
1.18,-25.553098833715904
1.19,-24.761399205849266
1.2,-21.64961288170624
1.21,-22.437494633802608
1.22,-24.327573498646164
1.23,-27.983486947583472
1.24,-30.449096730567526
1.25,-28.09047385386595
1.26,-26.82780254469385
1.27,-30.282980038785997
1.28,-29.340162628186267
1.29,-29.934988725869488
1.3,-31.38978462764298
1.31,-25.42840691859392
1.32,-27.22660818887742
1.33,-30.154043139179556
1.34,-31.669676404630902
1.35,-31.128170852772485
1.36,-28.703686152397463
1.37,-30.976778965555667
1.38,-32.2363483775096
1.39,-33.29607399553303
1.4,-32.0539326257679
1.41,-33.77454829581452
1.42,-34.25352419335484
1.43,-36.68417395168262
1.44,-34.76046225140812
1.45,-32.4005477784062
1.46,-28.461604706611944
1.47,-30.33509553296124
1.48,-36.05600466665013
1.49,-33.569863958003346
1.5,-31.262838505951855
1.51,-24.923410903756384
1.52,-22.02290493662772
1.53,-16.956204578066142
1.54,-16.617476951425253
1.55,-31.11863115973439
1.56,-31.004964678676114
1.57,-26.816174845985387
1.58,-28.596052933257226
1.59,-35.04043882793561
1.6,-36.34698778672656
1.61,-33.247208102157046
1.62,-18.617851488680863
1.63,-22.755589912507897
1.64,-15.471790817889087
1.65,-22.75195031905927
1.66,-26.9272715494539
1.67,-30.77283195243303
1.68,-32.81936234520502
1.69,-29.347935236882176
1.7,-28.454585805512373
1.71,-24.00639235552232
1.72,-30.248409288121998
1.73,-33.36989219879788
1.74,-36.10665139695803
1.75,-30.484477185344456
1.76,-34.995627604014075
1.77,-36.793431865712655
1.78,-35.39189479571978
1.79,-35.80710827756498
1.8,-34.559789208826054
1.81,-34.76046225140812
1.82,-38.37705678666515
1.83,-37.68012331893091
1.84,-34.77497501942614
1.85,-38.09579543739675
1.86,-36.848580556616426
1.87,-38.117110514689955
1.88,-34.51738445590585
1.89,-31.937908088188884
1.9,-37.88547306369365
1.91,-37.65985285549987
1.92,-35.533387529506975
1.93,-35.145906259846555
1.94,-37.823356782480985
1.95,-33.174420891536705
1.96,-29.46536680887903
1.97,-24.393259894162167
1.98,-27.00411217668814
1.99,-29.36350135151077
2.0,-34.46116490922928
2.01,-27.950321998401524
2.02,-29.536595460200303
2.03,-25.45817013322667
2.04,-22.229439425807264
2.05,-22.325912020030025
2.06,-28.915636760962443
2.07,-38.311337257720595
2.08,-37.11067469779735
2.09,-30.40507286725077
2.1,-31.690018075843895
2.11,-37.72080671713998
2.12,-37.74122009818812
2.13,-35.47021714461037
2.14,-28.689257760976613
2.15,-32.65850794009675
2.16,-22.708393739837746
2.17,-20.192438022097633
2.18,-25.349533371958227
2.19,-28.461604706611944
2.2,-28.496784542626223
2.21,-41.876920161797734
2.22,-39.15885466108119
2.23,-37.96899187677637
2.24,-35.77445451866291
2.25,-34.21258512477111
2.26,-14.864031899757286
2.27,-19.823673323854784
2.28,-30.645497258438095
2.29,-31.659523405651292
2.3,-35.613002107417415
2.31,-39.552616797728874
2.32,-33.519437751710385
2.33,-26.022720750706362
2.34,-23.636023568900335
2.35,-24.35378847721168
2.36,-33.34521635936638
2.37,-26.31938040194724
