seconds_elapsed,dBFS
0.0,-45.95931981491623
0.01,-46.33585696010591
0.02,-45.802813064677096
0.03,-47.20227794989312
0.04,-47.141748857289365
0.05,-49.17090167246491
0.06,-48.581802085699394
0.07,-47.83196587985263
0.08,-47.63822053179
0.09,-47.574587356066225
0.1,-46.90376439129521
0.11,-47.08163865449485
0.12,-48.581802085699394
0.13,-46.33585696010591
0.14,-46.5585842824651
0.15,-47.574587356066225
0.16,-46.90376439129521
0.17,-47.83196587985263
0.18,-46.44650673210513
0.19,-47.89752007507736
0.2,-45.90683693839325
0.21,-45.90683693839325
0.22,-45.251938079596485
0.23,-41.97618855242873
0.24,-41.522344822589105
0.25,-43.82334959324051
0.26,-43.50011640239199
0.27,-45.15542720181067
0.28,-46.17248117855736
0.29,-42.455059634001046
0.3,-42.9246815509915
0.31,-42.178195090515246
0.32,-41.58574575837924
0.33,-39.42763781218884
0.34,-40.48176482250891
0.35,-39.99152182496077
0.36,-40.12494825257229
0.37,-37.88547306369365
0.38,-39.70500473513271
0.39,-36.70228843090309
0.4,-38.8748220630206
0.41,-36.277638998075815
0.42,-35.055427424645636
0.43,-35.055427424645636
0.44,-33.65882044506963
0.45,-34.717068874037864
0.46,-34.63092711373966
0.47,-33.33290467815828
0.48,-34.25352419335484
0.49,-28.191985211491485
0.5,-26.40761876982255
0.51,-28.301587796843094
0.52,-31.639252942220246
0.53,-31.109101932626032
0.54,-31.48871382508296
0.55,-32.70416318128475
0.56,-32.51176427403059
0.57,-36.81177588443812
0.58,-38.71332676685816
0.59,-37.68012331893091
0.6,-39.353504591437904
0.61,-43.22682991624633
0.62,-43.381939210181585
0.63,-45.20354859712824
0.64,-42.850758639792225
0.65,-40.56623118965063
0.66,-37.302848236555626
0.67,-37.7616815673397
0.68,-35.75817355862323
0.69,-34.419237766010966
0.7,-34.226210052487346
0.71,-35.790766053293396
0.72,-34.616652846536844
0.73,-36.140580696500095
0.74,-36.191724453515974
0.75,-35.98893182649837
0.76,-37.053842065562876
0.77,-39.13482728853104
0.78,-37.225467861635146
0.79,-38.20289777637217
0.8,-40.708859840051346
