seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-100
0.13,-100
0.14,-100
0.15,-100
0.16,-100
0.17,-100
0.18,-100
0.19,-100
0.2,-66.78717351808073
0.21,-50.573564013869465
0.22,-46.61517008284237
0.23,-45.85466927624269
0.24,-42.49029655712677
0.25,-38.645023219821894
0.26,-37.74122009818812
0.27,-30.466768943455364
0.28,-10.92161246452381
0.29,-5.636894315948923
0.3,-4.885647120232602
0.31,-6.302387396698881
0.32,-9.12909682868603
0.33,-10.248409288121998
0.34,-9.11924501370542
0.35,-9.216737608056603
0.36,-10.794849428450755
0.37,-12.724786593359173
0.38,-14.459764072255343
0.39,-17.369167949651906
0.4,-16.646256069534218
0.41,-15.47021714461038
0.42,-15.211334134151004
0.43,-14.094941480252022
0.44,-14.440176039641086
0.45,-14.49625946056029
0.46,-9.358828587314113
0.47,-4.996135860351651
0.48,-2.8511266937611395
0.49,-2.374204724969786
0.5,-2.208221765929874
0.51,-2.5122154566888737
0.52,-2.7960921493452418
0.53,-2.9895102651423837
0.54,-5.28938255726737
0.55,-8.181100636585828
0.56,-10.331611421547473
0.57,-9.27668823909456
0.58,-14.227573721481132
0.59,-17.30284823655563
0.6,-15.643448020542722
0.61,-15.452925529811045
0.62,-13.684404821853091
0.63,-14.989670203480081
0.64,-17.672009455997994
0.65,-16.203701452846275
0.66,-22.958153228782827
0.67,-27.657401745999618
0.68,-33.64605646093865
0.69,-34.789512076606975
0.7,-39.91243882367998
0.71,-42.63269137958573
0.72,-46.22659904607586
0.73,-46.28105621278533
0.74,-47.89752007507736
0.75,-51.82341297795672
0.76,-57.844012891236346
0.77,-51.82341297795672
0.78,-52.807773431360346
0.79,-52.13929832162136
0.8,-56.15759517723562
0.81,-84.28839878591472
0.82,-84.28839878591472
0.83,-90.30899869919435
0.84,-84.28839878591472
0.85,-84.28839878591472
0.86,-84.28839878591472
0.87,-84.28839878591472
0.88,-84.28839878591472
0.89,-90.30899869919435
0.9,-90.30899869919435
0.91,-90.30899869919435
0.92,-90.30899869919435
0.93,-90.30899869919435
0.94,-90.30899869919435
0.95,-90.30899869919435
0.96,-90.30899869919435
0.97,-90.30899869919435
0.98,-90.30899869919435
0.99,-90.30899869919435
1.0,-90.30899869919435
1.01,-90.30899869919435
1.02,-100
1.03,-100
1.04,-100
1.05,-100
1.06,-100
1.07,-100
1.08,-100
1.09,-100
1.1,-100
1.11,-100
1.12,-100
1.13,-100
1.14,-100
1.15,-100
1.16,-100
1.17,-100
1.18,-100
1.19,-100
1.2,-100
1.21,-100
1.22,-100
1.23,-100
1.24,-100
1.25,-100
1.26,-100
1.27,-100
1.28,-100
1.29,-100
1.3,-100
1.31,-100
1.32,-100
1.33,-100
1.34,-100
1.35,-100
1.36,-100
1.37,-100
1.38,-100
1.39,-65.20354859712823
1.4,-70.30899869919435
1.41,-90.30899869919435
1.42,-100
1.43,-100
1.44,-100
1.45,-64.73392668013777
1.46,-52.467106645384746
1.47,-45.90683693839325
1.48,-44.33193717100022
1.49,-41.33487230109275
1.5,-39.628476578071655
1.51,-40.708859840051346
1.52,-42.850758639792225
1.53,-41.1816780366135
1.54,-39.96508074019487
1.55,-39.6539111193444
1.56,-39.1108661984721
1.57,-35.23733752133622
1.58,-37.20623000296671
1.59,-37.579240772127044
1.6,-37.499369959785916
1.61,-35.145906259846555
1.62,-39.75640068176758
1.63,-39.231338166316874
1.64,-40.17889805109691
1.65,-42.043003417569324
1.66,-40.28781345483932
1.67,-38.7821716950785
1.68,-36.48736885673499
1.69,-42.7410406802316
1.7,-39.3289334586786
1.71,-41.30401653280713
1.72,-41.30401653280713
1.73,-42.178195090515246
1.74,-41.5539874427866
1.75,-42.110336232568464
1.76,-40.680146129148255
1.77,-45.802813064677096
1.78,-44.87216656846438
1.79,-43.0744419788425
1.8,-44.87216656846438
1.81,-44.59785251903888
1.82,-44.779762615729474
1.83,-48.301587796843094
1.84,-46.118698408341736
1.85,-45.95931981491623
1.86,-49.247429829525956
1.87,-46.22659904607586
1.88,-47.89752007507736
1.89,-46.012121738240396
1.9,-47.141748857289365
1.91,-48.37079843903322
1.92,-45.802813064677096
1.93,-48.72537377824186
1.94,-48.37079843903322
1.95,-48.798059471343734
1.96,-50.84644162720038
1.97,-51.82341297795672
1.98,-74.74597369152148
1.99,-100
2.0,-100
2.01,-100
2.02,-100
2.03,-100
2.04,-100
2.05,-100
2.06,-100
2.07,-100
2.08,-100
2.09,-100
2.1,-100
2.11,-100
2.12,-100
2.13,-100
2.14,-100
2.15,-100
2.16,-100
2.17,-100
2.18,-100
2.19,-100
2.2,-100
2.21,-100
2.22,-100
2.23,-100
2.24,-100
2.25,-100
2.26,-100
2.27,-100
2.28,-100
2.29,-100
2.3,-100
2.31,-100
2.32,-100
2.33,-100
2.34,-100
2.35,-100
2.36,-100
2.37,-100
2.38,-100
2.39,-63.86461280451597
2.4,-50.84644162720038
2.41,-32.947871462733524
2.42,-15.401256272794182
2.43,-8.42796558899507
2.44,-10.828902761246065
2.45,-14.596708200257877
2.46,-19.815884452038816
2.47,-21.516030107924884
2.48,-22.37455312911889
2.49,-22.568324673547092
2.5,-22.98801450318965
2.51,-22.05978775059513
2.52,-22.164580840646426
2.53,-21.462539584282865
2.54,-20.409219225530997
2.55,-19.314224073896376
2.56,-20.608774407622896
2.57,-16.637252347739015
2.58,-13.029463021106622
2.59,-11.478770046506297
2.6,-10.66900441659679
2.61,-8.908241367039256
2.62,-5.308409705375674
2.63,-6.497322779650785
2.64,-9.44411161902468
2.65,-8.476362886658197
2.66,-9.175474396781134
2.67,-13.093856237563514
2.68,-13.765491733220504
2.69,-15.449785294911308
2.7,-14.396959101310763
2.71,-10.640983935583591
2.72,-7.9357694421044265
2.73,-10.773748233845144
2.74,-16.95433764852901
2.75,-9.11697310393928
