seconds_elapsed,dBFS
0.0,-11.048361198116389
0.01,-12.392815695811738
0.02,-11.916978223512139
0.03,-12.871704657430458
0.04,-11.741081654060082
0.05,-11.817210985805993
0.06,-11.757485605372146
0.07,-12.086912343113639
0.08,-11.121491967677494
0.09,-13.12503146851681
0.1,-13.174420891536705
0.11,-12.993894217765325
0.12,-12.788107694272455
0.13,-12.145734698083398
0.14,-13.993460293227102
0.15,-11.969397752786712
0.16,-14.286414947600276
0.17,-13.179254441821744
0.18,-14.709857674256238
0.19,-14.28504201001138
0.2,-13.843427560160944
0.21,-14.204420415125835
0.22,-14.445768114283341
0.23,-13.602798681813104
0.24,-13.514411195066598
0.25,-13.14547593954747
0.26,-11.824447073992005
0.27,-13.303427648833615
0.28,-15.473364776331024
0.29,-14.406698986587092
0.3,-14.880188966396119
0.31,-16.213980613380937
0.32,-15.967244200653976
0.33,-18.370462412334945
0.34,-18.695059904945623
0.35,-18.62916271522803
0.36,-20.07133147961687
0.37,-22.543421430001573
0.38,-24.91873981483603
0.39,-25.408621284439295
0.4,-30.63647295670367
0.41,-30.265677464064204
0.42,-35.438803404625766
0.43,-34.81865938462336
0.44,-38.24611124679071
0.45,-45.49801373354236
0.46,-47.51141697116962
0.47,-48.164799306236986
0.48,-48.164799306236986
0.49,-48.798059471343734
0.5,-49.247429829525956
0.51,-48.653291292865354
0.52,-50.754526593417395
0.53,-49.095041892122126
0.54,-52.57918419574472
0.55,-54.46116490922928
0.56,-56.15759517723562
0.57,-57.844012891236346
0.58,-59.42763781218885
0.59,-61.06103874121523
0.6,-63.074441978842486
0.61,-64.73392668013777
0.62,-66.22659904607586
0.63,-28.908241367039253
0.64,-24.03587176683373
0.65,-18.928546978603084
0.66,-13.73837856629233
0.67,-11.207757305693715
0.68,-11.076780537368744
0.69,-12.748909293833854
0.7,-13.671603213584325
0.71,-14.62378704787268
0.72,-16.15759517723563
0.73,-15.200649442975632
0.74,-15.769567025536823
