seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-90.30899869919435
0.03,-84.28839878591472
0.04,-80.76657360480111
0.05,-31.340739383622335
0.06,-35.677223395459585
0.07,-32.6813055637829
0.08,-33.235034463670864
0.09,-31.42922119771892
0.1,-33.519437751710385
0.11,-33.58251638505932
0.12,-36.522821516721955
0.13,-33.39463833986118
0.14,-35.100549030730114
0.15,-32.15002826694891
0.16,-35.36076254146589
0.17,-12.329013281398575
0.18,-11.757485605372146
0.19,-12.197398134489507
0.2,-12.665340946588959
0.21,-12.88571604313537
0.22,-13.058023308698498
0.23,-13.144271990604096
0.24,-13.353844931347732
0.25,-13.220448583437133
0.26,-13.07233874603546
0.27,-13.201038766112983
0.28,-13.046111774141007
0.29,-13.071144891365439
0.3,-12.992711095834997
0.31,-12.896239434978245
0.32,-12.725933775509436
0.33,-12.540915344453422
0.34,-12.607431016209876
0.35,-12.534179485536505
0.36,-12.635769996122006
0.37,-12.460427760289758
0.38,-12.44153209427386
0.39,-12.21468779362074
0.4,-12.44708537726979
0.41,-12.217933439658902
0.42,-12.32791733923094
0.43,-12.465993141167075
0.44,-12.260237575221058
0.45,-12.11680848939098
0.46,-12.277652898625357
0.47,-11.958888508143424
0.48,-12.031662461269573
0.49,-12.112531306176118
0.5,-12.010505735091389
0.51,-12.051809195947259
0.52,-11.923251889106705
0.53,-11.809980920882143
0.54,-12.10825622813334
0.55,-11.942100119948858
0.56,-11.984132089887563
0.57,-11.935812830757893
0.58,-11.894013473680191
0.59,-12.095443604340252
0.6,-11.875269189522315
0.61,-11.906532173379878
0.62,-12.054994535377151
0.63,-11.846191578690345
0.64,-11.978866956891244
0.65,-11.898184369144762
0.66,-11.786267277845381
0.67,-11.843081886084278
0.68,-11.78009174282657
0.69,-11.674757358059244
0.7,-11.721642114392365
0.71,-11.83168919548433
0.72,-11.836865838845174
0.73,-11.772892496962235
0.74,-11.72470862444648
0.75,-11.798631535645756
0.76,-11.758511881693783
0.77,-16.312244181849444
0.78,-24.18049814818061
0.79,-31.83375948262035
0.8,-35.23733752133622
0.81,-41.84408122045819
0.82,-35.26802974280558
0.83,-37.225467861635146
0.84,-36.97863908809674
0.85,-38.645023219821894
0.86,-34.906692803452316
0.87,-39.402856369877874
0.88,-36.666097171717716
0.89,-35.80710827756498
0.9,-37.42022690983759
0.91,-38.59978410902434
0.92,-38.736214499832904
0.93,-38.333188563932055
0.94,-35.533387529506975
0.95,-37.7616815673397
0.96,-34.433191005377985
0.97,-41.00134167022599
0.98,-35.517551810192515
0.99,-36.73863111839208
1.0,-36.77512650669703
1.01,-39.20710972762797
1.02,-40.651527027019284
1.03,-35.85632024851811
1.04,-34.545631276371005
1.05,-34.226210052487346
1.06,-40.151881265277744
1.07,-36.72044076695198
1.08,-35.77445451866291
1.09,-37.9062775997192
1.1,-37.70044119869388
1.11,-36.243171136821125
1.12,-38.465463551277026
1.13,-37.32230152495152
1.14,-36.32959861247398
1.15,-26.440940637946007
1.16,-25.349533371958227
1.17,-25.21803715701488
1.18,-25.2713696081438
1.19,-26.418711861545013
1.2,-26.868622510703226
1.21,-28.496784542626223
1.22,-25.906836938393255
1.23,-26.810366828625504
1.24,-27.734553012425817
1.25,-25.980402081669336
1.26,-26.40761876982255
1.27,-28.81998432010253
1.28,-28.72537377824186
1.29,-21.739823228882752
1.3,-19.044124676386396
1.31,-16.982383813154986
1.32,-14.109728264914077
1.33,-12.965543675621362
1.34,-15.393454341399178
1.35,-16.15248733254973
1.36,-15.972244233203867
1.37,-17.061398298869406
1.38,-17.122085984270818
1.39,-7.050544978085815
1.4,-19.314224073896376
1.41,-18.05755961789083
1.42,-16.762335670796322
1.43,-17.786299126486583
1.44,-19.151639467833913
1.45,-20.645814504854766
1.46,-19.47491823350859
1.47,-18.6268992912053
1.48,-22.58258722131343
1.49,-23.87703008988748
1.5,-23.32733532360255
1.51,-23.815120421958863
1.52,-25.448237725468466
1.53,-25.02681557307819
1.54,-24.76598641991842
1.55,-26.729459753330964
1.56,-24.75681441311253
1.57,-22.9246815509915
1.58,-25.771847293419885
1.59,-26.188681163927466
1.6,-27.22660818887742
1.61,-26.85694007499716
1.62,-25.83388962604953
1.63,-28.718138551136235
1.64,-27.147782820462254
1.65,-25.917308174909262
1.66,-24.729356361885493
1.67,-24.946804103024792
1.68,-22.270653688842863
1.69,-19.405331334886235
1.7,-20.625850211886743
1.71,-19.74352315585348
1.72,-18.720186756398412
1.73,-14.615226709165931
1.74,-13.220448583437133
1.75,-13.479306512486493
1.76,-13.629491273596235
1.77,-8.742037708087215
1.78,-12.202797456872647
1.79,-13.891838910400358
1.8,-12.25697608586373
1.81,-10.560142600478333
1.82,-11.784208278277113
1.83,-15.377871470986975
1.84,-14.98222919416861
1.85,-15.220502913649185
1.86,-16.126993068171025
1.87,-18.779868051081955
1.88,-18.76375962747806
1.89,-18.32444144371843
1.9,-20.0233577419868
1.91,-21.12416540163272
1.92,-19.623398595092727
1.93,-20.214145973760598
1.94,-20.71749249569459
1.95,-22.25002211230626
1.96,-21.09404786231042
1.97,-23.504083467835724
1.98,-26.091931392896495
1.99,-26.637908026817122
2.0,-25.222872052568643
2.01,-25.0742277521436
2.02,-26.740971868519253
2.03,-27.34311675049944
2.04,-27.555587954459252
2.05,-21.550817988404386
2.06,-15.820204231252863
2.07,-15.034450623880392
2.08,-14.290535062929992
2.09,-11.95468836800449
2.1,-8.91489693815734
2.11,-9.37051521459366
2.12,-12.79157488464704
2.13,-13.866945326255948
2.14,-14.113765397051859
2.15,-15.649871307681863
2.16,-11.606918276165366
2.17,-9.765269462459637
2.18,-11.33389509582896
2.19,-13.500603144464634
2.2,-10.729875394842527
2.21,-13.94976260855448
2.22,-16.87258749552938
2.23,-19.216792994671078
2.24,-18.374858105565433
2.25,-22.25002211230626
2.26,-23.672357810469382
2.27,-21.762522972049414
2.28,-22.391991178818735
2.29,-27.20835412337495
2.3,-27.5682496034041
