seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-100
0.13,-100
0.14,-100
0.15,-100
0.16,-100
0.17,-100
0.18,-100
0.19,-100
0.2,-100
0.21,-100
0.22,-100
0.23,-100
0.24,-100
0.25,-100
0.26,-100
0.27,-100
0.28,-100
0.29,-100
0.3,-100
0.31,-100
0.32,-100
0.33,-100
0.34,-100
0.35,-100
0.36,-100
0.37,-100
0.38,-100
0.39,-100
0.4,-100
0.41,-100
0.42,-100
0.43,-100
0.44,-100
0.45,-100
0.46,-100
0.47,-100
0.48,-100
0.49,-100
0.5,-100
0.51,-100
0.52,-100
0.53,-100
0.54,-100
0.55,-100
0.56,-100
0.57,-100
0.58,-100
0.59,-100
0.6,-100
0.61,-100
0.62,-100
0.63,-100
0.64,-100
0.65,-100
0.66,-100
0.67,-100
0.68,-100
0.69,-100
0.7,-100
0.71,-100
0.72,-100
0.73,-100
0.74,-100
0.75,-100
0.76,-100
0.77,-100
0.78,-100
0.79,-100
0.8,-100
0.81,-100
0.82,-100
0.83,-100
0.84,-100
0.85,-100
0.86,-100
0.87,-100
0.88,-100
0.89,-100
0.9,-100
0.91,-100
0.92,-100
0.93,-100
0.94,-100
0.95,-100
0.96,-100
0.97,-100
0.98,-100
0.99,-100
1.0,-100
1.01,-100
1.02,-100
1.03,-100
1.04,-100
1.05,-100
1.06,-100
1.07,-100
1.08,-100
1.09,-100
1.1,-100
1.11,-100
1.12,-100
1.13,-100
1.14,-100
1.15,-100
1.16,-100
1.17,-100
1.18,-100
1.19,-100
1.2,-100
1.21,-100
1.22,-100
1.23,-100
1.24,-100
1.25,-100
1.26,-100
1.27,-100
1.28,-100
1.29,-100
1.3,-100
1.31,-100
1.32,-100
1.33,-100
1.34,-100
1.35,-100
1.36,-100
1.37,-100
1.38,-100
1.39,-100
1.4,-100
1.41,-100
1.42,-100
1.43,-100
1.44,-100
1.45,-100
1.46,-100
1.47,-100
1.48,-100
1.49,-100
1.5,-100
1.51,-100
1.52,-100
1.53,-100
1.54,-100
1.55,-100
1.56,-100
1.57,-100
1.58,-100
1.59,-100
1.6,-100
1.61,-100
1.62,-100
1.63,-100
1.64,-100
1.65,-100
1.66,-100
1.67,-100
1.68,-100
1.69,-100
1.7,-100
1.71,-100
1.72,-100
1.73,-100
1.74,-100
1.75,-100
1.76,-100
1.77,-100
1.78,-100
1.79,-100
1.8,-100
1.81,-100
1.82,-100
1.83,-100
1.84,-100
1.85,-100
1.86,-100
1.87,-100
1.88,-100
1.89,-100
1.9,-100
1.91,-100
1.92,-100
1.93,-100
1.94,-100
1.95,-100
1.96,-100
1.97,-100
1.98,-100
1.99,-100
2.0,-100
2.01,-100
2.02,-100
2.03,-100
2.04,-100
2.05,-100
2.06,-100
2.07,-100
2.08,-100
2.09,-100
2.1,-100
2.11,-100
2.12,-100
2.13,-100
2.14,-100
2.15,-100
2.16,-100
2.17,-100
2.18,-100
2.19,-100
2.2,-100
2.21,-100
2.22,-100
2.23,-100
2.24,-100
2.25,-100
2.26,-100
2.27,-100
2.28,-100
2.29,-100
2.3,-100
2.31,-100
2.32,-100
2.33,-100
2.34,-100
2.35,-100
2.36,-100
2.37,-100
2.38,-100
2.39,-100
2.4,-100
2.41,-100
2.42,-100
2.43,-100
2.44,-100
2.45,-100
2.46,-100
2.47,-100
2.48,-100
2.49,-100
2.5,-100
2.51,-100
2.52,-100
2.53,-100
2.54,-100
2.55,-100
2.56,-100
2.57,-100
2.58,-100
2.59,-100
2.6,-100
2.61,-100
2.62,-100
2.63,-100
2.64,-100
2.65,-100
2.66,-100
2.67,-100
2.68,-100
2.69,-100
2.7,-100
2.71,-100
2.72,-100
2.73,-100
2.74,-100
2.75,-100
2.76,-100
2.77,-100
2.78,-100
2.79,-100
2.8,-100
2.81,-25.256791887846894
2.82,-17.281499820933494
2.83,-18.166334611363023
2.84,-18.454363371315115
2.85,-17.776033329714153
2.86,-16.28800608461156
2.87,-15.844812491092128
2.88,-18.16848113049864
2.89,-17.724885557148284
2.9,-17.89378889931024
2.91,-14.538560954744899
2.92,-15.905812631075218
2.93,-16.693226469060708
2.94,-16.833839968202824
2.95,-16.000632247293233
2.96,-19.499906425766117
2.97,-16.508623083420453
2.98,-15.183885724109686
2.99,-20.362111078842755
3.0,-18.147039772688764
3.01,-15.371646142185769
3.02,-22.86180704870788
3.03,-16.775126506697024
3.04,-15.47493902003956
3.05,-18.83300705487954
3.06,-18.394666300325866
3.07,-16.587003259276038
3.08,-22.497361128185652
3.09,-21.43435387116242
3.1,-15.393454341399178
3.11,-19.517441032288176
3.12,-17.692308342633346
3.13,-16.5192697319094
3.14,-18.465463551277022
3.15,-18.98968235026102
3.16,-16.931965737543983
3.17,-15.199124130891974
3.18,-16.05432151779532
3.19,-18.22880005094975
3.2,-17.641649796854217
3.21,-18.872493718377775
3.22,-16.28800608461156
3.23,-18.487706558664375
3.24,-17.62348480667548
3.25,-17.513294439457955
3.26,-17.467626152364275
3.27,-18.61107181644536
3.28,-17.375044073207665
3.29,-19.216792994671078
3.3,-17.14877076605211
3.31,-14.24532092848752
3.32,-18.828373344639978
3.33,-15.997287661330432
3.34,-15.260346513964876
3.35,-17.477533635630852
3.36,-16.225988362398375
3.37,-17.551202367578547
3.38,-18.10857820591145
3.39,-16.705915864506895
3.4,-17.819231448925375
3.41,-18.030049163587364
3.42,-17.870939481369746
3.43,-16.088046621853678
3.44,-17.12589308038176
3.45,-15.331289899004021
3.46,-16.727712336768104
3.47,-19.292206597878657
3.48,-18.510006672680205
3.49,-18.40789690400828
3.5,-18.789086295129003
3.51,-17.291197142068107
3.52,-17.69027631791053
3.53,-16.64445457836566
3.54,-19.64372836362006
3.55,-17.551202367578547
3.56,-22.511507531374647
3.57,-20.637252759816477
3.58,-16.121903182506436
3.59,-16.740452250517016
