seconds_elapsed,dBFS
0.0,-40.4537909186576
0.01,-36.59416392714908
0.02,-44.463877272064835
0.03,-39.231338166316874
0.04,-41.58574575837924
0.05,-39.42763781218884
0.06,-40.79557493270576
0.07,-38.8748220630206
0.08,-32.590471903165735
0.09,-42.56120217241977
0.1,-36.922661087872115
0.11,-34.70265245639133
0.12,-42.14419939295736
0.13,-38.944964217854455
0.14,-35.85632024851811
0.15,-45.54807663661845
0.16,-43.50011640239199
0.17,-42.9246815509915
0.18,-42.38501175727962
0.19,-40.07133147961686
0.2,-32.6813055637829
0.21,-33.64605646093865
0.22,-33.06637111293361
0.23,-34.280924498847256
0.24,-40.53798436918547
0.25,-44.15907794093009
0.26,-41.36583807234997
0.27,-36.72044076695198
0.28,-42.63269137958573
0.29,-44.03165429181129
0.3,-41.71395309914619
0.31,-39.06314141006486
0.32,-44.28839878591474
0.33,-33.65882044506963
0.34,-39.15885466108119
0.35,-43.421153225492134
0.36,-43.46054508275023
0.37,-43.421153225492134
0.38,-47.51141697116962
0.39,-45.34953337195822
0.4,-39.378145429631736
0.41,-39.80810255845745
0.42,-41.3969146337224
0.43,-37.559204108944144
0.44,-44.87216656846438
0.45,-43.539868827102254
0.46,-41.522344822589105
0.47,-39.6539111193444
0.48,-42.52567701190371
0.49,-43.66022950088225
0.5,-43.700723232210535
0.51,-44.91873981483603
0.52,-39.13482728853104
0.53,-39.552616797728874
0.54,-43.15030175918528
0.55,-42.99923900137636
0.56,-44.41967417596249
0.57,-45.05997690458577
0.58,-38.898139901556405
0.59,-43.342901438231145
0.6,-44.87216656846438
0.61,-44.55296410058984
0.62,-42.246588275678
0.63,-41.876920161797734
0.64,-40.651527027019284
0.65,-41.61762061851039
0.66,-38.92152050689344
0.67,-34.433191005377985
0.68,-41.091041844063405
0.69,-39.9387199016366
0.7,-41.876920161797734
0.71,-41.71395309914619
0.72,-41.97618855242873
0.73,-41.2426318982536
0.74,-36.9973788788353
0.75,-42.455059634001046
0.76,-44.463877272064835
0.77,-37.16788164205228
0.78,-44.508306471944
0.79,-43.66022950088225
0.8,-39.78221315139747
0.81,-41.30401653280713
0.82,-34.077498581782486
0.83,-29.347935236882176
0.84,-26.16169794981292
0.85,-26.043957655266425
0.86,-26.729459753330964
0.87,-26.564226302564784
0.88,-24.432911500807624
0.89,-24.715659818225248
0.9,-19.415238253140807
0.91,-19.66410582666271
0.92,-23.142685897550443
0.93,-26.25378495133036
0.94,-21.95292424639674
0.95,-22.14419939295737
0.96,-24.989071289292774
0.97,-23.98120367773045
0.98,-26.352364832616296
0.99,-26.655000632473506
1.0,-26.297460164097394
1.01,-28.3222931454752
1.02,-26.129428353669283
1.03,-26.56987198988611
1.04,-31.272537992876117
1.05,-32.225511333511086
1.06,-32.88922242398285
1.07,-32.56791113817521
1.08,-31.979919728195853
1.09,-31.558640858847422
1.1,-26.479978409896447
1.11,-25.684705739942334
1.12,-25.339724348173718
1.13,-22.8250335406127
1.14,-21.736585245755577
1.15,-21.365838072349973
1.16,-20.495785632071623
1.17,-21.534988041179627
1.18,-21.456268183549724
1.19,-19.008580132288483
1.2,-15.635425585652598
1.21,-20.58889497194951
1.22,-19.86011402906796
1.23,-24.28405692647013
1.24,-23.440826823117206
1.25,-24.557442517620245
1.26,-26.14017157042301
1.27,-22.913552927255097
1.28,-24.503853311303992
1.29,-23.006730066642813
1.3,-26.649299359122725
1.31,-27.34311675049944
1.32,-26.672126940298906
1.33,-28.18518075392605
1.34,-29.012354304422878
1.35,-29.811079497044656
1.36,-30.213975587374332
1.37,-33.697225325491466
1.38,-32.865873244228496
1.39,-34.717068874037864
1.4,-37.47951648911237
1.41,-33.99744373270901
1.42,-37.225467861635146
1.43,-38.01105437853166
1.44,-37.96899187677637
1.45,-38.117110514689955
1.46,-39.25563437695049
1.47,-40.79557493270576
1.48,-36.140580696500095
1.49,-33.710064780361634
1.5,-31.771864520200506
1.51,-36.39936516939041
1.52,-39.603116298338946
1.53,-30.54674189382732
1.54,-35.438803404625766
1.55,-32.345469029240824
1.56,-33.11422737525142
1.57,-36.540602259140144
1.58,-32.44486363799739
1.59,-35.88928381611958
1.6,-31.05214507516951
1.61,-34.89195846635147
1.62,-38.13847802765047
1.63,-29.672753272586945
1.64,-25.20354859712824
1.65,-22.795726419976646
1.66,-24.93276062439875
1.67,-27.498837838430763
1.68,-26.897897528770187
1.69,-26.798762431925404
1.7,-23.429017318051134
1.71,-22.497361128185652
1.72,-22.84707895761982
1.73,-24.262380125506372
1.74,-19.687087761793798
1.75,-21.509719980776257
1.76,-26.980396422328702
1.77,-24.620384022303966
1.78,-28.732615037217386
1.79,-29.640523589455363
1.8,-31.321198566296097
1.81,-30.11148602495115
1.82,-31.57872384961649
1.83,-34.09091308582035
1.84,-32.33449506740448
1.85,-35.517551810192515
1.86,-36.39936516939041
1.87,-37.11067469779735
1.88,-35.22203198497398
1.89,-34.53149638368602
1.9,-32.47824954574307
1.91,-32.590471903165735
1.92,-30.466768943455364
1.93,-28.54627692518333
1.94,-26.22659904607586
1.95,-26.21032825211146
1.96,-26.479978409896447
1.97,-26.833622236461355
1.98,-25.948797839507087
1.99,-26.874469626129734
2.0,-25.730730579300594
2.01,-26.775600045831368
2.02,-26.781384854328948
2.03,-29.68891307192362
2.04,-28.841964651456337
2.05,-28.103940352126294
2.06,-30.939339728115655
2.07,-31.449006831873547
2.08,-31.272537992876117
2.09,-37.24474842368748
2.1,-35.88928381611958
2.11,-35.25267007542893
2.12,-37.2640718791279
2.13,-36.885541844892686
2.14,-38.805241800641134
2.15,-36.55841947490166
2.16,-34.503295418529525
2.17,-29.82749895304583
2.18,-35.13076085123488
2.19,-33.0069192063718
2.2,-32.959648942013324
2.21,-29.885212717795593
2.22,-33.15029340480577
2.23,-32.01156234839335
2.24,-31.896098671058603
2.25,-35.741923058769785
2.26,-34.363647882580025
2.27,-34.13128135199811
2.28,-37.96899187677637
2.29,-37.68012331893091
2.3,-37.80274967996088
2.31,-37.559204108944144
2.32,-36.140580696500095
2.33,-37.034980191401395
2.34,-35.31427238781313
2.35,-40.4259068188255
2.36,-39.88623702511363
2.37,-35.72570290533895
2.38,-31.875269189522314
2.39,-29.819285345211014
2.4,-30.62745802113774
2.41,-31.224148510407858
2.42,-31.53860419566452
2.43,-39.99152182496077
2.44,-40.37040573773005
2.45,-41.33487230109275
2.46,-38.03216226167297
2.47,-40.76657360480111
2.48,-45.59842976104338
2.49,-43.3040383325111
2.5,-43.90607297697328
2.51,-46.90376439129521
2.52,-39.78221315139747
2.53,-38.074532539047524
2.54,-41.2426318982536
2.55,-42.38501175727962
2.56,-40.53798436918547
2.57,-40.56623118965063
2.58,-39.47741382026274
2.59,-41.36583807234997
2.6,-42.96188027867397
2.61,-44.073921478079264
2.62,-40.39811194826538
2.63,-39.01567741415257
2.64,-36.64805793441736
2.65,-33.456813906983115
2.66,-31.885677686439582
2.67,-34.308411514311665
2.68,-35.741923058769785
2.69,-35.629012968426615
2.7,-37.927132086659505
2.71,-39.086971026213234
2.72,-39.378145429631736
2.73,-41.9098837293992
2.74,-41.61762061851039
2.75,-43.1122890523966
2.76,-41.459403317905384
2.77,-45.39874534291136
2.78,-43.22682991624633
2.79,-46.28105621278533
2.8,-42.07660457992975
2.81,-42.704773864962235
2.82,-41.21210149902416
2.83,-44.37569489396373
2.84,-44.37569489396373
2.85,-47.263231811533224
