seconds_elapsed,dBFS
0.0,-12.183375583751296
0.01,-12.054994535377151
0.02,-11.777005621053808
0.03,-11.47578913142651
0.04,-12.206038662074036
0.05,-13.731935505661557
0.06,-12.461540551225632
0.07,-11.439108381072305
0.08,-11.301701611671895
0.09,-11.290024411206351
0.1,-10.801281719405011
0.11,-11.54861674967015
0.12,-11.65445135316377
0.13,-11.79347762245943
0.14,-12.482710711551494
0.15,-12.59386107780901
0.16,-12.583697518599227
0.17,-12.900920593613815
0.18,-13.021150596182585
0.19,-12.924364304574834
0.2,-13.046111774141007
0.21,-12.452642213002832
0.22,-13.363716663779066
0.23,-13.211951450837677
0.24,-12.95847047519949
0.25,-12.534179485536505
0.26,-13.067564311594474
0.27,-12.92084371155032
0.28,-13.162348770568988
0.29,-12.403863636296466
0.3,-12.882211077197137
0.31,-12.95847047519949
0.32,-13.022337598526496
0.33,-13.244772009128019
0.34,-13.12142861068234
0.35,-13.313242214440649
0.36,-13.304653863226568
0.37,-13.193771252395404
0.38,-12.685872277683083
0.39,-12.655093451562415
0.4,-12.800827497653085
0.41,-12.553278002426927
0.42,-12.668759466661186
0.43,-12.990345335330638
0.44,-13.12383034984822
0.45,-12.945517882001592
0.46,-13.109429866353944
0.47,-13.428157858374028
0.48,-12.962006355418508
0.49,-12.6119590442744
0.5,-13.73966775214079
0.51,-13.588849516683727
0.52,-14.465368776200782
0.53,-13.864329094417476
0.54,-13.73966775214079
0.55,-13.339058337387026
0.56,-13.004549573390777
0.57,-13.51315501028777
0.58,-13.712634950416806
0.59,-14.002757828707175
0.6,-14.117804406489004
0.61,-13.616770284740614
0.62,-13.117827246673288
0.63,-13.350145922289885
0.64,-13.8199732984621
0.65,-13.429401809631155
0.66,-13.414486139729838
0.67,-13.496841119008554
0.68,-13.390921921218709
0.69,-13.985498890618324
0.7,-13.343984405653508
0.71,-13.12503146851681
0.72,-13.403316172234527
0.73,-13.728071962130704
0.74,-13.721636539417952
0.75,-13.8695623463535
0.76,-14.017388378987988
0.77,-14.426211583838878
0.78,-14.58817449434327
0.79,-14.052067959852932
0.8,-13.325526037217823
0.81,-13.65626614726029
0.82,-13.844732433541008
0.83,-13.414486139729838
0.84,-13.291175016475878
0.85,-13.669045154476432
0.86,-13.004549573390777
0.87,-13.43686926070414
0.88,-13.323067882499826
0.89,-13.303427648833615
0.9,-12.940812632895158
0.91,-13.216805937278453
0.92,-13.356311812829256
0.93,-13.091462771128402
0.94,-13.633311206064779
0.95,-13.96827417819378
0.96,-13.249644878617989
0.97,-13.752570145538314
0.98,-13.743536458152963
0.99,-13.865637111834008
1.0,-13.632037708571396
1.01,-13.267942525237347
1.02,-13.73451215641853
1.03,-13.015218016457338
1.04,-12.52632757985988
1.05,-12.884547564000215
1.06,-13.440605395095993
1.07,-13.116627123750746
1.08,-22.40946430810307
1.09,-41.522344822589105
1.1,-16.653465772905676
1.11,-12.977345157923379
1.12,-12.727081109192904
1.13,-13.275272390345807
1.14,-13.612957618220374
1.15,-14.22484659755353
1.16,-13.895776006322446
1.17,-13.260618840454331
1.18,-13.33659635051168
1.19,-13.191350098473645
1.2,-12.876372608443285
1.21,-13.081895495329157
1.22,-13.000996335608326
1.23,-12.922017084012495
1.24,-13.686967409167167
1.25,-13.037783408669505
1.26,-13.12383034984822
1.27,-14.012065327105091
1.28,-12.960827568738534
1.29,-13.004549573390777
1.3,-13.473052721707251
1.31,-13.500603144464634
1.32,-13.363716663779066
1.33,-12.527448846193078
1.34,-13.5068768100592
1.35,-13.566071821013159
1.36,-12.684730374093974
1.37,-13.103436704149658
1.38,-13.144271990604096
1.39,-12.996260945201783
1.4,-12.53305735006074
1.41,-12.951403030026764
1.42,-13.024712089967764
1.43,-12.677882103328123
1.44,-13.053256734487471
1.45,-13.249644878617989
1.46,-12.517362656201882
1.47,-12.721345955707505
1.48,-13.016404208284113
1.49,-13.210738253037245
1.5,-12.86937162232697
1.51,-12.157547123223338
1.52,-12.998628317698877
1.53,-14.04271752027766
1.54,-13.078310482013599
1.55,-13.237467826801526
1.56,-12.71103221259416
1.57,-12.963185302096674
1.58,-12.805457502900278
1.59,-13.593919348806692
1.6,-14.334604995494232
1.61,-13.859098993619341
1.62,-13.525725040901355
1.63,-13.034216552290015
1.64,-13.368656740487273
1.65,-14.197622348223241
1.66,-14.345657504875573
1.67,-13.463056012633052
1.68,-14.058753013394705
1.69,-13.612957618220374
1.7,-14.113765397051859
1.71,-13.341521022302324
1.72,-14.002757828707175
1.73,-13.883970068275534
1.74,-14.31529688101235
1.75,-13.576187867738877
1.76,-14.037378927830517
1.77,-13.67672159301238
1.78,-13.915488299308503
1.79,-13.568599728376189
1.8,-14.161004444004652
1.81,-13.598992141847981
1.82,-13.548397039487954
1.83,-13.891838910400358
1.84,-13.724210136366576
1.85,-14.001428999875996
1.86,-14.09225567638459
1.87,-13.314469815267802
1.88,-13.990805681458864
1.89,-14.05607837453198
1.9,-14.215308401055548
1.91,-14.289161473990928
1.92,-13.96033581696667
1.93,-14.077498581782491
1.94,-15.080967549221736
1.95,-14.466770517450989
1.96,-14.783694333832166
1.97,-14.117804406489004
1.98,-14.709857674256238
1.99,-14.01073507369288
2.0,-15.028466545353611
2.01,-13.72292324257386
2.02,-13.675441715365025
2.03,-14.242588227619276
2.04,-14.163711593672215
2.05,-14.27818057538799
2.06,-14.387230125580988
2.07,-14.179972234249114
2.08,-14.14207798438646
2.09,-14.440176039641086
2.1,-15.047929893202062
2.11,-14.809904917591584
2.12,-14.890486406414373
2.13,-14.177260012638298
2.14,-14.585331787841687
2.15,-14.23030170191752
2.16,-14.348422831112895
2.17,-14.58817449434327
2.18,-14.562623566703405
2.19,-14.87577951221661
2.2,-13.81476982989967
2.21,-14.371963718196616
2.22,-15.094519256355323
2.23,-13.670324089859449
2.24,-14.578229089238308
2.25,-14.052067959852932
2.26,-14.74307887741768
2.27,-14.324945573183854
2.28,-14.406698986587092
2.29,-14.27680893864798
2.3,-14.290535062929992
2.31,-14.415056161354386
2.32,-14.871372295392382
2.33,-14.485013769216852
2.34,-13.768078359099674
2.35,-13.895776006322446
2.36,-14.338748038567326
2.37,-13.697225325491472
2.38,-13.615499209939479
2.39,-14.289161473990928
2.4,-13.920752475007856
2.41,-13.688248986393848
2.42,-13.779727717338332
2.43,-14.431794672340965
2.44,-13.448082488502973
2.45,-13.456813906983115
2.46,-14.163711593672215
2.47,-14.061428476110471
2.48,-13.471802503693137
2.49,-13.480557811147172
2.5,-14.016057310157235
2.51,-13.97357045252743
2.52,-14.60525029860712
2.53,-13.51943775171039
2.54,-14.081520758116493
2.55,-13.786206340476062
2.56,-13.535794179415529
2.57,-13.578718721380929
2.58,-14.014726445274823
2.59,-12.843749510419823
2.6,-13.695942423245867
2.61,-13.761613238117851
2.62,-13.953726053587003
2.63,-14.871372295392382
2.64,-13.468052929001598
2.65,-13.665209477824094
2.66,-13.834298931219733
2.67,-14.897849202174456
2.68,-14.675327009047344
2.69,-14.880188966396119
2.7,-15.3685351501618
2.71,-14.84497585206747
2.72,-14.78805727555876
2.73,-15.409065218423157
2.74,-15.738676603999021
2.75,-16.333073663385733
2.76,-17.567213228587747
2.77,-17.495395633641053
2.78,-17.794520508679238
2.79,-16.630056084164114
2.8,-15.6546918921945
2.81,-16.64986017317019
2.82,-17.398588401076875
2.83,-17.954317991914
2.84,-17.619453295979724
2.85,-16.67151625662142
2.86,-17.455752070353647
2.87,-16.3365501051524
2.88,-16.578060717934232
2.89,-16.348728620410725
2.9,-17.103075493779766
2.91,-16.764161780261276
2.92,-17.22161687968864
2.93,-15.6885111028806
2.94,-17.38288509349918
2.95,-17.183200675367164
2.96,-16.28973513600337
2.97,-15.01203155532614
2.98,-16.28973513600337
2.99,-17.33789558594094
3.0,-16.020726853451933
3.01,-16.40462032109134
3.02,-15.509644764004172
3.03,-15.905812631075218
3.04,-15.853030761776253
3.05,-16.969284332601145
3.06,-16.501532560873176
3.07,-16.062740525567047
3.08,-16.450298648571604
3.09,-16.476761214906027
3.1,-16.574486277703514
3.11,-16.722258088778478
3.12,-17.169795044337373
3.13,-15.779344763497765
3.14,-15.4356682702701
3.15,-15.231212069997685
3.16,-15.065934853122464
3.17,-16.279365986775815
3.18,-17.029329607029023
3.19,-16.38711549928989
3.2,-15.83660198888509
3.21,-16.62646018693285
3.22,-17.37700366478689
3.23,-16.786105092070233
3.24,-16.039187837315506
3.25,-16.874436934403196
3.26,-17.2660065911613
