seconds_elapsed,dBFS
0.0,-16.939416640542643
0.01,-14.894903334878771
0.02,-15.047929893202062
0.03,-15.909122171842277
0.04,-15.479663463799259
0.05,-14.837657720673183
0.06,-15.534972690500162
0.07,-14.376124623492029
0.08,-15.3685351501618
0.09,-15.312726993335602
0.1,-15.52229949527277
0.11,-15.471790817889087
0.12,-14.462565972162889
0.13,-14.121845294972243
0.14,-14.433191005377983
0.15,-15.180841248215195
0.16,-15.536558140835506
0.17,-15.52863378152474
0.18,-15.785869375739258
0.19,-15.756547139811609
0.2,-16.894806794718416
0.21,-17.41825754362621
0.22,-18.48993399543464
0.23,-17.979488421423046
0.24,-17.889629986308563
0.25,-17.545205895377617
0.26,-18.64956011709824
0.27,-19.73580579449456
0.28,-19.49240241697276
0.29,-18.259117323048738
0.3,-19.082199870016332
0.31,-18.36387304069152
0.32,-17.906277599719207
0.33,-17.051954033898433
0.34,-18.11284331262031
0.35,-16.837522770733326
0.36,-18.642755659532803
0.37,-16.524597953917645
0.38,-14.356724096132842
0.39,-13.621856444826255
0.4,-15.498586978121063
0.41,-15.001589093361387
0.42,-13.034216552290015
0.43,-14.155592674584685
0.44,-15.260346513964876
0.45,-14.37057719259098
0.46,-13.40579714615544
0.47,-13.812169264120344
0.48,-14.514564819575922
0.49,-13.009289485998476
0.5,-13.81476982989967
0.51,-13.574922717399732
0.52,-13.816070404827318
0.53,-11.612971864263624
0.54,-16.46793139851274
0.55,-16.639052345598127
0.56,-14.542802457053357
0.57,-15.988931826498373
0.58,-15.009046713496746
0.59,-15.241934446364438
0.6,-17.160232245135106
0.61,-13.720350026842386
0.62,-12.878707525026718
0.63,-18.059679420131513
0.64,-17.122085984270818
0.65,-21.563502750991887
0.66,-21.424978921911165
0.67,-24.253724529734725
0.68,-23.021731606879744
0.69,-24.6837849580941
0.7,-22.346724864584306
0.71,-23.607868310412528
0.72,-22.181601989809007
0.73,-24.4284968172879
0.74,-23.444766895599404
0.75,-25.885932260100255
0.76,-24.258051249444645
0.77,-26.752499261900724
0.78,-23.188481555331904
0.79,-17.097380450648366
0.8,-14.161004444004652
0.81,-15.960581964746858
0.82,-19.996819714504753
0.83,-19.299539557063092
0.84,-19.415238253140807
0.85,-21.082030026234698
0.86,-15.566736813075133
0.87,-16.87998761494446
0.88,-16.301848142741157
0.89,-15.64023815737313
0.9,-16.87258749552938
0.91,-20.52108026465177
0.92,-18.722474624089255
0.93,-17.603345939230117
0.94,-16.443255559081248
0.95,-20.35106384092995
0.96,-17.308679649757586
0.97,-18.697341162907016
0.98,-20.41755901459039
0.99,-16.326124951304685
1.0,-15.043434478814785
1.01,-15.587445959115442
1.02,-15.900850683132186
1.03,-15.514388127900007
1.04,-17.39269633326152
1.05,-17.682152969515702
1.06,-16.28800608461156
1.07,-18.33975468971135
1.08,-16.920801353438705
1.09,-18.613331119264203
1.1,-13.628218336005025
1.11,-12.465993141167075
1.12,-14.409483818171724
1.13,-18.478802519301272
1.14,-18.615591009907384
1.15,-19.54255203456556
1.16,-19.048874957958482
1.17,-16.83568117428032
1.18,-16.448537340720474
1.19,-16.350469803064257
1.2,-19.373211666569198
1.21,-22.444516371968408
1.22,-17.837810899085618
1.23,-19.06076204019981
1.24,-16.775126506697024
1.25,-19.238619896214963
1.26,-20.492979658977255
1.27,-20.036657223436862
1.28,-16.982383813154986
1.29,-21.218198999897982
1.3,-19.49740436910527
1.31,-19.532498920436282
1.32,-19.47491823350859
1.33,-24.895421976300227
1.34,-19.36088950584456
1.35,-19.580355182754086
1.36,-16.97115447786363
1.37,-19.831469186431733
1.38,-17.908360796668408
1.39,-21.18471559203458
1.4,-22.891338363642237
1.41,-17.394659911802282
1.42,-16.494447821787016
1.43,-15.846455523280527
1.44,-13.769371960954484
1.45,-14.335985790288978
1.46,-18.98968235026102
1.47,-13.42069788971787
1.48,-18.543564562347775
1.49,-24.36692569620923
1.5,-20.86264777285752
1.51,-20.414778195089106
1.52,-18.926204189745167
1.53,-18.72934184513855
1.54,-17.029329607029023
1.55,-20.766573604801106
1.56,-16.551288202220245
1.57,-16.80076482489709
1.58,-14.263104471245082
1.59,-16.720440766951977
1.6,-17.835744552070267
1.61,-19.75124738014026
1.62,-14.753214950497007
1.63,-23.688555278357782
1.64,-18.72934184513855
1.65,-23.5319037741479
1.66,-17.70247560311542
1.67,-16.913366395023626
1.68,-13.368656740487273
1.69,-18.061799739838868
1.7,-19.008580132288483
1.71,-23.69666535330559
1.72,-16.682364579811043
1.73,-21.8637696829223
1.74,-25.730730579300594
1.75,-18.76835898667373
1.76,-17.810986655104553
1.77,-12.168299649526018
1.78,-14.808446697217462
1.79,-14.629498630940937
1.8,-14.798246003575217
1.81,-16.740452250517016
1.82,-17.2660065911613
1.83,-12.849566084425488
1.84,-14.883129846613164
1.85,-15.530218075124766
1.86,-16.42918648997882
1.87,-17.289256811525455
1.88,-25.927792050217132
1.89,-26.199497964376537
1.9,-25.87028670263425
1.91,-21.1786415430891
1.92,-26.291988737372805
1.93,-22.395482993795635
1.94,-23.910229899588185
1.95,-21.717182654728326
1.96,-13.984172699358696
1.97,-20.111512999099972
1.98,-18.891137974826513
1.99,-17.61340953627532
2.0,-24.798164931168166
2.01,-16.581636629733634
2.02,-18.49439058334055
2.03,-25.329926389280203
2.04,-19.279998739736854
2.05,-18.56600873410748
