seconds_elapsed,dBFS
0.0,-23.32733532360255
0.01,-23.234519947415375
0.02,-22.10357941415067
0.03,-20.989451333477902
0.04,-21.181678036613498
0.05,-19.991521824960774
0.06,-17.979488421423046
0.07,-17.183200675367164
0.08,-16.505077098624085
0.09,-17.531230205092847
0.1,-17.531230205092847
0.11,-16.34524730187191
0.12,-15.086987920031511
0.13,-15.953924834980045
0.14,-16.121903182506436
0.15,-15.371646142185769
0.16,-15.771195884357924
0.17,-15.538143880618653
0.18,-15.50174490930948
0.19,-17.674037211262966
0.2,-17.165968661175025
0.21,-16.709544813645987
0.22,-16.782444021567954
0.23,-16.997378878835296
0.24,-18.333188563932055
0.25,-17.870939481369746
0.26,-20.168081250647845
0.27,-20.07935292667433
0.28,-20.010078593034272
0.29,-19.392963556008837
0.3,-18.042735470085162
0.31,-19.08935758746965
0.32,-19.039376991306145
0.33,-18.62237421184374
0.34,-18.679107853376372
0.35,-18.665457945426184
0.36,-19.58540805644985
0.37,-18.44106185319022
0.38,-16.997378878835296
0.39,-17.52325418098962
0.4,-17.672009455997994
0.41,-16.642653460756705
0.42,-16.651662785947867
0.43,-15.812016946606644
0.44,-15.839885258490643
0.45,-17.231247537774806
0.46,-16.09480738470761
0.47,-15.133787820994764
0.48,-14.544216751550996
0.49,-13.890526941568009
0.5,-13.224092757871986
0.51,-15.193025559717746
0.52,-15.942287121024224
0.53,-16.764161780261276
0.54,-17.599323762896113
0.55,-18.483253398024374
0.56,-16.081291117225323
0.57,-17.256337337532155
0.58,-17.571220559518373
0.59,-20.116884606963236
0.6,-19.23133816631687
0.61,-19.427637812188845
0.62,-19.792559656061105
0.63,-20.38424779585965
0.64,-19.567735843562016
0.65,-22.675869047478617
0.66,-21.550817988404386
0.67,-20.62300191225864
0.68,-21.697823308739203
0.69,-23.362398392855347
0.7,-21.694600941928712
0.71,-21.936344952113046
0.72,-22.0195597066083
0.73,-23.440826823117206
0.74,-23.58380765891049
0.75,-21.569852085805366
0.76,-22.593299522327644
0.77,-23.09334490172876
0.78,-23.87703008988748
0.79,-24.629413014424756
0.8,-27.689464867082016
0.81,-27.081638654494856
0.82,-26.524808907548234
0.83,-25.208375432283326
0.84,-26.270137431161352
0.85,-25.74612654723952
0.86,-26.626531614400935
0.87,-27.511416971169623
0.88,-24.989071289292774
0.89,-24.463877272064835
0.9,-25.012642239003625
0.91,-24.4284968172879
0.92,-26.19408788034111
0.93,-25.573216711008495
0.94,-23.607868310412528
0.95,-25.493023276847737
0.96,-25.880713942347583
0.97,-24.159077940930096
0.98,-24.517219648342422
0.99,-26.660705650503278
1.0,-25.89115371480397
1.01,-26.700746042427884
1.02,-26.129428353669283
1.03,-26.706481195913277
1.04,-25.533027444916016
1.05,-27.063686413233924
1.06,-23.868749927546347
1.07,-23.943557094961818
1.08,-16.43445972072142
1.09,-13.034216552290015
1.1,-11.955738212646859
1.11,-10.850138537082994
1.12,-9.046085957061594
1.13,-7.303696959620282
1.14,-7.499466362591688
1.15,-9.040079636733696
1.16,-10.214834768307632
1.17,-13.329214574171012
1.18,-12.883379242034895
1.19,-12.028485665267784
1.2,-11.367189414801919
1.21,-12.656231465273585
1.22,-13.138254747801577
1.23,-13.271606684599032
1.24,-13.428157858374028
1.25,-12.795043459590199
1.26,-13.402075950966188
1.27,-13.593919348806692
1.28,-15.171714217983379
1.29,-13.407037898909222
1.3,-13.67800165927924
1.31,-13.535794179415529
1.32,-13.542093323674539
1.33,-12.810089977483718
1.34,-12.6790231068947
1.35,-12.650542887142384
1.36,-12.440421863603458
1.37,-12.397233185869098
1.38,-12.705307642665689
1.39,-13.033027925584353
1.4,-12.573545838105595
1.41,-11.335850056367951
1.42,-13.01403198660118
1.43,-12.983251917510458
1.44,-12.635769996122006
1.45,-12.652817871345558
1.46,-12.693869808990147
1.47,-12.661923771420078
1.48,-13.623128450340438
1.49,-13.2899507033245
1.5,-13.030651160037149
1.51,-13.651159803998548
1.52,-12.789263270624598
1.53,-13.036594293788044
1.54,-12.494990745216853
1.55,-13.520694845516486
1.56,-13.104635005819226
1.57,-13.904969509481553
1.58,-14.135328516614972
1.59,-13.12383034984822
1.6,-13.444343137234169
1.61,-13.663931295254198
1.62,-12.553278002426927
1.63,-13.33659635051168
1.64,-13.030651160037149
1.65,-13.439359838395204
1.66,-13.788799143372348
1.67,-13.196193081391453
1.68,-13.793987072233802
1.69,-12.967902689660324
1.7,-12.46710664538475
1.71,-12.33559183988376
1.72,-12.52857025728986
1.73,-12.300563630039607
1.74,-11.449006831873547
1.75,-11.579729219099422
1.76,-11.92116016371717
1.77,-12.210362151281304
1.78,-10.88905138774465
1.79,-11.570685080289278
1.8,-10.559248576532498
1.81,-10.75361233736287
1.82,-12.916151806162464
1.83,-14.14748133736822
1.84,-14.98222919416861
1.85,-16.184887861554948
1.86,-20.11957165714339
1.87,-21.22735328457256
1.88,-18.35509498068411
1.89,-17.66795536507816
1.9,-12.194160151362327
1.91,-7.917942745852013
1.92,-7.704253741489772
1.93,-9.798785242142745
1.94,-8.094511611576255
1.95,-11.389784627642987
1.96,-13.666487848514173
1.97,-15.203700870949422
1.98,-13.266721482199127
1.99,-11.458916575832742
2.0,-17.50135780500299
2.01,-13.65626614726029
2.02,-15.997287661330432
2.03,-18.059679420131513
2.04,-17.93548792149156
2.05,-17.250540947835518
2.06,-15.484390478684942
2.07,-13.778432572381327
2.08,-16.45911054913267
2.09,-14.37057719259098
2.1,-14.360877705666717
2.11,-17.759633250000167
2.12,-21.62720593083654
2.13,-19.499906425766117
2.14,-18.663185044814476
2.15,-19.689645067756054
2.16,-18.642755659532803
2.17,-18.76375962747806
