seconds_elapsed,dBFS
0.0,-17.86057321968095
0.01,-23.078219273808777
0.02,-22.16798240310935
0.03,-20.998367559723363
0.04,-23.745485470427905
0.05,-28.137698224537665
0.06,-25.369184714363364
0.07,-25.03627732743219
0.08,-26.950842499164757
0.09,-24.3625444150883
0.1,-26.129428353669283
0.11,-30.54674189382732
0.12,-30.63647295670367
0.13,-29.301403573965196
0.14,-28.178381622746727
0.15,-31.214502879613097
0.16,-24.94212042017306
0.17,-25.088502019346407
0.18,-27.06966637191286
0.19,-29.441753138771766
0.2,-26.88032068033419
0.21,-27.85812821781927
0.22,-27.90410278826705
0.23,-26.55294592482597
0.24,-23.362398392855347
0.25,-26.76981908745619
0.26,-22.03294836380733
0.27,-24.459446825838675
0.28,-23.397603578066516
0.29,-22.832375797717752
0.3,-15.915745038833421
0.31,-9.042331520159367
0.32,-11.400611847133092
0.33,-11.500661405561054
0.34,-11.44009771869375
0.35,-12.142515913670774
0.36,-14.785148404252919
0.37,-20.760784941049323
0.38,-32.738562789170224
0.39,-31.659523405651292
0.4,-30.609456170884485
0.41,-30.413859807441792
0.42,-29.934988725869488
0.43,-25.017364114432805
0.44,-23.017978792114917
0.45,-20.230462615324146
0.46,-23.346797329589602
0.47,-16.889246638993672
0.48,-23.42115322549214
0.49,-20.569060930557907
0.5,-18.79369908845997
0.51,-15.92568881741009
0.52,-14.70265245639133
0.53,-14.241222199522088
0.54,-11.254118218896389
0.55,-12.297286966195127
0.56,-13.962981131327933
0.57,-14.908167612800984
0.58,-15.649871307681863
0.59,-15.541316228951239
0.6,-14.622359738751392
0.61,-14.444369758063939
0.62,-13.471802503693137
0.63,-14.480800385851154
0.64,-16.420404880052697
0.65,-22.164580840646426
0.66,-26.352364832616296
0.67,-25.543057341686477
0.68,-27.97684381942939
0.69,-24.06121971178252
0.7,-22.05978775059513
0.71,-20.492979658977255
0.72,-21.860485171770264
0.73,-20.81302232318173
0.74,-19.2264870689341
0.75,-19.71525962373603
0.76,-18.481027673569383
0.77,-16.284549014063213
0.78,-17.70451048414571
0.79,-11.83997330640133
0.8,-12.60177429856412
0.81,-13.97357045252743
0.82,-14.622359738751392
0.83,-11.733914655661291
0.84,-12.356456873385529
0.85,-14.50751973066826
0.86,-11.811013418908686
0.87,-12.001001994948961
0.88,-12.380679169731899
0.89,-12.903262119342532
0.9,-14.175904219357145
0.91,-16.188305484907346
0.92,-15.508064218164478
0.93,-14.117804406489004
0.94,-14.669585220943318
0.95,-14.750317722438771
0.96,-14.165065484975411
0.97,-14.84351173244528
0.98,-12.665340946588959
0.99,-14.46116490922928
1.0,-17.246678835883017
1.01,-14.921452177671588
1.02,-15.635425585652598
1.03,-17.435997934847773
1.04,-16.740452250517016
1.05,-16.28627737734383
1.06,-15.500165800199037
1.07,-16.57269960904802
1.08,-16.956204578066142
1.09,-15.457638011871516
1.1,-16.87998761494446
1.11,-15.915745038833421
1.12,-16.25177528773577
1.13,-16.513944776411225
1.14,-16.965545249616987
1.15,-17.099278383495
1.16,-17.983690593560194
1.17,-20.084704676466597
1.18,-20.801386836327133
1.19,-23.226829916246338
1.2,-24.530606585959823
1.21,-28.952708475957554
1.22,-26.752499261900724
1.23,-29.079949117450493
1.24,-27.825437589700854
1.25,-30.026992268801944
1.26,-29.632484820128152
1.27,-28.52503136309138
1.28,-25.518004282384897
1.29,-24.788958899953354
1.3,-27.644609564544467
1.31,-27.29386990198818
1.32,-28.43356306921976
1.33,-27.536630021204505
1.34,-27.306155462223188
1.35,-27.093627461971792
1.36,-28.010110384942664
1.37,-25.844273237134402
1.38,-24.21057546117652
1.39,-26.264683183171726
1.4,-25.448237725468466
1.41,-27.461209376817635
1.42,-25.553098833715904
1.43,-22.650655997443735
1.44,-21.662442853962276
1.45,-22.906141758172318
1.46,-23.4882260656439
1.47,-22.472660226929378
1.48,-19.93871990163661
1.49,-18.64956011709824
1.5,-17.854359395899976
1.51,-17.741220098188123
1.52,-19.096521208195757
1.53,-23.378027528224877
1.54,-21.09705492124233
1.55,-21.899981517072995
1.56,-19.580355182754086
1.57,-18.772960782616106
1.58,-22.09008152543887
1.59,-22.270653688842863
1.6,-26.124061724126882
1.61,-25.045749399950022
1.62,-21.976188552428738
1.63,-21.415614080423868
1.64,-20.1303281781937
1.65,-21.490817057890006
1.66,-25.959319814916235
1.67,-25.045749399950022
1.68,-27.057710568733974
1.69,-26.90376439129521
1.7,-29.79469102116754
1.71,-24.9749593615126
1.72,-23.721041111973502
1.73,-22.472660226929378
1.74,-27.963572786079073
1.75,-26.124061724126882
1.76,-18.849244535230255
1.77,-19.228912278956297
1.78,-16.77695530755399
1.79,-12.9278863251562
1.8,-17.555202316826332
1.81,-18.110710497474404
1.82,-15.64505339706297
1.83,-14.945119466532926
1.84,-13.000996335608326
1.85,-12.045442019384998
1.86,-12.685872277683083
1.87,-13.8695623463535
1.88,-15.823481307178577
1.89,-13.781023055442002
1.9,-12.479364622403956
1.91,-14.561206272152155
1.92,-12.408286750147903
1.93,-13.43686926070414
1.94,-17.806867191125004
1.95,-19.98622716485287
1.96,-18.557024104769457
1.97,-15.820204231252863
1.98,-13.768078359099674
1.99,-18.046968359856102
2.0,-11.956788184197013
2.01,-13.003364999282148
2.02,-12.925538152760694
2.03,-12.736265238664021
2.04,-12.760419883429963
2.05,-13.382256456598252
2.06,-12.743159714198438
2.07,-14.712741435782748
2.08,-15.165634854908907
2.09,-14.347040057944637
2.1,-15.142875064688221
2.11,-15.348340816591486
2.12,-15.899197330193326
2.13,-15.348340816591486
2.14,-12.92671215960685
2.15,-12.032721651520024
2.16,-11.267686895493352
2.17,-10.90857338262704
2.18,-10.300317149607984
2.19,-11.412438772330031
2.2,-11.200054487640445
2.21,-11.290996911866614
2.22,-10.988981546618676
2.23,-11.731868027556143
2.24,-12.027426991412117
2.25,-11.723686334133046
2.26,-12.18768780408962
2.27,-13.383493850950094
2.28,-12.001001994948961
2.29,-12.871704657430458
2.3,-13.757736474099884
2.31,-15.753295215536237
2.32,-16.560203208276473
2.33,-16.082979500871044
2.34,-16.21055287472632
2.35,-14.17048316151972
2.36,-13.098645149959431
2.37,-13.29852452161447
2.38,-14.125888064250748
2.39,-14.834732193653926
2.4,-15.032954217702505
2.41,-14.14748133736822
2.42,-13.916804044162651
2.43,-14.487823827357849
2.44,-16.346987786726558
2.45,-16.25177528773577
2.46,-14.489229197418041
2.47,-15.311181873765918
2.48,-14.825961520100151
2.49,-14.254892157707316
2.5,-14.136677990654519
2.51,-14.551291680375867
2.52,-14.31391937095664
2.53,-15.277258597548153
2.54,-15.561964783120068
2.55,-14.974794553949176
2.56,-15.795665492910786
2.57,-15.208280023838928
2.58,-15.303460396114502
2.59,-15.27110493831941
2.6,-17.00113169360012
2.61,-16.978639088096738
2.62,-15.897544291909135
2.63,-16.633653470688124
2.64,-14.616652846536851
2.65,-15.420009550258387
2.66,-14.513155344580849
2.67,-14.812822092980237
2.68,-15.232743027900316
2.69,-16.262111532078983
2.7,-15.228150963485628
2.71,-13.331674469298772
2.72,-13.80956947672049
2.73,-15.186931267492245
2.74,-15.407502867553209
2.75,-16.06779584997286
2.76,-14.301531601367367
2.77,-17.09358582864041
2.78,-14.307035095698845
2.79,-15.365425271991066
2.8,-14.986693034766077
2.81,-18.344134866121905
2.82,-20.552096296965647
2.83,-21.052057982560882
2.84,-18.487706558664375
2.85,-17.529235512320717
2.86,-19.631016683262462
2.87,-16.232857393707786
2.88,-18.568256344325246
2.89,-18.63369133349436
2.9,-16.933827864175203
2.91,-19.346125950497445
2.92,-18.796006404089972
2.93,-22.465615709399636
2.94,-21.393801969421734
2.95,-23.358495499220567
2.96,-24.10788394417653
2.97,-22.84707895761982
2.98,-22.546974667784024
2.99,-23.918549717885277
3.0,-28.43356306921976
3.01,-30.23978805700423
3.02,-30.663574038402984
3.03,-29.835720335238488
3.04,-33.684404821853086
3.05,-33.456813906983115
3.06,-33.55722993448413
3.07,-32.76157178179887
3.08,-32.88922242398285
3.09,-32.715614586553286
3.1,-32.13929832162136
3.11,-33.878728131098896
3.12,-34.6452248776892
3.13,-33.5068768100592
3.14,-33.431890246731136
3.15,-30.809558813232975
3.16,-29.536595460200303
3.17,-28.070313172540725
3.18,-26.330361300550177
3.19,-24.51276191684193
3.2,-25.3250315513721
3.21,-25.247086982213727
3.22,-24.521679668793723
3.23,-23.92687751299883
3.24,-21.27633975005454
3.25,-19.764136371432585
3.26,-18.265627671614414
3.27,-15.71436679345365
3.28,-15.6885111028806
3.29,-15.889283816119574
3.3,-15.995615851174552
3.31,-18.912160711119125
3.32,-21.630403387025076
3.33,-16.052638695037356
3.34,-16.43270162140602
3.35,-14.423421384766357
3.36,-14.939196595769458
3.37,-17.31256943470305
3.38,-15.87938160379337
3.39,-20.769469384003813
3.4,-16.991752695131254
3.41,-16.198566430741014
3.42,-16.30704460693328
3.43,-14.22484659755353
3.44,-14.694014077123311
3.45,-15.332838600022312
3.46,-16.135482844663617
3.47,-15.511225597503495
3.48,-15.978915423730019
3.49,-16.184887861554948
3.5,-16.05600466665013
3.51,-16.049274027306705
3.52,-15.173234723831996
3.53,-15.64023815737313
3.54,-17.889629986308563
3.55,-18.593018518934336
3.56,-18.879480625555484
3.57,-17.49936995978592
3.58,-19.47741382026274
3.59,-20.714613990402935
3.6,-18.348517252510565
3.61,-19.841874566098504
3.62,-18.697341162907016
3.63,-21.450001307637123
3.64,-19.275120396649864
3.65,-21.717182654728326
3.66,-20.222300463145075
3.67,-21.437481104189207
3.68,-21.58574575837924
3.69,-21.070028795119118
3.7,-20.195148550950353
3.71,-18.647291372240606
3.72,-19.527476723338822
3.73,-18.44992726823704
3.74,-20.3070148608799
3.75,-19.580355182754086
3.76,-21.33487230109276
3.77,-17.86264548251747
3.78,-20.769469384003813
3.79,-22.346724864584306
3.8,-23.24221679296826
3.81,-23.757733495448797
3.82,-22.40247083780734
3.83,-21.052057982560882
3.84,-20.84217941547565
3.85,-22.755589912507897
3.86,-21.847359533249737
3.87,-21.9131869770671
3.88,-23.57180228085817
3.89,-24.55296410058984
3.9,-21.531825510783122
3.91,-21.684941008064023
3.92,-21.331781787045543
3.93,-20.760784941049323
3.94,-20.010078593034272
3.95,-18.34194450180868
3.96,-20.691620225451
3.97,-23.786379564978468
3.98,-26.413163544755864
3.99,-28.539189295546432
4.0,-26.609494885229136
4.01,-22.58258722131343
4.02,-30.231175374456143
4.03,-32.75005966661059
4.04,-29.680829414161877
4.05,-30.12848385745615
4.06,-29.340162628186267
4.07,-29.232070162149306
4.08,-18.563761705343673
4.09,-33.30833354539897
4.1,-32.76157178179887
4.11,-32.47824954574307
4.12,-32.97144241244438
4.13,-30.449096730567526
4.14,-31.57872384961649
4.15,-32.64713152768056
4.16,-31.813078783236115
4.17,-22.984276224828495
4.18,-23.906072976973274
4.19,-26.374424246728623
4.2,-27.97684381942939
4.21,-30.12848385745615
4.22,-29.811079497044656
4.23,-23.543854094269246
4.24,-21.33487230109276
4.25,-23.889465152337888
4.26,-21.795054431942535
4.27,-21.26406720878561
4.28,-18.620112555890834
4.29,-16.3609242351846
4.3,-15.848098866325454
4.31,-16.885541844892693
4.32,-17.416288623831296
4.33,-17.485467766932075
4.34,-17.714692046251713
4.35,-17.769879670485413
4.36,-19.417716749273495
4.37,-17.684183094484172
4.38,-18.919179612218695
4.39,-20.19785992591792
4.4,-18.996764201153184
4.41,-20.30152441212688
4.42,-19.808102558457453
4.43,-18.839962258484654
4.44,-16.60670931826357
4.45,-16.53348559373746
4.46,-14.709857674256238
4.47,-14.805530990698621
4.48,-15.617802267604832
4.49,-19.410283381564305
4.5,-17.86264548251747
4.51,-13.1358490173782
4.52,-12.76272383294959
4.53,-15.288038002790596
4.54,-16.771470059731612
4.55,-15.354549458484188
4.56,-16.319181793750268
4.57,-18.956709844577468
4.58,-18.64048869106422
4.59,-19.211950011753267
4.6,-19.527476723338822
4.61,-17.129701845905657
4.62,-16.149083770735775
4.63,-15.504903989045363
4.64,-19.447513998523714
4.65,-21.58574575837924
4.66,-20.93319345720214
4.67,-21.896683286679057
4.68,-17.473569286115172
4.69,-17.059508624188165
4.7,-16.281093318915953
4.71,-19.779628449804807
4.72,-18.159898234900986
4.73,-16.305312106750403
4.74,-17.164056101520032
4.75,-19.168484251466694
4.76,-19.45000172291078
4.77,-17.223542157240146
4.78,-13.219234198305749
4.79,-17.101176731145017
4.8,-16.939416640542643
4.81,-17.053842065562876
4.82,-18.374858105565433
4.83,-17.605357726069006
4.84,-15.732187332394929
4.85,-14.761912437510183
4.86,-17.680123318930917
4.87,-22.25002211230626
4.88,-22.30169323219558
4.89,-21.337963915162796
4.9,-19.59552263067935
4.91,-20.757892055214736
4.92,-22.40596686910351
4.93,-17.114476794438524
4.94,-14.197622348223241
4.95,-15.709512985203244
4.96,-22.611182768583276
4.97,-21.678507015445337
4.98,-23.089561024675636
4.99,-21.956243906149766
5.0,-14.924407064462482
5.01,-14.034710861571462
5.02,-23.615903361529533
5.03,-22.2740970544531
5.04,-18.670005531728002
5.05,-13.755152925705445
5.06,-18.888805253008258
5.07,-21.230406858039785
5.08,-24.807380730057183
5.09,-28.66047268197892
5.1,-24.56640628481214
5.11,-23.476351983633272
5.12,-22.50796877001461
5.13,-23.910229899588185
5.14,-22.448029370858794
5.15,-24.292742816832018
5.16,-23.081998212149028
5.17,-24.112138604872943
5.18,-25.069474871238103
5.19,-24.688331354239807
5.2,-25.098031246454767
5.21,-25.21320495125016
5.22,-22.9805395546749
5.23,-25.13146611175173
5.24,-25.30059865301648
5.25,-25.266507649081472
5.26,-25.85466927624269
5.27,-25.07898323522875
5.28,-25.088502019346407
5.29,-22.741040680231603
5.3,-22.079971856435606
5.31,-20.409219225530997
5.32,-19.338753572373648
5.33,-18.09153869159332
5.34,-18.613331119264203
5.35,-19.707567322446792
5.36,-19.567735843562016
5.37,-19.93345732065886
5.38,-20.20057214752874
5.39,-20.389790801560256
5.4,-19.321575652530814
5.41,-19.653911119344404
5.42,-19.68453120853382
5.43,-19.983581044607554
5.44,-21.28862965608521
5.45,-19.75124738014026
5.46,-20.271388824093183
5.47,-20.340030635714363
5.48,-17.933398209070063
5.49,-17.394659911802282
5.5,-17.798634119761605
5.51,-16.664291561143074
5.52,-16.57984848981212
5.53,-18.94261699729212
5.54,-16.978639088096738
5.55,-17.455752070353647
5.56,-19.034631899880804
5.57,-18.132062252666124
5.58,-18.672280218041397
5.59,-19.07504804611449
5.6,-18.613331119264203
5.61,-18.791392385581435
5.62,-19.365816272646008
5.63,-19.514933920237844
5.64,-19.19985435510137
5.65,-18.35509498068411
5.66,-18.663185044814476
5.67,-14.11915116044752
5.68,-11.110054385024386
5.69,-14.696892582414964
5.7,-20.268654402651407
5.71,-18.75456820901394
5.72,-21.707497588155572
5.73,-18.153466624360494
5.74,-18.96141254617478
5.75,-18.496619735062797
5.76,-20.178898051096912
5.77,-22.19183071284162
5.78,-23.79868543193139
5.79,-24.455018638315764
5.8,-27.051738832755838
5.81,-27.599984712284076
5.82,-28.82730491862948
5.83,-29.012354304422878
5.84,-28.747115691066142
5.85,-27.676625412211845
5.86,-26.547311224895594
5.87,-24.99849199481288
5.88,-24.31449561968162
5.89,-23.721041111973502
5.9,-21.697823308739203
5.91,-17.287316914334127
5.92,-20.4231233258877
5.93,-21.33487230109276
5.94,-18.26128689709225
5.95,-19.405331334886235
5.96,-22.621930416444233
5.97,-20.620154546346217
5.98,-19.77704451712531
5.99,-16.44501579612001
6.0,-17.00113169360012
6.01,-15.274181222976345
6.02,-16.115121304638517
6.03,-14.902269877291374
6.04,-14.371963718196616
6.05,-16.082979500871044
6.06,-15.225090935397589
6.07,-15.504903989045363
6.08,-16.576273313948487
6.09,-16.229422199026637
6.1,-16.863346203415944
6.11,-17.008642190944904
6.12,-15.88103118876425
6.13,-16.698662511569257
6.14,-17.631553446027702
6.15,-17.45377463388795
6.16,-15.914088848602823
6.17,-15.853030761776253
6.18,-16.196855431102257
6.19,-14.818659384623366
6.2,-14.76916700206626
6.21,-17.945944031623966
6.22,-18.98968235026102
6.23,-16.159298459844884
6.24,-14.271324556689564
6.25,-14.692575182124898
6.26,-16.05432151779532
6.27,-17.731007410782222
6.28,-18.21799804776913
