seconds_elapsed,dBFS
0.0,-37.63962958760262
0.01,-37.9062775997192
0.02,-38.311337257720595
0.03,-37.7616815673397
0.04,-37.459708294351934
0.05,-38.48770655866437
0.06,-37.09168913911697
0.07,-38.20289777637217
0.08,-37.400553312212516
0.09,-39.47741382026274
0.1,-39.628476578071655
0.11,-39.378145429631736
0.12,-38.82837334463998
0.13,-37.864718239868445
0.14,-37.59932376289611
0.15,-38.69049918568197
0.16,-39.552616797728874
0.17,-39.730664693641266
0.18,-39.502409203376885
0.19,-40.17889805109691
0.2,-40.85386971285011
0.21,-42.043003417569324
0.22,-41.2426318982536
0.23,-42.99923900137636
0.24,-41.58574575837924
0.25,-40.4259068188255
0.26,-40.85386971285011
0.27,-41.81136596657302
0.28,-41.522344822589105
0.29,-42.49029655712677
0.3,-41.273269988708556
0.31,-42.56120217241977
0.32,-40.20599913279624
0.33,-41.5539874427866
0.34,-41.42810278083282
0.35,-41.68172341601461
0.36,-42.31552426957359
0.37,-43.15030175918528
0.38,-42.77745955806411
0.39,-41.97618855242873
0.4,-42.96188027867397
0.41,-41.21210149902416
0.42,-40.82467341766925
0.43,-40.82467341766925
0.44,-42.63269137958573
0.45,-40.53798436918547
0.46,-41.091041844063405
0.47,-40.17889805109691
0.48,-40.73766878731749
0.49,-39.99152182496077
0.5,-41.15136076451451
0.51,-40.34278762340235
0.52,-38.92152050689344
0.53,-37.28343841923147
0.54,-35.629012968426615
0.55,-34.13128135199811
0.56,-31.23380486452978
0.57,-30.317688934674713
0.58,-31.137721034755007
0.59,-30.12848385745615
0.6,-30.29164426856982
0.61,-29.721323145490164
0.62,-30.36127101124809
0.63,-30.043825393524028
0.64,-30.094521391358896
0.65,-30.222571223541507
0.66,-28.689257760976613
0.67,-29.481144996029855
0.68,-28.64611583633331
0.69,-33.53201688444925
0.7,-30.672626555781086
0.71,-28.58180208569939
0.72,-29.057359014631096
0.73,-27.473734093678598
0.74,-29.13288896567622
0.75,-32.16077148370263
0.76,-28.653291292865354
0.77,-29.079949117450493
0.78,-27.644609564544467
0.79,-28.54627692518333
0.8,-24.74307453736888
0.81,-23.074441978842497
0.82,-24.42408437643199
0.83,-23.993788885879663
0.84,-28.191985211491485
0.85,-27.792869536403817
0.86,-27.983486947583472
0.87,-31.83375948262035
0.88,-33.11422737525142
0.89,-32.590471903165735
0.9,-35.82348130717857
0.91,-35.145906259846555
0.92,-34.731509259139564
0.93,-36.86704154048001
0.94,-37.63962958760262
0.95,-38.44327735878521
0.96,-37.302848236555626
0.97,-38.37705678666515
0.98,-39.57782984776375
0.99,-40.680146129148255
1.0,-39.353504591437904
1.01,-40.20599913279624
1.02,-41.06103874121523
1.03,-39.27999873973685
1.04,-39.603116298338946
1.05,-39.353504591437904
1.06,-39.182948683848615
1.07,-39.57782984776375
1.08,-41.00134167022599
1.09,-41.3969146337224
1.1,-39.834069362963064
1.11,-39.20710972762797
1.12,-38.75916270244985
1.13,-39.96508074019487
1.14,-39.1108661984721
1.15,-38.805241800641134
1.16,-38.532364187310215
1.17,-37.034980191401395
1.18,-36.41689472052298
1.19,-37.034980191401395
1.2,-35.80710827756498
1.21,-34.789512076606975
1.22,-35.48596672215866
1.23,-34.05073156633725
1.24,-33.6205846255637
1.25,-31.24347196584827
1.26,-29.69700425987533
1.27,-29.17852421761235
1.28,-28.923038456883774
1.29,-29.14047821005425
1.3,-28.696468960758242
1.31,-32.279832271272106
1.32,-31.156852957992452
1.33,-31.710407497502597
1.34,-32.09651060141033
1.35,-32.78464188736151
1.36,-33.21073825303724
1.37,-35.31427238781313
1.38,-36.666097171717716
1.39,-37.016159188071846
1.4,-36.885541844892686
1.41,-37.225467861635146
1.42,-36.95993964139527
1.43,-35.26802974280558
1.44,-36.072854118370536
1.45,-36.08973631928884
1.46,-34.847904831909105
1.47,-33.33290467815828
1.48,-33.407037898909216
1.49,-33.735800768487955
1.5,-33.93129040731416
1.51,-33.41945518428073
1.52,-33.35754551635211
1.53,-33.5068768100592
1.54,-32.579184195744716
1.55,-31.95888850814342
1.56,-31.62913542256951
1.57,-31.11863115973439
1.58,-31.41934525619098
1.59,-30.846441627200385
1.6,-30.528906385223618
1.61,-29.82749895304583
1.62,-30.257039084796183
1.63,-28.610327200460034
1.64,-30.457928342551646
1.65,-31.17602711509029
1.66,-29.9266728902529
1.67,-29.14807409128872
1.68,-28.151238195538383
1.69,-30.13699526395601
1.7,-30.154043139179556
1.71,-30.0606912039457
1.72,-30.52000234586052
1.73,-31.19524369292424
1.74,-29.209081468611522
1.75,-31.844118326588827
1.76,-31.05214507516951
1.77,-31.588782784890164
1.78,-32.98325191751046
1.79,-31.24347196584827
1.8,-31.60893567012126
1.81,-31.690018075843895
1.82,-19.1588546610812
1.83,-11.102437688591493
1.84,-7.176804335880377
1.85,-6.802822207478662
1.86,-8.367324777863931
1.87,-9.257428198301197
1.88,-8.806092158117316
1.89,-7.472480808972858
1.9,-7.185287242374856
1.91,-6.772131009119581
1.92,-10.292511167082248
