seconds_elapsed,dBFS
0.0,-18.209366107045724
0.01,-19.45497931023214
0.02,-19.557653556140856
0.03,-21.35343851330193
0.04,-24.095132452327142
0.05,-22.50089556959274
0.06,-19.93345732065886
0.07,-19.151639467833913
0.08,-20.965719379812548
0.09,-21.999515337009644
0.1,-23.161738086891503
0.11,-23.15411219558684
0.12,-22.448029370858794
0.13,-22.686697084997345
0.14,-24.159077940930096
0.15,-23.04052004085083
0.16,-21.47195518372852
0.17,-21.1786415430891
0.18,-15.4294013943575
0.19,-21.662442853962276
0.2,-19.60564899689547
0.21,-18.46102177688308
0.22,-20.965719379812548
0.23,-20.637252759816477
0.24,-22.086710328176263
0.25,-22.58258722131343
0.26,-20.02601600968561
0.27,-19.437570219947048
0.28,-22.869180469896055
0.29,-22.398976213081838
0.3,-23.539868827102257
0.31,-24.633931032543824
0.32,-21.999515337009644
0.33,-18.706472190962707
0.34,-19.45000172291078
0.35,-18.70418853388683
0.36,-18.344134866121905
0.37,-21.811365966573018
0.38,-22.08334043884667
0.39,-16.224271953018604
0.4,-12.997444550795777
0.41,-18.205053351426802
0.42,-17.40055331221252
0.43,-16.000632247293233
0.44,-15.622605082014218
0.45,-13.933926889240023
0.46,-14.351189038027378
0.47,-13.54461426104184
0.48,-13.582516385059321
0.49,-13.647332015627496
0.5,-12.301656126064952
0.51,-14.779333582520726
0.52,-13.64350591338309
0.53,-13.526983045051292
0.54,-12.525206458252892
0.55,-12.657369628105332
0.56,-13.931290407314162
0.57,-13.778432572381327
0.58,-12.947871462733527
0.59,-12.861210930837942
0.6,-14.610949701461262
0.61,-12.284192657728175
0.62,-13.050874427934394
0.63,-13.595187269345846
0.64,-16.902225876645513
0.65,-11.525605106690808
0.66,-14.133979252202462
0.67,-15.349892561059761
0.68,-16.6968501193586
0.69,-15.947272803532524
0.7,-17.27762392187852
0.71,-16.67151625662142
0.72,-17.304791605987177
0.73,-17.33399444523397
0.74,-18.56600873410748
0.75,-16.913366395023626
0.76,-15.328193325125214
0.77,-9.065635232158698
0.78,-6.672126940298907
0.79,-6.749615979006839
0.8,-6.505727666580255
0.81,-12.112531306176118
0.82,-11.603893063513413
0.83,-17.101176731145017
0.84,-20.883164478015583
0.85,-20.845100515095602
0.86,-16.301848142741157
0.87,-14.985204832991156
0.88,-18.100054270351933
0.89,-15.334387577224469
0.9,-17.810986655104553
0.91,-18.24394545956142
0.92,-17.837810899085618
0.93,-17.38288509349918
0.94,-18.399074262682873
0.95,-17.773981625526496
0.96,-17.59731337296975
0.97,-17.27762392187852
0.98,-19.49740436910527
0.99,-15.26649255323639
1.0,-13.918119988356983
1.01,-10.15233684516797
1.02,-13.069951200765324
1.03,-16.965545249616987
1.04,-16.99550307931649
1.05,-16.64986017317019
1.06,-18.814487027312893
1.07,-17.004886130502346
1.08,-15.802202380999615
1.09,-17.753491194608298
1.1,-18.004732003167188
1.11,-16.476761214906027
1.12,-18.483253398024374
1.13,-16.05600466665013
1.14,-11.617009934832897
1.15,-13.054448132834864
1.16,-19.015677414152567
1.17,-18.159898234900986
1.18,-18.390260573810885
1.19,-18.959060877109906
1.2,-20.41755901459039
1.21,-19.641184538843326
1.22,-21.896683286679057
1.23,-21.25181198327731
1.24,-21.553987442786596
1.25,-22.618346389309387
1.26,-20.98054425051852
1.27,-20.1249482525723
1.28,-21.739823228882752
1.29,-21.896683286679057
1.3,-22.17478952699856
1.31,-21.13926342323022
1.32,-19.76929732799444
1.33,-23.889465152337888
1.34,-21.560329823234934
1.35,-22.965608928500743
1.36,-23.725110397425336
1.37,-23.03299978961217
1.38,-20.927292716731948
1.39,-23.146492993661383
1.4,-25.256791887846894
1.41,-23.397603578066516
1.42,-22.564762692919746
1.43,-23.081998212149028
1.44,-26.609494885229136
1.45,-23.342901438231145
1.46,-23.547841190799232
1.47,-24.697431291832828
1.48,-24.647499204484923
1.49,-22.80304393484758
1.5,-16.338288847954335
1.51,-18.46102177688308
1.52,-25.184268035075895
1.53,-28.050199177512752
1.54,-22.305148927342838
1.55,-23.234519947415375
1.56,-15.92568881741009
1.57,-21.15136076451451
1.58,-18.570504536297953
1.59,-23.35069496916053
1.6,-21.0400980637858
1.61,-22.80304393484758
1.62,-19.314224073896376
1.63,-18.766059002643857
1.64,-19.996819714504753
1.65,-22.518589382266807
1.66,-22.607603172555663
1.67,-18.49884945902269
1.68,-22.561202172419765
1.69,-23.15030175918528
1.7,-22.458576900555713
1.71,-25.14583483237847
1.72,-19.555134811846543
1.73,-21.0880368657812
1.74,-22.458576900555713
1.75,-23.119878296774626
1.76,-23.75364890113978
1.77,-21.966210504647844
1.78,-18.602040477302538
1.79,-21.743062419536766
1.8,-21.91979724347295
1.81,-23.484266234420513
1.82,-23.19230878149564
1.83,-21.847359533249737
1.84,-24.76598641991842
1.85,-26.0121217382404
1.86,-20.476162829642632
1.87,-22.44100479333232
1.88,-25.61359279597603
1.89,-24.189081043778266
1.9,-24.301437401780305
1.91,-24.530606585959823
1.92,-25.508003256941404
1.93,-23.006730066642813
1.94,-27.15382097825708
1.95,-25.359353485653273
1.96,-24.129178119191074
1.97,-23.16937067933173
1.98,-24.835086940592515
1.99,-23.749566226734146
2.0,-24.679240940392727
2.01,-24.946804103024792
2.02,-23.704783007763798
2.03,-22.98801450318965
2.04,-24.432911500807624
2.05,-22.448029370858794
2.06,-25.87028670263425
2.07,-24.3625444150883
2.08,-26.939049028733702
2.09,-25.069474871238103
2.1,-25.573216711008495
2.11,-25.81315956934073
2.12,-25.927792050217132
2.13,-25.150629692913185
2.14,-26.524808907548234
2.15,-27.232701412303776
2.16,-27.214434550391246
2.17,-28.056898668502868
2.18,-26.51919242520701
2.19,-25.354442040999892
2.2,-25.802813064677096
2.21,-26.14017157042301
2.22,-23.83158656838418
2.23,-24.96087032413627
2.24,-26.346858721726324
2.25,-23.668313158643993
2.26,-24.481621690162704
2.27,-25.603481165453307
2.28,-24.103631366545404
2.29,-23.843956695760617
2.3,-23.42115322549214
2.31,-23.074441978842497
2.32,-22.639872768699295
2.33,-23.52792398501157
2.34,-26.729459753330964
2.35,-22.91726088446747
2.36,-20.084704676466597
2.37,-20.755000132551743
2.38,-21.9131869770671
2.39,-22.350198525753605
2.4,-22.976804491345764
2.41,-24.620384022303966
2.42,-24.441747604965446
2.43,-23.86461280451597
2.44,-24.086641845944246
2.45,-22.419965082670032
2.46,-23.03675910135147
2.47,-22.19183071284162
2.48,-22.110336232568464
2.49,-24.21057546117652
2.5,-22.10357941415067
2.51,-22.472660226929378
2.52,-21.013248306275617
2.53,-23.40152408801259
2.54,-26.752499261900724
2.55,-22.75195031905927
2.56,-21.949605854899616
2.57,-22.24315579602927
2.58,-21.91649148143949
2.59,-23.4882260656439
2.6,-25.21803715701488
2.61,-21.350341387350756
2.62,-22.773810791096757
2.63,-21.049066458633234
2.64,-21.54131655850008
2.65,-24.561923244899425
2.66,-21.534988041179627
2.67,-21.393801969421734
2.68,-20.91844911545408
2.69,-20.409219225530997
2.7,-21.118133533586096
2.71,-21.40314331067492
2.72,-20.4817648225089
2.73,-20.792670438567995
2.74,-21.566676838232787
2.75,-20.60593170112131
2.76,-21.630403387025076
2.77,-24.06121971178252
2.78,-23.668313158643993
2.79,-23.37020944521454
2.8,-21.076027337925254
2.81,-21.390690420171886
2.82,-24.4284968172879
2.83,-23.307916827613752
2.84,-24.297089021395088
2.85,-21.001341670225994
2.86,-20.947962870109606
2.87,-22.069873940586326
2.88,-22.817697484739053
2.89,-25.136253044712827
2.9,-24.692880131321022
2.91,-22.88394611669557
2.92,-23.607868310412528
2.93,-22.693923283116355
2.94,-22.73740717687886
2.95,-20.677279971841912
2.96,-22.596873227228112
2.97,-21.73334846925527
2.98,-22.92097042526187
2.99,-21.85063908384111
3.0,-23.81923403304123
3.01,-25.349533371958227
3.02,-24.28405692647013
3.03,-25.102799783295957
3.04,-26.374424246728623
3.05,-22.75195031905927
3.06,-21.9065817374803
3.07,-23.480308207631552
3.08,-27.511416971169623
3.09,-26.992246205391794
3.1,-22.909846552273294
3.11,-23.555820878671515
3.12,-23.70072323221054
3.13,-24.788958899953354
3.14,-26.9272715494539
3.15,-24.35378847721168
3.16,-25.17945457436082
3.17,-23.397603578066516
3.18,-22.51504773506664
3.19,-24.14197972745984
3.2,-25.344627475392866
3.21,-26.655000632473506
3.22,-25.198724442803687
3.23,-19.725526633959895
3.24,-23.708844681739173
3.25,-25.285971835687263
3.26,-25.493023276847737
3.27,-27.818914202508715
3.28,-27.480003231185005
3.29,-25.184268035075895
3.3,-26.96856278338923
3.31,-25.859871965609422
3.32,-26.457649632463443
3.33,-26.440940637946007
3.34,-26.275595106262728
3.35,-27.063686413233924
3.36,-28.349977279311354
3.37,-27.97684381942939
3.38,-28.805361606820526
3.39,-23.014227598086382
3.4,-22.726515777786524
3.41,-24.881461261312868
3.42,-22.367587700006183
3.43,-21.8277081908446
3.44,-20.915503248158394
3.45,-22.188419799922055
3.46,-21.02815459041814
