seconds_elapsed,dBFS
0.0,-20.950919768738352
0.01,-19.93608821258813
0.02,-20.241357429719706
0.03,-20.028675091181366
0.04,-20.055310774851087
0.05,-20.329011427591293
0.06,-19.1492357346961
0.07,-18.263457013190504
0.08,-18.851566655184754
0.09,-14.831807651660618
0.1,-16.581636629733634
0.11,-17.837810899085618
0.12,-16.305312106750403
0.13,-18.278663026194153
0.14,-18.72934184513855
0.15,-17.714692046251713
0.16,-18.71104130713228
0.17,-18.772960782616106
0.18,-19.575305246775756
0.19,-18.956709844577468
0.2,-18.947312072886476
0.21,-19.137227037030367
0.22,-19.459959751674827
0.23,-18.00894640870259
0.24,-18.819113333487806
0.25,-16.727712336768104
0.26,-16.67693872457699
0.27,-16.67693872457699
0.28,-18.656369909401626
0.29,-16.120207216546138
0.3,-19.161261058004214
0.31,-16.70047528203145
0.32,-17.048179201314873
0.33,-17.08789700212678
0.34,-16.155892228570618
0.35,-17.204308558508473
0.36,-18.51670788656903
0.37,-18.912160711119125
0.38,-18.18352163579459
0.39,-16.617476951425253
0.4,-16.720440766951977
0.41,-18.013162860066007
0.42,-16.96367631154887
0.43,-16.744095660653517
0.44,-16.101573413979104
0.45,-16.802599032408516
0.46,-16.376629514549858
0.47,-18.749976144599255
0.48,-18.038504642121307
0.49,-18.368265399641288
0.5,-17.86679149196997
0.51,-15.833319959887769
0.52,-17.004886130502346
0.53,-16.635452722820517
0.54,-17.237031062328562
0.55,-18.71561282809995
0.56,-16.920801353438705
0.57,-17.49936995978592
0.58,-17.63760984811252
0.59,-17.435997934847773
0.6,-18.3968700018823
0.61,-17.93966885521275
0.62,-18.313519916266593
0.63,-16.32959861247398
0.64,-17.989997666066337
0.65,-15.010539006196588
0.66,-16.489138057196968
0.67,-16.704101958342203
0.68,-18.761460860854065
0.69,-16.464401983739243
0.7,-18.322256039344577
0.71,-16.594163927149083
0.72,-16.346987786726558
0.73,-16.870738450362616
0.74,-16.84489306361345
0.75,-17.87508945260878
0.76,-18.26128689709225
0.77,-16.466166511858685
0.78,-16.755035069704146
0.79,-17.784244996256348
0.8,-17.95222374485429
0.81,-19.740949940122007
0.82,-20.141098036533297
0.83,-17.70451048414571
0.84,-19.9756475172135
0.85,-18.304792571007795
0.86,-19.717825238771095
0.87,-17.784244996256348
0.88,-17.985792442242698
0.89,-15.508064218164478
0.9,-16.505077098624085
0.91,-17.958508001468513
0.92,-18.405690403389766
0.93,-17.50732407173195
0.94,-16.680555584774186
0.95,-16.691415210658135
0.96,-17.573224918506863
0.97,-16.241451328947363
0.98,-17.672009455997994
0.99,-18.530125844394057
1.0,-19.633557531499996
1.01,-19.192605037970534
1.02,-19.19502080481633
1.03,-19.25320169533872
1.04,-19.037004121563733
1.05,-19.358427169998716
1.06,-19.248338375145558
1.07,-19.110866198472106
1.08,-20.18701950062555
1.09,-19.592992882696404
1.1,-18.207209461562748
1.11,-19.284879824236235
1.12,-18.344134866121905
1.13,-19.0251494866704
1.14,-19.122838481054107
1.15,-18.708756448605868
1.16,-18.947312072886476
1.17,-19.24347777645237
1.18,-19.547582958330917
1.19,-19.36088950584456
1.2,-18.588511051454844
1.21,-19.469929210029633
1.22,-18.337565429551535
1.23,-18.656369909401626
1.24,-18.501079755514102
1.25,-17.60938269816979
1.26,-17.89586910280194
1.27,-16.294924356293972
1.28,-18.038504642121307
1.29,-17.891709193891934
1.3,-17.745308537726107
1.31,-16.82463978766036
1.32,-15.807108277564977
1.33,-15.816928391260024
1.34,-16.46793139851274
1.35,-18.030049163587364
1.36,-15.09301246658
1.37,-13.356311812829256
1.38,-11.585763880971205
1.39,-16.08635725305752
1.4,-13.109429866353944
1.41,-15.103565488353093
1.42,-16.64085271655246
1.43,-17.54121054588764
1.44,-17.467626152364275
1.45,-19.098910395293224
1.46,-18.359482901786805
1.47,-17.897949804605652
1.48,-19.06552143190139
1.49,-18.322256039344577
1.5,-18.32444144371843
1.51,-19.056005254956023
1.52,-18.796006404089972
1.53,-19.896708261629637
1.54,-18.030049163587364
1.55,-18.061799739838868
1.56,-17.357427614945255
1.57,-17.31451498060391
1.58,-15.485966722158658
1.59,-16.03582837502723
1.6,-15.549252172525742
1.61,-16.422160491910734
1.62,-15.71760417315496
1.63,-14.380287522990866
1.64,-11.765699213206961
1.65,-8.354831087561761
1.66,-4.58301368033778
1.67,-3.6958540049664776
1.68,-2.594728827849721
1.69,-1.851951250871036
1.7,-2.1751300232701105
1.71,-2.9142943920759095
1.72,-3.4085854683520616
1.73,-3.601846896210849
1.74,-2.8316412926529977
1.75,-2.76105216379664
1.76,-2.627667937675442
1.77,-2.8331103648997242
1.78,-2.8680740576102415
1.79,-2.4353892187788304
1.8,-2.254831765355349
1.81,-1.9775198252703465
1.82,-1.9698677913875084
1.83,-2.2785754714835154
1.84,-2.1652610465779456
1.85,-3.3717724989596434
1.86,-3.804434141777364
1.87,-5.028707099574793
1.88,-4.176209878709126
1.89,-4.387108102791904
1.9,-5.364759284352117
1.91,-5.25873417086887
1.92,-6.204369922794298
1.93,-6.959107466479927
1.94,-8.734064013722215
1.95,-8.559759375757974
1.96,-8.21584287901843
1.97,-6.863947650720592
1.98,-8.336124182853219
1.99,-9.297537164091404
2.0,-9.679213584999358
2.01,-12.703018870679305
2.02,-15.753295215536237
2.03,-16.782444021567954
2.04,-17.122085984270818
2.05,-18.291717972997567
2.06,-19.535011108346218
2.07,-20.694491119424605
2.08,-19.24347777645237
2.09,-18.48993399543464
2.1,-18.04485165711916
2.11,-17.85021931496456
2.12,-16.200277767489347
2.13,-19.0180444640754
2.14,-18.895805298763676
2.15,-19.949254638692793
2.16,-20.09273848894443
2.17,-17.680123318930917
2.18,-17.177452871272077
2.19,-18.597528326739734
2.2,-16.26900920140162
2.21,-13.364951419575881
2.22,-10.334224374078003
2.23,-7.497580926535358
2.24,-7.921241226747639
2.25,-6.344106974629634
2.26,-4.83369952909878
2.27,-4.102781100807557
2.28,-4.424084376431995
2.29,-4.309269976505011
2.3,-3.547043625063579
2.31,-3.2819639193383354
2.32,-3.4353137225588677
2.33,-3.3698187257237775
2.34,-3.149539872457188
2.35,-3.579403760034436
2.36,-3.3901594808507616
2.37,-3.2449123010459546
2.38,-3.5342925232039937
2.39,-3.6885552783577853
2.4,-4.549830581991343
2.41,-4.0713796384362775
2.42,-4.049381464726766
2.43,-4.34853914810062
2.44,-5.351496506702272
2.45,-6.598722214823587
2.46,-7.235749627684445
2.47,-6.998177164746896
2.48,-7.751359829501857
2.49,-8.544150028962918
2.5,-9.984214878341579
2.51,-10.991799963052923
2.52,-11.423294285419301
2.53,-12.010505735091389
2.54,-11.05877082904242
2.55,-11.295861049104143
2.56,-12.591601481116228
2.57,-14.152888053781867
2.58,-15.318910221671512
2.59,-13.997443732709012
2.6,-12.973803029292196
2.61,-15.774454518662912
2.62,-18.403484463152367
2.63,-21.381362454745513
2.64,-20.769469384003813
2.65,-18.100054270351933
2.66,-19.248338375145558
2.67,-19.96772122954126
2.68,-21.064034392094406
2.69,-23.006730066642813
2.7,-21.36894072987111
2.71,-19.818479966666843
2.72,-20.116884606963236
2.73,-19.26050178511265
2.74,-20.334519284236265
2.75,-21.347245365347533
2.76,-21.130201461387834
2.77,-20.007425197675907
2.78,-18.070286198391905
2.79,-15.423139036740833
2.8,-12.613091420214737
2.81,-9.49141620887862
2.82,-6.913159621673728
2.83,-5.4775710574110095
2.84,-5.03249138877007
2.85,-4.362544415088305
2.86,-4.378327380614608
2.87,-3.978269751123238
2.88,-3.330057380682403
2.89,-3.216459162135377
2.9,-5.034857407045729
2.91,-6.149313763871231
2.92,-6.392665533736919
2.93,-10.721673851271134
2.94,-11.64127786113327
2.95,-11.880471878889047
2.96,-13.545875004151402
2.97,-16.439736154803736
2.98,-16.99925508353814
2.99,-15.897544291909135
3.0,-16.142280645549086
3.01,-13.52824123142824
3.02,-11.533602243532009
3.03,-11.42922119771892
3.04,-11.612971864263624
3.05,-7.6817589168754985
3.06,-3.5148036035977093
3.07,-2.890598855775969
3.08,-4.403375876857403
3.09,-5.8028130646771015
3.1,-5.13529544704491
3.11,-3.405446368340278
3.12,-1.4647356447379765
3.13,-1.1762131123364266
3.14,-1.2766467858677932
3.15,-5.481556096025644
3.16,-6.115482007772467
3.17,-8.424468994753548
